Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
382,1258115584,A. Colarusso,A.J. Colarusso,Colarusso,A.J.,P,Boston College,BC,227,Boston College,BBC,L,L,19,1247,84.8,79.5,89.9,92.4,10.4,-3.6,-27.7,12.6,2219.5,2781.1,12.8,70.1,5.49,83.6,1.44,-1.11,77.1,0.80,-6.24,-1.4,-12.1
383,1162558464,W. Scott,Win Scott,Scott,Win,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,14,1113,84.8,78.7,89.5,91.0,10.8,-6.3,-34.0,6.4,1982.9,2344.6,13.4,70.9,5.52,83.3,1.51,-0.92,77.1,0.38,-7.17,-0.6,-14.1
384,1327579136,R. Halamicek,Ryan Halamicek,Halamicek,Ryan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,17,1238,84.8,78.8,89.6,91.6,10.9,7.1,-26.9,13.5,2157.9,2609.1,-16.6,73.4,5.29,83.2,-2.20,-1.92,77.2,-0.94,-6.88,1.7,-13.5
385,1296205056,M. Kruzan,Marcus Kruzan,Kruzan,Marcus,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,13,1256,84.7,75.3,90.8,92.7,15.5,2.3,-27.3,11.8,2129.2,3347.5,-17.6,64.6,6.46,85.0,-2.09,-0.70,77.0,-1.68,-5.85,3.2,-11.3
386,1105517312,D. Munn,Drew Munn,Munn,Drew,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,14,1174,84.7,78.7,89.2,93.1,10.5,6.9,-27.5,11.3,1862.4,2349.5,-25.0,75.3,6.03,85.0,-2.74,-1.56,77.9,-1.50,-6.70,2.9,-13.3
387,1306683393,C. Alderman,Chandler Alderman,Alderman,Chandler,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,L,14,1265,84.7,76.7,89.6,92.5,12.9,1.9,-31.5,7.9,2143.9,3520.4,27.1,77.5,5.86,84.0,2.29,-1.72,78.0,2.62,-7.52,-5.1,-14.9
388,1002961029,R. Ritter,Riane Ritter,Ritter,Riane,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,1102,84.7,78.3,90.5,92.9,12.3,2.8,-33.9,4.7,2151.4,2662.5,-15.3,66.7,6.52,85.0,-2.01,-0.49,77.4,-1.49,-6.82,2.8,-13.4
389,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,1474,84.7,77.3,91.2,94.4,13.9,-13.9,-29.2,10.6,2220.7,3094.7,34.1,61.9,6.12,84.4,4.09,-0.07,76.7,1.60,-5.54,-2.9,-10.7
390,1574122232,A. Ehmke,Aric Ehmke,Ehmke,Aric,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,15,1036,84.7,77.7,90.0,92.0,12.3,9.0,-29.1,11.5,2126.6,2490.4,-36.1,66.6,5.44,83.5,-4.03,-0.86,76.8,-2.44,-6.24,4.6,-12.1
391,1211982848,S. Gottam,Santhosh Gottam,Gottam,Santhosh,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,986,84.7,79.6,90.5,92.8,10.9,6.7,-33.0,6.8,1960.1,3519.4,-6.2,74.2,5.75,84.0,-1.45,-1.50,77.1,-0.24,-7.60,0.3,-14.9
392,1220061620,C. Hendry,Clay Hendry,Hendry,Clay,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,959,84.6,78.9,91.0,94.0,12.1,4.0,-38.6,3.2,2459.9,2882.8,-20.5,64.8,5.19,82.0,-2.62,-0.02,76.1,-1.90,-7.06,3.5,-13.7
393,1241946112,J. Urena,Jeremy Urena,Urena,Jeremy,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,15,1183,84.6,75.7,89.7,91.8,14.0,9.9,-34.1,6.3,1781.2,3445.3,-22.6,67.0,5.44,83.3,-2.80,-0.73,77.3,-1.03,-6.99,1.8,-13.8
394,1310907904,M. Quevedo,Michael Quevedo,Quevedo,Michael,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,15,1176,84.6,78.4,89.7,92.0,11.3,-12.0,-30.5,9.8,2195.9,2727.0,32.3,65.3,5.39,83.2,3.94,-0.52,77.1,1.85,-6.10,-3.4,-11.9
395,1386471821,T. McKinstry,Tyler McKinstry,McKinstry,Tyler,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,14,1157,84.6,77.5,90.3,94.2,12.8,7.1,-31.1,8.9,2323.3,2998.2,-15.7,64.3,6.01,84.1,-1.99,-0.32,76.4,-0.71,-6.13,1.3,-11.9
396,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,1243,84.6,79.3,89.2,91.8,9.8,17.2,-35.3,4.1,2179.4,3246.8,-21.4,56.9,6.08,84.3,-3.67,0.79,76.7,-0.57,-5.78,0.9,-11.3
397,1179432448,D. Delvecchio,Dylan Delvecchio,Delvecchio,Dylan,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,18,1173,84.6,77.8,90.5,92.9,12.7,-11.0,-31.8,10.9,2189.3,2686.3,28.7,73.3,4.16,81.4,3.30,-1.60,76.8,1.39,-7.33,-2.5,-14.3
398,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,984,84.6,77.8,90.0,91.7,12.2,-8.1,-29.6,11.7,2327.1,2913.0,23.4,72.1,5.13,82.8,2.63,-1.28,76.6,1.18,-6.71,-2.1,-13.0
399,1286473472,H. Alexander,Hunter Alexander,Alexander,Hunter,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,20,1233,84.6,77.4,90.1,92.7,12.6,-1.3,-32.9,6.9,2396.1,3206.5,-19.9,70.5,5.35,83.8,-2.02,-0.90,77.8,-2.25,-6.92,4.4,-13.7
400,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,1341,84.5,76.6,91.0,93.1,14.4,1.1,-32.0,7.6,2273.0,2742.2,-17.7,69.5,6.15,84.3,-1.76,-0.73,77.0,-1.55,-6.70,2.9,-13.0
401,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,1368,84.5,77.5,88.9,91.3,11.4,5.9,-26.2,13.2,2122.3,2940.0,-11.3,73.2,5.83,84.4,-1.72,-1.42,77.2,-0.65,-6.33,1.2,-12.4
402,1191447040,J. Shineflew,Jaxon Shineflew,Shineflew,Jaxon,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,15,1011,84.5,77.0,90.0,92.4,13.0,-7.1,-26.2,14.9,2209.7,2749.8,27.1,77.4,5.28,82.9,2.88,-2.06,76.6,1.61,-6.91,-3.0,-13.3
403,1281908992,A. Nigut,Alec Nigut,Nigut,Alec,P,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,L,14,1021,84.5,78.0,89.0,91.0,11.0,-2.7,-29.5,10.2,2200.5,2648.9,21.4,68.9,5.82,84.0,2.11,-0.89,77.2,1.62,-6.36,-3.1,-12.4
404,1254189056,N. Rizzo,Nicholas Rizzo,Rizzo,Nicholas,P,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,19,953,84.5,76.5,89.3,92.8,12.8,-9.0,-34.2,7.3,2255.7,2619.1,19.0,65.2,5.21,82.5,2.37,-0.44,76.4,0.77,-6.70,-1.3,-13.0
405,1106733824,C. Roberts,Cole Roberts,Roberts,Cole,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,13,1077,84.5,78.2,90.9,93.4,12.8,4.2,-23.4,16.4,2062.0,2621.3,-14.5,69.4,5.88,83.9,-1.81,-1.41,76.9,-1.06,-5.82,2.0,-11.3
406,1310893568,C. Plummer,Caden Plummer,Plummer,Caden,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,14,1007,84.5,79.0,90.0,92.3,11.0,5.8,-37.5,3.9,2008.3,2490.5,-18.9,60.4,4.82,82.2,-2.30,0.16,77.1,-1.28,-6.63,2.3,-13.1
407,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,1152,84.5,78.0,89.9,92.0,11.9,12.2,-29.2,10.6,2359.4,2663.8,-23.6,63.2,5.76,84.4,-3.18,-0.54,76.6,-1.00,-6.01,1.7,-11.7
408,1505725733,R. Gaber,Reese Gaber,Gaber,Reese,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,978,84.5,79.1,89.0,91.9,9.9,-10.0,-32.0,8.2,2095.7,2507.6,5.6,68.6,5.66,83.5,1.26,-0.64,76.7,-0.53,-6.56,1.2,-12.8
409,1237048064,S. Simon,Sam Simon,Simon,Sam,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,13,970,84.5,78.3,88.6,90.4,10.3,4.4,-28.0,10.8,2172.4,2382.5,-17.8,73.8,6.24,84.6,-2.27,-1.30,77.7,-1.47,-6.53,2.9,-12.9
410,1421915542,C. Torres,Chris Torres,Torres,Chris,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,L,17,1320,84.5,76.5,90.2,94.0,13.7,-0.7,-31.7,9.9,2346.4,2892.3,12.4,66.5,5.10,82.4,1.12,-0.70,76.6,0.98,-6.50,-1.8,-12.6
411,1239091969,J. Schaeffer,Jared Schaeffer,Schaeffer,Jared,P,University of Akron,AKR,540536064,Akron,BBC,R,R,14,1325,84.4,79.0,91.0,92.7,12.0,6.2,-32.1,8.6,2190.3,2827.5,-12.5,71.7,5.49,83.2,-1.70,-1.22,76.7,-0.58,-7.12,1.0,-13.9
412,1184457216,S. Dutton,Samuel Dutton,Dutton,Samuel,P,Auburn University,AUB,5466,Auburn,BBC,L,R,16,1373,84.4,71.2,92.9,95.1,21.6,-0.2,-37.5,3.8,2529.3,3048.3,-6.4,69.6,5.45,83.1,-0.73,-0.22,77.5,-0.75,-7.07,1.3,-13.7
413,1604541126,T. Hillen,Trent Hillen,Hillen,Trent,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,1239,84.4,78.0,89.7,93.0,11.7,4.0,-31.1,9.3,2252.1,2670.7,-23.5,73.1,5.76,83.4,-2.46,-1.54,76.7,-1.74,-7.29,3.2,-14.2
414,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,1283,84.4,80.0,89.1,90.3,9.1,-0.7,-33.7,6.3,2014.3,2566.9,16.9,68.1,5.84,83.7,1.52,-0.64,76.7,1.39,-6.88,-2.7,-13.4
415,1237026048,N. Millikan,Noah Millikan,Millikan,Noah,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,12,978,84.4,76.5,89.8,91.8,13.3,4.8,-34.1,5.0,2190.8,2707.2,-25.3,65.8,6.58,85.0,-2.63,-0.35,76.7,-1.76,-6.74,3.2,-13.2
416,1342166619,A. Castro,Alessandro Castro,Castro,Alessandro,P,University of Nevada,NEV,4784,Nevada,BBC,L,L,15,1216,84.4,77.3,88.9,92.4,11.6,-8.3,-32.4,7.7,2187.9,2577.7,26.9,63.6,5.51,83.2,2.78,-0.32,77.5,1.29,-6.28,-2.5,-12.4
417,1330492928,R. Long,Richard Long,Long,Richard,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,1346,84.4,79.0,89.9,92.0,10.9,3.7,-31.4,9.9,2320.5,3432.8,-32.5,72.8,5.20,82.8,-3.61,-0.98,76.5,-2.95,-6.74,5.6,-13.1
418,1320920832,J. Volini,Joey Volini,Volini,Joey,P,Florida State University,FSU,101,Florida State,BBC,L,L,16,1340,84.4,77.3,90.5,93.0,13.2,-3.8,-37.2,3.1,2213.5,2966.3,12.9,72.6,5.76,83.5,1.67,-0.62,76.9,0.98,-7.45,-1.8,-14.5
419,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,1229,84.3,78.6,88.0,90.2,9.3,6.7,-32.2,7.3,2085.8,2395.3,-19.2,65.9,6.14,84.1,-2.32,-0.34,76.7,-1.10,-6.34,2.0,-12.4
420,1277191168,M. Dalquist,Matthew Dalquist,Dalquist,Matthew,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,14,1263,84.3,75.3,90.0,93.0,14.7,2.5,-30.8,9.8,2372.6,2673.6,-12.5,66.9,5.50,83.2,-1.49,-0.91,76.8,-1.04,-6.59,1.9,-12.8
421,1238871552,J. Newell,Josh Newell,Newell,Josh,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,15,1229,84.3,79.3,89.5,92.8,10.2,8.9,-30.0,9.3,2065.8,2486.6,-20.9,64.4,5.82,84.4,-2.73,-0.61,77.4,-1.14,-6.19,2.0,-12.2
422,1160848648,M. Kouser,Matthew Kouser,Kouser,Matthew,P,Northwestern University,NW,730247680,Northwestern,BBC,R,R,15,1116,84.3,78.1,89.6,92.8,11.6,8.9,-31.5,8.3,2269.1,2817.2,-22.6,70.8,5.99,83.8,-2.81,-1.14,77.0,-1.20,-6.98,2.2,-13.7
423,1296521728,K. Segel,Kaden Segel,Segel,Kaden,P,University of Portland,PORT,730360320,Portland,BBC,R,R,21,1029,84.3,79.0,89.8,91.8,10.8,10.9,-32.2,7.7,2097.9,2352.0,-25.0,64.7,5.90,83.7,-3.25,-0.55,76.7,-1.29,-6.52,2.4,-12.7
424,1248478720,N. Parache,Nuno Parache,Parache,Nuno,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,13,835,84.3,77.8,90.0,93.0,12.2,8.1,-28.9,11.3,1972.0,2502.6,-19.2,67.3,5.83,83.5,-2.46,-0.76,76.7,-1.00,-6.15,1.8,-11.9
425,1092652800,J. Johnson,Jeb Johnson,Johnson,Jeb,P,Mercer University,MER,730240512,Mercer,BBC,R,R,21,993,84.3,79.6,90.0,92.5,10.4,4.7,-37.9,2.5,2170.8,2848.0,-14.5,61.5,5.55,83.1,-1.64,-0.09,76.9,-0.78,-7.04,1.4,-13.8
426,1568921580,B. Cassedy,Brandon Cassedy,Cassedy,Brandon,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,1318,84.3,75.5,89.8,93.1,14.3,-3.6,-28.2,11.0,2343.9,2737.0,-6.3,67.5,6.21,84.5,-0.16,-0.92,77.3,-0.80,-6.18,1.5,-12.0
427,1238278144,R. Bassinger,Reese Bassinger,Bassinger,Reese,P,West Virginia University,WVU,5327,West Virginia,BBC,R,R,30,985,84.3,79.0,89.7,93.1,10.7,6.9,-37.9,2.5,2185.1,2598.4,-35.6,55.7,5.60,83.2,-3.94,0.86,76.9,-2.76,-6.06,5.2,-11.9
428,1310349568,H. Bodendorf,Harrison Bodendorf,Bodendorf,Harrison,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,L,17,1520,84.3,78.1,90.7,94.0,12.6,-12.5,-34.9,5.9,2145.0,2560.1,41.3,67.0,5.59,83.1,4.49,-0.58,76.7,2.26,-7.00,-4.2,-13.6
429,1198297344,T. Perry,Tanner Perry,Perry,Tanner,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,16,1239,84.3,75.6,90.8,92.8,15.1,-2.9,-32.1,7.1,2300.3,3493.8,-18.2,70.7,6.58,84.5,-1.45,-0.75,77.0,-1.98,-6.75,3.8,-13.1
430,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,967,84.3,78.7,89.2,92.0,10.5,11.0,-36.5,3.5,1969.9,2544.7,-22.4,61.9,5.88,83.4,-2.84,0.39,76.6,-0.87,-6.37,1.6,-12.5
431,1303446784,C. Clarke,Collin Clarke,Clarke,Collin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,13,1060,84.3,78.5,89.9,92.0,11.4,11.0,-29.6,10.5,2149.8,2578.8,-24.1,68.5,5.94,83.7,-3.24,-1.11,76.4,-1.27,-6.64,2.3,-12.9
432,1136097280,A. Stanley,Andrew Stanley,Stanley,Andrew,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,17,1200,84.2,79.0,89.9,92.7,11.0,5.2,-30.9,8.1,2233.9,2554.0,-23.9,64.8,6.58,84.6,-2.60,-0.73,76.6,-1.65,-6.54,3.1,-12.8
433,1187058176,D. Stewart,Dylan Stewart,Stewart,Dylan,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,14,994,84.2,75.0,89.0,90.6,14.1,4.7,-27.4,12.0,2135.2,2427.5,-14.0,78.0,6.54,84.6,-1.84,-1.89,76.6,-0.97,-7.05,1.8,-13.6
434,1488546413,L. Meyers,Luke Meyers,Meyers,Luke,P,Washington State University,WSU,4505,Washington State,BBC,R,R,15,1136,84.2,77.1,90.0,92.1,12.9,9.2,-32.8,8.3,2190.5,2738.9,-10.6,70.6,5.29,82.5,-1.95,-0.84,76.8,-0.30,-6.85,0.4,-13.3
435,1065548722,A. Laine,Avery Laine,Laine,Avery,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,17,1118,84.2,78.0,90.4,92.7,12.4,9.4,-29.0,10.5,2223.8,2641.8,-16.2,73.2,6.45,84.4,-2.21,-1.36,76.4,-0.50,-6.82,0.8,-13.2
436,1296173568,J. Kelley,Jack Kelley,Kelley,Jack,P,University of Akron,AKR,540536064,Akron,BBC,R,R,12,926,84.2,80.0,88.3,90.4,8.3,8.6,-28.7,11.3,2054.8,2332.4,-17.6,68.8,5.79,83.4,-2.57,-1.24,76.7,-1.04,-6.58,1.9,-12.8
437,1468279426,B. Smith,Ben Smith,Smith,Ben,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,1025,84.2,78.7,88.7,92.3,10.0,11.2,-32.0,8.9,1914.9,2278.4,-25.6,72.2,5.57,82.7,-3.21,-1.09,76.6,-1.22,-6.98,2.2,-13.6
438,1207768064,B. Mikos,Brandon Mikos,Mikos,Brandon,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,14,1023,84.2,77.1,89.8,91.5,12.7,7.1,-29.4,11.1,2107.6,2462.7,-13.7,70.8,5.62,82.8,-2.23,-1.65,76.2,-0.65,-6.39,1.0,-12.3
439,1162538496,C. Lockwood,Connor Lockwood,Lockwood,Connor,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,1434,84.2,79.8,88.5,90.8,8.7,8.2,-31.2,8.5,2368.6,2851.0,-10.5,71.1,6.11,83.9,-1.64,-0.99,76.6,-0.15,-6.81,0.2,-13.3
440,1184585728,L. Jurecka,Landry Jurecka,Jurecka,Landry,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,15,1281,84.1,76.9,90.0,94.0,13.1,12.7,-35.2,4.7,2232.9,2804.3,-26.3,61.5,6.53,83.9,-3.37,-0.21,76.1,-1.07,-6.80,1.9,-13.2
441,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,24,1069,84.1,75.3,89.0,91.5,13.7,-9.5,-29.9,9.2,2150.8,2738.0,30.3,63.9,6.38,84.9,3.67,-0.38,77.3,1.69,-5.99,-3.5,-11.7
442,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,998,84.1,75.9,88.1,90.6,12.2,7.5,-28.3,12.8,2235.3,2612.3,-23.0,72.2,5.51,82.7,-3.01,-1.30,76.4,-1.67,-6.53,3.1,-12.6
443,1099879680,D. Banner,Dylan Banner,Banner,Dylan,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,14,1309,84.1,74.3,88.7,90.8,14.4,8.7,-34.0,6.6,1824.8,2152.9,-33.1,61.2,6.15,83.6,-3.67,0.09,75.8,-2.10,-6.26,3.8,-12.0
444,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,1099,84.1,72.0,91.5,94.0,19.5,-1.0,-32.3,8.6,2042.1,2377.5,-27.7,68.4,6.41,84.1,-2.45,-0.77,76.6,-2.62,-6.80,4.9,-13.0
445,1094165504,A. Pingeton,Anthony Pingeton,Pingeton,Anthony,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,15,1208,84.1,79.4,88.2,90.5,8.8,2.5,-35.5,4.2,2092.4,2468.7,-19.2,69.5,6.05,83.7,-1.98,-0.20,76.9,-1.52,-6.77,2.9,-13.3
446,1237056768,C. Hansen,Cole Hansen,Hansen,Cole,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,14,1164,84.1,78.1,88.9,90.2,10.8,5.3,-31.4,9.4,2104.3,2708.6,-20.4,73.6,5.72,83.1,-2.75,-1.38,76.4,-1.81,-7.10,3.4,-13.7
447,1763497799,J. Pfeffer,John Pfeffer,Pfeffer,John,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,26,992,84.0,74.6,91.0,95.0,16.4,1.1,-31.1,9.5,2366.7,2829.8,-24.3,64.9,6.03,83.1,-2.42,-0.66,76.6,-2.22,-6.44,4.1,-12.5
448,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,864,84.0,76.3,88.5,90.2,12.1,7.4,-30.6,9.4,2059.0,2395.5,-17.1,66.2,6.20,83.8,-2.27,-0.68,76.4,-0.93,-6.39,1.6,-12.4
449,1281584640,D. Gonzalez,Daniel Gonzalez,Gonzalez,Daniel,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,946,84.0,75.4,90.1,92.6,14.7,2.4,-32.1,9.4,2150.5,2634.0,-10.4,78.5,5.30,82.5,-1.23,-1.57,76.8,-0.80,-7.43,1.4,-14.3
450,1238171904,A. Cremarosa,Aidan Cremarosa,Cremarosa,Aidan,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,17,1584,83.9,69.6,90.9,93.4,21.3,5.8,-30.4,10.4,2330.2,3146.5,-28.0,71.4,6.17,83.8,-3.16,-1.13,76.5,-2.10,-6.81,3.9,-12.9
451,1018912519,K. Ishikawa,Kenny Ishikawa,Ishikawa,Kenny,TWP,Seattle University,SEA,4504,Seattle,BBC,L,L,19,1104,83.9,74.0,91.2,94.2,17.2,1.3,-33.3,7.2,2272.9,3052.2,19.4,66.6,6.06,83.5,1.72,-0.56,76.8,1.95,-6.74,-3.8,-13.0
452,1273200896,M. Simpson,Max Simpson,Simpson,Max,P,Towson University,TOWS,730318336,Towson,BBC,R,R,17,1080,83.9,78.2,88.6,91.6,10.4,1.8,-29.3,10.1,1939.7,2313.5,-26.4,68.8,6.54,84.3,-2.52,-0.85,76.3,-2.18,-6.36,4.1,-12.3
453,1093040640,T. O'Neill,Tyler O'Neill,O'Neill,Tyler,P,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,12,1227,83.9,73.6,91.4,94.4,17.9,4.6,-31.1,10.0,2377.1,2724.5,-23.2,68.4,5.68,83.0,-2.70,-0.96,76.7,-1.86,-6.69,3.5,-12.9
454,1334313472,R. Kraft,Ryan Kraft,Kraft,Ryan,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,L,20,1013,83.9,73.0,89.6,92.6,16.6,-3.9,-34.9,5.6,2164.8,3137.6,41.7,67.3,6.12,83.6,3.79,-0.16,76.6,3.08,-6.63,-5.8,-12.8
455,1202725632,G. Miller,Griffin Miller,Miller,Griffin,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,15,1408,83.9,78.0,89.5,92.6,11.6,-1.2,-43.6,-2.2,2628.2,3265.0,-26.6,72.2,5.08,82.1,-2.19,0.02,77.0,-2.38,-7.86,4.5,-15.5
456,1742320429,M. Vaisvila,Max Vaisvila,Vaisvila,Max,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,16,1103,83.9,78.1,88.9,91.3,10.8,-15.4,-34.2,8.2,2046.1,2544.0,13.1,62.1,4.95,81.8,2.35,-0.19,75.4,-0.36,-6.46,0.9,-12.4
457,1207792896,W. Ross,Will Ross,Ross,Will,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,999,83.9,77.8,89.0,93.0,11.2,11.7,-31.5,8.9,2201.8,2597.3,-15.8,68.8,5.65,83.2,-2.75,-1.10,76.6,-0.66,-6.93,1.1,-13.5
458,1854940930,H. Deliyannis,Harry Deliyannis,Deliyannis,Harry,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,957,83.9,78.3,89.0,91.1,10.7,10.8,-29.1,12.3,2175.1,3106.1,-13.8,70.2,5.22,82.2,-2.09,-0.88,76.1,-0.18,-6.26,0.2,-12.1
459,1277834240,K. Opanel,Kevin Opanel,Opanel,Kevin,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,14,904,83.9,77.0,88.3,89.7,11.3,3.6,-28.9,12.6,2415.2,2724.7,-28.3,65.7,5.47,82.3,-2.69,-0.69,75.9,-2.05,-6.03,3.8,-11.6
460,1099692544,G. Floyd,George Derrick Floyd,Floyd,George Derrick,P,The Citadel,CIT,730366720,The Citadel,BBC,L,L,14,1095,83.8,77.8,88.7,90.2,10.9,-4.8,-31.4,10.8,2190.0,2694.8,11.4,62.7,4.92,81.6,1.35,-0.51,76.0,0.49,-6.24,-0.8,-12.0
461,1328140800,L. Knight,Logan Knight,Knight,Logan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,15,1339,83.8,80.4,88.2,90.9,7.9,1.2,-35.6,4.3,2451.8,2852.5,-12.8,78.4,5.98,83.2,-1.28,-1.39,77.2,-1.06,-7.94,2.0,-15.6
462,1220043596,B. Panneton,Brian Panneton,Panneton,Brian,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,1184,83.8,75.5,89.8,91.6,14.3,3.9,-35.8,5.2,2147.8,2652.0,-38.6,65.4,5.58,82.7,-3.81,-0.39,76.8,-3.11,-6.96,5.8,-13.5
463,1195586304,E. Chaffee,Evan Chaffee,Chaffee,Evan,P,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,14,1212,83.8,75.2,89.4,91.8,14.2,-10.3,-31.4,8.9,1776.6,2326.4,11.1,69.6,6.16,83.6,1.89,-0.85,76.3,0.03,-6.71,0.1,-12.9
464,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,669,83.8,78.7,87.9,90.5,9.2,3.0,-25.8,15.2,2105.7,2651.0,-3.9,77.7,5.67,82.6,-0.83,-2.06,75.8,-0.29,-6.89,0.5,-13.2
465,1134423040,T. Helmick,Tristan Helmick,Helmick,Tristan,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,849,83.8,78.2,88.3,90.7,10.1,1.0,-37.6,1.8,2429.0,2986.0,-33.7,65.8,6.60,84.2,-3.32,-0.20,76.3,-3.12,-7.22,5.9,-14.1
