Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
322,1263499264,B. Green,Bryan Green,Green,Bryan,P,UC Davis,UCD,730153984,UC Davis,BBC,L,L,15,1311,85.4,77.2,90.2,93.0,13.0,-4.6,-27.2,11.7,2151.5,2453.9,15.1,74.6,5.93,84.9,1.90,-1.41,78.0,0.40,-6.42,-1.8,-12.7
323,1837146158,J. Litman,James Litman,Litman,James,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,15,980,85.3,77.0,91.0,94.0,14.0,9.4,-27.3,11.8,2250.9,2659.8,-25.3,64.0,5.57,84.7,-3.09,-0.83,78.0,-1.41,-5.91,2.6,-11.7
324,1226691328,J. Halford,Jacob Halford,Halford,Jacob,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,23,917,85.3,77.4,91.4,92.7,14.0,4.6,-38.0,1.0,2327.3,3067.2,-16.4,67.2,6.17,85.1,-1.90,0.04,77.6,-1.05,-7.00,1.8,-13.8
325,1179985408,R. Walton,Ryker Walton,Walton,Ryker,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,15,1035,85.3,75.2,90.8,93.4,15.7,4.0,-29.8,9.4,2347.4,3187.9,-19.1,68.3,6.01,84.8,-2.11,-0.80,77.5,-1.39,-6.35,2.6,-12.4
326,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,1108,85.3,78.3,89.4,93.0,11.1,-3.2,-29.8,10.5,2032.2,2347.5,26.4,55.8,6.20,83.3,2.53,0.09,76.1,1.95,-5.49,-3.7,-10.6
327,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,1111,85.3,79.7,89.9,91.8,10.2,7.4,-33.6,5.3,2236.3,2575.2,-43.0,63.0,5.96,84.8,-4.40,-0.45,78.1,-3.07,-6.66,5.9,-13.3
328,1227043072,D. West,Dakoda West,West,Dakoda,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,1028,85.3,76.5,91.0,92.8,14.4,1.2,-32.6,6.4,2174.6,2415.4,-20.5,73.7,6.07,84.8,-2.13,-1.36,78.2,-1.92,-7.38,3.7,-14.6
329,1113138432,J. Steeber,Joe Steeber,Steeber,Joe,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,1092,85.3,80.2,90.4,92.9,10.2,10.1,-33.3,5.5,1948.8,2647.1,-13.4,69.2,5.80,84.7,-2.09,-1.23,78.3,-0.27,-7.36,0.4,-14.7
330,1196329728,A. Perez,Adan Perez,Perez,Adan,P,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,14,1251,85.3,78.1,90.5,92.7,12.4,5.1,-27.1,12.0,2175.2,2461.5,-19.8,69.4,6.12,84.9,-2.52,-1.00,77.3,-1.59,-6.08,3.0,-11.9
331,1243499776,N. Isler,Nate Isler,Isler,Nate,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,10,929,85.2,76.5,90.7,93.1,14.1,4.2,-25.8,13.4,2231.2,2646.8,-17.8,76.5,5.87,85.0,-2.15,-1.78,77.6,-1.40,-6.60,2.6,-12.9
