Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
149,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,23,882,3254,55.3%,48.4%,43.9%,19.8%,17.8%,32.0%,8.7%,78.8%,21.2%
150,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,53,1933,7333,46.2%,48.4%,45.3%,26.6%,26.0%,31.9%,12.1%,78.6%,21.4%
151,1197923072,L. Mock,Logan Mock,Mock,Logan,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,31,1111,4217,46.2%,48.3%,42.7%,24.7%,23.8%,32.3%,10.6%,78.5%,21.5%
152,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,20,524,2036,45.6%,48.3%,41.1%,21.7%,22.9%,29.8%,8.9%,78.8%,21.2%
153,1357578380,J. Lang,Jacob Lang,Lang,Jacob,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,14,359,1215,44.9%,48.3%,46.8%,17.4%,26.5%,28.9%,8.1%,80.6%,19.4%
154,1176354561,S. Mudler,Scott Mudler,Mudler,Scott,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,R,19,655,2588,46.1%,48.3%,46.7%,27.0%,26.1%,30.9%,12.6%,78.7%,21.3%
155,1233722368,D. Contreras,Daniel Contreras,Contreras,Daniel,C,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,52,2080,7513,46.8%,48.3%,42.9%,21.8%,22.4%,31.4%,9.3%,79.4%,20.6%
156,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,37,1391,5636,45.8%,48.3%,43.8%,27.6%,24.8%,31.3%,12.1%,80.3%,19.7%
157,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,7,239,900,44.1%,48.3%,47.5%,26.1%,28.0%,33.0%,12.4%,77.5%,22.5%
158,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,2409,8950,45.9%,48.3%,45.2%,22.5%,26.4%,31.5%,10.2%,79.5%,20.5%
159,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,36,1316,4669,50.0%,48.3%,44.3%,21.3%,22.1%,29.6%,9.4%,76.6%,23.4%
160,1126275584,J. Ramos,Josh Ramos,Ramos,Joshua,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,10,235,909,46.0%,48.3%,39.5%,16.7%,21.6%,29.9%,6.6%,78.7%,21.3%
161,1850462131,C. Kilgore,Cal Kilgore,Kilgore,Cal,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,10,264,1020,42.4%,48.3%,41.9%,21.5%,22.5%,34.5%,9.0%,79.0%,21.0%
162,1167304960,K. Wilkey,Kaleb Wilkey,Wilkey,Kaleb,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,14,334,1284,47.6%,48.3%,45.3%,23.3%,22.3%,28.5%,10.6%,77.1%,22.9%
163,1162314240,C. Dick,Cardel Dick,Dick,Cardel,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,35,1167,4478,47.3%,48.3%,41.9%,19.6%,22.3%,31.4%,8.2%,79.5%,20.5%
164,1097597952,C. Carr,Cade Carr,Carr,Cade,C,Samford University,SAM,730386432,Samford,BBC,R,R,24,919,3573,46.6%,48.3%,42.5%,25.7%,24.2%,33.3%,10.9%,79.1%,20.9%
165,1952447340,J. Cunningan,Josh Cunningan,Cunningan,Josh,C,Seattle University,SEA,4504,Seattle,BBC,L,R,10,280,963,45.4%,48.3%,42.8%,18.7%,22.5%,28.5%,8.0%,75.2%,24.8%
166,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,2277,8794,46.4%,48.3%,44.2%,27.1%,26.0%,31.7%,12.0%,78.9%,21.1%
167,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,38,1289,4192,53.4%,48.2%,46.0%,19.1%,19.0%,31.0%,8.8%,76.1%,23.9%
168,1173787136,S. Feller,Sawyer Feller,Feller,Sawyer,C,Harvard University,HARV,5450,Harvard,BBC,R,R,33,1283,4844,45.8%,48.2%,41.7%,23.7%,23.7%,32.5%,9.9%,77.6%,22.4%
169,1342168089,S. Dux,Shane Dux,Dux,Shane,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,28,930,3369,47.4%,48.2%,42.0%,19.5%,21.7%,31.7%,8.2%,77.1%,22.9%
170,1648774913,A. Raymond,Andrew Raymond,Raymond,Andrew,C,George Mason University,GMU,730265088,George Mason,BBC,L,R,46,1638,6158,47.4%,48.2%,44.1%,23.0%,24.2%,31.4%,10.1%,78.4%,21.6%
171,1306752000,C. Phillips,Cayden Phillips,Phillips,Cayden,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,23,417,1566,44.7%,48.2%,42.8%,25.6%,22.8%,32.0%,10.9%,79.4%,20.6%
172,1100189184,J. Quinlan,Jack Quinlan,Quinlan,Jack,C,Army West Point,ARMY,4744,Army,BBC,R,R,39,1445,5253,45.9%,48.2%,43.6%,20.5%,23.4%,31.9%,8.9%,76.2%,23.8%
173,1218142949,N. Traeger,Nolan Traeger,Traeger,Nolan,C,Texas Christian University,TCU,5045,TCU,BBC,L,R,46,1595,6082,45.1%,48.2%,45.5%,25.7%,27.0%,31.0%,11.7%,80.3%,19.7%
174,1228209408,C. Brown,Colin Brown,Brown,Colin,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,20,690,2596,49.1%,48.2%,43.6%,21.9%,20.6%,30.3%,9.6%,76.5%,23.5%
175,1242499584,O. Carapellotti,Owen Carapellotti,Carapellotti,Owen,C,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,47,1927,6330,47.8%,48.2%,43.9%,18.9%,20.8%,28.5%,8.3%,78.1%,21.9%
176,1245095168,M. Millan,Mauricio Millan,Millan,Mauricio,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,36,1435,5482,45.9%,48.1%,42.9%,23.1%,23.0%,31.3%,9.9%,79.3%,20.7%
177,1202877952,B. Freiter,Bennett Freiter,Freiter,Bennett,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,8,265,1079,46.5%,48.1%,41.1%,16.6%,19.8%,29.2%,6.8%,77.6%,22.4%
178,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,12,414,1608,45.4%,48.1%,45.6%,28.3%,24.9%,33.0%,12.9%,77.8%,22.2%
179,1310653952,J. Wagoner,Jake Wagoner,Wagoner,Jake,C,Seattle University,SEA,4504,Seattle,BBC,R,R,30,1104,4016,46.0%,48.1%,42.5%,18.7%,22.5%,31.6%,8.0%,77.9%,22.1%
180,1205026048,B. Bryan,Brooks Bryan,Bryan,Brooks,C,Troy University,TROY,730378496,Troy,BBC,L,R,52,1938,7299,45.1%,48.1%,45.1%,24.0%,25.4%,31.2%,10.8%,79.3%,20.7%
181,1955934336,C. Smith,Conner Smith,Smith,Conner,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,9,264,1049,46.1%,48.1%,36.4%,21.5%,17.9%,29.2%,7.8%,74.7%,25.3%
182,1605735467,T. Spainhoward,Trevor Spainhoward,Spainhoward,Trevor,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,34,917,3540,45.4%,48.1%,43.0%,26.7%,25.3%,35.1%,11.5%,77.4%,22.6%
183,1262678016,T. Conley,Trevor Conley,Conley,Trevor,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,40,1534,5780,46.5%,48.1%,45.1%,24.7%,26.2%,30.0%,11.1%,78.5%,21.5%
184,1728241540,M. Rose,Mac Rose,Rose,Mac,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,17,559,2242,45.8%,48.1%,43.5%,34.2%,27.3%,33.9%,14.9%,79.8%,20.2%
185,1189162240,E. Holman,Evan Holman,Holman,Evan,C,Old Dominion University,ODU,3090,Old Dominion,BBC,S,R,37,1319,4989,47.1%,48.0%,42.8%,25.1%,24.0%,32.5%,10.8%,78.8%,21.2%
186,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,36,985,3871,45.7%,48.0%,43.1%,26.7%,25.2%,32.5%,11.5%,78.8%,21.2%
187,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,14,381,1510,44.6%,48.0%,44.1%,28.1%,28.3%,29.2%,12.4%,79.0%,21.0%
188,1204947200,M. Klein,Matt Klein,Klein,Matt,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,23,782,3110,44.9%,48.0%,44.3%,29.2%,29.6%,32.4%,12.9%,79.7%,20.3%
189,1272023040,J. Stallcup,John Stallcup,Stallcup,John,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,39,1587,6160,48.6%,48.0%,42.9%,23.0%,20.8%,30.3%,9.9%,77.9%,22.1%
190,1342168338,H. Russell,Houston Russell,Russell,Houston,C,Purdue University,PUR,730353152,Purdue,BBC,R,R,39,1301,4798,46.2%,48.0%,41.4%,21.4%,21.7%,31.4%,8.8%,77.7%,22.3%
191,1183060992,C. Knight,Christian Knight,Knight,Christian,C,Wagner College,WAG,730192640,Wagner,BBC,S,R,20,568,1973,56.3%,48.0%,43.3%,22.2%,13.4%,27.8%,9.6%,76.6%,23.4%
192,1143042816,T. LeCroy,Talmadge LeCroy,LeCroy,Talmadge,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,16,580,2274,45.4%,48.0%,42.7%,28.5%,23.6%,33.1%,12.2%,80.1%,19.9%
193,1432642301,E. Gentil,Evan Gentil,Gentil,Evan,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,24,826,3097,44.8%,48.0%,43.1%,25.4%,24.7%,33.4%,10.9%,78.1%,21.9%
194,1245095267,S. Bond,Sam Bond,Bond,Sam,C,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,20,705,2497,45.2%,48.0%,42.4%,23.6%,24.2%,30.5%,10.0%,75.8%,24.2%
195,1160633344,B. White,Brayden White,White,Brayden,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,52,1854,6851,47.3%,48.0%,42.5%,22.7%,22.5%,32.1%,9.7%,76.7%,23.3%
196,1792689868,X. Farnum,Xavier Farnum,Farnum,Xavier,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,15,435,1633,44.3%,47.9%,42.7%,19.1%,24.4%,30.2%,8.2%,78.0%,22.0%
197,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,48,1742,6772,46.9%,47.9%,44.7%,24.9%,24.2%,31.7%,11.1%,78.6%,21.4%
198,1342167803,T. Tyson,Tagger Tyson,Tyson,Tagger,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,30,893,3526,45.4%,47.9%,40.6%,25.9%,22.1%,29.9%,10.5%,77.9%,22.1%
199,1142992896,C. Spelman,Conner Spelman,Spelman,Conner,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,16,588,2147,51.9%,47.9%,45.2%,22.0%,17.9%,28.1%,9.9%,76.9%,23.1%
200,1336609280,T. Schuyler,TJ Schuyler,Schuyler,TJ,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,32,1034,4065,45.6%,47.9%,43.3%,24.4%,24.4%,29.8%,10.6%,79.8%,20.2%
201,1184447745,H. Hunter,Henry Hunter,Hunter,Henry,C,University of Georgia,UGA,226,Georgia,BBC,L,R,50,1825,7376,46.5%,47.9%,42.4%,30.4%,23.3%,32.4%,12.9%,78.8%,21.2%
202,1337773312,R. Pelletier,Raphael Pelletier,Pelletier,Raphael,C,University of Kentucky,UK,5362,Kentucky,BBC,L,R,19,614,2365,45.7%,47.9%,45.1%,26.6%,25.6%,31.3%,12.0%,78.4%,21.6%
203,1310336256,D. Lanphere,Drew Lanphere,Lanphere,Drew,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,21,639,2460,44.1%,47.8%,42.7%,29.2%,26.3%,31.4%,12.5%,76.9%,23.1%
204,1099941376,B. Markinson,Bennett Markinson,Markinson,Bennett,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,49,1869,7111,46.3%,47.8%,41.8%,18.6%,22.1%,30.2%,7.8%,79.0%,21.0%
205,1306795264,N. Bright,Noah Bright,Bright,Noah,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,24,952,3664,45.0%,47.8%,44.2%,22.3%,25.2%,31.1%,9.9%,79.4%,20.6%
206,1110068480,R. Rickabaugh,RJ Rickabaugh,Rickabaugh,RJ,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,11,314,1203,44.8%,47.8%,44.2%,23.1%,22.3%,30.9%,10.2%,79.6%,20.4%
207,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,1713,6419,44.5%,47.8%,42.9%,22.3%,25.6%,34.3%,9.6%,79.5%,20.5%
208,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,47,1660,6690,45.4%,47.8%,46.7%,33.5%,28.4%,31.2%,15.7%,79.0%,21.0%
209,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,37,1463,5531,45.1%,47.8%,43.5%,21.5%,23.2%,29.9%,9.4%,78.1%,21.9%
210,1362060489,C. Arrambide,Cade Arrambide,Arrambide,Cade,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,31,713,2799,44.8%,47.8%,43.5%,31.3%,24.6%,30.3%,13.6%,78.7%,21.3%
211,1310484992,C. McKenzie,Cooper McKenzie,McKenzie,Cooper,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,25,864,3198,47.7%,47.8%,42.6%,22.0%,22.4%,33.4%,9.4%,77.6%,22.4%
212,1215682743,C. Alexander,Carter Alexander,Alexander,Carter,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,12,507,1958,51.5%,47.8%,44.6%,20.6%,21.7%,30.1%,9.2%,78.9%,21.1%
213,1162558208,N. Chronis,Nate Chronis,Chronis,Nate,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,56,2076,7809,46.2%,47.7%,44.8%,21.3%,25.4%,32.9%,9.5%,78.2%,21.8%
214,1408572322,J. Elliot,John Elliot,Elliot,John,C,University of Southern California,USC,5047,USC,BBC,R,R,29,887,3428,43.8%,47.7%,42.1%,26.6%,24.3%,32.2%,11.2%,78.1%,21.9%
215,1000616073,J. Barnhardt,Joseph Barnhardt,Barnhardt,Joseph,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,15,520,1777,44.2%,47.7%,43.3%,18.9%,24.0%,33.2%,8.2%,77.1%,22.9%
216,1870804725,L. Grantham,Lucas Grantham,Grantham,Lucas,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,10,289,1116,44.6%,47.7%,43.0%,24.8%,24.7%,34.0%,10.7%,79.0%,21.0%
217,1256953344,N. Rivera Flores,Nelson Rivera Flores,Rivera Flores,Nelson,C,Florida International University,FIU,4468,Florida International,BBC,R,R,11,347,1313,44.9%,47.7%,43.1%,26.9%,25.9%,33.5%,11.6%,77.1%,22.9%
218,1145593856,A. Munguia,Austin Munguia,Munguia,Austin,C,Texas State University,TXST,5420,Texas State,BBC,R,R,22,801,3102,44.4%,47.7%,42.2%,24.7%,24.3%,31.1%,10.4%,77.4%,22.6%
219,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,36,1325,4806,51.7%,47.7%,46.1%,19.4%,21.7%,30.5%,9.0%,77.1%,22.9%
220,1153058560,A. Sloan,Andrew Sloan,Sloan,Andrew,C,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,30,1086,4014,47.9%,47.7%,43.6%,20.4%,21.5%,30.9%,8.9%,75.9%,24.1%
221,1072858790,J. Jelic,Jason Jelic,Jelic,Jason,C,Xavier University,XAV,5464,Xavier,BBC,L,R,55,2106,8182,45.0%,47.7%,42.1%,20.8%,22.1%,28.5%,8.8%,79.2%,20.8%
222,1534945533,J. Cote,Josh Cote,Cote,Josh,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,15,497,1852,46.5%,47.7%,41.4%,20.1%,21.2%,31.0%,8.3%,76.8%,23.2%
223,1269401344,J. Dilley,Jacob Dilley,Dilley,Jacob,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,35,1356,5230,45.3%,47.7%,45.4%,26.5%,26.8%,33.7%,12.1%,79.0%,21.0%
224,1336567552,C. Smithwick,Campbell Smithwick,Smithwick,Campbell,C,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,16,572,2301,47.1%,47.6%,44.2%,31.1%,24.8%,30.9%,13.7%,78.7%,21.3%
225,1968991292,M. Conte,Matt Conte,Conte,Matt,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,25,833,3344,44.2%,47.6%,42.1%,30.0%,24.7%,31.6%,12.7%,79.7%,20.3%
226,1237893083,I. Fernandez,Ian Fernandez,Fernandez,Ian,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,17,511,2028,45.5%,47.6%,44.4%,29.1%,28.3%,32.8%,12.9%,80.2%,19.9%
227,1197139488,R. Feliz,Raul Feliz,Feliz,Raul,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,27,772,2858,46.3%,47.6%,45.2%,22.3%,26.4%,33.2%,10.1%,78.2%,21.8%
228,1257439488,L. DiPaolo,Luca DiPaolo,DiPaolo,Luca,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,20,581,2202,45.8%,47.6%,46.5%,26.4%,26.1%,31.2%,12.3%,77.8%,22.2%
229,1327330048,J. Bessette,Jackson Bessette,Bessette,Jackson,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,39,1530,5679,48.5%,47.6%,44.6%,19.4%,21.9%,27.0%,8.6%,77.4%,22.6%
230,1336721062,D. Smith,Derek Smith,Smith,Derek,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,30,1112,4240,43.9%,47.6%,42.7%,22.3%,23.4%,29.1%,9.5%,77.9%,22.1%
231,1283337728,C. Shipley,Casey Shipley,Shipley,Casey,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,40,1618,6112,52.2%,47.6%,45.1%,23.4%,20.2%,30.6%,10.5%,76.1%,23.9%
232,1099877632,J. Keenan,Jimmy Keenan,Keenan,Jimmy,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,41,1378,5516,44.8%,47.6%,42.1%,29.7%,24.4%,31.6%,12.5%,78.7%,21.3%
233,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,50,1935,7599,45.0%,47.6%,45.0%,28.9%,27.4%,32.7%,13.0%,79.3%,20.7%
234,1258255104,R. Tayman,Ryan Tayman,Tayman,Ryan,C,University of California,CAL,730152448,California,BBC,R,R,18,643,2423,45.6%,47.6%,45.9%,27.2%,27.1%,30.4%,12.5%,76.8%,23.2%
235,1615057676,J. Wrubleski,Jake Wrubleski,Wrubleski,Jake,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,11,416,1526,46.7%,47.5%,45.1%,24.0%,24.9%,30.5%,10.8%,77.3%,22.7%
236,1327900928,D. Rivers,Davis Rivers,Rivers,Davis,C,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,27,931,3536,44.9%,47.5%,45.1%,24.7%,26.9%,29.2%,11.1%,79.7%,20.3%
237,1648263484,E. Adkisson,Ethan Adkisson,Adkisson,Ethan,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,29,1153,4056,51.0%,47.5%,43.3%,21.3%,18.2%,29.5%,9.2%,77.2%,22.8%
238,1342169508,N. Quarless,Noah Quarless,Quarless,Noah,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,34,1193,4515,44.3%,47.5%,43.2%,24.5%,25.6%,31.7%,10.6%,78.2%,21.8%
239,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,58,2147,8520,44.3%,47.5%,43.8%,25.6%,24.9%,31.3%,11.2%,77.6%,22.4%
240,1273289728,D. King,Dylan King,King,Dylan,C,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,43,1458,5606,45.1%,47.5%,45.6%,24.9%,26.4%,30.9%,11.3%,77.8%,22.2%
241,1159606016,J. Neff,Jason Neff,Neff,Jason,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,44,1721,6349,44.7%,47.5%,43.8%,22.8%,24.7%,30.0%,10.0%,77.7%,22.3%
242,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,12,366,1372,46.7%,47.4%,44.2%,22.2%,26.3%,32.2%,9.8%,79.3%,20.7%
243,1179417088,M. Aude,Max Aude,Aude,Max,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,R,21,646,2460,45.3%,47.4%,41.8%,21.5%,22.5%,31.1%,9.0%,77.5%,22.5%
244,1039959144,D. Scheumann,DJ Scheumann,Scheumann,DJ,C,Ball State University,BALL,730195456,Ball State,BBC,S,R,12,232,830,51.9%,47.4%,40.2%,29.3%,14.1%,30.9%,11.8%,77.7%,22.3%
245,1171615232,J. Berg,Jake Berg,Berg,Jake,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,43,1718,6471,45.7%,47.4%,43.3%,24.1%,24.3%,28.9%,10.4%,77.8%,22.2%
246,1342170808,G. Bane,Gray Bane,Bane,Gray,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,31,1295,4802,51.7%,47.4%,42.1%,20.0%,15.5%,26.5%,8.4%,75.9%,24.1%
247,1195406592,B. Heckelman,Brian Heckelman,Heckelman,Brian,C,Towson University,TOWS,730318336,Towson,BBC,R,R,45,1515,5578,45.3%,47.4%,43.3%,21.4%,23.5%,31.1%,9.3%,77.2%,22.8%
248,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,46,1882,7090,46.3%,47.4%,43.3%,21.0%,23.1%,31.0%,9.1%,77.5%,22.5%
249,1306866432,C. Duggar,Cashel Duggar,Duggar,Cashel,C,UCLA,UCLA,5048,UCLA,BBC,L,R,54,1937,7505,44.6%,47.4%,42.2%,24.4%,22.6%,30.9%,10.3%,77.7%,22.3%
250,1239285504,G. Fulmer,Garrett Fulmer,Fulmer,Garrett,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,26,990,3640,44.7%,47.4%,43.2%,20.3%,24.4%,32.4%,8.8%,78.3%,21.7%
251,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,46,1622,6132,45.0%,47.4%,43.6%,25.0%,23.6%,31.6%,10.9%,77.6%,22.4%
252,1284013056,H. Helligso,Hogan Helligso,Helligso,Hogan,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,44,1526,5965,44.6%,47.4%,42.0%,22.2%,25.5%,32.7%,9.3%,79.0%,21.0%
253,1223706782,E. Bergan,Ethan Bergan,Bergan,Ethan,C,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,25,926,3440,47.6%,47.4%,39.7%,17.7%,20.4%,31.2%,7.0%,76.7%,23.3%
254,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,47,1671,6652,44.3%,47.3%,40.9%,29.5%,24.7%,34.7%,12.1%,76.5%,23.5%
255,1256876800,C. Price,Connor Price,Price,Connor,C,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,9,316,1028,47.4%,47.3%,39.9%,20.2%,17.6%,31.6%,8.0%,77.4%,22.6%
256,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,31,1087,4143,44.4%,47.3%,42.5%,24.0%,23.5%,30.2%,10.2%,78.6%,21.4%
257,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,40,1471,5470,45.8%,47.3%,42.2%,22.5%,21.6%,31.1%,9.5%,77.7%,22.3%
258,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,33,1247,4497,51.0%,47.3%,39.1%,18.7%,20.4%,30.6%,7.3%,79.6%,20.4%
259,1085399552,K. Pollack,Kyle Pollack,Pollack,Kyle,C,Marist College,MRST,730374656,Marist,BBC,R,R,13,530,1996,48.3%,47.3%,39.5%,23.4%,17.1%,28.4%,9.2%,74.6%,25.4%
260,1267661765,B. Carrothers,Brian Carrothers,Carrothers,Brian,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,13,520,1858,49.6%,47.3%,39.9%,17.2%,16.6%,26.8%,6.9%,74.4%,25.6%
261,1100071168,S. Shaffer,Silas Shaffer,Shaffer,Silas,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,12,440,1640,45.4%,47.3%,42.5%,26.0%,24.2%,27.7%,11.0%,78.0%,22.0%
262,1488159270,R. Tejeda,Richard Tejeda,Tejeda,Richard,C,University of Southern California,USC,5047,USC,BBC,R,R,39,1047,4188,44.7%,47.3%,44.2%,27.6%,25.0%,32.2%,12.2%,77.8%,22.2%
263,1852864419,K. Krill,Kevin Krill,Krill,Kevin,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,6,236,946,47.1%,47.3%,41.8%,26.1%,20.4%,30.0%,10.9%,77.3%,22.7%
264,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,18,546,2168,45.9%,47.3%,42.2%,28.6%,21.9%,30.6%,12.0%,78.0%,22.0%
265,1573222752,B. Short,Brodie Short,Short,Brodie,C,Lindenwood University,LU,730322176,Lindenwood,BBC,L,R,24,802,2845,51.1%,47.3%,46.1%,22.4%,25.3%,31.7%,10.3%,76.6%,23.4%
266,1342170421,D. Perez,Daniel Perez,Perez,Daniel,C,Stetson University,STET,730261504,Stetson,BBC,R,R,29,886,3367,45.5%,47.3%,45.3%,24.5%,25.7%,29.3%,11.1%,78.0%,22.0%
267,1325732096,M. Wolf,Mason Wolf,Wolf,Mason,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,35,1352,5131,49.8%,47.3%,43.7%,21.9%,19.2%,27.3%,9.6%,76.4%,23.6%
