Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
66,1153715200,J. Jarrell,Jacob Jarrell,Jarrell,Jacob,C,Clemson University,CLEM,730358784,Clemson,BBC,R,R,59,2232,8377,46.9%,49.5%,46.0%,25.9%,26.5%,32.8%,11.9%,81.2%,18.8%
67,1310580992,D. Paris,Derek Paris,Paris,Derek,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,32,1055,3646,51.5%,49.5%,45.0%,20.8%,24.3%,32.7%,9.4%,79.5%,20.5%
68,1638210200,L. Moeller,Luke Moeller,Moeller,Luke,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,14,302,1105,48.8%,49.4%,45.9%,22.5%,26.2%,29.6%,10.3%,79.2%,20.8%
69,1087427840,H. Faildo,Hunter Faildo,Faildo,Hunter,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,44,1007,3619,52.6%,49.4%,45.5%,24.5%,24.3%,36.2%,11.1%,79.2%,20.8%
70,1202717696,D. LaPointe,Dylan LaPointe,LaPointe,Dylan,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,32,1131,4301,50.9%,49.4%,46.5%,23.6%,26.3%,32.3%,11.0%,81.9%,18.1%
71,1981580320,S. Christmas,Seth Christmas,Christmas,Seth,C,Liberty University,LIB,730156288,Liberty,BBC,R,R,22,509,1955,46.2%,49.4%,44.6%,29.2%,26.8%,31.7%,13.1%,78.4%,21.6%
72,1306904321,J. Kennett,JJ Kennett,Kennett,JJ,C,Baylor University,BAY,3033,Baylor,BBC,R,R,26,883,3279,46.4%,49.4%,44.8%,24.7%,26.0%,31.6%,11.1%,81.4%,18.6%
73,1310332928,R. Helfrick,Ryder Helfrick,Helfrick,Ryder,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,60,2013,7870,47.1%,49.4%,45.1%,30.3%,26.4%,35.1%,13.7%,79.8%,20.2%
74,1239359232,B. Buecker,Brendan Buecker,Buecker,Brendan,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,33,1215,4160,47.7%,49.3%,44.0%,18.4%,23.1%,30.3%,8.1%,78.6%,21.4%
75,1131572736,C. Sheehan,Cole Sheehan,Sheehan,Cole,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,S,R,11,255,921,46.0%,49.3%,44.0%,19.8%,22.7%,29.1%,8.7%,77.7%,22.3%
