Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
23,1233296853,J. Junnila,Jaxon Junnila,Junnila,Jaxon,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,12,1837,0,5,5,7.16,4.16,238.7%,1.06,0.11
24,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,51,7012,2,24,26,28.07,4.07,117.0%,1.04,0.10
25,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,43,6923,11,19,30,29.06,4.06,116.2%,1.03,0.10
26,1176005632,O. Estabrook,Owen Estabrook,Estabrook,Owen,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,34,4963,3,18,21,22.97,3.97,120.9%,1.01,0.10
27,1310352640,R. Gonzalez,Rudy Gonzalez,Gonzalez,Rudy,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,15,1299,2,8,10,13.96,3.96,139.6%,1.01,0.10
28,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,15,1907,0,7,7,9.96,3.96,166.0%,1.01,0.10
29,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,51,7343,1,32,33,13.87,3.87,138.7%,0.98,0.10
30,1275103488,A. Sengenberger,Aidan Sengenberger,Sengenberger,Aidan,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,44,5766,4,34,38,8.67,3.67,173.4%,0.93,0.09
31,1354382494,W. Smoot,Will Smoot,Smoot,Will,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,2829,3,3,6,8.64,3.64,172.9%,0.93,0.09
32,1257568210,G. Caban,Gregory Caban,Caban,Gregory,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,35,4582,2,15,17,17.46,3.46,124.7%,0.88,0.09
33,1207812352,T. Stockman,Tucker Stockman,Stockman,Tucker,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,55,7283,3,19,22,25.36,3.36,115.3%,0.85,0.09
34,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,11,1585,1,3,4,7.33,3.33,183.3%,0.85,0.08
35,1264275200,L. Pringle,Lucas Pringle,Pringle,Lucas,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,42,6067,4,41,45,45.27,3.27,107.8%,0.83,0.08
36,1561269511,W. Fosberg,Will Fosberg,Fosberg,Will,C,Northeastern University,NE,343,Northeastern,BBC,L,R,26,3445,4,5,9,9.24,3.24,154.1%,0.83,0.08
37,1318575104,S. Pisacreta,Sebastian Pisacreta,Pisacreta,Sebastian,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,27,4260,5,11,16,15.14,3.14,126.2%,0.80,0.08
38,1224924160,J. Cannizzaro,Jack Cannizzaro,Cannizzaro,Jack,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,48,6268,3,27,30,30.13,3.13,111.6%,0.80,0.08
39,1579529771,E. Morales,Efrain Morales,Morales,Efrain,C,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,6,855,0,1,1,3.92,2.92,391.9%,0.74,0.07
40,1914298599,K. Crisp,Kyle Crisp,Crisp,Kyle,C,Radford University,RAD,730267392,Radford,BBC,S,R,6,949,0,1,1,3.81,2.81,381.3%,0.72,0.07
41,1858822691,M. Young,Michael Young,Young,Michael,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,10,955,0,2,2,3.78,2.78,377.6%,0.71,0.07
42,1080800768,Z. Rogacki,Zach Rogacki,Rogacki,Zach,C,Binghamton University,BING,730155776,Binghamton,BBC,L,R,25,3502,3,13,16,16.75,2.75,119.6%,0.70,0.07
43,1299566848,K. Amaro,Kristian Amaro,Amaro,Kristian,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,26,3648,4,21,25,5.60,2.60,186.7%,0.66,0.07
44,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,15,1898,2,7,9,7.38,2.38,147.7%,0.61,0.06
45,1162575872,C. Castle,Cortlan Castle,Castle,Cortlan,C,Baylor University,BAY,3033,Baylor,BBC,R,R,35,4603,4,10,14,16.34,2.34,116.7%,0.60,0.06
46,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,37,5006,3,13,16,16.28,2.28,116.3%,0.58,0.06
47,1306795264,N. Bright,Noah Bright,Bright,Noah,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,24,3664,2,9,11,13.21,2.21,120.1%,0.56,0.06
48,1258593024,C. Tallakson,Connor Tallakson,Tallakson,Connor,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,10,852,0,5,5,7.15,2.15,142.9%,0.55,0.05
49,1727942641,S. Alvarez,Salvador Alvarez,Alvarez,Salvador,C,Stetson University,STET,730261504,Stetson,BBC,R,R,42,4582,1,17,18,15.90,1.90,113.5%,0.48,0.05
50,1310976000,I. Collier,Ian Collier,Collier,Ian,C,Texas State University,TXST,5420,Texas State,BBC,R,R,23,3247,2,14,16,16.86,1.86,112.4%,0.47,0.05
51,1168879616,J. DeMucci,Joey DeMucci,DeMucci,Joey,C,Penn State University,PSU,5326,Penn State,BBC,R,R,19,1477,1,4,5,5.82,1.82,145.5%,0.46,0.05
52,1683790219,C. Papetti,Cameron Papetti,Papetti,Cameron,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,28,3970,1,15,16,14.80,1.80,113.8%,0.46,0.05
53,1338271232,M. Toth,Michael Toth,Toth,Michael,C,University of Massachusetts,MASS,5451,UMass,BBC,R,R,28,4158,8,15,23,7.71,1.71,128.5%,0.44,0.04
54,1317308271,Z. Butler,Zac Butler,Butler,Zac,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,14,1273,4,4,8,3.60,1.60,180.2%,0.41,0.04
55,1258255104,R. Tayman,Ryan Tayman,Tayman,Ryan,C,University of California,CAL,730152448,California,BBC,R,R,18,2423,1,8,9,10.58,1.58,117.5%,0.40,0.04
56,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,48,6567,4,24,28,24.52,1.52,106.6%,0.39,0.04
57,1179735808,W. Jesske,Will Jesske,Jesske,Will,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,32,3382,2,10,12,13.49,1.49,112.4%,0.38,0.04
58,1955934336,C. Smith,Conner Smith,Smith,Conner,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,9,1049,0,3,3,4.48,1.48,149.4%,0.38,0.04
59,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,8794,6,30,36,33.45,1.45,104.5%,0.37,0.04
60,1114233856,O. Walewander,Owen Walewander,Walewander,Owen,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,37,5355,2,33,35,29.42,1.42,105.1%,0.36,0.04
61,1956052875,C. Herd,Caleb Herd,Herd,Caleb,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,27,3054,1,14,15,14.34,1.34,110.3%,0.34,0.03
62,1238097920,B. Lummus,Brock Lummus,Lummus,Brock,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,6,750,1,3,4,1.32,1.32,-,0.34,0.03
63,1281184000,W. Perez,Waldie Perez,Perez,Waldie,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,23,2452,1,13,14,12.29,1.29,111.8%,0.33,0.03
64,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,7,900,1,10,11,3.28,1.28,164.1%,0.33,0.03
65,1238208512,D. Maxcey,Dylan Maxcey,Maxcey,Dylan,C,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,35,4718,1,18,19,19.26,1.26,107.0%,0.32,0.03
66,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,55,7231,4,23,27,28.26,1.26,104.7%,0.32,0.03
67,1245161728,L. Moressi,Lorenzo Moressi,Moressi,Lorenzo,C,UTSA,UTSA,730373120,UTSA,BBC,S,R,10,1218,0,2,2,3.19,1.19,159.4%,0.30,0.03
