Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
320,1246857984,B. Jacobs,Ben Jacobs,Jacobs,Ben,P,Arizona State University,ASU,5035,Arizona State,BBC,L,L,16,368,1577,50.0%,1.7%,3.0%,21.4%,8.5%,1.3%,14.2%,0.0%,0.6%,51.7%,45.3%,29.8%
321,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,320,1135,49.9%,0.4%,8.5%,27.3%,2.6%,10.9%,0.4%,0.0%,4.8%,50.3%,41.2%,29.9%
322,1342166856,G. Eddy,Gavin Eddy,Eddy,Gavin,P,University of California,CAL,730152448,California,BBC,R,R,16,265,989,49.9%,0.0%,0.1%,34.0%,11.5%,4.5%,0.1%,0.0%,0.3%,49.9%,50.0%,45.4%
323,1196196955,D. Morrill,Dylan Morrill,Morrill,Dylan,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,17,250,942,49.8%,9.4%,2.2%,32.2%,0.2%,6.1%,0.0%,0.0%,48.0%,59.2%,38.6%,32.4%
324,1236290816,A. Haugh,Aidan Haugh,Haugh,Aidan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,17,333,1354,49.7%,1.6%,0.8%,6.0%,19.1%,22.8%,0.0%,0.0%,0.0%,51.3%,47.9%,25.1%
325,1288366848,K. Straily,Kaden Straily,Straily,Kaden,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,13,344,1139,49.7%,0.0%,0.0%,17.0%,20.5%,12.9%,0.0%,0.0%,85.0%,49.7%,50.3%,37.4%
326,1115370173,H. Bell,Hunter Bell,Bell,Hunter,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,270,860,49.7%,0.0%,0.0%,31.5%,0.0%,18.8%,0.0%,0.0%,82.7%,49.7%,50.3%,31.5%
327,1069409302,Z. Danielson,Zane Danielson,Danielson,Zane,P,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,L,11,253,985,49.6%,0.0%,0.0%,15.4%,5.6%,29.5%,0.0%,0.0%,54.5%,49.6%,50.4%,21.0%
328,1328895488,K. OConnor,Kellen OConnor,OConnor,Kellen,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,16,300,1185,49.5%,1.4%,0.0%,20.7%,1.0%,27.4%,0.0%,0.0%,0.7%,50.9%,49.1%,21.8%
329,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,227,837,49.5%,0.0%,0.1%,31.2%,2.4%,16.7%,0.0%,0.0%,0.1%,49.5%,50.4%,33.6%
330,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,350,1429,49.5%,0.0%,0.6%,3.4%,13.4%,33.2%,0.0%,0.0%,2.7%,49.5%,49.9%,16.8%
331,1239087872,T. Bremner,Tyler Bremner,Bremner,Tyler,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,310,1257,49.5%,0.3%,0.0%,16.4%,0.3%,33.4%,0.0%,0.1%,7.4%,49.7%,50.3%,16.8%
332,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,379,1131,49.5%,0.4%,0.0%,31.1%,2.5%,16.6%,0.0%,0.0%,75.0%,49.8%,50.2%,33.6%
333,1262862080,C. Morgan,Chase Morgan,Morgan,Chase,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,13,270,1066,49.4%,1.3%,0.0%,7.6%,22.0%,19.6%,0.0%,0.0%,0.0%,50.8%,49.2%,29.6%
334,1488546413,L. Meyers,Luke Meyers,Meyers,Luke,P,Washington State University,WSU,4505,Washington State,BBC,R,R,15,290,1136,49.4%,0.0%,6.0%,15.0%,11.0%,18.6%,0.0%,0.1%,3.0%,49.4%,44.6%,26.0%
335,1330098688,M. Negrete,Mikiah Negrete,Negrete,Mikiah,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,15,366,1330,49.4%,0.1%,0.0%,44.1%,0.2%,6.2%,0.2%,0.0%,0.1%,49.4%,50.6%,44.2%
336,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,1283,49.4%,0.4%,1.7%,26.6%,0.0%,21.5%,0.4%,0.0%,81.8%,49.8%,48.5%,26.6%
337,1404806932,E. Young,Ethan Young,Young,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,23,303,1206,49.3%,3.9%,4.5%,25.3%,6.6%,5.0%,5.4%,0.0%,0.0%,53.2%,42.3%,31.9%
338,1136816896,T. Brachbill,Ty Brachbill,Brachbill,Ty,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,14,351,1321,49.3%,0.2%,0.0%,32.4%,7.6%,10.6%,0.0%,0.0%,17.0%,49.5%,50.5%,40.0%
339,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,876,49.3%,16.7%,1.0%,22.7%,9.9%,0.5%,0.0%,0.0%,76.8%,66.0%,33.0%,32.5%
340,1085390592,D. Brown,Dylan Brown,Brown,Dylan,P,Old Dominion University,ODU,3090,Old Dominion,BBC,R,L,15,358,1373,49.3%,1.5%,0.2%,26.9%,0.0%,22.2%,0.0%,0.0%,16.5%,50.7%,49.1%,26.9%
341,1263423232,J. Lloyd,Jaxon Lloyd,Lloyd,Jaxon,P,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,16,285,1094,49.2%,0.1%,0.2%,29.7%,4.1%,16.6%,0.0%,0.0%,24.0%,49.3%,50.4%,33.8%
342,1251441152,W. Rogers,Will Rogers,Rogers,Will,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,23,260,945,49.2%,3.6%,18.7%,8.3%,12.6%,5.1%,0.0%,0.5%,0.4%,52.8%,28.5%,23.4%
343,1239205376,M. Van Alstine,Marcus Van Alstine,Van Alstine,Marcus,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,22,270,997,49.2%,4.3%,0.1%,26.1%,0.0%,19.6%,0.0%,0.6%,7.0%,53.5%,46.4%,26.8%
344,1306777856,C. Shaw,Colton Shaw,Shaw,Colton,P,Yale University,YALE,730334464,Yale,BBC,R,R,12,329,1249,49.1%,7.8%,0.1%,20.6%,2.0%,20.3%,0.0%,0.0%,1.4%,56.9%,43.0%,22.7%
345,1153411840,J. Radel,Jack Radel,Radel,Jack,P,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,13,289,1090,49.1%,0.3%,7.9%,31.6%,5.7%,5.4%,0.0%,0.0%,0.6%,49.4%,42.7%,37.3%
346,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,368,1362,49.1%,7.3%,0.2%,13.8%,6.3%,23.3%,0.0%,0.0%,8.6%,56.4%,43.5%,20.2%
347,1713704850,T. Patterson,Tripp Patterson,Patterson,Tripp,P,University of North Alabama,UNA,730266624,North Alabama,BBC,L,L,15,373,1356,49.1%,3.4%,0.0%,6.6%,4.1%,36.8%,0.0%,0.0%,41.1%,52.4%,47.6%,10.8%
348,1742320429,M. Vaisvila,Max Vaisvila,Vaisvila,Max,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,16,304,1103,49.0%,5.4%,0.0%,16.6%,2.4%,26.6%,0.0%,0.0%,15.9%,54.4%,45.6%,19.0%
349,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,315,1099,49.0%,0.0%,11.0%,25.8%,11.4%,2.1%,0.7%,0.0%,38.7%,49.0%,40.1%,37.2%
350,1131526490,F. Romano,Frederick Romano,Romano,Frederick,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,12,286,969,48.9%,1.8%,2.0%,12.2%,27.3%,7.8%,0.0%,0.0%,41.8%,50.7%,47.3%,39.5%
351,1184713472,C. Fang,Callan Fang,Fang,Callan,P,Harvard University,HARV,5450,Harvard,BBC,L,R,11,280,1045,48.9%,0.0%,1.6%,11.8%,22.3%,12.7%,2.8%,0.0%,9.8%,48.9%,49.5%,34.0%
352,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,315,1307,48.9%,0.0%,1.9%,26.8%,3.9%,6.3%,0.3%,11.9%,8.4%,48.9%,49.2%,42.7%
353,1196797696,D. Lally Jr.,David Lally Jr.,Lally Jr.,David,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,15,328,1224,48.8%,1.7%,12.8%,13.1%,10.5%,11.9%,0.0%,1.0%,1.1%,50.5%,36.7%,24.8%
354,1232208640,L. McCollough,Luke McCollough,McCollough,Luke,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,13,335,1219,48.8%,3.0%,1.9%,27.9%,9.7%,8.7%,0.0%,0.0%,0.0%,51.8%,46.3%,37.6%
355,1993201465,M. Banks,Max Banks,Banks,Max,P,University of Washington,WASH,3110,Washington,BBC,R,R,13,311,1219,48.8%,0.1%,5.5%,18.5%,8.7%,16.7%,0.0%,1.6%,0.5%,48.9%,45.6%,28.9%
356,1082443399,C. Moak,Clint Moak,Moak,Clint,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,282,989,48.8%,5.0%,2.3%,36.0%,5.0%,3.0%,0.0%,0.0%,4.2%,53.7%,43.9%,41.0%
357,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,391,1365,48.8%,2.3%,0.0%,11.5%,18.9%,18.5%,0.0%,0.0%,9.1%,51.1%,48.9%,30.4%
358,1207755520,J. Gehring,Jacob Gehring,Gehring,Jacob,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,12,291,1089,48.7%,0.0%,0.0%,33.2%,0.0%,18.1%,0.0%,0.0%,48.9%,48.7%,51.3%,33.2%
359,1311140864,B. Pendley,Brady Pendley,Pendley,Brady,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,16,289,1041,48.6%,0.1%,2.2%,31.9%,14.4%,2.7%,0.0%,0.0%,0.4%,48.7%,49.0%,46.3%
360,1211049217,K. Pallares,Kenji Pallares,Pallares,Kenji,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,15,309,1216,48.6%,0.3%,6.9%,13.7%,14.1%,16.3%,0.0%,0.1%,0.4%,48.9%,44.2%,27.9%
361,1296173568,J. Kelley,Jack Kelley,Kelley,Jack,P,University of Akron,AKR,540536064,Akron,BBC,R,R,12,248,926,48.5%,1.2%,4.8%,20.2%,11.6%,13.7%,0.0%,0.0%,25.7%,49.7%,45.5%,31.8%
361,1661534629,S. Lavin,Sam Lavin,Lavin,Sam,P,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,289,1116,48.5%,0.2%,15.5%,10.4%,20.2%,1.6%,3.6%,0.0%,7.5%,48.7%,35.8%,30.5%
363,1392733460,J. Sperry,Joe Sperry,Sperry,Joe,P,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,20,243,881,48.5%,8.6%,18.2%,19.3%,0.1%,5.2%,0.0%,0.0%,0.1%,57.2%,24.7%,19.4%
364,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,271,864,48.5%,12.0%,0.0%,24.0%,2.7%,12.7%,0.0%,0.0%,6.5%,60.5%,39.5%,26.7%
365,1432381131,B. Lobell,Blake Lobell,Lobell,Blake,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,13,284,999,48.5%,7.2%,1.4%,24.0%,13.2%,5.3%,0.4%,0.0%,3.8%,55.7%,43.0%,37.3%
366,1162060288,T. Hansen,Trevor Hansen,Hansen,Trevor,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,402,1545,48.5%,0.1%,0.2%,4.0%,23.5%,22.9%,0.9%,0.0%,1.7%,48.6%,51.3%,27.5%
367,1269484032,A. Steinhaus,Andrew Steinhaus,Steinhaus,Andrew,P,Radford University,RAD,730267392,Radford,BBC,R,R,20,275,1013,48.4%,24.5%,17.0%,6.8%,0.7%,2.5%,0.0%,0.0%,6.6%,72.9%,10.0%,7.5%
368,1226682112,Z. Taylor,Zane Taylor,Taylor,Zane,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,365,1306,48.4%,0.0%,25.5%,9.9%,6.0%,10.3%,0.0%,0.0%,0.0%,48.4%,26.1%,15.8%
369,1330401536,B. Baker,Bowen Baker,Baker,Bowen,P,Fairfield University,FAIR,730380544,Fairfield,BBC,L,L,16,341,1136,48.4%,0.0%,3.0%,11.2%,6.8%,30.6%,0.0%,0.0%,67.8%,48.4%,48.6%,18.0%
370,1335271936,E. Norby,Ethan Norby,Norby,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,L,18,368,1388,48.3%,3.2%,8.1%,30.1%,0.2%,10.1%,0.0%,0.0%,0.0%,51.5%,40.4%,30.3%
371,1521413935,C. Linn,Conner Linn,Linn,Conner,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,301,1073,48.3%,0.0%,0.3%,27.0%,7.2%,17.3%,0.0%,0.0%,29.8%,48.3%,51.4%,34.1%
372,1288825344,N. Taylor,Nathan Taylor,Taylor,Nathan,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,R,15,373,1395,48.3%,0.4%,0.5%,41.3%,4.5%,5.0%,0.0%,0.0%,0.1%,48.7%,50.8%,45.8%
373,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,242,842,48.3%,0.0%,0.0%,15.9%,10.5%,22.3%,3.0%,0.0%,33.4%,48.3%,51.7%,26.4%
374,1297541376,C. McAnelly,Colter McAnelly,McAnelly,Colter,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,14,400,1478,48.3%,6.5%,10.9%,3.0%,17.2%,13.0%,1.2%,0.0%,1.5%,54.7%,34.3%,20.1%
375,1129687636,G. Garman,Grant Garman,Garman,Grant,P,Oakland University,OAK,5386,Oakland,BBC,L,L,15,370,1405,48.3%,2.5%,0.0%,22.4%,10.1%,16.6%,0.0%,0.0%,16.5%,50.7%,49.3%,32.7%
376,1763497799,J. Pfeffer,John Pfeffer,Pfeffer,John,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,26,264,992,48.2%,2.1%,0.4%,33.8%,7.5%,7.5%,0.3%,0.0%,6.1%,50.4%,49.2%,41.4%
377,1201053184,G. Braunecker,Gavin Braunecker,Braunecker,Gavin,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,15,305,1119,48.2%,6.3%,15.4%,5.0%,0.0%,25.2%,0.0%,0.0%,9.9%,54.5%,30.2%,5.0%
378,1311168256,F. Ciccone,Frank Ciccone,Ciccone,Frank,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,14,331,1193,48.2%,3.7%,0.7%,34.7%,5.3%,7.5%,0.0%,0.0%,4.3%,51.8%,47.5%,39.9%
379,1239369472,K. Reed,Kevin Reed,Reed,Kevin,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,14,338,1221,48.2%,0.0%,15.4%,7.6%,27.1%,1.7%,0.1%,0.0%,2.0%,48.2%,36.5%,34.7%
380,1145349376,C. Poliey,Clayton Poliey,Poliey,Clayton,P,Rider University,RID,730174976,Rider,BBC,R,R,14,278,872,48.1%,1.2%,16.7%,21.0%,6.8%,6.2%,0.0%,0.0%,81.4%,49.4%,34.0%,27.8%
381,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,373,1419,48.1%,0.4%,0.2%,5.8%,2.3%,43.3%,0.0%,0.0%,14.2%,48.5%,51.4%,8.1%
382,1275226481,J. Bauer,Jackson Bauer,Bauer,Jackson,P,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,17,339,1277,48.0%,5.7%,0.0%,14.1%,19.5%,12.5%,0.0%,0.1%,15.7%,53.7%,46.3%,33.7%
383,1162505216,I. May,Ian May,May,Ian,P,UCLA,UCLA,5048,UCLA,BBC,R,L,27,304,1201,48.0%,0.3%,0.0%,26.4%,5.7%,19.5%,0.0%,0.1%,0.2%,48.3%,51.7%,32.2%
384,1207806720,L. Fladda,Luc Fladda,Fladda,Luc,P,Tulane University,TULN,730354176,Tulane,BBC,L,L,15,346,1214,48.0%,0.0%,7.2%,21.2%,0.6%,23.1%,0.0%,0.0%,0.0%,48.0%,44.8%,21.7%
385,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,335,1243,47.9%,5.4%,0.0%,11.0%,0.2%,35.3%,0.0%,0.1%,0.0%,53.3%,46.7%,11.3%
386,1580046011,E. Lay,Ethan Lay,Lay,Ethan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,14,320,1121,47.9%,2.9%,3.9%,13.7%,13.3%,18.2%,0.0%,0.0%,0.1%,50.9%,45.2%,27.0%
387,1228796416,N. McCay,Nic McCay,McCay,Nic,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,15,316,1237,47.9%,4.4%,12.8%,4.1%,17.0%,13.7%,0.1%,0.0%,0.0%,52.4%,34.8%,21.1%
388,1238202112,K. Witherspoon,Kyson Witherspoon,Witherspoon,Kyson,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,16,390,1568,47.9%,0.9%,21.0%,19.0%,8.0%,3.3%,0.0%,0.0%,0.1%,48.8%,30.2%,27.0%
389,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,283,792,47.9%,0.0%,8.2%,20.6%,4.7%,18.7%,0.0%,0.0%,67.6%,47.9%,44.0%,25.3%
390,1236990464,D. Reid,Dominick Reid,Reid,Dominick,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,15,362,1384,47.8%,1.1%,0.1%,8.5%,2.0%,40.4%,0.0%,0.0%,7.8%,48.9%,51.0%,10.6%
391,1311153664,A. Herrmann,Andrew Herrmann,Herrmann,Andrew,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,18,329,1185,47.8%,0.1%,1.0%,26.4%,5.4%,19.3%,0.0%,0.0%,1.3%,47.9%,51.1%,31.8%
392,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,243,801,47.7%,1.3%,1.3%,34.6%,0.1%,2.4%,12.6%,0.0%,1.1%,49.0%,49.7%,34.7%
393,1298785536,M. Kuhle,Max Kuhle,Kuhle,Max,P,James Madison University,JMU,730340096,James Madison,BBC,L,L,19,240,914,47.7%,0.7%,1.8%,14.1%,10.4%,25.4%,0.0%,0.0%,0.0%,48.4%,49.9%,24.5%
394,1004454230,M. Delvecchio,Matthew Delvecchio,Delvecchio,Matthew,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,380,1168,47.6%,22.9%,0.0%,17.1%,0.0%,12.4%,0.0%,0.0%,82.0%,70.5%,29.5%,17.1%
395,1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,16,346,1421,47.6%,0.2%,1.7%,14.9%,21.6%,13.5%,0.0%,0.5%,0.1%,47.8%,50.5%,37.0%
396,1310787840,O. Proksch,Owen Proksch,Proksch,Owen,P,Duke University,DUKE,730336256,Duke,BBC,S,L,19,290,1167,47.6%,0.8%,0.2%,43.6%,0.1%,7.8%,0.0%,0.0%,0.1%,48.4%,51.5%,43.7%
397,1236991744,K. Anderson,Kade Anderson,Anderson,Kade,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,19,481,1922,47.5%,0.1%,0.1%,28.2%,12.0%,12.2%,0.0%,0.0%,0.1%,47.5%,52.4%,40.2%
398,1106733824,C. Roberts,Cole Roberts,Roberts,Cole,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,13,297,1077,47.4%,0.0%,0.0%,28.5%,0.5%,23.6%,0.0%,0.0%,0.0%,47.4%,52.6%,29.0%
399,1854940930,H. Deliyannis,Harry Deliyannis,Deliyannis,Harry,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,290,957,47.4%,0.4%,10.1%,12.2%,3.4%,26.3%,0.0%,0.0%,6.0%,47.9%,42.0%,15.7%
400,1100074752,D. James,David James,James,David,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,13,245,891,47.4%,0.0%,3.0%,37.8%,5.4%,5.2%,1.1%,0.0%,21.7%,47.4%,49.6%,43.3%
401,1310380288,B. Poynter,Bradley Poynter,Poynter,Bradley,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,14,287,915,47.3%,14.4%,1.4%,22.9%,1.9%,12.1%,0.0%,0.0%,23.3%,61.7%,36.9%,24.8%
402,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,15,266,911,47.2%,0.0%,18.9%,6.5%,23.6%,3.8%,0.0%,0.0%,8.2%,47.2%,33.9%,30.0%
403,1334314752,A. Brouwer,Adam Brouwer,Brouwer,Adam,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,310,1111,47.2%,0.2%,11.7%,21.1%,12.1%,4.6%,3.1%,0.0%,19.0%,47.4%,40.9%,33.2%
404,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,321,1111,47.2%,9.9%,0.0%,29.8%,2.5%,10.7%,0.0%,0.0%,57.1%,57.0%,43.0%,32.3%
404,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,425,1340,47.2%,0.0%,0.0%,22.4%,4.9%,25.6%,0.0%,0.0%,72.3%,47.2%,52.8%,27.2%
406,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,301,1121,47.0%,1.2%,0.0%,11.5%,27.8%,12.5%,0.0%,0.0%,55.0%,48.2%,51.8%,39.3%
407,1341380352,R. Martinez,Ryan Martinez,Martinez,Ryan,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,375,1297,47.0%,3.6%,0.0%,12.4%,4.4%,26.8%,5.7%,0.0%,10.9%,50.6%,49.4%,16.8%
408,1099159040,N. Lawson,Nathan Lawson,Lawson,Nathan,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,22,267,1011,47.0%,0.4%,0.4%,23.7%,15.6%,12.9%,0.0%,0.0%,30.8%,47.4%,52.1%,39.3%
409,1162558464,W. Scott,Win Scott,Scott,Win,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,14,328,1113,47.0%,4.0%,0.1%,38.9%,0.5%,9.6%,0.0%,0.0%,14.5%,50.9%,48.9%,39.4%
410,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,18,266,1027,46.9%,0.1%,6.1%,20.2%,24.2%,2.4%,0.0%,0.0%,0.0%,47.0%,46.8%,44.4%
411,1085401856,C. Byers,Carson Byers,Byers,Carson,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,23,320,1167,46.9%,0.0%,13.5%,10.3%,7.3%,22.1%,0.0%,0.0%,8.3%,46.9%,39.6%,17.6%
412,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,13,369,1257,46.8%,0.5%,4.7%,16.0%,5.9%,26.1%,0.0%,0.0%,1.5%,47.3%,48.0%,21.9%
413,1248451072,W. Taylor,William Taylor,Taylor,William,P,Marist College,MRST,730374656,Marist,BBC,R,L,15,329,1172,46.8%,0.3%,2.1%,17.4%,4.6%,28.7%,0.0%,0.0%,72.1%,47.1%,50.8%,22.0%
414,1307648256,J. Cebert,Jack Cebert,Cebert,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,19,268,1037,46.7%,10.3%,14.8%,11.5%,9.0%,7.0%,0.0%,0.6%,1.1%,57.1%,28.1%,21.1%
415,1038792681,M. Brassfield,Mason Brassfield,Brassfield,Mason,P,Texas Christian University,TCU,5045,TCU,BBC,L,L,18,266,1001,46.7%,2.1%,0.0%,43.8%,2.9%,4.6%,0.0%,0.0%,0.0%,48.8%,51.2%,46.7%
416,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,15,277,853,46.6%,0.0%,0.0%,35.0%,16.0%,2.5%,0.0%,0.0%,80.9%,46.6%,53.4%,50.9%
417,1342168472,T. Williams,Tyrell Williams,Williams,Tyrell,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,16,249,948,46.6%,0.8%,0.0%,9.0%,14.6%,29.0%,0.0%,0.0%,0.2%,47.5%,52.5%,23.6%
418,1210149120,S. Pinson,Smith Pinson,Pinson,Smith,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,22,276,1074,46.6%,2.0%,2.1%,11.4%,12.1%,25.9%,0.0%,0.0%,4.7%,48.5%,49.4%,23.5%
419,1136957440,W. Perkins,Wilson Perkins,Perkins,Wilson,P,Davidson College,DAV,730363136,Davidson,BBC,R,R,15,385,1370,46.5%,6.0%,0.2%,20.6%,21.6%,4.4%,0.0%,0.7%,1.8%,52.6%,47.2%,42.8%
420,1310612992,B. Little,Branton Little,Little,Branton,P,Wofford College,WOF,730176512,Wofford,BBC,R,R,16,322,1109,46.4%,5.8%,18.1%,12.8%,0.3%,13.0%,0.0%,3.6%,0.5%,52.2%,29.6%,16.7%
421,1311043840,P. Consigli,Peyton Consigli,Consigli,Peyton,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,13,290,1014,46.4%,0.0%,0.0%,40.2%,9.0%,3.7%,0.6%,0.0%,68.3%,46.4%,53.6%,49.2%
422,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,367,1226,46.4%,13.3%,0.0%,16.3%,4.7%,19.2%,0.0%,0.0%,6.7%,59.7%,40.3%,21.1%
423,1162566912,E. Gonzales,Erick Gonzales,Gonzales,Erick,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,18,387,1317,46.4%,0.0%,0.0%,23.9%,15.7%,14.1%,0.0%,0.0%,32.6%,46.4%,53.6%,39.5%
424,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,350,1339,46.3%,0.0%,0.0%,24.5%,0.4%,28.8%,0.0%,0.0%,0.0%,46.3%,53.7%,24.9%
