Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
244,1166183424,M. Morrissey,M.T. Morrissey,Morrissey,M.T.,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,370,1347,53.2%,2.2%,5.3%,24.2%,0.0%,10.1%,4.9%,0.0%,48.6%,55.4%,39.2%,24.2%
245,1790363222,D. Story,Dylan Story,Story,Dylan,P,High Point University,HP,730321152,High Point,BBC,R,R,15,366,1403,53.2%,0.9%,0.5%,31.2%,0.8%,13.3%,0.0%,0.0%,7.6%,54.2%,45.3%,31.9%
246,1492829743,C. Golden,Cooper Golden,Golden,Cooper,P,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,15,288,1021,53.2%,10.8%,0.1%,22.3%,0.1%,13.5%,0.0%,0.0%,15.3%,63.9%,36.0%,22.4%
247,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,250,916,53.2%,0.0%,0.9%,12.7%,20.6%,12.7%,0.0%,0.0%,24.2%,53.2%,46.0%,33.3%
248,1243071232,B. Haston,Brandon Haston,Haston,Brandon,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,16,369,1161,53.1%,0.0%,0.0%,29.0%,3.9%,14.1%,0.0%,0.0%,37.6%,53.1%,46.9%,32.8%
249,1176124160,T. LaPour,Tommy LaPour,LaPour,Tommy,P,Texas Christian University,TCU,5045,TCU,BBC,R,R,16,376,1464,53.1%,0.9%,0.3%,16.9%,2.1%,25.6%,1.0%,0.0%,0.3%,54.0%,45.7%,19.0%
250,1080345600,N. Valdez,Noel Valdez,Valdez,Noel,P,UC Davis,UCD,730153984,UC Davis,BBC,R,R,21,344,1293,53.0%,0.1%,8.3%,9.7%,3.0%,25.9%,0.0%,0.0%,1.0%,53.1%,38.6%,12.7%
251,1483854437,B. Hamlin,Brendan Hamlin,Hamlin,Brendan,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,18,281,866,53.0%,2.5%,0.0%,20.3%,19.2%,5.0%,0.0%,0.0%,67.6%,55.5%,44.5%,39.5%
252,1225719296,C. Proskey,Calvin Proskey,Proskey,Calvin,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,287,1160,53.0%,0.0%,13.8%,14.4%,7.3%,0.9%,10.6%,0.0%,7.9%,53.0%,33.3%,21.7%
253,1497321367,M. Sipila,Marko Sipila,Sipila,Marko,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,12,322,1226,52.9%,0.1%,1.1%,18.0%,10.6%,14.4%,2.8%,0.0%,0.0%,53.0%,45.8%,28.6%
254,1837146158,J. Litman,James Litman,Litman,James,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,15,258,980,52.9%,0.7%,0.1%,19.8%,2.5%,24.0%,0.1%,0.0%,0.3%,53.6%,46.3%,22.2%
255,1493066280,A. Quezada,Adrian Quezada,Quezada,Adrian,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,11,257,862,52.9%,3.9%,10.8%,17.9%,6.5%,7.9%,0.0%,0.0%,41.2%,56.8%,32.3%,24.5%
256,1296180224,L. Schmidt,Logan Schmidt,Schmidt,Logan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,19,298,1135,52.8%,8.2%,0.6%,21.6%,0.5%,15.9%,0.3%,0.0%,0.1%,61.1%,38.3%,22.1%
257,1310308608,A. Berg,Andrew Berg,Berg,Andrew,P,Army West Point,ARMY,4744,Army,BBC,R,R,15,338,1223,52.7%,1.9%,4.7%,31.7%,4.4%,4.6%,0.0%,0.0%,4.2%,54.6%,40.7%,36.1%
258,1462207411,A. Johnson,Andrew Johnson,Johnson,Andrew,P,University of Southern California,USC,5047,USC,BBC,S,R,22,296,1049,52.7%,0.1%,0.0%,21.7%,15.4%,10.0%,0.0%,0.0%,0.4%,52.8%,47.2%,37.1%
259,1188623261,E. DeRossi,Eli DeRossi,DeRossi,Eli,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,14,307,1040,52.7%,0.2%,0.0%,30.1%,9.5%,7.5%,0.0%,0.0%,47.6%,52.8%,47.2%,39.6%
260,1739007204,B. Weber,Ben Weber,Weber,Ben,P,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,17,347,1321,52.6%,0.3%,10.7%,19.0%,2.0%,14.4%,0.0%,0.9%,10.5%,53.0%,36.4%,22.0%
261,1248478720,N. Parache,Nuno Parache,Parache,Nuno,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,13,240,835,52.6%,0.0%,0.1%,25.9%,6.9%,14.3%,0.1%,0.0%,3.5%,52.6%,47.3%,32.9%
262,1279246592,J. LaBoy,Jorhan LaBoy,LaBoy,Jorhan,P,Alabama State University,ALST,4765,Alabama State,BBC,L,L,17,404,1432,52.6%,0.0%,0.0%,11.9%,19.6%,15.9%,0.0%,0.0%,42.0%,52.6%,47.4%,31.5%
263,1311025920,J. Thomas,Jackson Thomas,Thomas,Jackson,P,University of Washington,WASH,3110,Washington,BBC,R,R,15,325,1195,52.6%,0.0%,1.6%,31.2%,0.2%,14.5%,0.0%,0.0%,0.0%,52.6%,45.9%,31.4%
264,1635844120,T. Schmitt,Tyler Schmitt,Schmitt,Tyler,P,University of Illinois,ILL,730163456,Illinois,BBC,R,R,15,364,1415,52.4%,0.5%,7.3%,11.9%,16.3%,11.5%,0.0%,0.0%,0.1%,52.9%,39.8%,28.2%
265,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,14,305,1005,52.4%,0.2%,6.1%,28.6%,7.1%,5.6%,0.0%,0.0%,5.2%,52.6%,41.3%,35.8%
266,1574122232,A. Ehmke,Aric Ehmke,Ehmke,Aric,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,15,285,1036,52.4%,1.8%,13.4%,8.9%,10.7%,12.8%,0.0%,0.0%,63.1%,54.2%,32.5%,19.6%
