Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
643,1328895488,K. OConnor,Kellen OConnor,OConnor,Kellen,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,16,300,1185,47.3%,21.7%,78.3%,63.4%,37.8%,40.5%,42.9%,28.4%,30.5%,10.3%,3.95,79.3%,20.7%
643,1056444835,M. Smith,Mason Smith,Smith,Mason,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,14,286,1050,44.3%,31.8%,68.2%,59.9%,39.1%,29.0%,42.9%,26.6%,28.0%,14.1%,3.67,77.3%,22.7%
645,1106733824,C. Roberts,Cole Roberts,Roberts,Cole,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,13,297,1077,47.3%,28.9%,71.1%,62.3%,40.5%,30.6%,42.8%,27.0%,28.5%,13.6%,3.63,78.3%,21.7%
646,1150276096,C. Richter,Chase Richter,Richter,Chase,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,28,228,864,43.9%,28.8%,71.2%,62.5%,38.5%,32.7%,42.8%,30.9%,33.2%,12.6%,3.79,79.2%,20.8%
647,1580046011,E. Lay,Ethan Lay,Lay,Ethan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,14,320,1121,47.5%,20.3%,79.7%,65.4%,44.4%,35.3%,42.7%,32.3%,34.1%,9.6%,3.50,78.2%,21.8%
648,1749819658,B. Kimball,Blake Kimball,Kimball,Blake,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,18,338,1219,42.7%,14.2%,85.8%,60.5%,49.0%,36.7%,42.6%,24.5%,31.0%,6.1%,3.61,72.9%,27.1%
649,1288825344,N. Taylor,Nathan Taylor,Taylor,Nathan,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,R,15,373,1395,43.5%,26.0%,74.0%,63.9%,40.4%,33.6%,42.6%,28.4%,36.2%,11.3%,3.74,77.2%,22.8%
650,1152901632,C. Keel,Christian Keel,Keel,Christian,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,266,1005,42.2%,22.9%,77.1%,60.7%,41.7%,35.4%,42.5%,23.1%,32.0%,9.7%,3.78,77.7%,22.3%
651,1279708672,A. Boster,Aaron Boster,Boster,Aaron,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,303,1158,36.3%,20.7%,79.3%,56.1%,44.3%,35.0%,42.4%,17.4%,30.4%,7.5%,3.82,73.6%,26.4%
652,1178715648,S. Heyman,Sam Heyman,Heyman,Sam,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,14,295,1023,47.0%,16.8%,83.2%,61.9%,45.1%,38.0%,42.4%,27.9%,27.6%,7.9%,3.47,78.5%,21.5%
653,1092631296,B. Jones,Brady Jones,Jones,Brady,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,16,314,1197,43.8%,30.3%,69.7%,60.1%,35.5%,34.2%,42.4%,27.0%,29.0%,13.3%,3.81,76.8%,23.2%
654,1092652800,J. Johnson,Jeb Johnson,Johnson,Jeb,P,Mercer University,MER,730240512,Mercer,BBC,R,R,21,270,993,42.2%,22.7%,77.3%,63.6%,45.8%,31.5%,42.3%,29.4%,36.9%,9.6%,3.68,80.2%,19.8%
