Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
1,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,276,601,42.3%,7.5%,92.5%,71.9%,79.9%,12.6%,65.8%,16.9%,37.1%,3.2%,2.18,82.1%,17.9%
2,1292501760,R. Grace,Ranard Grace,Grace,Ranard,P,Southern University,SOU,4767,Southern,BBC,L,L,12,301,1005,48.4%,24.5%,75.5%,65.8%,43.2%,32.3%,62.4%,18.6%,32.0%,11.8%,3.34,83.6%,16.4%
3,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,311,1108,49.1%,21.3%,78.7%,64.9%,41.0%,37.7%,61.5%,16.1%,30.8%,10.5%,3.56,81.0%,19.0%
4,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,323,901,41.7%,17.0%,83.0%,60.2%,55.3%,27.7%,60.7%,9.3%,29.9%,7.1%,2.79,79.8%,20.2%
5,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,244,836,46.3%,15.5%,84.5%,66.3%,46.3%,38.2%,60.3%,20.6%,36.8%,7.2%,3.43,81.4%,18.6%
6,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,275,1012,48.3%,27.6%,72.4%,65.7%,34.4%,38.0%,60.2%,11.2%,33.1%,13.3%,3.68,79.6%,20.4%
7,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,292,983,45.2%,18.0%,82.0%,64.8%,48.4%,33.6%,60.2%,15.3%,35.3%,8.1%,3.37,78.4%,21.6%
8,1079520512,E. Garcia,EJ Garcia,Garcia,EJ,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,21,324,1039,49.9%,14.5%,85.5%,66.8%,51.4%,34.2%,60.1%,22.9%,33.8%,7.2%,3.21,81.3%,18.7%
9,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,359,1063,49.7%,17.8%,82.2%,68.0%,48.7%,33.5%,59.6%,21.9%,33.1%,8.8%,2.96,81.0%,19.0%
10,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,379,1131,43.7%,15.4%,84.6%,63.9%,55.9%,28.7%,59.3%,12.9%,33.8%,6.7%,2.98,78.7%,21.3%
11,1571813435,C. Templeton,Cody Templeton,Templeton,Cody,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,L,13,385,1184,53.6%,19.4%,80.6%,70.5%,47.4%,33.2%,59.2%,28.7%,31.5%,10.4%,3.08,83.6%,16.4%
12,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,15,290,1142,47.9%,24.9%,75.1%,68.5%,34.2%,41.0%,58.9%,25.4%,39.5%,11.9%,3.94,83.4%,16.6%
13,1166183424,M. Morrissey,M.T. Morrissey,Morrissey,M.T.,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,370,1347,48.5%,23.1%,76.9%,64.2%,39.1%,37.8%,58.7%,19.3%,30.5%,11.2%,3.64,80.7%,19.3%
14,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,1014,42.8%,16.1%,83.9%,62.9%,53.9%,30.0%,58.5%,17.6%,29.8%,6.9%,3.11,80.0%,20.0%
15,1052931303,C. Trizuto,Colin Trizuto,Trizuto,Colin,P,Wagner College,WAG,730192640,Wagner,BBC,R,R,15,284,805,47.6%,13.1%,86.9%,64.5%,51.7%,35.2%,58.5%,17.7%,30.1%,6.2%,2.83,79.6%,20.4%
16,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,242,736,45.8%,12.8%,87.2%,63.6%,53.7%,33.5%,58.3%,16.4%,30.7%,5.8%,3.04,82.5%,17.5%
17,1084482817,K. Deverman,Kenton Deverman,Deverman,Kenton,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,12,300,1018,53.5%,18.0%,82.0%,70.6%,43.5%,38.5%,58.2%,25.6%,36.7%,9.6%,3.39,86.7%,13.3%
18,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,289,1014,39.3%,23.4%,76.6%,56.9%,46.5%,30.2%,57.9%,6.5%,28.1%,9.2%,3.51,75.2%,24.8%
19,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,355,1359,44.4%,28.1%,71.9%,62.8%,36.1%,35.8%,57.9%,13.7%,31.5%,12.5%,3.83,80.4%,19.6%
20,1859897718,A. Walsh,Alex Walsh,Walsh,Alex,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,L,16,290,1083,43.6%,20.3%,79.7%,61.5%,43.6%,36.0%,57.7%,11.1%,27.7%,8.9%,3.73,78.5%,21.5%
21,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,315,1099,46.2%,19.3%,80.7%,67.1%,44.1%,36.6%,57.6%,20.1%,36.8%,8.9%,3.49,77.4%,22.6%
22,1276142592,B. Alekson,Ben Alekson,Alekson,Ben,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,16,393,1390,47.3%,20.4%,79.6%,66.8%,41.5%,38.1%,57.6%,22.2%,36.4%,9.6%,3.54,80.2%,19.8%
23,1115370173,H. Bell,Hunter Bell,Bell,Hunter,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,270,860,41.2%,18.6%,81.4%,59.7%,52.0%,29.4%,57.5%,10.0%,30.2%,7.7%,3.19,76.3%,23.7%
24,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,1283,46.1%,17.1%,82.9%,64.4%,45.0%,37.9%,57.5%,17.8%,32.9%,7.9%,3.36,81.4%,18.6%
25,1099879680,D. Banner,Dylan Banner,Banner,Dylan,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,14,388,1309,46.8%,14.8%,85.2%,66.3%,48.5%,36.7%,57.2%,20.9%,35.9%,7.0%,3.37,80.2%,19.8%
26,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,878,33.1%,13.7%,86.3%,56.0%,62.5%,23.7%,56.9%,6.3%,28.9%,4.6%,2.72,77.0%,23.0%
27,1139728640,B. Holland,Brendan Holland,Holland,Brendan,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,L,14,331,1219,49.2%,25.7%,74.3%,64.8%,38.8%,35.5%,56.9%,22.2%,30.6%,12.6%,3.68,80.0%,20.0%
28,1099900160,A. Cabral,Aiven Cabral,Cabral,Aiven,P,Northeastern University,NE,343,Northeastern,BBC,R,R,16,360,1252,54.0%,24.6%,75.4%,70.5%,39.2%,36.2%,56.9%,28.4%,35.9%,13.3%,3.48,83.2%,16.8%
29,1200236800,H. Boncal,Hudson Boncal,Boncal,Hudson,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,14,368,1363,42.1%,18.5%,81.5%,62.7%,43.0%,38.5%,56.9%,15.3%,35.4%,7.8%,3.70,81.0%,19.0%
30,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,261,897,47.2%,18.4%,81.6%,66.3%,46.1%,35.5%,56.9%,19.5%,34.9%,8.7%,3.44,79.7%,20.3%
31,1164663040,F. Morin,Felix Morin,Morin,Felix,P,Canisius College,CAN,730218752,Canisius,BBC,L,L,13,273,897,45.2%,22.0%,78.0%,61.8%,49.9%,28.1%,56.8%,15.7%,29.6%,9.9%,3.29,80.7%,19.3%
32,1183062528,A. Heffernan,Andrew Heffernan,Heffernan,Andrew,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,12,328,864,51.2%,14.7%,85.3%,67.4%,59.5%,25.8%,56.8%,19.3%,31.4%,7.5%,2.63,79.7%,20.3%
33,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,13,317,938,42.1%,11.9%,88.1%,60.3%,61.0%,27.1%,56.6%,9.8%,29.1%,5.0%,2.96,77.6%,22.4%
34,1004454230,M. Delvecchio,Matthew Delvecchio,Delvecchio,Matthew,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,380,1168,45.3%,10.2%,89.8%,62.5%,55.0%,34.8%,56.5%,19.8%,30.7%,4.6%,3.07,81.8%,18.2%
35,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,283,700,42.9%,11.7%,88.3%,61.0%,67.0%,21.3%,56.5%,18.4%,27.6%,5.0%,2.47,79.9%,20.1%
36,1281884928,B. Gaskey,Blake Gaskey,Gaskey,Blake,P,Ohio University,OHIO,730298368,Ohio,BBC,L,R,14,348,1195,43.7%,14.9%,85.1%,63.7%,48.7%,36.4%,56.5%,19.0%,35.1%,6.5%,3.43,80.7%,19.3%
37,1227439427,J. Gottesman,Jordan Gottesman,Gottesman,Jordan,P,Northeastern University,NE,343,Northeastern,BBC,L,L,16,321,1167,49.3%,33.9%,66.1%,66.4%,35.1%,31.0%,56.4%,25.4%,33.8%,16.7%,3.64,81.8%,18.2%
38,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,391,1365,47.8%,19.9%,80.1%,65.6%,46.3%,33.7%,56.3%,21.9%,31.7%,9.5%,3.49,80.8%,19.2%
39,1505049816,J. Sitton,Jacob Sitton,Sitton,Jacob,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,15,359,1282,43.8%,15.7%,84.3%,61.4%,45.7%,38.6%,56.1%,12.5%,29.1%,6.9%,3.57,77.2%,22.8%
40,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,14,383,1168,48.5%,14.5%,85.5%,66.9%,52.3%,33.2%,56.1%,15.9%,33.7%,7.0%,3.05,80.7%,19.3%
41,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,425,1340,44.9%,16.3%,83.7%,62.3%,54.7%,29.1%,56.1%,14.7%,31.0%,7.3%,3.15,79.8%,20.2%
42,1212300033,N. George,Nolan George,George,Nolan,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,21,306,1049,47.0%,21.1%,78.9%,65.2%,46.0%,32.9%,56.1%,20.6%,34.2%,9.9%,3.43,81.0%,19.0%
43,1248451072,W. Taylor,William Taylor,Taylor,William,P,Marist College,MRST,730374656,Marist,BBC,R,L,15,329,1172,47.5%,19.2%,80.8%,64.4%,44.7%,36.1%,56.0%,18.8%,31.2%,9.1%,3.56,78.9%,21.1%
44,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,588,43.2%,11.8%,88.2%,66.9%,74.4%,13.8%,56.0%,17.5%,37.6%,5.1%,2.36,77.7%,22.3%
45,1309474816,C. Leys,Caleb Leys,Leys,Caleb,P,University of Maine,ME,730275840,Maine,BBC,R,L,14,279,1115,44.2%,27.4%,72.6%,62.2%,35.9%,36.7%,55.8%,17.9%,32.2%,12.1%,4.00,80.6%,19.4%
46,1342168337,D. Dean,David Dean,Dean,David,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,17,240,806,48.4%,16.9%,83.1%,64.2%,49.2%,33.8%,55.8%,19.5%,28.0%,8.2%,3.36,78.0%,22.0%
47,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,249,895,47.8%,18.5%,81.5%,65.7%,44.6%,36.9%,55.7%,19.2%,33.8%,8.8%,3.59,78.3%,21.7%
48,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,1234,45.6%,23.3%,76.7%,64.8%,42.3%,34.5%,55.6%,23.5%,33.8%,10.6%,3.43,80.0%,20.0%
49,1311366656,S. Hliboki,Sam Hliboki,Hliboki,Sam,P,Northwestern University,NW,730247680,Northwestern,BBC,L,R,20,369,1359,47.7%,16.7%,83.3%,66.1%,40.6%,42.7%,55.6%,23.7%,35.2%,7.9%,3.68,84.9%,15.1%
50,1226691328,J. Halford,Jacob Halford,Halford,Jacob,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,23,258,917,42.7%,23.2%,76.8%,63.7%,46.4%,30.4%,55.6%,21.6%,36.6%,9.9%,3.55,80.8%,19.2%
51,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,283,792,47.1%,16.4%,83.6%,61.1%,58.2%,25.5%,55.5%,15.8%,25.2%,7.7%,2.80,75.6%,24.4%
52,1220043596,B. Panneton,Brian Panneton,Panneton,Brian,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,331,1184,45.1%,20.2%,79.8%,67.1%,45.7%,34.1%,55.3%,24.7%,39.8%,9.1%,3.58,84.6%,15.4%
53,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,349,1312,49.3%,31.8%,68.2%,67.6%,30.8%,37.4%,55.3%,27.4%,35.5%,15.7%,3.76,79.8%,20.2%
54,1243071232,B. Haston,Brandon Haston,Haston,Brandon,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,16,369,1161,44.0%,16.8%,83.2%,63.2%,51.1%,32.1%,55.3%,14.8%,32.3%,7.4%,3.15,80.7%,19.3%
55,1238157312,O. Kramkowski,Owen Kramkowski,Kramkowski,Owen,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,18,415,1451,51.6%,23.9%,76.1%,69.9%,39.8%,36.3%,55.2%,28.7%,37.7%,12.3%,3.50,86.7%,13.3%
56,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,332,1118,44.0%,16.3%,83.7%,62.9%,50.6%,33.1%,55.2%,19.2%,32.8%,7.2%,3.37,77.2%,22.8%
57,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,372,1368,46.7%,17.8%,82.2%,63.4%,41.5%,40.7%,55.1%,19.5%,30.9%,8.3%,3.68,79.9%,20.1%
58,1191087360,M. Alduino,Matt Alduino,Alduino,Matt,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,20,284,1004,43.3%,17.2%,82.8%,60.2%,43.4%,39.3%,55.1%,17.2%,29.5%,7.5%,3.54,78.0%,22.0%
59,1257441536,K. Montgomery,Kellan Montgomery,Montgomery,Kellan,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,14,353,1257,44.5%,20.2%,79.8%,64.8%,46.0%,33.8%,55.1%,19.4%,36.5%,9.0%,3.56,83.2%,16.8%
60,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,250,916,43.1%,17.5%,82.5%,58.6%,45.6%,37.0%,55.0%,12.7%,27.1%,7.5%,3.66,77.7%,22.3%
61,1334270720,N. Johnson,Nolan Johnson,Johnson,Nolan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,16,373,1456,48.3%,21.5%,78.5%,64.3%,38.0%,40.5%,54.9%,22.1%,30.9%,10.4%,3.90,81.0%,19.0%
62,1296205056,M. Kruzan,Marcus Kruzan,Kruzan,Marcus,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,13,334,1256,42.8%,19.9%,80.1%,62.1%,43.2%,36.9%,54.9%,17.0%,33.8%,8.5%,3.76,77.6%,22.4%
63,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,276,953,52.2%,21.7%,78.3%,70.3%,40.6%,37.6%,54.8%,29.9%,37.9%,11.3%,3.45,84.6%,15.4%
64,1114614016,C. Moore,Chance Moore,Moore,Chance,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,16,334,1158,47.2%,17.0%,83.0%,65.2%,48.0%,35.0%,54.8%,21.2%,32.8%,8.0%,3.47,76.4%,23.6%
65,1489292894,V. Borghese,Vincent Borghese,Borghese,Vincent,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,15,395,1154,44.4%,21.7%,78.3%,65.1%,52.7%,25.6%,54.7%,18.9%,32.9%,9.6%,2.92,76.5%,23.5%
66,1386471821,T. McKinstry,Tyler McKinstry,McKinstry,Tyler,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,14,326,1157,44.9%,23.7%,76.3%,62.4%,44.7%,31.6%,54.7%,18.1%,31.8%,10.6%,3.55,79.7%,20.3%
67,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,761,42.3%,12.1%,87.9%,59.5%,62.1%,25.8%,54.6%,13.8%,29.0%,5.1%,2.98,72.7%,27.3%
68,1199765504,C. Christenson,Charlie Christenson,Christenson,Charlie,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,16,371,1373,44.9%,19.3%,80.7%,65.5%,41.8%,38.9%,54.6%,21.0%,34.8%,8.7%,3.70,78.1%,21.9%
69,1261138697,G. Sentell,Gavin Sentell,Sentell,Gavin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,14,246,915,43.0%,18.3%,81.7%,60.7%,45.0%,36.6%,54.5%,18.2%,31.0%,7.9%,3.72,77.9%,22.1%
70,1184444416,D. Brooks,Daniel Brooks,Brooks,Daniel,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,17,322,1165,50.3%,26.6%,73.4%,66.6%,37.2%,36.2%,54.5%,25.2%,32.7%,13.4%,3.62,83.5%,16.5%
71,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,778,31.9%,10.5%,89.5%,55.1%,73.8%,15.7%,54.5%,5.6%,26.4%,3.3%,2.86,75.6%,24.4%
72,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,317,1152,42.4%,22.5%,77.5%,61.6%,47.1%,30.3%,54.3%,19.2%,31.7%,9.5%,3.63,76.6%,23.4%
73,1238315520,D. Macchiarola,Danny Macchiarola,Macchiarola,Danny,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,16,396,1474,46.3%,22.1%,77.9%,65.2%,39.2%,38.7%,54.3%,22.2%,35.1%,10.2%,3.72,81.7%,18.3%
74,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,669,51.6%,22.6%,77.4%,68.8%,41.2%,36.2%,54.3%,27.9%,34.8%,11.7%,3.35,81.5%,18.5%
75,1081801472,J. Trombley,Joseph Trombley,Trombley,Joseph,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,388,1356,42.8%,17.4%,82.6%,60.3%,51.2%,31.4%,54.3%,13.9%,30.4%,7.4%,3.49,76.2%,23.8%
76,1142659328,K. Sivley,Kros Sivley,Sivley,Kros,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,22,310,1093,47.4%,19.7%,80.3%,66.4%,42.9%,37.5%,54.2%,26.2%,36.2%,9.3%,3.53,82.7%,17.3%
77,1747080880,G. Smith,Griffin Smith,Smith,Griffin,P,Washington State University,WSU,4505,Washington State,BBC,R,R,16,363,1338,46.3%,15.5%,84.5%,64.5%,48.3%,36.2%,54.2%,19.1%,33.8%,7.2%,3.69,82.1%,17.9%
78,1328140800,L. Knight,Logan Knight,Knight,Logan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,15,370,1339,46.8%,22.7%,77.3%,65.6%,42.8%,34.5%,54.2%,23.1%,35.3%,10.6%,3.62,80.7%,19.3%
79,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,15,318,1115,48.0%,21.7%,78.3%,65.3%,43.4%,35.0%,54.2%,23.5%,33.3%,10.4%,3.51,80.7%,19.3%
80,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,351,1185,45.0%,28.9%,71.1%,64.2%,43.5%,27.6%,54.2%,21.2%,34.0%,13.0%,3.38,78.0%,22.0%
81,1683462800,C. McClendon,Calvin McClendon,McClendon,Calvin,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,16,332,985,45.5%,12.7%,87.3%,63.7%,56.5%,30.8%,54.1%,19.0%,31.7%,5.8%,2.97,79.6%,20.4%
82,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,242,842,46.6%,29.8%,70.2%,71.9%,38.5%,31.6%,54.1%,32.2%,45.3%,13.9%,3.48,83.5%,16.5%
83,1307084033,R. Hall,Regan Hall,Hall,Regan,P,University of Illinois,ILL,730163456,Illinois,BBC,L,L,14,303,1056,45.5%,15.6%,84.4%,65.5%,49.3%,35.1%,54.1%,26.8%,36.7%,7.1%,3.49,84.6%,15.4%
84,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,228,767,44.6%,18.4%,81.6%,62.8%,47.1%,34.5%,54.1%,21.0%,32.5%,8.2%,3.36,80.7%,19.3%
85,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,320,1135,47.2%,22.2%,77.8%,66.5%,42.5%,35.3%,53.9%,26.5%,35.9%,10.5%,3.55,83.0%,17.0%
86,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,376,1298,42.7%,19.0%,81.0%,63.5%,46.9%,34.1%,53.9%,19.9%,35.7%,8.1%,3.45,77.3%,22.7%
87,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,293,998,46.1%,16.7%,83.3%,65.7%,45.2%,38.0%,53.9%,20.5%,35.8%,7.7%,3.41,80.0%,20.0%
88,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,267,943,40.7%,13.3%,86.7%,62.3%,50.8%,35.9%,53.9%,23.5%,35.9%,5.4%,3.53,81.2%,18.8%
89,1263546112,K. Braziel,Kewan Braziel,Braziel,Kewan,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,18,306,852,43.8%,8.0%,92.0%,63.2%,63.8%,28.2%,53.9%,14.9%,31.7%,3.5%,2.78,79.0%,21.0%
90,1263546624,D. Thomas,David Thomas,Thomas,David,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,14,343,1158,43.2%,14.0%,86.0%,65.4%,52.0%,34.0%,53.9%,23.5%,38.4%,6.0%,3.38,80.4%,19.6%
91,1238871552,J. Newell,Josh Newell,Newell,Josh,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,15,406,1229,49.1%,15.6%,84.4%,67.1%,53.8%,30.6%,53.8%,22.6%,33.4%,7.6%,3.03,75.7%,24.3%
92,1778873426,C. Duerr,Caleb Duerr,Duerr,Caleb,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,13,277,1011,44.7%,21.5%,78.5%,61.0%,42.0%,36.5%,53.7%,18.1%,28.8%,9.6%,3.65,78.8%,21.2%
93,1172425216,O. Kelly,Owen Kelly,Kelly,Owen,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,15,356,1233,48.6%,21.2%,78.8%,66.8%,39.2%,39.6%,53.7%,26.5%,34.6%,10.3%,3.46,81.4%,18.6%
94,1279513344,A. Rubayo,Andrew Rubayo,Rubayo,Andrew,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,23,276,891,46.7%,12.3%,87.7%,59.8%,54.3%,33.4%,53.7%,12.3%,24.2%,5.7%,3.23,76.6%,23.4%
95,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,243,718,49.7%,17.6%,82.4%,66.2%,52.9%,29.4%,53.7%,27.6%,30.7%,8.8%,2.95,82.2%,17.8%
96,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,321,1111,45.5%,21.4%,78.6%,63.1%,47.3%,31.3%,53.6%,20.5%,32.3%,9.7%,3.46,78.6%,21.4%
97,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,347,1060,42.7%,16.8%,83.2%,59.0%,56.3%,26.9%,53.6%,11.7%,27.2%,7.2%,3.05,73.8%,26.2%
98,1238172160,N. Rodriguez,Noah Rodriguez,Rodriguez,Noah,P,Siena College,SIE,730382592,Siena,BBC,L,R,16,381,1269,49.2%,19.9%,80.1%,64.8%,46.0%,34.1%,53.5%,25.8%,30.2%,9.8%,3.33,78.1%,21.9%
99,1336664320,J. Gilleran,James Gilleran,Gilleran,Jimmy,P,Stonehill College,SC,730238464,Stonehill,BBC,R,R,14,352,1201,43.5%,16.3%,83.7%,62.0%,47.3%,36.4%,53.5%,18.0%,32.1%,7.1%,3.41,73.8%,26.2%
100,1268530176,R. Easterly,Reid Easterly,Easterly,Reid,P,Duke University,DUKE,730336256,Duke,BBC,L,L,37,312,1110,51.4%,24.9%,75.1%,68.7%,38.6%,36.5%,53.5%,31.6%,35.7%,12.8%,3.56,84.9%,15.1%
101,1468279426,B. Smith,Ben Smith,Smith,Ben,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,287,1025,38.7%,21.7%,78.3%,66.1%,51.4%,27.0%,53.5%,24.5%,33.3%,8.4%,3.57,81.3%,18.7%
