Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
27,1218142949,N. Traeger,Nolan Traeger,Traeger,Nolan,C,Texas Christian University,TCU,5045,TCU,BBC,L,R,55,44,6,77.5,1.91,0.78,1.13,2.67,1.9
30,1243869440,N. Wilson,Nolan Wilson,Wilson,Nolan,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,54,32,17,74.9,2.09,0.79,1.27,2.47,2.2
30,1336563968,R. Jackson,Riley Jackson,Jackson,Riley,C,University of Houston,HOU,3030,Houston,BBC,R,R,54,41,1,78.5,1.92,0.87,1.09,2.47,3.1
30,1114233856,O. Walewander,Owen Walewander,Walewander,Owen,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,54,33,13,76.6,1.90,0.72,1.18,2.56,4.6
33,1257423872,P. Goff,Parker Goff,Goff,Parker,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,53,41,4,76.0,1.81,0.74,1.09,1.45,1.7
34,1142070272,R. Lavey,Robbie Lavey,Lavey,Robbie,C,George Washington University,GW,730249216,George Washington,BBC,L,R,52,36,4,81.5,1.96,0.85,1.12,2.10,2.6
35,1109524736,E. Berch,Eli Berch,Berch,Eli,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,51,37,6,76.3,2.00,0.79,1.21,2.06,1.8
35,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,51,35,9,75.1,1.88,0.78,1.09,2.80,4.0
35,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,51,29,6,70.9,2.25,0.90,1.33,2.10,3.3
38,1274288640,V. Lackey,Vahn Lackey,Lackey,Vahn,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,50,36,5,78.9,1.82,0.77,1.05,2.39,2.6
38,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,50,40,6,78.2,1.81,0.72,1.10,2.64,1.5
38,1196803072,L. Poteet,Logan Poteet,Poteet,Logan,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,50,35,10,81.1,1.98,0.79,1.18,2.92,4.5
38,1527324490,N. Biddle,Nick Biddle,Biddle,Nick,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,50,30,10,78.8,1.94,0.80,1.14,2.16,2.7
42,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,48,32,7,77.5,1.94,0.74,1.21,1.63,2.8
43,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,47,32,11,77.8,2.03,0.88,1.12,2.99,3.9
43,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,47,40,5,80.2,1.90,0.82,1.05,2.19,2.6
43,1142594304,H. Thomas,Hunter Thomas,Thomas,Hunter,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,47,29,12,75.8,2.19,0.98,1.17,3.33,3.1
43,1195406592,B. Heckelman,Brian Heckelman,Heckelman,Brian,C,Towson University,TOWS,730318336,Towson,BBC,R,R,47,37,8,76.1,2.05,0.81,1.22,2.76,2.5
43,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Mercer University,MER,730240512,Mercer,BBC,R,R,47,31,7,79.6,1.94,0.78,1.15,1.77,3.1
48,1162009088,B. Neal,Brady Neal,Neal,Brady,C,University of Alabama,ALA,730206976,Alabama,BBC,L,R,46,30,4,75.5,1.92,0.77,1.15,1.84,2.1
48,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,46,36,3,80.2,1.93,0.76,1.15,2.05,0.9
48,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,46,42,2,81.2,1.80,0.80,0.99,2.77,3.0
48,1219227136,K. Evans,Karson Evans,Evans,Karson,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,46,33,9,78.1,1.94,0.86,1.09,3.11,1.8
48,1342168986,S. Lawless,Stone Lawless,Lawless,Stone,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,46,28,9,77.0,1.97,0.75,1.22,2.61,1.7
53,1077600000,J. Hernandez,Jedier Hernandez,Hernandez,Jedier,C,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,45,29,4,77.6,1.89,0.74,1.14,2.03,3.2
53,1269401344,J. Dilley,Jacob Dilley,Dilley,Jacob,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,45,34,7,81.4,1.87,0.81,1.04,2.63,2.2
53,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,45,32,7,84.7,1.93,0.80,1.12,3.14,2.4
53,1176005632,O. Estabrook,Owen Estabrook,Estabrook,Owen,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,45,23,13,77.0,1.82,0.73,1.08,4.27,1.5
53,1878616487,C. Lane,Connor Lane,Lane,Connor,C,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,45,18,8,78.8,2.00,0.84,1.15,2.28,3.2
58,1171615232,J. Berg,Jake Berg,Berg,Jake,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,44,27,11,76.0,2.06,0.82,1.23,1.70,-0.2
58,1272690432,T. Lindwedel,Tony Lindwedel,Lindwedel,Tony,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,44,26,4,75.2,1.97,0.70,1.23,1.64,0.7
60,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,43,33,5,78.0,2.02,0.88,1.13,2.25,2.3
60,1160633344,B. White,Brayden White,White,Brayden,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,43,26,5,76.3,2.03,0.83,1.16,1.83,2.6
60,1196846336,T. McAndrews,Tommy McAndrews,McAndrews,Tommy,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,43,29,4,76.1,2.05,0.80,1.25,0.77,3.6
60,1239308800,J. Clough,Jude Clough,Clough,Jude,C,George Washington University,GW,730249216,George Washington,BBC,R,R,43,19,13,72.3,1.88,0.72,1.15,4.37,3.4
60,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,43,29,4,79.6,1.97,0.89,1.11,2.00,3.3
60,1272023040,J. Stallcup,John Stallcup,Stallcup,John,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,43,19,3,72.6,2.11,0.83,1.27,1.25,2.9
