Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
132,1982748681,H. Travis,Harrison Travis,Travis,Harrison,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,33,17,6,80.4,1.91,0.78,1.12,1.67,3.3
132,1760558112,L. Lively,Lenox Lively,Lively,Lenox,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,33,18,9,70.7,2.16,0.84,1.32,2.73,4.4
144,1281514496,P. Airhart,Parker Airhart,Airhart,Parker,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,32,20,6,75.7,2.00,0.77,1.21,2.50,2.2
144,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,32,25,6,77.8,1.84,0.81,1.02,3.33,3.8
144,1166939904,M. Imhoff,Max Imhoff,Imhoff,Max,C,Yale University,YALE,730334464,Yale,BBC,R,R,32,19,3,76.8,1.91,0.69,1.20,2.59,2.7
144,1215125760,Z. Casebonne,Zackarie Casebonne,Casebonne,Zackarie,C,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,32,16,7,71.3,2.15,0.78,1.37,1.59,3.0
144,1334315264,M. Maloney,Matt Maloney,Maloney,Matt,C,Penn State University,PSU,5326,Penn State,BBC,L,R,32,22,4,72.6,2.15,0.87,1.23,2.78,1.7
144,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,32,24,6,79.0,1.68,0.63,1.06,1.82,3.0
144,1086062848,J. Collura,Jaden Collura,Collura,Jaden,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,32,24,5,68.5,2.01,0.76,1.23,2.36,3.0
144,1508812349,R. Stockton,Rylen Stockton,Stockton,Rylen,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,32,25,5,75.2,1.95,0.79,1.17,3.62,1.0
144,1727942641,S. Alvarez,Salvador Alvarez,Alvarez,Salvador,C,Stetson University,STET,730261504,Stetson,BBC,R,R,32,22,7,72.7,2.02,0.75,1.27,2.76,0.9
144,1432397917,E. Echevarria,Ernie Echevarria,Echevarria,Ernie,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,32,15,7,79.1,1.97,0.75,1.18,1.50,2.8
154,1195516928,C. Matlon,Caden Matlon,Matlon,Caden,C,University of Akron,AKR,540536064,Akron,BBC,R,R,31,23,5,73.8,2.06,0.83,1.22,2.91,4.5
154,1137369344,J. Luetzow,Johnny Luetzow,Luetzow,Johnny,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,31,19,4,76.9,1.92,0.84,1.09,3.49,3.5
154,1238208512,D. Maxcey,Dylan Maxcey,Maxcey,Dylan,C,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,31,22,2,80.9,1.99,0.84,1.15,2.85,2.2
154,1099877632,J. Keenan,Jimmy Keenan,Keenan,Jimmy,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,31,22,5,82.9,1.91,0.80,1.12,1.63,1.0
154,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,31,25,2,80.8,1.99,0.79,1.18,1.90,2.6
154,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,31,15,5,82.5,1.99,0.90,1.12,1.99,1.2
160,1242499584,O. Carapellotti,Owen Carapellotti,Carapellotti,Owen,C,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,30,18,7,80.6,1.96,0.79,1.14,2.77,3.1
160,1152890880,D. ONeill,Dean O'Neill,ONeill,Dean,C,University of Maine,ME,730275840,Maine,BBC,R,R,30,18,1,73.8,2.14,0.77,1.32,2.05,1.6
160,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,30,22,5,83.2,2.04,0.86,1.17,1.77,2.5
160,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,30,19,6,76.0,1.98,0.77,1.17,2.41,1.8
160,1094691072,J. Spyke,Jack Spyke,Spyke,Jack,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,30,21,3,77.4,1.91,0.76,1.13,2.50,2.6
160,1592256711,A. Pyle,Andrew Pyle,Pyle,Andrew,C,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,30,13,11,73.9,1.92,0.79,1.18,3.36,0.7
160,1675650877,I. Armstrong,Ian Armstrong,Armstrong,Ian,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,30,23,2,77.3,1.97,0.87,1.11,2.39,3.4
167,1192951040,R. Acosta,Riley Acosta,Acosta,Riley,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,29,17,8,76.9,1.93,0.77,1.17,3.75,2.3
167,1153058560,A. Sloan,Andrew Sloan,Sloan,Andrew,C,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,29,14,7,75.7,1.94,0.86,1.14,3.18,1.2
167,1328140544,A. Savage,Andrew Savage,Savage,Andrew,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,29,13,10,76.6,2.08,0.82,1.20,3.98,3.8
167,1211548416,J. Schroeder,Jacob Schroeder,Schroeder,Jacob,C,University of Illinois,ILL,730163456,Illinois,BBC,R,R,29,18,7,78.1,1.97,0.84,1.15,3.79,3.2
167,1327900928,D. Rivers,Davis Rivers,Rivers,Davis,C,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,29,25,3,79.1,1.96,0.80,1.15,2.44,4.5
167,1273289728,D. King,Dylan King,King,Dylan,C,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,29,24,4,80.2,2.00,0.87,1.14,2.67,1.6
167,1952408633,M. Wall,Micajah Wall,Wall,Micajah,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,29,21,4,81.2,2.05,0.91,1.14,2.64,3.6
167,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,29,24,2,77.3,2.03,0.94,1.08,3.15,2.3
167,1520318407,J. Brennan,Jimmy Brennan,Brennan,Jimmy,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,29,16,0,75.7,1.97,0.74,1.16,1.11,0.3
167,1655382171,C. Sackett,Connor Sackett,Sackett,Connor,C,Butler University,BUT,730283520,Butler,BBC,R,R,29,18,9,78.5,2.01,0.83,1.19,2.89,-0.1
177,1152818944,H. Pinkney,Hugh Pinkney,Pinkney,Hugh,C,Tulane University,TULN,730354176,Tulane,BBC,L,R,28,19,2,76.4,2.03,0.88,1.12,1.09,2.8
177,1239285504,G. Fulmer,Garrett Fulmer,Fulmer,Garrett,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,28,14,7,73.7,2.06,0.77,1.27,4.14,2.2
177,1141496832,A. Stucky,Andrew Stucky,Stucky,Andrew,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,28,18,9,77.6,1.97,0.79,1.18,3.52,2.8
177,1262678016,T. Conley,Trevor Conley,Conley,Trevor,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,28,15,10,71.4,2.11,0.86,1.25,3.86,2.3
177,1184447745,H. Hunter,Henry Hunter,Hunter,Henry,C,University of Georgia,UGA,226,Georgia,BBC,L,R,28,12,11,80.8,2.01,0.83,1.16,3.24,2.3
177,1496120561,W. Kane-Yates,Wailele Kane-Yates,Kane-Yates,Wailele,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,28,16,7,76.9,2.03,0.78,1.24,2.62,4.2
177,1582058376,K. Sanchez,Kamaehu Sanchez,Sanchez,Kamaehu,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,28,18,5,78.2,2.12,0.91,1.20,2.60,0.2
177,1760769161,E. Flaugher,Ethan Flaugher,Flaugher,Ethan,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,S,R,28,21,4,73.9,1.90,0.75,1.15,1.53,1.8
177,1024090398,T. Wells,Trey Wells,Wells,Trey,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,28,20,6,79.2,1.79,0.80,1.01,3.29,1.9
177,1086278694,C. Hadley,Caleb Hadley,Hadley,Caleb,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,28,16,5,78.5,2.01,0.79,1.20,1.80,-0.0
187,1140688384,J. Stadler,Jake Stadler,Stadler,Jake,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,27,14,7,76.9,1.95,0.80,1.16,3.18,2.7
187,1100787712,B. Milner,Beck Milner,Milner,Beck,C,Boston College,BC,227,Boston College,BBC,R,R,27,11,12,78.1,1.70,0.75,0.99,4.77,5.1
187,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,27,18,2,74.0,2.02,0.76,1.27,2.21,3.0
187,1264275200,L. Pringle,Lucas Pringle,Pringle,Lucas,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,27,16,3,76.9,2.13,0.82,1.29,1.81,1.6
187,1189162240,E. Holman,Evan Holman,Holman,Evan,C,Old Dominion University,ODU,3090,Old Dominion,BBC,S,R,27,9,8,75.8,1.99,0.77,1.25,2.27,3.3
187,1306903808,L. West,Landon West,West,Landon,C,Rice University,RICE,2352,Rice,BBC,R,R,27,19,1,77.6,2.02,0.83,1.20,1.28,3.9
187,1349652591,T. Johnsen,Ty Johnsen,Johnsen,Ty,C,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,27,12,10,78.0,2.16,0.91,1.23,3.00,5.4
187,1248381322,M. McGann,Matt McGann,McGann,Matt,C,Oakland University,OAK,5386,Oakland,BBC,R,R,27,10,10,80.4,2.06,0.85,1.21,3.55,-0.3
187,1342168338,H. Russell,Houston Russell,Russell,Houston,C,Purdue University,PUR,730353152,Purdue,BBC,R,R,27,15,4,72.3,2.10,0.79,1.31,2.66,2.8
187,1332163632,H. Carns,Hunter Carns,Carns,Hunter,C,Florida State University,FSU,101,Florida State,BBC,R,R,27,13,5,77.2,2.16,0.85,1.26,3.39,2.0
187,1408572322,J. Elliot,John Elliot,Elliot,John,C,University of Southern California,USC,5047,USC,BBC,R,R,27,13,7,78.8,1.89,0.84,1.05,2.69,0.1
198,1245095168,M. Millan,Mauricio Millan,Millan,Mauricio,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,26,16,2,75.9,1.82,0.73,1.06,2.19,2.2
198,1150232064,R. Ayers,Robbie Ayers,Ayers,Robbie,C,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,26,17,3,80.5,2.01,0.84,1.12,2.27,-0.1
198,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,26,16,4,76.6,2.04,0.80,1.26,1.94,2.1
198,1092663040,C. Bergman,Carter Bergman,Bergman,Carter,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,26,20,2,76.4,2.03,0.81,1.22,1.82,1.6
198,1330788352,R. Becker,Ryan Becker,Becker,Ryan,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,26,20,2,76.6,2.02,0.80,1.22,2.10,3.2
198,1330362005,G. Macias,Garrett Macias,Macias,Garrett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,26,15,4,77.0,2.09,0.87,1.21,2.15,4.1
198,1305837372,G. Braland,Gavin Braland,Braland,Gavin,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,26,15,5,77.0,2.03,0.86,1.21,2.60,-0.4
198,1118488999,J. Parsons,JJ Parsons,Parsons,JJ,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,26,13,4,77.5,2.11,0.90,1.20,2.80,1.1
206,1207798016,A. Lewis II,Andreaus Lewis,Lewis II,Andreaus,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,25,16,5,74.7,2.14,0.93,1.22,2.56,2.7
206,1205026048,B. Bryan,Brooks Bryan,Bryan,Brooks,C,Troy University,TROY,730378496,Troy,BBC,L,R,25,18,6,81.2,2.02,0.88,1.12,2.39,1.6
206,1179443968,J. Cromwick,Josiah Cromwick,Cromwick,Josiah,C,Arizona State University,ASU,5035,Arizona State,BBC,R,R,25,15,6,80.8,1.86,0.73,1.14,3.15,4.9
206,1310332928,R. Helfrick,Ryder Helfrick,Helfrick,Ryder,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,25,15,1,79.6,2.07,0.86,1.14,1.54,3.5
206,1245882880,K. Cottam,Keaton Cottam,Cottam,Keaton,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,25,20,2,75.2,1.88,0.75,1.12,2.49,3.9
206,1334075392,D. Bicknell,Drake Bicknell,Bicknell,Drake,C,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,25,20,0,77.2,1.97,0.83,1.15,0.99,2.2
206,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,25,10,10,76.8,2.08,0.82,1.21,3.98,6.4
206,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,25,17,2,78.0,2.01,0.82,1.14,2.66,2.6
206,1337773312,R. Pelletier,Raphael Pelletier,Pelletier,Raphael,C,University of Kentucky,UK,5362,Kentucky,BBC,L,R,25,16,4,71.0,2.02,0.96,1.12,2.34,2.5
206,1116084736,M. Chavez,Matthew Chavez,Chavez,Matthew,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,25,14,6,75.8,1.92,0.79,1.11,1.55,-0.6
206,1207755264,T. Moore,Tucker Moore,Moore,Tucker,C,Liberty University,LIB,730156288,Liberty,BBC,S,R,25,14,5,78.5,2.06,0.82,1.22,1.74,2.2
206,1172325888,M. Moris,Max Moris,Moris,Max,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,25,18,3,78.3,1.71,0.75,0.96,1.69,3.3
206,1158305024,D. Whittle,David Whittle,Whittle,David,C,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,25,17,5,81.9,1.62,0.75,0.89,3.70,2.7
206,1100871936,R. MacDougall,Ryan MacDougall,MacDougall,Ryan,C,University of Dayton,DAY,730194688,Dayton,BBC,L,R,25,13,8,76.0,2.01,0.86,1.17,3.92,4.3
206,1251236096,N. Shuhet,Nick Shuhet,Shuhet,Nick,C,Rider University,RID,730174976,Rider,BBC,R,R,25,19,3,77.3,1.86,0.81,1.07,3.14,3.8
206,1100189184,J. Quinlan,Jack Quinlan,Quinlan,Jack,C,Army West Point,ARMY,4744,Army,BBC,R,R,25,14,3,73.5,2.15,0.87,1.30,1.63,4.2
206,1162117120,J. Cilea,Joe Cilea,Cilea,Joe,C,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,25,18,3,75.2,1.97,0.82,1.15,2.89,3.2
206,1336721062,D. Smith,Derek Smith,Smith,Derek,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,25,19,5,79.5,1.82,0.81,1.08,2.31,2.2
206,1342170307,C. Constable,Cole Constable,Constable,Cole,C,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,25,10,6,75.9,2.07,0.85,1.20,2.07,3.4
206,1625677173,C. Martin,Cade Martin,Martin,Cade,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,25,17,4,72.5,1.92,0.84,1.10,2.72,4.7
226,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,24,12,6,80.4,2.12,0.90,1.18,3.55,-1.1
226,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,24,13,5,80.9,2.02,0.81,1.21,2.51,2.2
226,1080800768,Z. Rogacki,Zach Rogacki,Rogacki,Zach,C,Binghamton University,BING,730155776,Binghamton,BBC,L,R,24,15,6,74.8,1.85,0.64,1.22,2.46,4.6
226,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,24,16,5,77.7,2.04,0.86,1.20,2.94,1.7
226,1083615488,I. Daugherty,Ian Daugherty,Daugherty,Ian,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,24,14,3,77.0,1.97,0.77,1.19,1.63,0.9
226,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,24,11,6,79.3,2.12,0.91,1.23,2.92,0.5
226,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,24,18,3,76.4,1.99,0.86,1.08,2.36,1.2
226,1235364864,S. Britt,Sean Britt,Britt,Sean,C,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,24,16,3,76.8,1.94,0.72,1.19,1.73,1.8
226,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,24,22,1,78.4,1.79,0.76,1.00,2.77,2.6
226,1191771904,K. Kosobucki,Kaden Kosobucki,Kosobucki,Kaden,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,24,17,2,74.6,2.03,0.85,1.15,2.39,2.4
226,1213082624,C. Bower,Colton Bower,Bower,Colton,C,University of Washington,WASH,3110,Washington,BBC,R,R,24,16,2,75.9,1.95,0.83,1.17,2.91,3.0
226,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,24,14,5,75.1,1.93,0.66,1.26,2.26,3.3
226,1488159270,R. Tejeda,Richard Tejeda,Tejeda,Richard,C,University of Southern California,USC,5047,USC,BBC,R,R,24,16,4,76.0,2.04,0.91,1.13,2.49,4.0
226,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,24,16,6,77.7,2.10,0.91,1.17,3.10,3.4
226,1002128144,T. Kummer,Theo Kummer,Kummer,Theo,C,Texas State University,TXST,5420,Texas State,BBC,R,R,24,19,1,74.0,1.96,0.74,1.20,2.25,2.3
226,1342168089,S. Dux,Shane Dux,Dux,Shane,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,24,11,7,77.7,2.13,0.85,1.25,1.32,-1.6
242,1297350912,K. Bowen,Karson Bowen,Bowen,Karson,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,23,13,5,76.4,1.99,0.74,1.22,3.06,0.2
242,1220509952,G. Mangrum,Grant Mangrum,Mangrum,Grant,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,23,13,3,79.5,1.98,0.81,1.18,4.08,1.1
242,1310580992,D. Paris,Derek Paris,Paris,Derek,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,23,17,1,71.0,2.05,0.86,1.13,2.77,2.5
242,1204947200,M. Klein,Matt Klein,Klein,Matt,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,23,14,3,78.0,1.89,0.72,1.17,1.01,0.1
242,1176354561,S. Mudler,Scott Mudler,Mudler,Scott,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,R,23,15,7,80.4,1.89,0.71,1.17,3.94,5.9
242,1188022272,C. Stewart,Conner Stewart,Stewart,Conner,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,23,12,5,80.5,2.08,0.84,1.23,2.52,2.4
242,1341312001,J. Cortez,Jacob Cortez,Cortez,Jacob,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,23,14,4,76.4,1.84,0.75,1.09,3.40,2.1
242,1233740800,B. Whitacre,Brady Whitacre,Whitacre,Brady,C,Radford University,RAD,730267392,Radford,BBC,R,R,23,15,3,71.4,2.17,0.84,1.39,1.64,4.4
242,1084952576,A. Mckenna,Andrew Mckenna,Mckenna,Andrew,C,Tulane University,TULN,730354176,Tulane,BBC,L,R,23,10,7,77.1,1.98,0.82,1.15,3.10,2.4
242,1311049472,A. Anderson,Aric Anderson,Anderson,Aric,C,Rice University,RICE,2352,Rice,BBC,L,R,23,15,3,77.6,1.84,0.74,1.08,2.78,3.1
242,1075324928,J. Fogel,Justin Fogel,Fogel,Justin,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,23,20,1,77.5,2.13,0.93,1.19,1.22,1.9
242,1336247040,N. Toro,Nicholas Toro,Toro,Nicholas,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,23,10,8,75.7,2.08,0.85,1.23,3.58,2.1
242,1146205440,B. Chang,Brandon Chang,Chang,Brandon,C,Brown University,BRWN,730236160,Brown,BBC,R,R,23,12,4,75.0,2.02,0.79,1.21,1.07,0.9
255,1207762688,G. Smiley,Graham Smiley,Smiley,Graham,C,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,22,13,4,80.5,1.88,0.79,1.11,3.06,4.3
255,1099208448,L. McAllister,Levi McAllister,McAllister,Levi,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,22,11,6,75.4,2.05,0.82,1.21,2.65,4.1
255,1205939968,M. Kurata,Matthew Kurata,Kurata,Matthew,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,22,11,2,76.7,2.06,0.82,1.20,3.09,2.6
255,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,22,8,5,80.7,2.00,0.93,1.11,3.12,0.6
255,1269593088,A. Cordeiro,Antonio Cordeiro,Cordeiro,Antonio,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,22,11,8,76.7,2.02,0.77,1.22,2.85,2.8
255,1205078016,J. Johnson,Jack Johnson,Johnson,Jack,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,22,11,0,69.3,2.06,0.70,1.31,1.61,2.5
255,1448402806,C. Sheridan,Caden Sheridan,Sheridan,Caden,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,22,18,2,79.1,2.00,0.83,1.17,2.46,2.5
255,1972031807,T. Freeny,Tariq Freeny,Freeny,Tariq,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,22,15,2,74.3,2.03,0.82,1.18,3.06,2.0
255,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,22,13,7,74.4,2.11,0.94,1.18,2.24,2.2
255,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,22,11,3,82.1,2.04,0.88,1.13,2.28,0.7
255,1432642301,E. Gentil,Evan Gentil,Gentil,Evan,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,22,19,0,75.1,2.04,0.81,1.19,0.91,2.9
266,1258112256,M. Garbowski,Matt Garbowski,Garbowski,Matt,C,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,21,13,0,81.3,2.00,0.87,1.11,1.51,2.0
266,1258112768,J. Jones,JD Jones,Jones,JD,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,21,14,5,77.5,1.94,0.76,1.19,1.99,2.1
266,1299789568,B. Taylor,Bronson Taylor,Taylor,Bronson,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,21,15,4,75.6,1.87,0.79,1.07,3.45,3.8
266,1162314240,C. Dick,Cardel Dick,Dick,Cardel,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,21,16,3,72.5,1.94,0.75,1.18,2.47,2.1
266,1236373248,C. Meggers,Chase Meggers,Meggers,Chase,C,University of Oregon,ORE,4807,Oregon,BBC,L,R,21,10,3,81.6,1.83,0.75,1.09,2.26,5.7
266,1098478592,J. Williams,J.P. Williams,Williams,J.P.,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,21,18,2,78.6,2.00,0.86,1.13,1.95,0.8
266,1173787136,S. Feller,Sawyer Feller,Feller,Sawyer,C,Harvard University,HARV,5450,Harvard,BBC,R,R,21,13,4,80.6,2.08,0.85,1.20,3.53,4.8
266,1310898688,T. Leroy,Tyler LeRoy,Leroy,Tyler,C,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,21,8,7,78.4,2.10,0.92,1.23,4.66,0.3
266,1279921049,A. Ludeiro,Alejandro Ludeiro,Ludeiro,Alejandro,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,21,12,4,77.4,1.94,0.83,1.11,3.88,2.4
266,1714474887,L. DiBeradin,Landon DiBeradin,DiBeradin,Landon,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,21,15,3,71.1,2.02,0.78,1.27,2.52,3.4
266,1727649062,T. Marthilijohni,Ty Marthilijohni,Marthilijohni,Ty,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,21,15,1,79.7,1.98,0.81,1.15,1.95,2.8
266,1342167868,S. Esposito,Scott Esposito,Esposito,Scott,C,Marist College,MRST,730374656,Marist,BBC,R,R,21,14,7,76.8,1.98,0.86,1.15,4.01,2.8
266,1342168153,D. Woodcook,Dane Woodcook,Woodcook,Dane,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,21,17,3,75.7,2.15,0.88,1.27,1.63,-0.6
266,1019713603,T. Koch,Tommy Koch,Koch,Tommy,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,21,16,1,78.7,1.90,0.79,1.12,2.24,4.7
280,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,20,13,5,75.8,2.08,0.82,1.26,2.43,-1.3
280,1310336256,D. Lanphere,Drew Lanphere,Lanphere,Drew,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,20,11,1,78.1,2.01,0.75,1.22,0.94,3.9
280,1310792960,S. Guerra,Sergio Guerra,Guerra,Sergio,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,20,14,1,82.3,1.80,0.81,0.99,1.26,1.5
280,1179417088,M. Aude,Max Aude,Aude,Max,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,R,20,14,5,76.9,2.02,0.83,1.19,2.90,0.6
280,1142436096,D. Burkes,Devin Burkes,Burkes,Devin,C,University of Kentucky,UK,5362,Kentucky,BBC,R,R,20,11,4,71.7,1.97,0.73,1.22,3.85,2.7
280,1167236096,W. Zareh,William Zareh,Zareh,William,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,20,13,5,82.5,1.93,0.84,1.10,3.80,1.9
280,1145593856,A. Munguia,Austin Munguia,Munguia,Austin,C,Texas State University,TXST,5420,Texas State,BBC,R,R,20,13,4,74.8,2.15,0.97,1.16,1.89,1.4
280,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,20,11,5,78.4,2.02,0.86,1.15,3.20,2.8
280,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,20,8,2,79.1,1.87,0.84,1.10,1.65,-0.7
