Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
467,1211982848,S. Gottam,Santhosh Gottam,Gottam,Santhosh,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,283,253,.281,.287,-.007,.346,.431,.434,-.003,.150,.147,.003,.335,.332,.003
468,1250079232,J. Schaaf,Jason Schaaf,Schaaf,Jason,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,19,314,272,.272,.287,-.015,.371,.434,.444,-.010,.162,.156,.005,.349,.351,-.002
469,1092652800,J. Johnson,Jeb Johnson,Johnson,Jeb,P,Mercer University,MER,730240512,Mercer,BBC,R,R,21,270,243,.288,.288,.000,.342,.473,.471,.002,.185,.184,.001,.353,.344,.009
470,1861492309,A. Risse,Aidan Risse,Risse,Aidan,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,15,317,275,.291,.288,.003,.365,.465,.450,.015,.175,.162,.012,.363,.348,.014
471,1294172672,B. Magovern,Ben Magovern,Magovern,Ben,P,Bucknell University,BUCK,730214144,Bucknell,BBC,L,L,12,253,219,.292,.288,.004,.360,.438,.430,.008,.146,.143,.004,.351,.338,.013
472,1251441152,W. Rogers,Will Rogers,Rogers,Will,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,23,260,224,.241,.288,-.047,.368,.397,.480,-.083,.156,.192,-.036,.317,.356,-.039
473,1258115584,A. Colarusso,A.J. Colarusso,Colarusso,A.J.,P,Boston College,BC,227,Boston College,BBC,L,L,19,327,277,.285,.288,-.003,.362,.448,.470,-.022,.162,.182,-.019,.350,.350,.000
474,1081801472,J. Trombley,Joseph Trombley,Trombley,Joseph,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,388,344,.282,.288,-.006,.360,.392,.445,-.053,.110,.157,-.047,.331,.345,-.014
475,1515769016,E. Smith,Ethan Smith,Smith,Ethan,P,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,14,301,262,.248,.288,-.040,.389,.328,.410,-.082,.080,.122,-.042,.313,.349,-.036
476,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,350,318,.264,.288,-.024,.341,.478,.463,.015,.214,.175,.039,.343,.340,.003
477,1308181507,B. Miller,Brady Miller,Miller,Brady,P,Boston College,BC,227,Boston College,BBC,R,L,16,265,225,.267,.288,-.022,.377,.436,.482,-.046,.169,.193,-.024,.349,.366,-.017
478,1178715648,S. Heyman,Sam Heyman,Heyman,Sam,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,14,295,251,.295,.288,.006,.379,.418,.406,.012,.124,.118,.006,.357,.344,.013
479,1121725952,J. Sheets,Joe Sheets,Sheets,Joe,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,315,257,.311,.288,.023,.408,.471,.449,.022,.160,.161,-.001,.397,.375,.022
480,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,347,296,.270,.289,-.018,.379,.395,.403,-.008,.125,.114,.011,.339,.343,-.004
481,1099159040,N. Lawson,Nathan Lawson,Lawson,Nathan,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,22,267,230,.317,.289,.029,.337,.517,.426,.091,.200,.138,.062,.373,.323,.050
482,1239205376,M. Van Alstine,Marcus Van Alstine,Van Alstine,Marcus,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,22,270,239,.326,.289,.038,.360,.469,.416,.053,.142,.127,.015,.377,.338,.040
483,1130372096,C. Harris,Connor Harris,Harris,Connor,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,15,327,301,.329,.289,.040,.326,.565,.447,.118,.236,.158,.078,.394,.324,.070
484,1317475840,C. Wade,Crawford Wade,Wade,Crawford,P,Northwestern University,NW,730247680,Northwestern,BBC,L,L,18,320,266,.289,.289,.001,.382,.500,.477,.023,.211,.189,.022,.379,.363,.016
485,1190356736,T. Horn,Ty Horn,Horn,Ty,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,18,370,328,.262,.289,-.027,.357,.463,.500,-.037,.201,.211,-.010,.345,.358,-.014
486,1084034304,E. Rodriguez,Esteban Rodriguez,Rodriguez,Esteban,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,265,224,.259,.289,-.030,.385,.375,.423,-.048,.116,.134,-.018,.331,.351,-.020
487,1108493568,T. Nemjo,Tristan Nemjo,Nemjo,Tristan,P,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,15,347,295,.292,.289,.003,.382,.502,.513,-.012,.210,.224,-.014,.382,.373,.009
488,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,293,258,.260,.289,-.029,.355,.411,.462,-.051,.151,.173,-.021,.323,.344,-.021
489,1254309120,O. Geiss,Owen Geiss,Geiss,Owen,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,16,315,261,.287,.289,-.002,.394,.441,.468,-.027,.153,.179,-.025,.369,.371,-.002
490,1238157312,O. Kramkowski,Owen Kramkowski,Kramkowski,Owen,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,18,415,381,.304,.289,.015,.334,.446,.436,.010,.142,.146,-.005,.345,.326,.019
491,1212300033,N. George,Nolan George,George,Nolan,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,21,306,274,.292,.290,.002,.337,.409,.530,-.121,.117,.240,-.124,.326,.357,-.031
492,1192573184,M. Barnett,Michael Barnett,Barnett,Michael,P,UCLA,UCLA,5048,UCLA,BBC,R,R,19,373,339,.289,.290,-.001,.345,.410,.438,-.028,.121,.148,-.027,.332,.333,-.001
493,1163175424,C. Kennedy,Colton Kennedy,Kennedy,Colton,P,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,16,327,286,.280,.290,-.010,.370,.507,.527,-.020,.227,.238,-.010,.373,.377,-.004
494,1330706688,Z. Petty,Zane Petty,Petty,Zane,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,278,249,.265,.290,-.025,.364,.542,.533,.009,.277,.243,.034,.375,.372,.002
495,1160666624,M. Patton,Myles Patton,Patton,Myles,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,332,292,.274,.290,-.016,.348,.455,.494,-.039,.182,.205,-.023,.344,.351,-.008
496,1468279426,B. Smith,Ben Smith,Smith,Ben,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,287,255,.294,.290,.004,.364,.471,.499,-.028,.176,.209,-.032,.366,.363,.003
497,1198512384,J. Wells,Jackson Wells,Wells,Jackson,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,390,341,.279,.290,-.012,.372,.449,.494,-.045,.170,.204,-.034,.355,.369,-.014
498,1235307520,E. Foster,Elijah Foster,Foster,Elijah,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,340,267,.217,.291,-.073,.424,.337,.427,-.090,.120,.136,-.017,.325,.374,-.049
499,1210179584,J. Gutierrez,Jacob Gutierrez,Gutierrez,Jacob,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,17,307,263,.308,.291,.017,.371,.487,.475,.012,.179,.185,-.006,.379,.360,.019
500,1263546112,K. Braziel,Kewan Braziel,Braziel,Kewan,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,18,306,266,.335,.291,.044,.364,.523,.452,.070,.188,.162,.026,.397,.345,.052
501,1661534629,S. Lavin,Sam Lavin,Lavin,Sam,P,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,289,251,.271,.291,-.020,.376,.378,.400,-.022,.108,.109,-.002,.331,.341,-.010
502,1307084033,R. Hall,Regan Hall,Hall,Regan,P,University of Illinois,ILL,730163456,Illinois,BBC,L,L,14,303,269,.301,.291,.010,.354,.468,.439,.029,.167,.148,.019,.359,.336,.023
503,1349689556,R. Mealy,Ryan Mealy,Mealy,Ryan,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,15,292,266,.282,.291,-.009,.335,.365,.421,-.056,.083,.130,-.047,.306,.322,-.016
504,1195467264,M. Martinez,Mason Martinez,Martinez,Mason,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,16,374,312,.314,.291,.023,.391,.478,.583,-.106,.163,.292,-.129,.387,.402,-.015
505,1521413935,C. Linn,Conner Linn,Linn,Conner,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,301,260,.292,.291,.001,.381,.519,.484,.036,.227,.193,.034,.386,.368,.018
506,1099900160,A. Cabral,Aiven Cabral,Cabral,Aiven,P,Northeastern University,NE,343,Northeastern,BBC,R,R,16,360,336,.232,.291,-.059,.332,.324,.451,-.127,.092,.160,-.068,.266,.329,-.063
507,1210662144,M. Mariano,Matthew Mariano,Mariano,Matthew,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,20,293,244,.291,.291,-.000,.376,.402,.428,-.027,.111,.137,-.027,.342,.343,-.001
508,1136002048,J. Soberon,Joe Soberon,Soberon,Joe,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,14,290,230,.265,.291,-.026,.423,.404,.487,-.082,.139,.195,-.056,.365,.392,-.027
509,1198297344,T. Perry,Tanner Perry,Perry,Tanner,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,16,329,289,.287,.291,-.004,.366,.471,.473,-.002,.183,.182,.002,.362,.354,.008
510,1238212096,J. Tollett,JR Tollett,Tollett,JR,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,17,328,302,.252,.291,-.040,.336,.401,.483,-.082,.149,.191,-.042,.304,.341,-.037
511,1311020288,J. Volchko,Joey Volchko,Volchko,Joey,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,15,324,282,.280,.292,-.011,.374,.387,.397,-.011,.106,.106,.001,.336,.337,-.002
512,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,261,237,.304,.292,.012,.349,.586,.470,.116,.283,.179,.104,.401,.345,.055
513,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,14,322,223,.368,.292,.076,.478,.587,.566,.022,.220,.274,-.054,.480,.441,.039
514,1200236800,H. Boncal,Hudson Boncal,Boncal,Hudson,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,14,368,309,.269,.292,-.023,.393,.372,.392,-.020,.104,.100,.003,.337,.348,-.011
515,1310590208,M. Heuer,Mac Heuer,Heuer,Mac,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,243,213,.305,.292,.013,.364,.516,.481,.035,.211,.189,.022,.382,.357,.024
516,1138165504,C. Aoki,Caden Aoki,Aoki,Caden,P,University of Southern California,USC,5047,USC,BBC,R,R,17,405,377,.247,.292,-.045,.332,.377,.417,-.041,.130,.125,.005,.292,.320,-.028
517,1002892320,M. Hagler,Micah Hagler,Hagler,Micah,P,Seattle University,SEA,4504,Seattle,BBC,R,R,16,266,245,.294,.292,.002,.338,.400,.392,.008,.106,.100,.007,.326,.314,.011
518,1093169920,H. Andrews,Heath Andrews,Andrews,Heath,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,14,294,260,.288,.292,-.004,.372,.496,.485,.011,.208,.193,.015,.376,.365,.011
519,1200193536,W. Walsh,Will Walsh,Walsh,Will,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,L,17,314,282,.266,.292,-.026,.341,.457,.489,-.031,.191,.197,-.005,.333,.348,-.015
520,1162130176,T. Hess,Tate Hess,Hess,Tate,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,20,283,253,.292,.292,.000,.362,.466,.457,.010,.174,.164,.010,.359,.348,.012
521,1505725733,R. Gaber,Reese Gaber,Gaber,Reese,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,256,197,.244,.292,-.049,.432,.381,.406,-.025,.137,.113,.024,.351,.370,-.019
522,1310893568,C. Plummer,Caden Plummer,Plummer,Caden,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,14,277,245,.273,.293,-.019,.370,.469,.506,-.037,.196,.214,-.018,.358,.367,-.009
523,1311366656,S. Hliboki,Sam Hliboki,Hliboki,Sam,P,Northwestern University,NW,730247680,Northwestern,BBC,L,R,20,369,319,.260,.293,-.032,.370,.458,.476,-.018,.197,.183,.014,.348,.359,-.011
524,1087388672,T. McGregor,Tristan McGregor,McGregor,Tristan,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,13,273,233,.339,.293,.046,.378,.451,.409,.041,.112,.116,-.005,.383,.342,.042
525,1250615738,J. Leary,Jack Leary,Leary,Jack,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,22,343,287,.279,.293,-.014,.383,.401,.423,-.022,.122,.130,-.008,.342,.348,-.006
526,1296521728,K. Segel,Kaden Segel,Segel,Kaden,P,University of Portland,PORT,730360320,Portland,BBC,R,R,21,274,249,.293,.293,-.000,.335,.526,.552,-.026,.233,.259,-.026,.366,.367,-.001
527,1094692864,A. Lyon,Alex Lyon,Lyon,Alex,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,31,258,231,.273,.293,-.021,.339,.429,.485,-.057,.156,.192,-.036,.323,.344,-.021
528,1263423232,J. Lloyd,Jaxon Lloyd,Lloyd,Jaxon,P,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,16,285,247,.300,.294,.006,.370,.534,.495,.039,.235,.201,.034,.389,.367,.022
529,1241946112,J. Urena,Jeremy Urena,Urena,Jeremy,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,15,361,320,.281,.294,-.013,.354,.506,.455,.051,.225,.161,.064,.363,.344,.019
530,1220043596,B. Panneton,Brian Panneton,Panneton,Brian,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,331,304,.280,.294,-.014,.340,.444,.474,-.029,.164,.180,-.015,.334,.342,-.008
531,1136097280,A. Stanley,Andrew Stanley,Stanley,Andrew,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,17,317,279,.265,.294,-.029,.372,.401,.439,-.037,.136,.145,-.009,.331,.350,-.019
532,1220061620,C. Hendry,Clay Hendry,Hendry,Clay,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,254,225,.236,.294,-.059,.367,.373,.503,-.130,.138,.209,-.072,.305,.364,-.059
533,1310907904,M. Quevedo,Michael Quevedo,Quevedo,Michael,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,15,301,256,.297,.294,.003,.384,.504,.480,.024,.207,.186,.021,.382,.365,.018
534,1432381131,B. Lobell,Blake Lobell,Lobell,Blake,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,13,284,254,.268,.295,-.027,.349,.382,.426,-.044,.114,.131,-.017,.311,.328,-.017
535,1207928320,J. DeCaro,Jason DeCaro,DeCaro,Jason,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,16,356,318,.248,.295,-.046,.359,.346,.447,-.101,.097,.152,-.055,.297,.344,-.047
536,1182295552,J. Faulkner,Jacob Faulkner,Faulkner,Jacob,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,301,264,.288,.295,-.007,.354,.375,.403,-.028,.087,.108,-.021,.317,.323,-.006
537,1200305920,R. Peterson,Ryan Peterson,Peterson,Ryan,P,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,14,351,296,.291,.295,-.004,.393,.524,.546,-.022,.233,.251,-.018,.394,.391,.002
538,1153300736,J. Anker,Jack Anker,Anker,Jack,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,16,432,399,.306,.295,.011,.338,.499,.457,.041,.193,.162,.030,.364,.335,.029
539,1488546413,L. Meyers,Luke Meyers,Meyers,Luke,P,Washington State University,WSU,4505,Washington State,BBC,R,R,15,290,259,.301,.295,.006,.350,.479,.527,-.048,.178,.232,-.054,.358,.360,-.002
540,1273200896,M. Simpson,Max Simpson,Simpson,Max,P,Towson University,TOWS,730318336,Towson,BBC,R,R,17,305,259,.286,.295,-.010,.385,.471,.495,-.024,.185,.200,-.014,.369,.373,-.003
541,1558238257,S. Bailey,Smith Bailey,Bailey,Smith,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,18,383,344,.267,.295,-.028,.364,.395,.472,-.076,.128,.176,-.048,.325,.355,-.029
542,1257441536,K. Montgomery,Kellan Montgomery,Montgomery,Kellan,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,14,353,309,.301,.295,.006,.369,.456,.472,-.016,.155,.177,-.022,.363,.357,.006
543,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,335,.248,.295,-.048,.372,.340,.475,-.135,.093,.179,-.087,.302,.361,-.059
544,1311168256,F. Ciccone,Frank Ciccone,Ciccone,Frank,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,14,331,281,.263,.296,-.032,.385,.377,.460,-.082,.114,.164,-.050,.329,.363,-.033
545,1099692544,G. Floyd,George Derrick Floyd,Floyd,George Derrick,P,The Citadel,CIT,730366720,The Citadel,BBC,L,L,14,317,293,.294,.296,-.002,.342,.481,.521,-.040,.188,.225,-.038,.353,.358,-.004
546,1597386236,L. Cooley,Luke Cooley,Cooley,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,16,291,252,.270,.296,-.026,.385,.373,.431,-.058,.103,.135,-.032,.331,.354,-.023
547,1404703032,G. Sumner,Garrison Sumner,Sumner,Garrison,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,14,295,259,.309,.296,.013,.369,.591,.578,.012,.282,.283,-.001,.411,.393,.019
548,1428256371,D. Fischer,Dillon Fischer,Fischer,Dillon,P,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,17,397,338,.299,.296,.003,.386,.467,.436,.031,.169,.140,.029,.374,.354,.020
549,1330401536,B. Baker,Bowen Baker,Baker,Bowen,P,Fairfield University,FAIR,730380544,Fairfield,BBC,L,L,16,341,301,.252,.296,-.044,.361,.402,.451,-.049,.150,.155,-.005,.318,.342,-.024
550,1196797696,D. Lally Jr.,David Lally Jr.,Lally Jr.,David,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,15,328,281,.235,.297,-.062,.387,.456,.541,-.086,.221,.245,-.024,.344,.388,-.045
551,1303446784,C. Clarke,Collin Clarke,Clarke,Collin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,13,293,254,.236,.297,-.061,.367,.378,.465,-.087,.142,.169,-.027,.302,.351,-.048
552,1341380352,R. Martinez,Ryan Martinez,Martinez,Ryan,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,375,349,.292,.297,-.005,.339,.467,.495,-.028,.175,.198,-.023,.346,.347,-.001
553,1303346688,A. Solis,Anthony Solis,Solis,Anthony,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,15,297,258,.302,.297,.005,.368,.492,.472,.021,.190,.175,.015,.373,.354,.019
554,1277191168,M. Dalquist,Matthew Dalquist,Dalquist,Matthew,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,14,347,322,.264,.297,-.033,.335,.401,.497,-.097,.137,.200,-.063,.307,.347,-.039
555,1328140800,L. Knight,Logan Knight,Knight,Logan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,15,370,331,.269,.297,-.028,.361,.432,.474,-.042,.163,.177,-.014,.335,.355,-.020
556,1187051520,G. Barrett,Gabriel Barrett,Barrett,Gabriel,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,19,269,228,.294,.297,-.004,.383,.390,.426,-.036,.096,.129,-.032,.346,.351,-.005
557,1146468608,M. Foltz,Michael Foltz,Foltz,Michael,P,George Washington University,GW,730249216,George Washington,BBC,L,L,14,355,302,.305,.298,.007,.392,.424,.420,.004,.119,.122,-.003,.367,.356,.011
558,1202396160,M. Gosztola,Miles Gosztola,Gosztola,Miles,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,L,16,368,320,.313,.298,.014,.382,.506,.468,.039,.194,.170,.024,.391,.364,.027
559,1191770880,T. Ellisen,Thomas Ellisen,Ellisen,Thomas,P,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,16,328,286,.301,.298,.002,.381,.500,.511,-.011,.199,.213,-.014,.383,.375,.008
560,1100142592,E. Blakeney,Ethan Blakeney,Blakeney,Ethan,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,258,212,.344,.299,.046,.411,.623,.731,-.109,.278,.433,-.154,.453,.452,.001
561,1246582016,D. Voegele,Dominic Voegele,Voegele,Dominic,P,University of Kansas,KU,730360064,Kansas,BBC,R,R,16,418,363,.256,.299,-.042,.376,.427,.493,-.066,.171,.194,-.023,.336,.367,-.031
562,1052931303,C. Trizuto,Colin Trizuto,Trizuto,Colin,P,Wagner College,WAG,730192640,Wagner,BBC,R,R,15,284,229,.279,.299,-.019,.386,.415,.590,-.175,.135,.291,-.155,.332,.394,-.063
563,1207790848,A. Williams,Andrew Williams,Williams,Andrew,P,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,14,340,297,.286,.299,-.013,.374,.441,.435,.006,.155,.135,.020,.352,.348,.004
564,1237048064,S. Simon,Sam Simon,Simon,Sam,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,13,268,225,.280,.300,-.020,.396,.480,.559,-.079,.200,.259,-.059,.373,.396,-.023
565,1162504960,D. Case,David Case,Case,David,P,University of Memphis,MEM,730172160,Memphis,BBC,L,L,14,295,249,.297,.300,-.003,.391,.514,.502,.012,.217,.203,.014,.390,.378,.012
566,1337608237,M. OBrien,Matthew OBrien,OBrien,Matthew,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,20,292,253,.316,.300,.016,.375,.474,.452,.022,.158,.152,.006,.376,.354,.022
567,1255332608,G. Ahern,Garrett Ahern,Ahern,Garrett,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,15,360,318,.311,.300,.011,.377,.462,.448,.014,.151,.148,.003,.374,.355,.018
568,1195482112,M. Jones,Merit Jones,Jones,Merit,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,15,371,319,.301,.300,.001,.379,.486,.506,-.020,.185,.205,-.020,.374,.372,.002
569,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,379,331,.266,.300,-.035,.375,.399,.494,-.095,.133,.194,-.061,.329,.369,-.039
570,1004454230,M. Delvecchio,Matthew Delvecchio,Delvecchio,Matthew,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,380,325,.262,.301,-.039,.389,.385,.472,-.087,.123,.171,-.048,.331,.364,-.033
571,1282555136,P. Gardner,Patrick Gardner,Gardner,Patrick,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,15,337,293,.276,.301,-.024,.379,.505,.536,-.031,.229,.235,-.007,.371,.382,-.011
572,1653486670,N. Love,Nathan Love,Love,Nathan,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,15,328,296,.240,.301,-.061,.360,.389,.454,-.065,.149,.153,-.004,.305,.347,-.042
573,1536897735,B. Treichel,Bryson Treichel,Treichel,Bryson,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,288,251,.279,.301,-.022,.376,.386,.652,-.265,.108,.351,-.243,.329,.414,-.085
574,1713770973,B. Stone,Brandon Stone,Stone,Brandon,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,15,285,255,.298,.301,-.003,.360,.518,.502,.016,.220,.201,.019,.374,.362,.012
575,1237056000,T. Boccabello,Tanner Boccabello,Boccabello,Tanner,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,11,296,258,.275,.301,-.026,.372,.415,.466,-.052,.140,.165,-.026,.336,.360,-.024
576,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,15,342,301,.279,.301,-.022,.377,.452,.488,-.036,.173,.186,-.014,.354,.369,-.015
577,1238291968,T. Murphy,Tyler Murphy,Murphy,Tyler,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,13,285,252,.310,.301,.008,.373,.437,.460,-.023,.127,.158,-.031,.360,.357,.003
578,1277834240,K. Opanel,Kevin Opanel,Opanel,Kevin,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,14,267,231,.273,.302,-.029,.381,.411,.490,-.079,.139,.188,-.050,.338,.369,-.030
579,1216810752,J. Harris,Jaden Harris,Harris,Jaden,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,17,301,248,.323,.302,.021,.413,.540,.505,.035,.218,.203,.015,.418,.389,.029
580,1160908544,O. Serrano,Omar Serrano,Serrano,Omar,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,15,418,365,.329,.302,.027,.379,.518,.463,.055,.189,.161,.028,.397,.359,.038
581,1139728640,B. Holland,Brendan Holland,Holland,Brendan,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,L,14,331,296,.297,.302,-.005,.355,.476,.533,-.056,.179,.231,-.052,.356,.367,-.011
582,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,271,243,.325,.302,.023,.351,.453,.480,-.028,.128,.178,-.051,.359,.349,.010
583,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,243,216,.315,.302,.012,.347,.481,.512,-.030,.167,.209,-.043,.362,.359,.003
584,1113138432,J. Steeber,Joe Steeber,Steeber,Joe,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,341,302,.315,.302,.012,.361,.464,.500,-.037,.149,.198,-.049,.363,.360,.002
585,1187053824,C. Gaston,Carter Gaston,Gaston,Carter,P,University of Portland,PORT,730360320,Portland,BBC,R,R,14,312,269,.297,.303,-.005,.387,.498,.490,.008,.201,.188,.013,.382,.375,.007
586,1945290525,J. Hibbard,Jack Hibbard,Hibbard,Jack,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,12,240,218,.261,.303,-.041,.343,.482,.513,-.031,.220,.210,.010,.336,.357,-.021
587,1300599553,J. Feld,Justin Feld,Feld,Justin,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,14,252,210,.281,.303,-.022,.400,.500,.526,-.026,.219,.223,-.004,.381,.391,-.010
588,1052929589,G. Workman,Garrett Workman,Workman,Garrett,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,15,367,319,.260,.303,-.043,.376,.364,.468,-.104,.103,.165,-.061,.312,.361,-.049
589,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,300,252,.317,.303,.014,.409,.456,.397,.059,.139,.094,.045,.389,.358,.031
590,1084482817,K. Deverman,Kenton Deverman,Deverman,Kenton,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,12,300,281,.313,.304,.010,.330,.484,.486,-.002,.171,.183,-.012,.354,.341,.013
