Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
379,1275226481,J. Bauer,Jackson Bauer,Bauer,Jackson,P,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,17,339,286,.311,.277,.034,.372,.570,.485,.085,.259,.208,.050,.413,.362,.051
380,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,335,295,.298,.277,.021,.339,.420,.397,.023,.122,.120,.002,.342,.317,.025
381,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,18,241,214,.238,.277,-.039,.350,.332,.416,-.084,.093,.139,-.046,.291,.329,-.038
382,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,250,212,.297,.277,.020,.361,.472,.362,.110,.175,.085,.090,.370,.318,.052
383,1237056768,C. Hansen,Cole Hansen,Hansen,Cole,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,14,312,273,.234,.277,-.043,.355,.392,.422,-.030,.158,.145,.012,.313,.335,-.021
384,1184457216,S. Dutton,Samuel Dutton,Dutton,Samuel,P,Auburn University,AUB,5466,Auburn,BBC,L,R,16,354,325,.265,.277,-.013,.326,.406,.421,-.015,.142,.144,-.002,.315,.319,-.005
385,1129687636,G. Garman,Grant Garman,Garman,Grant,P,Oakland University,OAK,5386,Oakland,BBC,L,L,15,370,305,.275,.277,-.002,.382,.479,.471,.007,.203,.194,.009,.373,.363,.010
386,1342168577,J. Shadek,Justin Shadek,Shadek,Justin,P,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,15,292,234,.291,.277,.013,.404,.427,.420,.008,.137,.143,-.006,.377,.363,.014
387,1126303232,T. Evans,Tate Evans,Evans,Tate,P,Yale University,YALE,730334464,Yale,BBC,R,R,22,210,184,.245,.278,-.033,.350,.315,.377,-.062,.071,.099,-.029,.284,.311,-.027
388,1692745387,N. Harris,Nate Harris,Harris,Nate,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,13,261,227,.242,.278,-.035,.359,.370,.455,-.085,.128,.177,-.049,.311,.346,-.035
389,1267252480,G. Theis,Gavin Theis,Theis,Gavin,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,16,392,338,.263,.278,-.015,.367,.382,.405,-.023,.118,.127,-.009,.329,.336,-.007
390,1196833025,R. O'Connor,Robbie O'Connor,O'Connor,Robbie,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,338,274,.328,.278,.050,.399,.496,.368,.128,.168,.090,.078,.410,.344,.066
391,1328895488,K. OConnor,Kellen OConnor,OConnor,Kellen,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,16,300,261,.257,.278,-.021,.351,.467,.494,-.026,.211,.216,-.005,.344,.353,-.009
392,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,13,317,264,.303,.278,.025,.364,.500,.387,.113,.197,.109,.088,.379,.325,.054
393,1105525504,O. Sarna,Owen Sarna,Sarna,Owen,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,290,257,.292,.278,.013,.340,.432,.406,.026,.140,.127,.013,.342,.319,.023
394,1804936858,M. Blasche,Mason Blasche,Blasche,Mason,P,Samford University,SAM,730386432,Samford,BBC,R,R,16,300,278,.259,.278,-.019,.321,.353,.373,-.021,.094,.095,-.001,.290,.300,-.010
395,1107750912,C. Cross,Caleb Cross,Cross,Caleb,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,14,347,298,.258,.278,-.020,.364,.389,.429,-.040,.131,.150,-.020,.327,.339,-.012
396,1311043840,P. Consigli,Peyton Consigli,Consigli,Peyton,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,13,290,241,.286,.278,.008,.391,.498,.451,.047,.212,.172,.039,.389,.365,.024
397,1142482688,K. Grundy,Kade Grundy,Grundy,Kade,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,15,326,288,.295,.279,.016,.338,.448,.462,-.014,.153,.183,-.030,.348,.334,.013
398,1378876660,R. King,Ryan King,King,Ryan,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,14,323,279,.258,.279,-.021,.358,.391,.451,-.060,.133,.172,-.040,.324,.344,-.020
399,1162067200,E. Sargent,Eddie Sargent,Sargent,Eddie,P,UMBC,UMBC,730210304,UMBC,BBC,L,L,13,257,230,.309,.279,.030,.335,.478,.421,.058,.170,.142,.028,.363,.321,.043
400,1227047936,T. Kent,Tommy Kent,Kent,Tommy,P,Monmouth University,MONM,4164,Monmouth,BBC,L,L,14,294,245,.306,.279,.027,.386,.453,.473,-.020,.147,.194,-.047,.381,.368,.013
401,1260755712,B. Weber,Ben Weber,Weber,Ben,P,Xavier University,XAV,5464,Xavier,BBC,R,R,18,366,327,.275,.279,-.004,.339,.376,.371,.005,.101,.092,.009,.315,.309,.007
402,1778873426,C. Duerr,Caleb Duerr,Duerr,Caleb,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,13,277,232,.254,.279,-.025,.383,.328,.400,-.073,.073,.121,-.047,.317,.347,-.030
