Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
11,1571813435,C. Templeton,Cody Templeton,Templeton,Cody,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,L,13,385,1184,59.2%,28.9%,35.2%,35.9%,46.5%,53.5%,20.7%,31.0%,48.3%,34.5%,65.5%
12,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,15,290,1142,58.9%,23.6%,37.8%,38.6%,40.7%,59.3%,26.4%,29.5%,44.1%,40.6%,59.4%
13,1166183424,M. Morrissey,M.T. Morrissey,Morrissey,M.T.,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,370,1347,58.7%,34.5%,29.0%,36.5%,48.5%,51.5%,24.8%,29.9%,45.3%,38.7%,61.3%
14,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,1014,58.5%,24.0%,28.0%,48.1%,35.8%,64.2%,30.4%,27.8%,41.7%,44.2%,55.8%
15,1052931303,C. Trizuto,Colin Trizuto,Trizuto,Colin,P,Wagner College,WAG,730192640,Wagner,BBC,R,R,15,284,805,58.5%,22.2%,34.3%,43.5%,38.9%,61.1%,31.1%,29.5%,39.4%,47.0%,53.0%
16,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,242,736,58.3%,23.4%,29.7%,46.9%,35.8%,64.2%,30.7%,28.8%,40.6%,45.7%,54.3%
17,1084482817,K. Deverman,Kenton Deverman,Deverman,Kenton,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,12,300,1018,58.2%,35.1%,34.4%,30.5%,54.0%,46.0%,27.3%,31.2%,41.5%,41.9%,58.1%
18,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,289,1014,57.9%,19.8%,36.7%,43.4%,33.9%,66.1%,23.2%,32.8%,44.0%,40.7%,59.3%
19,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,355,1359,57.9%,24.9%,31.7%,43.4%,39.0%,61.0%,21.7%,29.5%,48.9%,35.0%,65.0%
20,1859897718,A. Walsh,Alex Walsh,Walsh,Alex,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,L,16,290,1083,57.7%,28.8%,39.9%,31.3%,46.7%,53.3%,22.4%,29.6%,47.9%,37.5%,62.5%
21,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,315,1099,57.6%,24.9%,37.1%,38.0%,43.1%,56.9%,23.1%,28.3%,48.7%,36.8%,63.2%
22,1276142592,B. Alekson,Ben Alekson,Alekson,Ben,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,16,393,1390,57.6%,30.9%,30.5%,38.5%,45.9%,54.1%,22.4%,26.9%,50.7%,34.8%,65.2%
23,1115370173,H. Bell,Hunter Bell,Bell,Hunter,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,270,860,57.5%,16.0%,40.7%,43.2%,29.7%,70.3%,26.6%,30.8%,42.6%,39.9%,60.1%
24,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,1283,57.5%,24.7%,39.4%,36.0%,41.1%,58.9%,24.3%,30.1%,45.6%,38.7%,61.3%
25,1099879680,D. Banner,Dylan Banner,Banner,Dylan,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,14,388,1309,57.2%,22.1%,37.7%,40.2%,40.4%,59.6%,20.7%,26.7%,52.6%,33.6%,66.4%
26,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,878,56.9%,34.6%,33.3%,32.1%,51.5%,48.5%,26.9%,41.9%,31.2%,46.9%,53.1%
27,1139728640,B. Holland,Brendan Holland,Holland,Brendan,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,L,14,331,1219,56.9%,30.9%,30.5%,38.5%,45.4%,54.6%,21.0%,29.6%,49.4%,34.7%,65.3%
28,1099900160,A. Cabral,Aiven Cabral,Cabral,Aiven,P,Northeastern University,NE,343,Northeastern,BBC,R,R,16,360,1252,56.9%,22.9%,37.0%,40.1%,39.8%,60.2%,21.3%,27.4%,51.4%,33.5%,66.5%
29,1200236800,H. Boncal,Hudson Boncal,Boncal,Hudson,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,14,368,1363,56.9%,26.0%,32.9%,41.1%,40.5%,59.5%,22.6%,29.1%,48.3%,36.5%,63.5%
30,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,261,897,56.9%,28.3%,30.5%,41.3%,39.6%,60.4%,21.6%,30.7%,47.7%,35.9%,64.1%
31,1164663040,F. Morin,Felix Morin,Morin,Felix,P,Canisius College,CAN,730218752,Canisius,BBC,L,L,13,273,897,56.8%,19.8%,26.6%,53.6%,28.5%,71.5%,24.4%,30.6%,45.0%,40.4%,59.6%
32,1183062528,A. Heffernan,Andrew Heffernan,Heffernan,Andrew,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,12,328,864,56.8%,28.0%,33.2%,38.8%,45.5%,54.5%,22.0%,32.6%,45.4%,38.9%,61.1%
33,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,13,317,938,56.6%,32.9%,33.7%,33.3%,49.4%,50.6%,21.4%,34.8%,43.8%,39.3%,60.7%
34,1004454230,M. Delvecchio,Matthew Delvecchio,Delvecchio,Matthew,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,380,1168,56.5%,24.7%,33.2%,42.2%,40.1%,59.9%,24.6%,25.2%,50.2%,36.7%,63.3%
35,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,283,700,56.5%,24.9%,28.7%,46.4%,38.5%,61.5%,20.7%,26.0%,53.3%,33.7%,66.3%
36,1281884928,B. Gaskey,Blake Gaskey,Gaskey,Blake,P,Ohio University,OHIO,730298368,Ohio,BBC,L,R,14,348,1195,56.5%,19.0%,32.2%,48.8%,32.2%,67.8%,28.7%,25.7%,45.6%,42.7%,57.3%
37,1227439427,J. Gottesman,Jordan Gottesman,Gottesman,Jordan,P,Northeastern University,NE,343,Northeastern,BBC,L,L,16,321,1167,56.4%,15.3%,32.5%,52.3%,29.8%,70.2%,26.6%,28.2%,45.2%,39.7%,60.3%
38,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,391,1365,56.3%,28.2%,30.8%,41.0%,42.0%,58.0%,19.4%,29.0%,51.6%,33.0%,67.0%
39,1505049816,J. Sitton,Jacob Sitton,Sitton,Jacob,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,15,359,1282,56.1%,25.8%,33.9%,40.3%,41.8%,58.2%,25.7%,31.6%,42.8%,40.7%,59.3%
40,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,14,383,1168,56.1%,19.3%,33.1%,47.7%,35.4%,64.6%,28.2%,25.4%,46.4%,41.7%,58.3%
41,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,425,1340,56.1%,10.5%,34.2%,55.3%,24.5%,75.5%,26.1%,25.0%,48.9%,38.0%,62.0%
42,1212300033,N. George,Nolan George,George,Nolan,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,21,306,1049,56.1%,31.1%,29.3%,39.5%,44.4%,55.6%,20.9%,30.7%,48.4%,33.8%,66.2%
43,1248451072,W. Taylor,William Taylor,Taylor,William,P,Marist College,MRST,730374656,Marist,BBC,R,L,15,329,1172,56.0%,32.9%,36.3%,30.7%,51.3%,48.7%,24.4%,28.0%,47.6%,37.5%,62.5%
44,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,588,56.0%,15.9%,39.8%,44.3%,35.0%,65.0%,24.1%,21.8%,54.1%,35.0%,65.0%
45,1309474816,C. Leys,Caleb Leys,Leys,Caleb,P,University of Maine,ME,730275840,Maine,BBC,R,L,14,279,1115,55.8%,28.5%,29.3%,42.2%,43.0%,57.0%,23.6%,31.3%,45.1%,38.3%,61.7%
46,1342168337,D. Dean,David Dean,Dean,David,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,17,240,806,55.8%,20.5%,25.9%,53.6%,32.2%,67.8%,20.1%,29.5%,50.4%,32.7%,67.3%
47,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,249,895,55.7%,35.0%,31.1%,33.8%,49.5%,50.5%,22.6%,28.2%,49.1%,37.9%,62.1%
48,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,1234,55.6%,29.5%,35.4%,35.1%,45.3%,54.7%,26.9%,29.9%,43.1%,43.0%,57.0%
49,1311366656,S. Hliboki,Sam Hliboki,Hliboki,Sam,P,Northwestern University,NW,730247680,Northwestern,BBC,L,R,20,369,1359,55.6%,37.4%,30.4%,32.2%,52.7%,47.3%,30.3%,28.5%,41.2%,43.4%,56.6%
50,1226691328,J. Halford,Jacob Halford,Halford,Jacob,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,23,258,917,55.6%,21.5%,31.5%,47.0%,35.5%,64.5%,32.1%,28.0%,39.9%,46.7%,53.3%
51,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,283,792,55.5%,25.1%,31.6%,43.3%,39.0%,61.0%,22.0%,28.9%,49.1%,36.6%,63.4%
52,1220043596,B. Panneton,Brian Panneton,Panneton,Brian,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,331,1184,55.3%,17.7%,34.3%,48.0%,32.3%,67.7%,27.2%,24.1%,48.8%,37.6%,62.4%
53,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,349,1312,55.3%,39.2%,32.7%,28.1%,57.6%,42.4%,20.6%,26.6%,52.8%,33.4%,66.6%
54,1243071232,B. Haston,Brandon Haston,Haston,Brandon,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,16,369,1161,55.3%,20.7%,36.7%,42.6%,37.2%,62.8%,28.3%,23.5%,48.2%,39.3%,60.7%
55,1238157312,O. Kramkowski,Owen Kramkowski,Kramkowski,Owen,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,18,415,1451,55.2%,30.5%,30.2%,39.4%,45.7%,54.3%,26.7%,28.5%,44.8%,39.2%,60.8%
56,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,332,1118,55.2%,30.9%,35.7%,33.4%,48.3%,51.7%,23.3%,27.9%,48.8%,36.0%,64.0%
57,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,372,1368,55.1%,25.3%,33.4%,41.3%,40.9%,59.1%,27.9%,26.0%,46.1%,39.4%,60.6%
58,1191087360,M. Alduino,Matt Alduino,Alduino,Matt,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,20,284,1004,55.1%,32.4%,32.1%,35.5%,48.9%,51.1%,38.9%,24.5%,36.6%,52.0%,48.0%
59,1257441536,K. Montgomery,Kellan Montgomery,Montgomery,Kellan,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,14,353,1257,55.1%,26.3%,34.8%,38.9%,44.5%,55.5%,22.9%,25.9%,51.2%,35.6%,64.4%
60,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,250,916,55.0%,30.0%,36.3%,33.7%,46.1%,53.9%,27.7%,28.8%,43.5%,41.6%,58.4%
61,1334270720,N. Johnson,Nolan Johnson,Johnson,Nolan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,16,373,1456,54.9%,28.3%,31.8%,39.8%,41.1%,58.9%,21.2%,30.5%,48.2%,35.2%,64.8%
62,1296205056,M. Kruzan,Marcus Kruzan,Kruzan,Marcus,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,13,334,1256,54.9%,28.7%,26.5%,44.8%,40.7%,59.3%,24.1%,27.6%,48.3%,37.5%,62.5%
63,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,276,953,54.8%,20.8%,32.5%,46.7%,36.4%,63.6%,27.0%,28.8%,44.2%,41.3%,58.7%
64,1114614016,C. Moore,Chance Moore,Moore,Chance,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,16,334,1158,54.8%,24.7%,30.7%,44.7%,38.6%,61.4%,22.8%,28.2%,49.0%,34.8%,65.2%
65,1489292894,V. Borghese,Vincent Borghese,Borghese,Vincent,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,15,395,1154,54.7%,28.3%,27.5%,44.2%,42.8%,57.2%,21.1%,29.5%,49.4%,36.3%,63.7%
66,1386471821,T. McKinstry,Tyler McKinstry,McKinstry,Tyler,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,14,326,1157,54.7%,24.0%,36.4%,39.6%,38.4%,61.6%,21.2%,26.5%,52.4%,35.3%,64.7%
67,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,761,54.6%,17.3%,32.7%,50.0%,29.0%,71.0%,18.5%,21.0%,60.5%,29.9%,70.1%
68,1199765504,C. Christenson,Charlie Christenson,Christenson,Charlie,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,16,371,1373,54.6%,30.2%,34.7%,35.1%,45.2%,54.8%,21.5%,24.9%,53.6%,34.3%,65.7%
69,1261138697,G. Sentell,Gavin Sentell,Sentell,Gavin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,14,246,915,54.5%,26.0%,34.1%,39.9%,43.3%,56.7%,26.7%,27.2%,46.2%,41.0%,59.0%
70,1184444416,D. Brooks,Daniel Brooks,Brooks,Daniel,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,17,322,1165,54.5%,40.6%,30.0%,29.5%,55.0%,45.0%,22.2%,30.6%,47.2%,37.1%,62.9%
71,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,778,54.5%,19.2%,36.3%,44.5%,32.5%,67.5%,26.1%,31.5%,42.5%,41.4%,58.6%
72,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,317,1152,54.3%,21.6%,32.3%,46.1%,34.6%,65.4%,25.8%,27.3%,46.9%,38.3%,61.7%
73,1238315520,D. Macchiarola,Danny Macchiarola,Macchiarola,Danny,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,16,396,1474,54.3%,17.8%,35.5%,46.7%,32.5%,67.5%,27.6%,24.4%,48.0%,39.0%,61.0%
74,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,669,54.3%,28.5%,34.4%,37.1%,44.6%,55.4%,20.7%,27.2%,52.1%,32.2%,67.8%
75,1081801472,J. Trombley,Joseph Trombley,Trombley,Joseph,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,388,1356,54.3%,19.1%,32.5%,48.4%,31.4%,68.6%,22.9%,26.4%,50.7%,36.2%,63.8%
76,1142659328,K. Sivley,Kros Sivley,Sivley,Kros,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,22,310,1093,54.2%,41.1%,30.9%,28.0%,57.4%,42.6%,31.9%,25.2%,42.9%,43.9%,56.1%
77,1747080880,G. Smith,Griffin Smith,Smith,Griffin,P,Washington State University,WSU,4505,Washington State,BBC,R,R,16,363,1338,54.2%,23.3%,32.7%,44.0%,37.6%,62.4%,22.3%,28.7%,48.9%,35.7%,64.3%
78,1328140800,L. Knight,Logan Knight,Knight,Logan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,15,370,1339,54.2%,23.7%,31.5%,44.9%,37.0%,63.0%,19.8%,30.8%,49.4%,34.1%,65.9%
79,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,15,318,1115,54.2%,24.0%,30.0%,46.0%,36.6%,63.4%,22.0%,29.3%,48.8%,36.3%,63.7%
80,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,351,1185,54.2%,30.8%,29.9%,39.2%,45.4%,54.6%,26.3%,27.4%,46.2%,39.2%,60.8%
81,1683462800,C. McClendon,Calvin McClendon,McClendon,Calvin,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,16,332,985,54.1%,24.9%,30.8%,44.2%,37.9%,62.1%,20.1%,28.8%,51.1%,33.2%,66.8%
82,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,242,842,54.1%,24.9%,26.5%,48.6%,37.2%,62.8%,25.8%,27.8%,46.4%,38.1%,61.9%
83,1307084033,R. Hall,Regan Hall,Hall,Regan,P,University of Illinois,ILL,730163456,Illinois,BBC,L,L,14,303,1056,54.1%,21.3%,32.8%,45.9%,35.3%,64.7%,32.8%,22.8%,44.4%,44.2%,55.8%
84,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,228,767,54.1%,17.3%,32.8%,49.9%,32.7%,67.3%,25.6%,25.7%,48.7%,37.0%,63.0%
85,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,320,1135,53.9%,21.6%,33.0%,45.3%,36.8%,63.2%,27.1%,28.0%,44.9%,39.8%,60.2%
86,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,376,1298,53.9%,32.8%,36.9%,30.3%,48.5%,51.5%,21.5%,21.6%,56.9%,31.2%,68.8%
87,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,293,998,53.9%,26.8%,38.0%,35.2%,46.9%,53.1%,21.0%,23.3%,55.6%,33.3%,66.7%
88,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,267,943,53.9%,30.1%,31.8%,38.1%,45.5%,54.5%,28.1%,25.3%,46.5%,41.3%,58.7%
89,1263546112,K. Braziel,Kewan Braziel,Braziel,Kewan,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,18,306,852,53.9%,21.3%,35.2%,43.5%,36.6%,63.4%,21.5%,24.6%,53.9%,35.4%,64.6%
90,1263546624,D. Thomas,David Thomas,Thomas,David,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,14,343,1158,53.9%,38.1%,35.5%,26.3%,54.6%,45.4%,24.7%,26.4%,48.9%,36.5%,63.5%
91,1238871552,J. Newell,Josh Newell,Newell,Josh,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,15,406,1229,53.8%,21.1%,35.9%,43.0%,37.1%,62.9%,20.4%,23.9%,55.8%,31.8%,68.2%
92,1778873426,C. Duerr,Caleb Duerr,Duerr,Caleb,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,13,277,1011,53.7%,22.9%,30.3%,46.8%,36.0%,64.0%,28.2%,25.1%,46.7%,40.7%,59.3%
93,1172425216,O. Kelly,Owen Kelly,Kelly,Owen,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,15,356,1233,53.7%,31.8%,32.2%,36.0%,48.0%,52.0%,26.2%,24.8%,49.0%,37.8%,62.2%
94,1279513344,A. Rubayo,Andrew Rubayo,Rubayo,Andrew,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,23,276,891,53.7%,20.0%,31.5%,48.6%,33.5%,66.5%,21.9%,30.1%,48.0%,36.4%,63.6%
95,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,243,718,53.7%,32.4%,36.8%,30.8%,48.9%,51.1%,22.1%,27.2%,50.7%,34.7%,65.3%
96,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,321,1111,53.6%,14.8%,30.6%,54.7%,26.8%,73.2%,24.8%,28.7%,46.5%,39.3%,60.7%
97,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,347,1060,53.6%,31.4%,35.4%,33.1%,49.0%,51.0%,20.8%,23.5%,55.7%,30.1%,69.9%
98,1238172160,N. Rodriguez,Noah Rodriguez,Rodriguez,Noah,P,Siena College,SIE,730382592,Siena,BBC,L,R,16,381,1269,53.5%,24.8%,30.9%,44.3%,40.0%,60.0%,30.6%,22.1%,47.2%,43.7%,56.3%
99,1336664320,J. Gilleran,James Gilleran,Gilleran,Jimmy,P,Stonehill College,SC,730238464,Stonehill,BBC,R,R,14,352,1201,53.5%,31.1%,37.6%,31.3%,48.7%,51.3%,21.5%,23.8%,54.7%,34.2%,65.8%
100,1268530176,R. Easterly,Reid Easterly,Easterly,Reid,P,Duke University,DUKE,730336256,Duke,BBC,L,L,37,312,1110,53.5%,26.5%,32.8%,40.6%,41.7%,58.3%,33.6%,24.8%,41.6%,44.3%,55.7%
101,1468279426,B. Smith,Ben Smith,Smith,Ben,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,287,1025,53.5%,27.9%,32.7%,39.4%,40.9%,59.1%,23.1%,26.7%,50.2%,35.1%,64.9%
102,1288366848,K. Straily,Kaden Straily,Straily,Kaden,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,13,344,1139,53.5%,45.4%,29.2%,25.4%,59.2%,40.8%,29.7%,29.2%,41.1%,45.9%,54.1%
103,1116316672,K. Lesler,Kyle Lesler,Lesler,Kyle,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,14,261,961,53.4%,27.8%,31.1%,41.1%,40.1%,59.9%,22.4%,25.1%,52.4%,33.3%,66.7%
104,1911067757,J. Savinon,Jordan Savinon,Savinon,Jordan,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,18,278,936,53.4%,35.4%,28.0%,36.6%,48.9%,51.1%,32.2%,30.5%,37.3%,48.0%,52.0%
105,1243499776,N. Isler,Nate Isler,Isler,Nate,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,10,258,929,53.2%,37.3%,29.8%,32.9%,53.0%,47.0%,23.4%,29.0%,47.5%,37.5%,62.5%
106,1323373824,J. Story,Jake Storey,Story,Jake,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,320,1125,53.2%,24.2%,33.5%,42.3%,40.2%,59.8%,21.0%,29.3%,49.7%,35.1%,64.9%
107,1097588224,J. Dzierwa,Joseph Dzierwa,Dzierwa,Joseph,P,Michigan State University,MSU,1551,Michigan State,BBC,L,L,15,372,1407,53.1%,43.2%,30.6%,26.2%,60.0%,40.0%,28.1%,26.5%,45.5%,40.5%,59.5%
108,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,229,826,53.1%,32.7%,25.2%,42.0%,43.4%,56.6%,19.8%,24.8%,55.5%,33.1%,66.9%
109,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,347,1262,53.1%,23.5%,34.0%,42.4%,39.2%,60.8%,24.1%,26.3%,49.6%,35.5%,64.5%
110,1296189440,T. Hartley,Tyler Hartley,Hartley,Tyler,P,Marist College,MRST,730374656,Marist,BBC,R,R,14,287,1070,53.1%,29.2%,33.2%,37.6%,43.0%,57.0%,25.6%,26.8%,47.6%,38.5%,61.5%
111,1238148096,C. Flukey,Cameron Flukey,Flukey,Cameron,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,18,414,1520,53.0%,32.3%,30.4%,37.4%,47.4%,52.6%,34.6%,28.0%,37.4%,48.0%,52.0%
112,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,13,369,1257,53.0%,28.2%,34.6%,37.2%,43.5%,56.5%,21.1%,26.7%,52.2%,33.7%,66.3%
113,1334326016,W. Retz,Walker Retz,Retz,Walker,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,307,1160,53.0%,42.9%,28.8%,28.3%,57.0%,43.0%,23.1%,24.5%,52.5%,35.2%,64.8%
114,1804936858,M. Blasche,Mason Blasche,Blasche,Mason,P,Samford University,SAM,730386432,Samford,BBC,R,R,16,300,1099,53.0%,25.4%,28.5%,46.0%,38.5%,61.5%,28.0%,25.5%,46.5%,40.4%,59.6%
115,1139725824,J. Raab,JT Raab,Raab,JT,P,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,14,330,1112,52.9%,42.2%,26.9%,30.9%,57.5%,42.5%,26.6%,30.8%,42.6%,41.8%,58.2%
116,1131526490,F. Romano,Frederick Romano,Romano,Frederick,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,12,286,969,52.9%,28.5%,30.5%,41.0%,43.1%,56.9%,26.5%,28.4%,45.1%,39.9%,60.1%
117,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,348,1229,52.9%,31.2%,32.9%,35.9%,48.2%,51.8%,23.4%,27.1%,49.5%,37.0%,63.0%
118,1299763712,B. Eftink,Brayden Eftink,Eftink,Brayden,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,R,12,230,533,52.9%,15.7%,22.5%,61.8%,24.6%,75.4%,18.8%,29.3%,51.8%,35.6%,64.4%
119,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,383,1341,52.8%,26.0%,32.5%,41.5%,39.0%,61.0%,31.0%,23.4%,45.5%,43.0%,57.0%
