Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1063,1310447104,J. Geiser,Jack Geiser,Geiser,Jack,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,19,158,549,276,37,369,126,113,330,49,93
1063,1098297856,J. Halcisak,Josh Halcisak,Halcisak,Josh,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,24,238,821,357,80,485,157,120,330,82,128
1063,1028771664,D. Nguyen-Brown,Daylinh Nguyen-Brown,Nguyen-Brown,Daylinh,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,20,199,754,323,87,448,128,108,330,111,125
1063,1621686355,D. Gazaway,Dylan Gazaway,Gazaway,Dylan,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,21,207,761,312,70,444,141,101,330,93,132
1063,1304267635,J. Blackwell,Jake Blackwell,Blackwell,Jake,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,L,23,204,790,351,90,496,125,136,330,114,145
1063,1864524134,E. Glassman,Ethan Glassman,Glassman,Ethan,P,Oakland University,OAK,5386,Oakland,BBC,R,L,21,230,886,359,86,543,146,127,330,108,184
1073,1834657565,W. McDuffie,Walker McDuffie,McDuffie,Walker,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,28,226,911,348,125,540,124,99,329,151,192
1073,1650849522,M. Riley,Michael Riley,Riley,Michael,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,17,179,657,313,49,417,139,125,329,74,104
1073,1084064541,E. Nardacci,Ethan Nardacci,Nardacci,Ethan,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,202,701,296,54,418,138,104,329,62,122
1076,1227867392,K. Brown,Kade Brown,Brown,Kade,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,22,183,689,310,100,449,109,101,328,102,139
1076,1080345856,J. Cirelli,Joey Cirelli,Cirelli,Joey,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,17,236,850,359,52,501,174,133,328,120,142
1076,1318258944,J. Martinez,Jafet Martinez,Martinez,Jafet,P,Alabama State University,ALST,4765,Alabama State,BBC,R,R,20,253,934,395,86,544,184,125,328,138,149
1076,1099197184,J. Lanzer,Jake Lanzer,Lanzer,Jake,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,17,197,741,309,61,425,144,104,328,59,116
1076,1119272195,C. Tremain,Cole Tremain,Tremain,Cole,P,University of California,CAL,730152448,California,BBC,R,R,24,198,762,339,74,472,128,137,328,110,133
1076,1237035008,A. Jimenez,Aiden Jimenez,Jimenez,Aiden,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,22,175,643,311,70,427,120,121,328,79,116
1076,1060614616,J. Dobie,Jayce Dobie,Dobie,Jayce,TWP,University of Nevada,NEV,4784,Nevada,BBC,R,R,11,195,709,348,85,460,141,122,328,103,112
1083,1332978432,T. Sausville,Tyler Sausville,Sausville,Tyler,P,Siena College,SIE,730382592,Siena,BBC,L,L,21,234,952,367,72,556,154,141,327,48,189
1083,1196003584,K. Jackson,Kenny Jackson,Jackson,Kenny,P,Southern University,SOU,4767,Southern,BBC,R,R,12,178,664,262,46,371,120,96,327,42,109
1083,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,876,343,35,484,199,109,327,51,141
1083,1681579739,T. DeRias,Tate DeRias,DeRias,Tate,P,University of Miami,MIA,236,Miami,BBC,R,R,18,196,759,334,74,449,142,118,327,98,115
1083,1357981504,C. Hanawalt,Chase Hanawalt,Hanawalt,Chase,P,Fordham University,FOR,730324992,Fordham,BBC,L,R,17,208,771,317,59,448,139,119,327,102,131
1083,1619696044,D. DeProspero,Dutch DeProspero,DeProspero,Dutch,P,Towson University,TOWS,730318336,Towson,BBC,R,R,16,262,885,405,74,565,201,130,327,88,160
1089,1157007360,T. Stewart,Tyler Stewart,Stewart,Tyler,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,13,185,706,325,68,470,130,127,326,93,145
1089,1200953344,J. Ogden,JD Ogden,Ogden,JD,P,Boston College,BC,227,Boston College,BBC,S,L,22,189,690,280,69,408,116,95,326,74,128
1089,1086258176,W. McCausland,Will McCausland,McCausland,Will,P,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,24,180,702,353,105,469,111,137,326,118,116
1089,1162509824,R. Reeth,Ricky Reeth,Reeth,Ricky,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,22,199,717,327,95,461,137,95,326,122,134
1089,1311017472,S. Hawks,Sawyer Hawks,Hawks,Sawyer,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,18,166,702,303,106,456,93,104,326,94,153
1089,1199808928,J. Thompson,J.J. Thompson,Thompson,J.J.,P,Wright State University,WRST,5390,Wright State,BBC,L,L,24,192,786,318,86,450,113,119,326,79,132
1089,1043305199,O. Austin,Owen Austin,Austin,Owen,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,22,193,765,306,65,466,113,128,326,100,160
1089,1906007146,A. Alvarez,Andreas Alvarez,Alvarez,Andreas,P,Auburn University,AUB,5466,Auburn,BBC,R,R,14,197,740,310,62,442,139,109,326,78,132
1089,1435528308,L. Sarantos,Lukas Sarantos,Sarantos,Lukas,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,16,220,790,337,84,475,155,98,326,120,138
1098,1082402048,C. Lim,Christian Lim,Lim,Christian,P,Stanford University,STAN,730251264,Stanford,BBC,L,L,9,183,680,318,66,432,128,124,325,103,114
1098,1190581504,A. Wright,Andrew Wright,Wright,Andrew,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,L,26,171,601,270,66,390,108,96,325,58,120
1098,1182004481,B. Nace,Breckin Nace,Nace,Breckin,TWP,Radford University,RAD,730267392,Radford,BBC,L,L,12,203,699,314,63,435,142,109,325,94,121
1098,1309501952,D. Fieger,Drew Fieger,Fieger,Drew,P,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,23,212,811,331,63,470,150,118,325,94,139
1098,1162562560,B. DeMell,Ben DeMell,DeMell,Ben,P,Penn State University,PSU,5326,Penn State,BBC,L,R,24,187,747,309,83,446,115,111,325,99,137
1098,1335215616,L. Willeman,Landon Willeman,Willeman,Landon,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,14,232,947,372,77,557,151,144,325,56,185
1098,1289918340,J. Payne,Jackson Payne,Payne,Jackson,P,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,18,243,952,435,96,585,171,168,325,59,150
1098,1024294920,B. Curry,Braden Curry,Curry,Braden,P,University of Toledo,TOL,5388,Toledo,BBC,R,R,17,187,737,305,99,442,115,91,325,103,137
1106,1279537152,T. Albanese,Tyler Albanese,Albanese,Tyler,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,22,175,694,293,87,427,94,112,324,54,134
1106,1099159040,N. Lawson,Nathan Lawson,Lawson,Nathan,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,22,267,1011,467,107,639,191,169,324,114,172
1106,1107495936,C. Higgins,Cal Higgins,Higgins,Cal,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,L,22,169,686,299,71,448,101,127,324,79,149
1109,1131143680,C. Ubner,Chris Ubner,Ubner,Chris,P,Marist College,MRST,730374656,Marist,BBC,R,R,16,190,712,279,62,384,112,105,323,48,105
1109,1092686592,D. Rhadans,Dylan Rhadans,Rhadans,Dylan,P,Wofford College,WOF,730176512,Wofford,BBC,L,L,17,202,768,338,71,472,140,127,323,107,134
1109,1105377280,Z. Endres,Zak Endres,Endres,Zak,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,20,183,714,291,76,436,116,99,323,81,145
1109,1260854016,C. Smith,Casey Smith,Smith,Casey,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,17,218,786,316,66,473,150,100,323,115,157
1109,1930598969,G. Kelham,Graham Kelham,Kelham,Graham,P,Murray State University,MURR,730188032,Murray State,BBC,R,R,24,196,735,334,114,474,110,110,323,79,140
1109,1297505536,L. Schmolke,Luke Schmolke,Schmolke,Luke,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,26,184,724,343,118,470,111,114,323,116,127
1109,1493707469,J. Brown,Jack Brown,Brown,Jack,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,26,210,736,326,75,432,149,102,323,99,106
1109,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,223,797,391,116,501,147,128,323,142,110
1109,1767851162,D. Cihocki,Danny Cihocki,Cihocki,Danny,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,22,210,824,317,65,485,138,114,323,76,168
1109,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,283,792,373,61,475,217,95,323,41,102
1109,1342168084,J. Ciancimino,Joey Ciancimino,Ciancimino,Joey,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,16,194,689,261,55,403,114,92,323,55,142
1109,1769907041,B. Loeger,Bryce Loeger,Loeger,Bryce,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,12,229,844,368,74,524,170,124,323,77,156
1121,1116316416,J. Solimine,Justin Solimine,Solimine,Justin,P,Stetson University,STET,730261504,Stetson,BBC,R,R,25,213,758,350,75,457,155,120,322,126,107
1121,1311954944,W. Quinn,Walt Quinn,Quinn,Walter,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,25,174,667,270,75,399,107,88,322,69,129
1121,1201265664,J. West,Justin West,West,Justin,P,University of Louisville,LOU,5467,Louisville,BBC,R,L,25,170,683,277,68,425,94,115,322,94,148
1121,1199602688,E. Dillinger,Ethan Dillinger,Dillinger,Ethan,P,Air Force Academy,AFA,730205440,Air Force,BBC,L,L,15,187,753,283,62,437,117,104,322,60,154
1121,1162485504,J. Ben-Shoshan,Jack Ben-Shoshan,Ben-Shoshan,Jack,P,Rice University,RICE,2352,Rice,BBC,R,R,23,186,737,340,81,474,113,146,322,120,134
1121,1037957951,N. Umlandt,Nolan Umlandt,Umlandt,Nolan,P,University of Portland,PORT,730360320,Portland,BBC,R,R,24,178,656,266,38,387,127,101,322,48,121
1127,1184454144,J. Nove,Jackson Nove,Nove,Jackson,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,22,171,715,286,74,445,93,119,321,86,159
1127,1306329344,D. Thompson,DJ Thompson,Thompson,DJ,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,19,168,668,269,47,390,109,113,321,70,121
1127,1282879488,M. Lindsey,Michael Lindsey,Lindsey,Michael,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,8,164,617,296,80,393,107,109,321,69,97
1130,1113336576,D. Hitt,Dalton Hitt,Hitt,Dalton,P,High Point University,HP,730321152,High Point,BBC,L,L,16,203,703,292,65,403,139,88,320,76,111
1130,1184508160,D. Andolina,David Andolina,Andolina,David,P,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,16,187,788,276,58,426,101,117,320,61,150
1130,1087410944,E. Balmaceda,Elian Balmaceda,Balmaceda,Elian,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,L,18,176,695,302,70,420,127,105,320,52,118
1130,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,332,1118,492,80,691,249,163,320,50,199
1130,1312405053,R. Espinoza,Rafael Espinoza,Espinoza,Rafael,P,Seattle University,SEA,4504,Seattle,BBC,R,R,17,240,864,342,52,489,160,130,320,60,147
1130,1401115053,I. Hoslett,Ian Hoslett,Hoslett,Ian,P,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,18,202,776,346,73,469,144,129,320,123,123
1130,1342169393,C. Kelley,Connor Kelley,Kelley,Connor,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,24,155,652,270,73,397,83,114,320,74,127
1137,1094165248,P. Titlow,Perry Titlow,Titlow,Perry,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,24,230,797,399,83,498,171,145,319,71,99
1138,1204609280,H. Johnson,Hayden Johnson,Johnson,Hayden,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,L,24,167,685,301,90,431,88,123,318,95,130
1138,1078579968,R. Interdonato,Reed Interdonato,Interdonato,Reed,P,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,19,182,792,276,86,419,98,92,318,71,143
1138,1214629632,W. Hartley,Wiley Hartley,Hartley,Wiley,P,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,12,196,734,335,93,450,127,115,318,101,115
1138,1299002341,N. Nino,Nathen Nino,Nino,Nathen,P,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,17,177,666,288,55,392,118,115,318,75,104
1138,1728327009,B. Gregg,Brayden Gregg,Gregg,Brayden,P,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,18,190,713,280,61,409,123,96,318,84,129
1138,1171539491,J. Podgorski,JP Podgorski,Podgorski,JP,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,19,200,742,342,68,448,146,128,318,93,106
1144,1195616000,L. Polk,Lakin Polk,Polk,Lakin,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,12,192,709,316,90,438,121,105,317,99,122
1144,1207758080,G. Alveti,Gavin Alveti,Alveti,Gavin,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,20,182,628,313,54,429,145,114,317,49,116
1144,1200671232,H. Porter,Hunter Porter,Porter,Hunter,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,20,237,909,347,89,508,145,113,317,87,161
1144,1126774784,W. Hartzell,Warren Hartzell,Hartzell,Warren,P,Wright State University,WRST,5390,Wright State,BBC,L,R,22,187,753,306,84,468,113,109,317,91,162
1144,1195467264,M. Martinez,Mason Martinez,Martinez,Mason,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,16,374,1000,417,61,562,258,98,317,63,145
1144,1162219776,B. Brash,Ben Brash,Brash,Ben,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,15,176,651,277,44,412,134,99,317,77,135
1144,1248844032,L. Krkovski,Luke Krkovski,Krkovski,Luke,P,Lamar University,LAM,730162432,Lamar,BBC,L,L,20,196,691,318,93,423,125,100,317,99,105
1144,1306843392,C. Delvecchio,Cody Delvecchio,Delvecchio,Cody,P,UCLA,UCLA,5048,UCLA,BBC,R,R,8,166,652,310,72,407,113,125,317,73,97
1144,1207806465,M. Sauser,Matt Sauser,Sauser,Matt,P,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,10,167,623,290,55,400,118,117,317,70,110
1144,1288617728,D. Smith,Davis Smith,Smith,Davis,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,20,170,675,292,51,394,110,131,317,67,102
1144,1972776483,M. Davenport,Mason Davenport,Davenport,Mason,P,Stetson University,STET,730261504,Stetson,BBC,R,R,16,178,733,306,89,432,110,107,317,97,126
1155,1310603776,J. Hooker,Jake Hooker,Hooker,Jake,P,Xavier University,XAV,5464,Xavier,BBC,R,R,22,205,733,297,50,415,146,101,316,92,118
1155,1182880000,L. Crumbley,Landon Crumbley,Crumbley,Landon,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,17,198,710,335,69,448,145,121,316,109,113
1155,1334267904,L. Schulfer,Logan Schulfer,Schulfer,Logan,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,12,176,682,292,76,391,108,108,316,59,99
1155,1342166863,C. Teper,Cameron Teper,Teper,Cameron,P,California Baptist University,CBU,5091,California Baptist,BBC,R,L,26,191,719,280,71,424,132,77,316,76,144
1155,1198975023,C. Teinert,Cameron Teinert,Teinert,Cameron,P,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,17,221,782,341,76,482,159,106,316,96,141
1160,1247126273,B. Myers,Braylon Myers,Myers,Braylon,P,University of Alabama,ALA,730206976,Alabama,BBC,L,R,23,168,666,295,85,432,89,121,315,79,137
1160,1099891456,J. Renaud,Jack Renaud,Renaud,Jack,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,25,175,611,321,56,398,132,133,315,72,77
1160,1113495040,T. Franklin,Tanner Franklin,Franklin,Tanner,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,27,163,627,307,93,410,98,116,315,80,103
1160,1282339584,R. Stewart,Robbie Stewart,Stewart,Robbie,P,Fordham University,FOR,730324992,Fordham,BBC,R,R,16,210,812,317,66,452,132,119,315,106,135
1160,1089025792,R. McDuffie,Reece McDuffie,McDuffie,Reece,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,21,229,738,370,49,506,191,130,315,49,136
1160,1518897568,W. Sanford,Will Sanford,Sanford,Will,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,11,175,767,313,72,416,90,151,315,94,103
1166,1287324160,T. Harper,Thomas Harper,Harper,Thomas,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,15,245,838,369,83,499,180,106,314,80,130
1166,1202717440,A. Philpott,Alex Philpott,Philpott,Alex,P,University of Florida,FLA,730168320,Florida,BBC,R,R,22,173,684,311,77,428,104,130,314,85,117
1166,1163676928,R. Boykin,Robbie Boykin,Boykin,Robbie,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,19,190,723,328,52,473,149,127,314,117,145
1169,1093142784,G. Wood,Gage Wood,Wood,Gage,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,10,150,627,282,122,410,71,89,313,76,128
1169,1326745344,S. Riedinger,Skyler Riedinger,Riedinger,Skyler,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,19,154,573,232,40,361,105,87,313,44,129
1169,1311054080,D. Suarez,Danny Suarez,Suarez,Danny,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,164,677,265,75,394,89,101,313,68,129
1169,1122520320,J. Castrichini,Joe Castrichini,Castrichini,Joe,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,16,185,740,301,59,431,119,123,313,90,130
1169,1136535572,L. Broderick,Luke Broderick,Broderick,Luke,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,27,156,678,267,81,417,90,96,313,98,150
1169,1913923954,A. Pocol,Ashton Pocol,Pocol,Ashton,P,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,19,162,705,312,111,430,90,111,313,91,118
1175,1153467904,G. Stratton,Garrett Stratton,Stratton,Garrett,P,Rice University,RICE,2352,Rice,BBC,R,R,21,191,706,301,63,436,127,111,312,89,135
1175,1789193305,J. Gorelick,Jake Gorelick,Gorelick,Jake,P,Stetson University,STET,730261504,Stetson,BBC,R,R,16,155,573,252,47,364,121,84,312,51,112
1175,1448267178,N. Ries,Nathan Ries,Ries,Nathan,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,12,174,687,299,57,420,116,126,312,82,121
1175,1347903508,A. Speranza,Andrew Speranza,Speranza,Andrew,P,Marist College,MRST,730374656,Marist,BBC,L,L,20,155,649,234,66,356,90,78,312,45,122
1179,1278802176,T. Wood,Tyler Wood,Wood,Tyler,P,UC Davis,UCD,730153984,UC Davis,BBC,R,R,15,227,786,330,80,483,153,97,311,102,153
1179,1330788864,B. Bybee,Ben Bybee,Bybee,Ben,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,18,162,592,274,73,390,104,97,311,70,116
1179,1171684352,A. Neal,Austin Neal,Neal,Austin,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,23,167,690,296,89,410,82,125,311,80,114
1179,1099150080,E. Darden,Ethan Darden,Darden,Ethan,P,Clemson University,CLEM,730358784,Clemson,BBC,L,L,9,186,664,309,68,443,134,107,311,105,134
1179,1191783936,J. Lynch,Jake Lynch,Lynch,Jake,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,26,210,713,378,99,483,146,133,311,99,105
1179,1338170880,G. Brown,Gunnar Brown,Brown,Gunnar,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,14,166,654,263,60,380,105,98,311,60,117
1179,1197668352,J. Blank,Jackson Blank,Blank,Jackson,P,Rice University,RICE,2352,Rice,BBC,R,R,20,204,791,325,88,470,133,104,311,122,145
1179,1243067136,J. Paden,Jaylen Paden,Paden,Jaylen,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,15,188,771,331,96,450,104,131,311,119,119
1179,1276587776,B. Bales,Bryson Bales,Bales,Bryson,P,Baylor University,BAY,3033,Baylor,BBC,L,L,15,177,678,284,55,396,119,110,311,78,112
1179,1713227267,N. Didder,Nkosi Didder,Didder,Nkosi,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,25,224,819,337,62,460,145,130,311,45,123
1179,1329016597,L. Saloman,Logan Saloman,Saloman,Logan,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,17,181,665,304,63,438,129,112,311,88,134
1190,1088679680,D. Desch,Dominic Desch,Desch,Dominic,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,18,171,647,282,79,411,110,93,310,79,129
1190,1167221504,C. Maloney,Collin Maloney,Maloney,Collin,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,13,193,742,290,49,443,123,118,310,84,153
1190,1079913472,S. Hasegawa,Sam Hasegawa,Hasegawa,Sam,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,22,174,620,306,79,390,121,106,310,70,84
1190,1257447168,J. Swink,Josh Swink,Swink,Josh,P,Liberty University,LIB,730156288,Liberty,BBC,L,L,21,182,688,268,50,434,131,87,310,65,166
1190,1336581632,P. Crowl,Preston Crowl,Crowl,Preston,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,25,160,710,297,84,426,89,124,310,93,129
1190,1789140645,J. Johnson,Jonah Johnson,Johnson,Jonah,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,13,160,665,257,69,396,95,93,310,62,139
1190,1847449062,T. Timmerman,Tyler Timmerman,Timmerman,Tyler,P,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,14,245,891,378,88,538,162,128,310,47,160
1197,1327302400,K. Lyons,Kendall Lyons,Lyons,Kendall,P,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,15,189,716,338,76,425,135,127,309,98,87
1197,1283512064,K. Parker,Kade Parker,Parker,Kade,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,14,170,597,275,47,395,121,107,309,63,120
1197,1685001923,L. Lirette,Luke Lirette,Lirette,Luke,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,16,183,683,308,63,403,126,119,309,78,95
1197,1530795525,M. Kaplan,Max Kaplan,Kaplan,Max,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,L,14,197,705,312,88,442,124,100,309,107,130
1201,1294951424,N. Dugan,Nick Dugan,Dugan,Nick,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,14,206,785,337,102,462,141,94,308,136,125
1201,1273722368,B. Afthim,Brady Afthim,Afthim,Brady,P,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,22,168,673,342,123,427,91,128,308,105,85
1201,1204883968,D. McCarley,Derek McCarley,McCarley,Derek,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,21,187,747,323,87,454,120,116,308,108,131
1201,1138084352,D. Thompson,Demarques Thompson,Thompson,Demarques,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,27,224,816,247,57,386,114,76,308,38,139
1201,1236332658,C. Laws,Carson Laws,Laws,Carson,P,Texas State University,TXST,5420,Texas State,BBC,R,R,23,173,747,334,119,443,87,128,308,122,109
1201,1581559761,S. Curry,Stephen Curry,Curry,Stephen,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,16,172,653,257,45,371,119,93,308,53,114
1201,1328495337,L. Trout,Luke Trout,Trout,Luke,P,Brown University,BRWN,730236160,Brown,BBC,R,R,11,221,874,329,80,496,145,104,308,123,167
1208,1256941312,R. Ready,Rob Ready,Ready,Rob,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,18,199,710,342,86,452,143,113,307,98,110
1208,1162566656,O. Melendez,Omar Melendez,Melendez,Omar,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,L,13,175,657,286,75,398,124,87,307,88,112
1208,1248707840,D. Eaquinto,Derik Eaquinto,Eaquinto,Derik,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,21,217,787,344,93,471,153,98,307,132,127
1208,1342167319,J. Lewis,Jax Lewis,Lewis,Jax,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,17,197,702,330,64,440,144,122,307,107,110
1208,1556620686,E. Werse,Edward Werse,Werse,Edward,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,L,18,145,574,288,58,376,97,133,307,38,88
1208,1342169318,T. Zahradnik,Ty Zahdradnik,Zahradnik,Ty,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,L,L,20,151,608,247,53,374,88,106,307,49,127
1214,1159258368,L. Pirko,Lukas Pirko,Pirko,Lukas,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,18,177,668,323,81,422,124,118,306,94,99
1214,1239627776,C. Welch,Carter Welch,Welch,Carter,P,University of Delaware,DEL,730203136,Delaware,BBC,L,L,16,174,706,301,79,442,115,107,306,106,141
1214,1193094400,Z. Peters,Zachary Peters,Peters,Zachary,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,18,165,680,287,68,414,90,129,306,94,127
1214,1239346432,H. Leffew,Haiden Leffew,Leffew,Haiden,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,L,27,158,677,290,110,423,78,102,306,94,133
1214,1093306624,N. Hawley,Nathan Hawley,Hawley,Nathan,P,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,18,177,707,289,40,421,129,120,306,87,132
1214,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,242,736,337,43,452,181,113,306,36,115
1214,1564351809,J. Vest,Jeremy Vest,Vest,Jeremy,P,Delaware State University,DSU,730217984,Delaware State,BBC,L,L,14,207,668,286,56,400,138,92,306,62,114
1214,1299660668,C. Gruber,Chayse Gruber,Gruber,Chayse,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,19,174,634,265,32,401,131,102,306,64,136
1214,1733716478,L. Vega,Lucas Vega,Vega,Lucas,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,18,217,778,355,57,482,162,136,306,62,127
1214,1242031643,S. Patel,Sahil Patel,Patel,Sahil,P,The Ohio State University,OSU,4144,Ohio State,BBC,L,L,15,174,747,256,81,394,85,90,306,77,138
1214,1041288587,C. Airington,Cody Airington,Airington,Cody,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,8,167,653,317,72,419,111,134,306,100,102
1225,1179985408,R. Walton,Ryker Walton,Walton,Ryker,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,15,283,1035,455,105,617,184,166,305,100,162
