Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,IP,BF,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
78,1611658868,M. Rabayda,Mike Rabayda,Rabayda,Mike,P,Fordham University,FOR,730324992,Fordham,BBC,R,R,15,84.1,382,1382,14.44,108.0%,1.74,0.57,22,13
79,1133388800,R. Packard,Ryan Packard,Packard,Ryan,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,17,61.2,287,1077,14.10,113.2%,1.72,2.76,17,9
80,1231526144,C. Burfield,Casey Burfield,Burfield,Casey,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,14,70.1,316,1118,14.09,111.0%,1.69,2.10,18,10
81,1136097280,A. Stanley,Andrew Stanley,Stanley,Andrew,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,17,71.0,317,1200,14.09,107.3%,1.75,1.94,22,10
82,1749819658,B. Kimball,Blake Kimball,Kimball,Blake,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,18,73.0,338,1219,14.07,114.1%,1.63,1.19,23,7
83,1279310848,L. Stump,Landon Stump,Stump,Landon,P,UCLA,UCLA,5048,UCLA,BBC,R,R,18,75.1,344,1314,14.04,107.4%,1.66,0.40,21,10
84,1199734331,J. Nedrow,Jack Nedrow,Nedrow,Jack,P,University of South Florida,USF,2292,South Florida,BBC,R,R,18,72.0,300,1035,14.03,111.4%,1.71,1.49,10,6
85,1162060288,T. Hansen,Trevor Hansen,Hansen,Trevor,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,95.1,402,1545,14.00,109.7%,1.71,1.05,17,11
86,1342168677,C. Scolari,Cal Scolari,Scolari,Cal,P,University of San Diego,USD,5320,San Diego,BBC,R,R,15,70.1,306,1305,13.95,106.7%,1.69,1.67,31,19
87,1709079320,E. Kleinschmit,Ethan Kleinschmit,Kleinschmit,Ethan,P,Oregon State University,ORST,3111,Oregon State,BBC,L,L,17,91.0,376,1548,13.93,105.8%,1.78,4.14,25,17
88,1203581952,C. Gilley,Cole Gilley,Gilley,Cole,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,18,68.2,289,1136,13.81,108.9%,1.65,1.90,21,4
89,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,47.1,227,837,13.75,112.5%,1.69,2.55,17,3
90,1106733824,C. Roberts,Cole Roberts,Roberts,Cole,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,13,71.0,297,1077,13.55,109.4%,1.66,1.63,22,10
91,1564722927,A. Sparks,Alec Sparks,Sparks,Alec,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,12,72.0,305,1122,13.51,108.9%,1.72,1.86,12,6
92,1908498512,I. Koosman,Ian Koosman,Koosman,Ian,P,Creighton University,CREI,730243840,Creighton,BBC,R,R,19,60.1,261,968,13.47,109.0%,1.62,1.62,15,7
93,1665927471,W. Magers,Wilson Magers,Magers,Wilson,P,Creighton University,CREI,730243840,Creighton,BBC,R,R,16,72.2,314,1179,13.41,108.0%,1.65,1.04,24,9
94,1132673280,G. Adler,Grant Adler,Adler,Grant,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,15,79.2,364,1405,13.18,106.1%,1.63,2.70,19,5
95,1324687616,J. Skapinetz,Joe Skapinetz,Skapinetz,Joe,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,63.1,296,1121,13.11,107.2%,1.52,2.87,21,14
96,1266982912,C. Lane,Carson Lane,Lane,Carson,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,15,78.2,347,1388,13.10,107.2%,1.59,1.87,28,22
97,1176403456,T. Santana,Thomas Santana,Santana,Thomas,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,61.2,285,1102,13.05,106.2%,1.55,0.86,17,9
98,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,19,95.2,385,1601,13.01,104.7%,1.64,0.98,11,12
99,1129687636,G. Garman,Grant Garman,Garman,Grant,P,Oakland University,OAK,5386,Oakland,BBC,L,L,15,78.2,370,1405,12.94,106.8%,1.64,1.58,17,14
100,1497321367,M. Sipila,Marko Sipila,Sipila,Marko,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,12,71.1,322,1226,12.87,107.8%,1.50,0.96,15,8
101,1643596490,N. Mertens,Nathan Mertens,Mertens,Nathan,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,15,79.0,315,1085,12.74,108.1%,1.58,2.09,11,9
102,1196798720,C. Keshock,Cameron Keshock,Keshock,Cameron,P,Samford University,SAM,730386432,Samford,BBC,R,R,15,77.0,366,1325,12.37,106.5%,1.47,1.69,19,12
103,1136002048,J. Soberon,Joe Soberon,Soberon,Joe,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,14,61.2,290,1083,12.07,109.2%,1.51,2.06,21,10
104,1232208640,L. McCollough,Luke McCollough,McCollough,Luke,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,13,77.2,335,1219,12.03,106.4%,1.36,1.97,16,12
105,1162521088,L. Runde,Logan Runde,Runde,Logan,P,Florida International University,FIU,4468,Florida International,BBC,R,R,21,58.1,274,999,11.91,107.7%,1.51,1.65,8,10
106,1150276096,C. Richter,Chase Richter,Richter,Chase,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,28,54.0,228,864,11.85,109.7%,1.49,1.40,23,9
107,1318761728,G. Yawn,Garrett Yawn,Yawn,Garrett,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,105.1,459,1738,11.83,110.0%,1.41,2.16,20,14
108,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,66.0,279,1151,11.74,108.6%,1.51,2.06,11,10
109,1937598904,D. Boruff,Dalton Boruff,Boruff,Dalton,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,22,55.2,254,935,11.28,114.9%,1.39,1.29,19,3
110,1313502976,G. Edwards,Grant Edwards,Edwards,Grant,P,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,15,76.2,339,1278,11.22,107.3%,1.43,1.70,16,7
111,1092635904,C. Cosper,Colton Cosper,Cosper,Colton,P,Mercer University,MER,730240512,Mercer,BBC,L,L,16,88.1,362,1435,11.18,104.1%,1.39,1.62,20,19
112,1311169536,M. Patel,Mason Patel,Patel,Mason,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,23,70.0,283,957,11.09,107.0%,1.37,1.97,20,9
113,1258111488,C. Daniel,Colin Daniel,Daniel,Colin,P,UAB,UAB,730345984,UAB,BBC,R,R,14,91.1,379,1332,11.08,104.9%,1.44,1.31,13,11
114,1257460992,T. Grenn,Tyler Grenn,Grenn,Tyler,P,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,13,73.0,326,1144,10.83,106.6%,1.21,1.68,20,8
115,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,72.1,335,1243,10.83,104.2%,1.35,1.95,12,8
116,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,14,61.1,305,1005,10.76,109.3%,1.28,1.32,9,6
117,1279297536,J. Brink,Jake Brink,Brink,Jake,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,16,93.0,407,1410,10.75,105.0%,1.31,1.01,13,8
118,1143021312,G. Gambradella,Gianni Gambradella,Gambradella,Gianni,P,University of Maine,ME,730275840,Maine,BBC,R,R,15,62.2,278,986,10.66,118.3%,1.30,1.48,12,5
119,1169302528,G. Grinsell,Grayson Grinsell,Grinsell,Grayson,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,16,98.2,393,1586,10.63,104.3%,1.33,1.25,17,11
120,1192573184,M. Barnett,Michael Barnett,Barnett,Michael,P,UCLA,UCLA,5048,UCLA,BBC,R,R,19,86.0,373,1391,10.62,105.3%,1.30,1.03,18,8
121,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,18,56.0,266,1027,10.55,105.9%,1.31,0.54,14,5
122,1187058176,D. Stewart,Dylan Stewart,Stewart,Dylan,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,14,55.2,256,994,10.51,108.2%,1.23,1.38,11,7
123,1238131200,J. Gatti,J.J. Gatti,Gatti,J.J.,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,16,65.1,306,1189,10.39,108.0%,1.23,0.34,20,10
124,1281260544,P. Havard,Peyton Havard,Havard,Peyton,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,22,63.2,261,1012,10.36,108.7%,1.24,1.95,11,7
125,1065548722,A. Laine,Avery Laine,Laine,Avery,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,17,67.1,304,1118,10.35,107.3%,1.30,1.77,5,5
126,1104573440,L. Nichols,Luke Nichols,Nichols,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,25,58.2,274,988,10.23,108.8%,1.31,1.36,14,2
127,1232886784,M. Parker,Max Parker,Parker,Max,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,L,14,82.1,373,1240,10.22,128.6%,1.29,2.05,9,2
128,1152937984,I. Umlandt,Ian Umlandt,Umlandt,Ian,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,18,60.0,265,982,10.21,106.9%,1.30,0.13,16,6
129,1488546413,L. Meyers,Luke Meyers,Meyers,Luke,P,Washington State University,WSU,4505,Washington State,BBC,R,R,15,66.2,290,1136,10.17,114.6%,1.17,0.52,14,2
130,1105311232,B. Bendik,Brady Bendik,Bendik,Brady,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,13,73.0,318,1169,10.11,105.5%,1.35,1.75,23,21
131,1238202112,K. Witherspoon,Kyson Witherspoon,Witherspoon,Kyson,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,16,95.0,390,1568,10.08,104.9%,1.22,2.16,19,16
132,1275958784,E. Hoffberg,Erik Hoffberg,Hoffberg,Erik,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,23,54.0,242,944,9.97,108.0%,1.21,1.24,20,11
133,1211982848,S. Gottam,Santhosh Gottam,Gottam,Santhosh,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,63.2,283,986,9.93,106.3%,1.19,1.11,12,14
134,1278775808,C. Montgomery,Cade Montgomery,Montgomery,Cade,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,10,57.1,238,906,9.91,107.2%,1.15,0.37,13,6
135,1306838784,S. Seid,Spencer Seid,Seid,Spencer,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,16,56.1,243,980,9.86,107.2%,1.27,2.00,13,8
136,1220043596,B. Panneton,Brian Panneton,Panneton,Brian,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,78.0,331,1184,9.71,111.0%,1.21,1.21,13,6
137,1462207411,A. Johnson,Andrew Johnson,Johnson,Andrew,P,University of Southern California,USC,5047,USC,BBC,S,R,22,67.1,296,1049,9.65,105.4%,1.14,1.88,14,10
138,1201053184,G. Braunecker,Gavin Braunecker,Braunecker,Gavin,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,15,70.0,305,1119,9.62,108.6%,1.21,1.73,17,2
139,1195501312,C. Diaz,Chris Diaz,Diaz,Chris,P,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,13,75.0,319,1170,9.43,108.2%,1.11,1.14,7,3
140,1198583040,C. Powers,Callen Powers,Powers,Callen,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,72.0,338,1245,9.29,112.6%,1.14,1.50,8,5
141,1094692864,A. Lyon,Alex Lyon,Lyon,Alex,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,31,59.2,258,855,9.23,107.4%,1.17,0.72,18,6
