Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
8,1190356736,T. Horn,Ty Horn,Horn,Ty,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,1465,18,17,4,4,5,0,85.2,86,47,52,2.61,2.89,32,76,15,4.94,4.94,1.38,7.98,3.36,2.38,1.58,4.2
8,1238148096,C. Flukey,Cameron Flukey,Flukey,Cameron,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,1520,18,17,8,2,9,0,101.2,78,36,40,2.00,2.22,24,118,6,3.19,2.66,1.00,10.45,2.12,4.92,0.53,5.2
8,1287363584,M. Phillips,Marcus Phillips,Phillips,Marcus,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,1412,17,17,4,5,3,0,83.0,74,35,45,2.06,2.65,34,98,11,3.80,4.06,1.30,10.63,3.69,2.88,1.19,5.0
8,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,1347,17,17,3,5,7,0,89.1,78,38,53,2.24,3.12,36,71,6,3.83,3.94,1.28,7.15,3.63,1.97,0.60,5.1
8,1185610753,D. Fritton,Dom Fritton,Fritton,Dom,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,1589,17,17,5,6,6,0,86.2,92,43,54,2.53,3.18,39,107,13,4.47,4.22,1.51,11.11,4.05,2.74,1.35,5.0
8,1111554816,Z. Royse,Zach Royse,Royse,Zach,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,1531,19,17,9,5,5,0,94.0,104,54,60,2.84,3.16,34,83,15,5.17,4.73,1.47,7.95,3.26,2.44,1.44,5.0
8,1195551232,C. Myles,Conor Myles,Myles,Conor,P,UTSA,UTSA,730373120,UTSA,BBC,L,L,1189,17,17,5,2,2,0,74.0,87,40,47,2.35,2.76,22,61,8,4.86,4.15,1.47,7.42,2.68,2.77,0.97,4.1
8,1276589824,M. Adams,Matthew Adams,Adams,Matthew,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,1297,18,17,6,4,5,0,79.1,78,38,39,2.11,2.17,22,89,9,4.31,3.54,1.26,10.10,2.50,4.05,1.02,4.1
8,1473506994,G. Kirn,Griffin Kirn,Kirn,Griffin,P,West Virginia University,WVU,5327,West Virginia,BBC,L,L,1546,18,17,5,3,7,1,99.0,86,37,46,2.06,2.56,30,103,13,3.36,4.14,1.17,9.36,2.73,3.43,1.18,5.2
8,1128102459,D. Whitney,Dax Whitney,Whitney,Dax,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,1403,17,17,6,3,3,0,76.2,61,29,30,1.71,1.76,37,120,5,3.40,2.73,1.28,14.09,4.34,3.24,0.59,4.2
8,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,1359,17,17,8,1,6,0,82.2,78,28,34,1.65,2.00,33,101,2,3.05,2.36,1.34,11.00,3.59,3.06,0.22,5.0
8,1709079320,E. Kleinschmit,Ethan Kleinschmit,Kleinschmit,Ethan,P,Oregon State University,ORST,3111,Oregon State,BBC,L,L,1548,17,17,8,5,8,0,91.0,63,36,43,2.12,2.53,36,113,11,3.56,3.72,1.09,11.18,3.56,3.14,1.09,5.1
26,1153300736,J. Anker,Jack Anker,Anker,Jack,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,1678,16,16,9,5,5,0,96.1,122,64,68,4.00,4.25,12,109,14,5.98,3.68,1.39,10.18,1.12,9.08,1.31,6.0
26,1269627392,B. Hamilton,Brady Hamilton,Hamilton,Brady,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,1267,16,16,2,7,3,0,78.2,71,47,53,2.94,3.31,43,63,5,5.38,4.65,1.45,7.21,4.92,1.47,0.57,5.0
26,1176124160,T. LaPour,Tommy LaPour,LaPour,Tommy,P,Texas Christian University,TCU,5045,TCU,BBC,R,R,1464,16,16,8,3,9,0,90.1,78,31,33,1.94,2.06,27,88,6,3.09,3.26,1.16,8.77,2.69,3.26,0.60,5.2
26,1246857984,B. Jacobs,Ben Jacobs,Jacobs,Ben,P,Arizona State University,ASU,5035,Arizona State,BBC,L,L,1577,16,16,4,4,3,0,83.2,71,46,48,2.88,3.00,45,120,9,4.95,3.64,1.39,12.91,4.84,2.67,0.97,5.1
26,1243621888,R. Maddox,Riley Maddox,Maddox,Riley,P,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,1229,17,16,6,5,2,0,69.2,71,43,46,2.53,2.71,30,69,11,5.56,4.84,1.45,8.91,3.88,2.30,1.42,4.0
26,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1368,17,16,8,5,5,0,83.2,83,47,54,2.76,3.18,33,64,10,5.06,4.74,1.39,6.88,3.55,1.94,1.08,5.0
