Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
5,1324713472,A. Gonzalez,Anthony Gonzalez,Gonzalez,Anthony,C,Stetson University,STET,730261504,Stetson,BBC,R,R,3,2,3,2,1,79.3,2.07,0.81,1.26,4.32,0.5
5,1850462131,C. Kilgore,Cal Kilgore,Kilgore,Cal,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,3,0,2,1,0,82.5,1.97,0.77,1.23,1.52,4.2
5,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,3,2,2,2,0,77.0,2.08,0.76,1.32,1.67,-1.2
5,1738127352,E. Sepulveda,Esteban Sepulveda,Sepulveda,Esteban,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,3,1,3,2,0,75.1,1.94,0.75,1.17,-0.13,-1.0
5,1505415651,M. Barela,Mason Barela,Barela,Mason,P,Cornell University,COR,730298624,Cornell,BBC,R,R,3,1,2,0,1,73.4,2.11,0.78,1.33,-0.69,-6.4
5,1151531062,G. Marlow,Geoff Marlow,Marlow,Geoff,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,3,1,3,1,0,80.2,2.05,0.85,1.28,1.54,-4.8
18,1257344000,K. Carston,Koen Carston,Carston,Koen,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,4,1,3,2,0,75.6,2.14,0.83,1.34,3.47,2.1
18,1142924032,K. Klingenbeck,Kory Klingenbeck,Klingenbeck,Kory,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,S,R,4,7,4,4,0,81.4,2.19,0.92,1.23,1.02,4.0
18,1238097920,B. Lummus,Brock Lummus,Lummus,Brock,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,4,2,1,1,0,82.4,-,-,1.19,3.79,4.1
18,1176122880,L. Odom,Lawson Odom,Odom,Lawson,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,4,2,1,0,0,79.7,-,0.77,-,-,-
18,1306752000,C. Phillips,Cayden Phillips,Phillips,Cayden,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,4,2,5,2,1,80.9,2.01,0.77,1.25,2.89,4.0
18,1330743296,A. Nevils,Alex Nevils,Nevils,Alex,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,4,1,1,1,0,79.7,1.88,0.66,1.22,-1.01,4.3
18,1638210200,L. Moeller,Luke Moeller,Moeller,Luke,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,4,2,0,0,0,-,-,-,-,-,-
18,1039959144,D. Scheumann,DJ Scheumann,Scheumann,DJ,C,Ball State University,BALL,730195456,Ball State,BBC,S,R,4,0,1,0,0,74.5,-,0.83,-,-,-
18,1955934336,C. Smith,Conner Smith,Smith,Conner,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,4,3,4,3,0,77.5,2.04,0.70,1.30,0.80,6.3
18,1734597370,D. Rogers,Drew Rogers,Rogers,Drew,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,4,3,3,2,0,81.8,1.89,0.72,1.21,3.42,4.2
18,1342167775,C. Pourciau,Clayton Pourciau,Pourciau,Clayton,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,4,0,1,0,0,81.6,-,1.29,-,-,-
18,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,4,7,2,1,1,75.4,1.80,0.67,1.12,3.80,1.4
18,1317308271,Z. Butler,Zac Butler,Butler,Zac,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,4,3,3,3,0,78.9,1.97,0.71,1.26,1.22,-0.2
18,1178255014,C. Mowry,Collin Mowry,Mowry,Collin,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,4,4,6,2,1,77.8,2.06,0.84,1.31,1.67,0.6
32,1336567552,C. Smithwick,Campbell Smithwick,Smithwick,Campbell,C,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,5,4,2,1,0,77.4,-,0.79,1.34,-0.40,-2.7
32,1261647104,C. Cooke,Conor Cooke,Cooke,Conor,1B,Brown University,BRWN,730236160,Brown,BBC,R,R,5,1,3,3,0,77.7,2.02,0.73,1.31,1.86,5.3
32,1105510656,A. Lamb,Andrew Lamb,Lamb,Andrew,C,University of Southern California,USC,5047,USC,BBC,L,R,5,1,3,3,0,73.3,2.05,0.68,1.38,1.73,1.5
32,1852864419,K. Krill,Kevin Krill,Krill,Kevin,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,5,2,3,2,1,74.1,2.54,1.15,1.39,0.90,5.7
32,1047639637,M. Soliz Jr.,Max Soliz Jr.,Soliz Jr.,Max,C,University of Kansas,KU,730360064,Kansas,BBC,R,R,5,2,1,1,0,80.0,2.10,0.82,1.28,-0.19,6.2
32,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,5,4,6,2,1,78.0,2.15,0.77,1.30,4.42,6.4
32,1451114555,E. Taveras,Evan Taveras,Taveras,Evan,C,University of Miami,MIA,236,Miami,BBC,R,R,5,0,4,0,1,78.9,-,0.80,1.27,9.20,6.5
32,1342169528,A. Westbrook,Anthony Westbrook,Westbrook,Anthony,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,5,1,4,2,0,79.9,2.04,0.77,1.25,2.03,-2.6
32,1064756010,M. Hersh,Marc Hersh,Hersh,Marc,C,Florida International University,FIU,4468,Florida International,BBC,R,R,5,1,3,2,1,80.0,1.97,0.73,1.24,3.20,3.6
32,1759752870,T. Martinez,Trevian Martinez,Martinez,Trevian,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,5,1,4,2,1,78.2,2.00,0.72,1.28,3.44,1.5
32,1761673592,N. Lombardi,Niko Lombardi,Lombardi,Niko,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,5,1,3,3,0,79.6,1.55,0.74,0.96,3.40,3.6
32,1387215374,W. Robbins,Will Robbins,Robbins,Will,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,5,2,4,2,1,81.3,2.03,0.78,1.25,5.14,-0.0
32,1342168149,L. Banister,Luke Banister,Banister,Luke,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,5,1,4,3,1,78.2,1.98,0.71,1.29,3.73,6.0
32,1024090398,T. Wells,Trey Wells,Wells,Trey,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,5,7,5,2,1,82.2,1.99,0.83,1.20,3.48,3.1
32,1677815916,L. McNellis,Lucas McNellis,McNellis,Lucas,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,5,0,1,1,0,78.7,-,-,1.27,-0.52,-1.5
32,1365345583,D. Vergel de Dios,David Vergel de Dios,Vergel de Dios,David,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,5,2,0,0,0,-,-,-,-,-,-
32,1342168625,B. Williams,Brett Williams,Williams,Brett,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,5,2,6,2,4,78.4,1.98,0.70,1.28,4.22,4.5
32,1302422799,D. McGowan,Drew McGowan,McGowan,Drew,C,Marist College,MRST,730374656,Marist,BBC,L,R,5,2,0,0,0,-,-,-,-,-,-
50,1330949120,M. Kaufer,Max Kaufer,Kaufer,Max,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,6,5,5,3,1,81.6,2.05,0.81,1.22,1.42,4.7
50,1293160192,N. Cmeyla,Nathan Cmeyla,Cmeyla,Nathan,C,Florida State University,FSU,101,Florida State,BBC,R,R,6,1,2,2,0,80.7,2.01,0.76,1.24,2.30,-2.8
50,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,6,2,8,4,1,76.1,2.15,1.05,1.30,1.52,1.8
50,1341291776,Z. Chamizo,Zach Chamizo,Chamizo,Zach,3B,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,6,4,1,1,0,72.0,2.16,0.77,1.39,0.09,2.5
50,1278168832,J. Diprima,JD Diprima,Diprima,JD,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,S,R,6,1,1,1,0,76.6,2.14,0.85,1.29,4.73,2.6
