Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
216,1342167905,A. Tirado,Anthony Tirado,Tirado,Anthony,CF,University of Massachusetts,MASS,5451,UMass,BBC,L,R,48,124,24,17,7,70.8%,70,15,9,6,60.0%,54,7,6,1,85.7%,1,1,0
216,1203917596,J. Wakefield,Josh Wakefield,Wakefield,Josh,RF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,L,50,124,20,17,3,85.0%,79,17,14,3,82.4%,45,2,2,0,100.0%,0,0,0
251,1156909056,J. Lewis,Jeriah Lewis,Lewis,Jeriah,CF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,59,64,22,16,6,72.7%,41,16,10,6,62.5%,23,5,5,0,100.0%,1,1,0
251,1104654848,J. Sokolove,JT Sokolove,Sokolove,JT,CF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,127,19,16,3,84.2%,87,15,12,3,80.0%,40,2,2,0,100.0%,0,0,0
251,1334009600,D. Figueroa,Daniel Figueroa,Figueroa,Daniel,CF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,L,42,49,17,16,1,94.1%,33,9,9,0,100.0%,16,4,3,1,75.0%,1,1,0
251,1090286592,J. Doyle,Jack Doyle,Doyle,Jack,3B,Northeastern University,NE,343,Northeastern,BBC,R,R,47,101,18,16,2,88.9%,56,13,12,1,92.3%,45,2,1,1,50.0%,0,0,0
251,1130289408,R. Fenn,Ryan Fenn,Fenn,Ryan,2B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,58,141,23,16,7,69.6%,78,15,9,6,60.0%,63,3,2,1,66.7%,3,3,0
251,1162557440,L. McCollum,LeTrey McCollum,McCollum,LeTrey,CF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,54,142,18,16,2,88.9%,85,11,9,2,81.8%,57,3,3,0,100.0%,0,0,0
251,1269467136,P. Bonds,Peyton Bonds,Bonds,Peyton,CF,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,56,103,18,16,2,88.9%,65,15,13,2,86.7%,38,1,1,0,100.0%,0,0,0
251,1318694400,J. Wolf,Jeremy Wolf,Wolf,Jeremy,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,52,123,21,16,5,76.2%,75,12,8,4,66.7%,48,8,7,1,87.5%,0,0,0
251,1075327744,R. Wynn,Ryan Wynn,Wynn,Ryan,SS,Wofford College,WOF,730176512,Wofford,BBC,R,R,60,134,21,16,5,76.2%,84,17,12,5,70.6%,50,3,3,0,100.0%,0,0,0
251,1153058048,J. Pierantoni,Jeff Pierantoni,Pierantoni,Jeff,SS,Yale University,YALE,730334464,Yale,BBC,L,R,45,63,18,16,2,88.9%,42,10,9,1,90.0%,21,5,4,1,80.0%,1,1,0
251,1174874368,G. Larsen,Garrett Larsen,Larsen,Garrett,LF,Yale University,YALE,730334464,Yale,BBC,R,R,44,85,22,16,6,72.7%,50,12,7,5,58.3%,35,8,8,0,100.0%,1,0,1
