Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1407,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,54,225,814,47.2%,31.7%,28.1%,40.2%,44.7%,55.3%,24.7%,24.5%,50.8%,37.8%,62.2%
1408,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,248,831,47.3%,31.9%,32.4%,35.8%,46.5%,53.5%,25.3%,25.6%,49.1%,36.0%,64.0%
1409,1971003791,J. Stevenson,Jared Stevenson,Stevenson,Jared,RF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,213,848,47.3%,25.7%,26.0%,48.3%,36.8%,63.2%,25.7%,26.0%,48.3%,38.7%,61.3%
1410,1207810816,C. Boyd,Cameron Boyd,Boyd,Cameron,RF,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,50,206,731,47.3%,27.1%,28.2%,44.6%,41.1%,58.9%,25.8%,23.0%,51.2%,36.3%,63.7%
1411,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,55,215,789,47.3%,27.1%,29.8%,43.1%,44.0%,56.0%,24.5%,22.2%,53.4%,34.1%,65.9%
1412,1329021184,T. Marsh,Tanner Marsh,Marsh,Tanner,SS,Liberty University,LIB,730156288,Liberty,BBC,R,R,56,267,1045,47.3%,27.2%,29.5%,43.2%,41.3%,58.7%,36.0%,23.8%,40.2%,48.2%,51.8%
1413,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,41,173,540,47.3%,26.8%,28.0%,45.2%,39.2%,60.8%,23.8%,25.0%,51.2%,34.9%,65.1%
1414,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,219,848,47.3%,29.0%,27.3%,43.7%,42.7%,57.3%,24.8%,23.0%,52.2%,37.3%,62.7%
1415,1192543232,D. Watts,Dane Watts,Watts,Dane,LF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,L,52,230,794,47.3%,25.6%,28.7%,45.6%,38.7%,61.3%,25.5%,23.6%,50.9%,37.9%,62.1%
1416,1132712448,C. Sorg,Casey Sorg,Sorg,Casey,CF,Bellarmine University,BU,730167552,Bellarmine,BBC,S,R,55,248,928,47.3%,31.1%,28.8%,40.1%,44.4%,55.6%,25.2%,27.8%,47.0%,39.2%,60.8%
1417,1901458397,J. Woita,Jase Woita,Woita,Jase,LF,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,45,142,576,47.3%,29.0%,29.4%,41.6%,44.0%,56.0%,25.7%,24.5%,49.7%,38.6%,61.4%
1418,1322648320,N. Sturino,Nick Sturino,Sturino,Nick,LF,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,57,250,985,47.3%,28.9%,26.1%,45.0%,41.2%,58.8%,29.5%,21.8%,48.7%,38.6%,61.4%
1419,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,50,218,677,47.3%,28.7%,29.4%,41.9%,41.0%,59.0%,25.6%,26.3%,48.0%,35.8%,64.2%
1420,1251444480,J. Gauthier,JP Gauthier,Gauthier,JP,RF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,48,194,729,47.3%,27.6%,27.2%,45.2%,38.5%,61.5%,23.1%,24.6%,52.2%,35.7%,64.3%
1421,1145242880,C. Loupe,Collin Loupe,Loupe,Collin,2B,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,47,164,594,47.3%,29.3%,30.5%,40.2%,42.6%,57.4%,27.2%,25.1%,47.7%,38.1%,61.9%
1422,1123748096,A. Masters,Aidan Masters,Masters,Aidan,2B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,47,173,688,47.3%,27.9%,30.3%,41.8%,42.1%,57.9%,27.0%,23.2%,49.8%,37.1%,62.9%
1423,1223725653,C. Berry,Caleb Berry,Berry,Caleb,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,45,191,664,47.3%,32.8%,25.3%,41.8%,46.0%,54.0%,28.4%,21.8%,49.8%,38.9%,61.1%
