Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1,1680543305,P. Wight,Parker Wight,Wight,Parker,1B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,53,238,945,37.7%,31.4%,26.2%,42.4%,43.0%,57.0%,22.5%,20.4%,57.0%,31.5%,68.5%
2,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,57,238,913,37.9%,31.8%,24.9%,43.3%,43.3%,56.7%,26.8%,20.1%,53.1%,36.6%,63.4%
3,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,51,196,663,38.2%,23.6%,28.8%,47.5%,36.3%,63.7%,20.2%,22.2%,57.5%,31.1%,68.9%
4,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,237,817,38.7%,24.4%,28.4%,47.2%,37.9%,62.1%,20.3%,23.6%,56.1%,30.5%,69.5%
5,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,51,255,1002,39.0%,35.9%,25.0%,39.1%,45.4%,54.6%,23.0%,21.6%,55.4%,33.1%,66.9%
6,1143045888,J. Bold,Jake Bold,Bold,Jake,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,43,193,856,39.0%,32.0%,24.1%,43.9%,43.9%,56.1%,26.1%,21.5%,52.5%,34.9%,65.1%
7,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,39,168,540,39.2%,22.4%,25.8%,51.8%,32.8%,67.2%,20.9%,20.7%,58.4%,33.5%,66.5%
8,1152915712,N. Contrades,Nu'u Contrades,Contrades,Nu'u,3B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,47,217,794,39.2%,31.2%,26.6%,42.1%,43.9%,56.1%,22.3%,21.8%,55.8%,32.1%,67.9%
9,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,275,1005,39.2%,32.1%,26.2%,41.8%,44.5%,55.5%,20.4%,20.9%,58.7%,30.0%,70.0%
10,1310396928,B. Truitt,Brantley Truitt,Truitt,Brantley,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,182,711,39.3%,29.5%,28.0%,42.5%,44.6%,55.4%,25.3%,24.6%,50.1%,38.2%,61.8%
11,1828659698,K. Valentin,Kareh Valentin,Valentin,Kareh,2B,Florida International University,FIU,4468,Florida International,BBC,R,R,47,160,559,39.4%,33.8%,28.4%,37.8%,49.0%,51.0%,22.4%,20.0%,57.6%,33.2%,66.8%
12,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,671,39.7%,23.5%,26.7%,49.8%,36.8%,63.2%,46.9%,22.7%,30.5%,59.3%,40.7%
13,1115710464,N. Fleming,Nick Fleming,Fleming,Nick,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,41,137,535,39.8%,32.0%,25.2%,42.8%,41.9%,58.1%,17.2%,22.1%,60.7%,27.1%,72.9%
14,1710518612,P. Craska,Petey Craska,Craska,Petey,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,55,250,983,39.9%,33.1%,25.5%,41.4%,42.3%,57.7%,21.0%,23.1%,56.0%,31.6%,68.4%
15,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,56,221,804,40.0%,26.2%,29.2%,44.6%,40.6%,59.4%,21.5%,21.8%,56.7%,30.6%,69.4%
16,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,227,845,40.1%,32.7%,25.5%,41.8%,44.4%,55.6%,24.8%,21.9%,53.3%,33.9%,66.1%
17,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,208,878,40.1%,23.2%,22.9%,53.9%,34.5%,65.5%,23.4%,21.4%,55.3%,33.9%,66.1%
18,1890388154,J. McKillop,John McKillop,McKillop,John,1B,Army West Point,ARMY,4744,Army,BBC,L,R,40,134,489,40.1%,26.1%,29.5%,44.4%,38.9%,61.1%,28.2%,22.1%,49.7%,37.6%,62.4%
19,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,262,1072,40.1%,29.6%,27.3%,43.1%,42.3%,57.7%,26.9%,19.6%,53.5%,36.3%,63.7%
20,1084687616,B. Cyr,Blake Cyr,Cyr,Blake,LF,University of Florida,FLA,730168320,Florida,BBC,R,R,59,242,897,40.2%,29.6%,24.9%,45.5%,41.2%,58.8%,18.2%,20.0%,61.8%,29.2%,70.8%
21,1718460975,K. Ray,Keaton Ray,Ray,Keaton,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,48,191,717,40.2%,29.1%,25.2%,45.7%,40.8%,59.2%,29.8%,20.1%,50.1%,39.2%,60.8%
22,1238203392,J. Hernandez,Jaylen Hernandez,Hernandez,Jaylen,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,60,294,1113,40.2%,29.7%,28.8%,41.4%,43.3%,56.7%,21.4%,20.5%,58.0%,29.7%,70.3%
23,1162540800,T. Turner,Trent Turner,Turner,Trent,SS,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,58,275,978,40.2%,27.2%,27.8%,45.0%,38.8%,61.2%,21.8%,20.1%,58.1%,30.6%,69.4%
24,1828778419,B. Watters,Bino Watters,Watters,Bino,LF,University of Notre Dame,ND,225,Notre Dame,BBC,L,L,44,202,855,40.3%,33.8%,25.4%,40.8%,44.8%,55.2%,24.4%,22.0%,53.6%,34.9%,65.1%
25,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,234,841,40.3%,26.3%,22.9%,50.8%,36.7%,63.3%,21.8%,22.6%,55.6%,32.0%,68.0%
26,1279228928,S. Solorzano,Steve Solorzano,Solorzano,Steve,TWP,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,50,234,894,40.4%,27.9%,24.8%,47.3%,39.2%,60.8%,20.0%,22.9%,57.0%,30.3%,69.7%
27,1236950016,H. Mitchell,Henry Mitchell,Mitchell,Henry,SS,U.S. Naval Academy,NAVY,508,Navy,BBC,S,R,50,187,697,40.4%,29.7%,23.8%,46.4%,40.9%,59.1%,26.9%,22.3%,50.8%,36.7%,63.3%
28,1310534400,L. Holland,Luke Holland,Holland,Luke,LF,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,41,172,668,40.5%,28.0%,28.8%,43.2%,40.9%,59.1%,22.0%,18.8%,59.2%,30.6%,69.4%
29,1237037056,R. Christiansen,Ryan Christiansen,Christiansen,Ryan,RF,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,57,249,1014,40.6%,26.8%,25.9%,47.2%,38.1%,61.9%,25.2%,21.2%,53.6%,35.2%,64.8%
30,1226678528,L. Jenkins,Luke Jenkins,Jenkins,Luke,LF,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,167,601,40.7%,28.5%,23.6%,47.9%,39.3%,60.7%,27.5%,24.6%,47.9%,39.8%,60.2%
31,1162350848,T. Dalley,Ty Dalley,Dalley,Ty,RF,Mercer University,MER,730240512,Mercer,BBC,L,R,60,281,954,40.7%,33.1%,24.3%,42.6%,45.3%,54.7%,29.0%,19.9%,51.2%,38.3%,61.7%
32,1297354752,M. Neville,Mason Neville,Neville,Mason,CF,University of Oregon,ORE,4807,Oregon,BBC,L,L,57,280,1162,40.7%,30.6%,27.2%,42.1%,43.9%,56.1%,24.5%,24.5%,51.0%,36.5%,63.5%
33,1153296384,T. Thach,Tanner Thach,Thach,Tanner,1B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,58,277,1021,40.7%,29.5%,26.8%,43.7%,41.7%,58.3%,22.3%,23.2%,54.5%,33.8%,66.2%
34,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,215,844,40.8%,35.3%,25.2%,39.5%,48.6%,51.4%,23.8%,22.0%,54.2%,33.8%,66.2%
35,1085408256,A. Manning,Andrew Manning,Manning,Andrew,RF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,50,206,780,40.8%,27.1%,28.4%,44.5%,41.5%,58.5%,24.1%,21.3%,54.6%,34.2%,65.8%
36,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,50,164,558,40.8%,31.0%,27.3%,41.7%,41.9%,58.1%,16.1%,23.4%,60.5%,27.5%,72.5%
37,1310334464,C. Campbell,Cade Campbell,Campbell,Cade,3B,University of California,CAL,730152448,California,BBC,R,R,51,215,811,40.8%,29.0%,24.6%,46.4%,39.6%,60.4%,22.9%,22.5%,54.6%,32.8%,67.2%
38,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,280,1184,40.9%,32.0%,25.8%,42.2%,44.9%,55.1%,22.3%,24.5%,53.2%,34.9%,65.1%
39,1344799621,S. Christiansen,Sam Christiansen,Christiansen,Sam,RF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,55,231,979,40.9%,30.2%,25.5%,44.3%,41.7%,58.3%,24.1%,21.7%,54.3%,33.3%,66.7%
40,1170584832,E. Vogelsong,Elijah Vogelsong,Vogelsong,Elijah,LF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,59,251,1024,40.9%,27.5%,27.6%,44.8%,40.0%,60.0%,23.5%,23.8%,52.7%,36.1%,63.9%
41,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,58,263,1034,40.9%,29.9%,25.4%,44.6%,42.7%,57.3%,26.4%,22.3%,51.3%,37.4%,62.6%
42,1038434680,X. McAfee,Xander McAfee,McAfee,Xander,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,48,202,718,40.9%,21.3%,28.4%,50.3%,34.4%,65.6%,19.6%,21.3%,59.1%,30.3%,69.7%
43,1176406528,M. Petersen,Mika Petersen,Petersen,Mika,CF,Brown University,BRWN,730236160,Brown,BBC,L,L,39,170,616,40.9%,27.1%,26.4%,46.5%,39.6%,60.4%,23.8%,24.6%,51.7%,35.5%,64.5%
44,1310468353,M. Martin,Maximus Martin,Martin,Maximus,SS,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,56,243,930,40.9%,23.1%,27.8%,49.1%,33.0%,67.0%,19.3%,18.8%,61.9%,28.9%,71.1%
45,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,50,241,885,40.9%,34.2%,27.8%,38.0%,46.3%,53.7%,25.6%,25.0%,49.5%,37.8%,62.2%
46,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,290,1165,41.0%,31.6%,24.8%,43.6%,43.8%,56.2%,23.9%,22.7%,53.4%,35.0%,65.0%
47,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,54,265,954,41.0%,25.1%,27.0%,47.8%,37.8%,62.2%,28.6%,22.0%,49.4%,41.4%,58.6%
48,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,52,242,974,41.0%,31.3%,27.5%,41.1%,44.5%,55.5%,19.5%,20.4%,60.1%,28.6%,71.4%
49,1581218190,P. Martin,Parker Martin,Martin,Parker,3B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,55,245,897,41.1%,30.7%,26.6%,42.7%,43.1%,56.9%,31.8%,19.5%,48.7%,41.8%,58.2%
50,1278282752,A. Gouveia,Alex Gouveia,Gouveia,Alex,3B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,49,190,690,41.1%,28.7%,29.8%,41.5%,43.1%,56.9%,19.7%,19.9%,60.3%,29.6%,70.4%
51,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,58,275,1002,41.1%,30.3%,25.9%,43.8%,42.7%,57.3%,31.2%,19.9%,48.9%,41.5%,58.5%
52,1162536192,B. Anderson,Brandon Anderson,Anderson,Brandon,3B,Purdue University,PUR,730353152,Purdue,BBC,L,R,53,250,942,41.1%,31.0%,28.1%,41.0%,44.5%,55.5%,16.9%,21.3%,61.8%,26.6%,73.4%
53,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,58,269,1082,41.1%,27.3%,24.6%,48.1%,40.0%,60.0%,27.1%,22.8%,50.1%,37.3%,62.7%
54,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,44,144,327,41.1%,18.4%,27.7%,53.9%,33.3%,66.7%,22.7%,19.1%,58.2%,31.9%,68.1%
55,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,243,870,41.1%,30.3%,26.2%,43.5%,42.8%,57.2%,22.9%,20.5%,56.6%,31.2%,68.8%
56,1080116854,J. Lewis,Jordan Lewis,Lewis,Jordan,LF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,53,227,916,41.1%,23.6%,27.6%,48.8%,35.9%,64.1%,20.4%,20.1%,59.5%,30.2%,69.8%
57,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,64,287,1030,41.2%,33.0%,27.2%,39.8%,45.1%,54.9%,25.4%,25.4%,49.2%,37.2%,62.8%
58,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,298,1087,41.2%,32.0%,26.0%,42.0%,45.5%,54.5%,29.9%,22.6%,47.4%,40.1%,59.9%
59,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,54,251,967,41.2%,27.6%,26.9%,45.6%,38.7%,61.3%,24.5%,22.2%,53.4%,35.5%,64.5%
60,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Northwestern University,NW,730247680,Northwestern,BBC,L,R,51,194,754,41.2%,30.5%,28.4%,41.1%,42.6%,57.4%,23.9%,21.6%,54.5%,32.2%,67.8%
61,1099188480,S. King,Skylar King,King,Skylar,CF,West Virginia University,WVU,5327,West Virginia,BBC,L,L,59,258,923,41.3%,33.0%,25.4%,41.6%,46.0%,54.0%,28.4%,22.6%,49.0%,38.5%,61.5%
62,1188416000,S. Smith,Sean Smith,Smith,Sean,LF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,203,768,41.3%,28.0%,25.1%,46.9%,39.7%,60.3%,23.8%,21.6%,54.6%,34.3%,65.7%
63,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,43,173,649,41.3%,27.4%,28.7%,43.9%,41.7%,58.3%,22.3%,22.3%,55.5%,33.2%,66.8%
64,1323379456,S. Miller,Sam Miller,Miller,Sam,SS,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,241,829,41.3%,26.3%,27.1%,46.6%,40.0%,60.0%,27.1%,20.0%,52.8%,36.0%,64.0%
65,1232652032,M. Lareau,Michael Lareau,Lareau,Michael,CF,Belmont University,BEL,730190336,Belmont,BBC,L,L,53,197,709,41.3%,30.6%,25.4%,44.0%,42.5%,57.5%,24.5%,23.7%,51.8%,34.9%,65.1%
66,1304358144,K. Wolff,Kyle Wolff,Wolff,Kyle,1B,Boston College,BC,227,Boston College,BBC,R,L,56,248,892,41.3%,27.1%,28.1%,44.8%,40.3%,59.7%,25.8%,22.1%,52.0%,37.4%,62.6%
67,1222785280,B. Watkins,Brock Watkins,Watkins,Brock,2B,Brigham Young University,BYU,730257152,BYU,BBC,R,R,48,204,777,41.3%,30.9%,26.5%,42.6%,43.5%,56.5%,21.8%,20.5%,57.7%,30.8%,69.2%
68,1269467136,P. Bonds,Peyton Bonds,Bonds,Peyton,CF,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,56,258,855,41.3%,29.5%,26.0%,44.5%,42.4%,57.6%,31.3%,21.4%,47.3%,41.3%,58.7%
69,1093146112,C. Mizell,Coleman Mizell,Mizell,Coleman,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,48,192,794,41.3%,33.8%,27.2%,39.0%,47.0%,53.0%,24.1%,22.5%,53.4%,35.3%,64.7%
70,1334298880,N. Furcht,Noah Furcht,Furcht,Noah,RF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,257,961,41.3%,25.1%,26.8%,48.1%,38.3%,61.7%,22.1%,21.4%,56.5%,31.3%,68.7%
71,1885806529,C. Kitchens,Cole Kitchens,Kitchens,Cole,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,53,244,852,41.3%,28.7%,27.4%,43.8%,43.5%,56.5%,20.8%,24.9%,54.3%,32.4%,67.6%
72,1135887616,R. Gonzalez,Roberto Gonzalez,Gonzalez,Roberto,CF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,45,206,777,41.4%,26.7%,26.5%,46.8%,39.9%,60.1%,22.4%,24.2%,53.4%,32.8%,67.2%
73,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,281,1148,41.4%,29.4%,26.2%,44.4%,42.2%,57.8%,19.0%,24.2%,56.9%,28.7%,71.3%
74,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,59,236,974,41.4%,31.2%,23.2%,45.6%,42.3%,57.7%,27.3%,25.1%,47.6%,39.8%,60.2%
75,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,326,1279,41.4%,35.4%,28.5%,36.1%,50.8%,49.2%,24.5%,21.9%,53.6%,34.3%,65.7%
76,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,62,309,973,41.4%,29.4%,28.9%,41.7%,43.8%,56.2%,19.1%,20.2%,60.7%,27.5%,72.5%
77,1210139136,B. McKenzie,Brody McKenzie,McKenzie,Brody,CF,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,46,178,706,41.4%,29.1%,25.5%,45.4%,41.6%,58.4%,23.3%,18.2%,58.6%,31.6%,68.4%
78,1010860020,R. Luft,Riley Luft,Luft,Riley,RF,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,42,158,580,41.4%,25.8%,24.5%,49.7%,38.6%,61.4%,24.5%,22.0%,53.5%,33.5%,66.5%
79,1057497695,T. Clay,Todd Clay,Clay,Todd,3B,UAB,UAB,730345984,UAB,BBC,R,R,53,239,1019,41.5%,28.3%,28.1%,43.7%,41.0%,59.0%,24.0%,23.2%,52.8%,35.1%,64.9%
80,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,44,178,788,41.5%,30.0%,26.4%,43.6%,43.7%,56.3%,23.5%,22.5%,54.0%,32.7%,67.3%
81,1391146306,N. Franco,Noah Franco,Franco,Noah,TWP,Texas Christian University,TCU,5045,TCU,BBC,L,L,56,250,962,41.5%,29.3%,26.2%,44.5%,40.8%,59.2%,27.7%,20.7%,51.6%,37.5%,62.5%
82,1973066250,R. Finn,Rory Finn,Finn,Rory,1B,University of Delaware,DEL,730203136,Delaware,BBC,R,R,43,162,663,41.5%,28.1%,27.8%,44.2%,40.6%,59.4%,28.7%,22.8%,48.4%,40.2%,59.8%
83,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,50,197,769,41.5%,27.3%,26.2%,46.5%,42.4%,57.6%,19.6%,23.7%,56.8%,30.1%,69.9%
84,1277834752,A. Graeber,Aaron Graeber,Graeber,Aaron,RF,University of Delaware,DEL,730203136,Delaware,BBC,R,L,52,252,901,41.6%,29.5%,27.7%,42.8%,42.4%,57.6%,33.2%,23.2%,43.6%,43.3%,56.7%
85,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,39,157,677,41.6%,33.3%,26.1%,40.6%,45.4%,54.6%,28.1%,21.0%,50.9%,38.0%,62.0%
86,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,42,198,762,41.6%,29.7%,27.9%,42.4%,42.5%,57.5%,23.9%,25.0%,51.1%,36.7%,63.3%
87,1114233856,O. Walewander,Owen Walewander,Walewander,Owen,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,45,170,647,41.6%,21.9%,29.3%,48.8%,35.4%,64.6%,19.7%,22.1%,58.2%,28.8%,71.2%
88,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,45,195,823,41.6%,31.3%,25.0%,43.7%,44.7%,55.3%,24.0%,21.4%,54.6%,33.0%,67.0%
89,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,61,269,1012,41.6%,32.9%,26.9%,40.2%,45.7%,54.3%,27.8%,21.1%,51.1%,38.9%,61.1%
90,1207821568,C. Stelly,Caleb Stelly,Stelly,Caleb,CF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,246,973,41.6%,24.3%,26.6%,49.2%,37.6%,62.4%,25.3%,22.6%,52.1%,36.9%,63.1%
91,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Virginia,UVA,5415,Virginia,BBC,R,R,50,231,782,41.6%,27.2%,26.4%,46.4%,40.2%,59.8%,31.1%,21.6%,47.3%,40.7%,59.3%
92,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,257,1000,41.6%,30.6%,26.5%,42.8%,45.0%,55.0%,25.6%,22.7%,51.7%,36.0%,64.0%
93,1314888960,G. Harrelson,Gage Harrelson,Harrelson,Gage,RF,Florida State University,FSU,101,Florida State,BBC,L,L,58,288,1176,41.7%,28.5%,28.2%,43.3%,39.9%,60.1%,33.1%,24.2%,42.7%,44.9%,55.1%
94,1165892864,C. Titus,Coleson Titus,Titus,Coleson,3B,Army West Point,ARMY,4744,Army,BBC,R,R,50,209,814,41.7%,26.9%,29.7%,43.3%,41.4%,58.6%,22.2%,21.2%,56.7%,32.2%,67.8%
94,1256946688,D. Coppedge,David Coppedge,Coppedge,David,3B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,55,257,930,41.7%,28.5%,24.5%,47.0%,41.0%,59.0%,25.7%,20.8%,53.5%,35.9%,64.1%
96,1617354666,C. Thorndyke,Colby Thorndyke,Thorndyke,Colby,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,64,249,865,41.7%,30.0%,27.9%,42.0%,42.8%,57.2%,24.1%,25.1%,50.8%,35.4%,64.6%
97,1385713296,W. Cowan,Will Cowan,Cowan,Will,RF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,49,210,820,41.7%,33.0%,28.9%,38.1%,47.8%,52.2%,22.2%,22.2%,55.7%,32.0%,68.0%
98,1337263872,C. Warehime,Cole Warehime,Warehime,Cole,RF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,52,236,909,41.7%,28.5%,24.0%,47.4%,39.8%,60.2%,24.4%,24.3%,51.3%,36.8%,63.2%
99,1263372544,L. Arnold,Luke Arnold,Arnold,Luke,SS,Wright State University,WRST,5390,Wright State,BBC,R,R,58,245,892,41.7%,30.9%,23.2%,45.9%,43.0%,57.0%,27.0%,21.6%,51.4%,36.6%,63.4%
100,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,180,748,41.7%,29.7%,25.3%,45.0%,42.0%,58.0%,20.7%,22.2%,57.1%,29.6%,70.4%
101,1092329472,J. Alvarez,Julian Alvarez,Alvarez,Julian,RF,California Baptist University,CBU,5091,California Baptist,BBC,L,L,52,195,733,41.7%,29.2%,28.2%,42.6%,42.0%,58.0%,17.0%,21.7%,61.3%,27.0%,73.0%
102,1192592640,C. Harthan,Cam Harthan,Harthan,Cam,CF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,56,242,753,41.7%,33.2%,28.8%,38.0%,47.6%,52.4%,26.6%,21.6%,51.8%,36.4%,63.6%
103,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,40,169,673,41.7%,32.6%,26.1%,41.3%,45.9%,54.1%,25.2%,21.0%,53.8%,34.7%,65.3%
104,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,67,313,1073,41.7%,31.0%,28.5%,40.5%,45.0%,55.0%,25.8%,22.4%,51.8%,36.6%,63.4%
105,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,227,790,41.7%,31.2%,30.1%,38.7%,46.5%,53.5%,20.3%,22.1%,57.6%,31.1%,68.9%
106,1436931203,K. Coakley,Kannon Coakley,Coakley,Kannon,1B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,46,189,722,41.7%,33.0%,25.0%,41.9%,45.2%,54.8%,22.1%,23.8%,54.1%,35.0%,65.0%
107,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,58,251,880,41.7%,29.4%,24.3%,46.3%,41.3%,58.7%,34.2%,26.1%,39.7%,47.1%,52.9%
108,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,55,217,785,41.7%,29.9%,27.4%,42.7%,41.5%,58.5%,22.6%,20.9%,56.6%,32.4%,67.6%
109,1266589184,M. Zarrillo,Michael Zarrillo,Zarrillo,Michael,3B,Lafayette College,LAF,730217728,Lafayette,BBC,S,R,49,213,746,41.8%,33.5%,27.6%,38.9%,47.3%,52.7%,26.2%,23.6%,50.1%,37.8%,62.2%
110,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,294,1100,41.8%,34.1%,25.2%,40.7%,45.9%,54.1%,25.1%,23.6%,51.3%,36.8%,63.2%
