Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1,1508248254,K. Brookins,Kendall Brookins,Brookins,Kendall,CF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,L,39,153,351,133,10,171,108,15,51,4,38
2,1551542065,E. Williams,Eric Williams,Williams,Eric,2B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,149,330,139,15,175,106,18,54,8,36
3,1005553647,T. Aoki,Tanner Aoki,Aoki,Tanner,3B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,S,R,41,175,407,151,9,184,122,20,57,7,33
4,1581848523,G. Lakins,Gunner Lakins,Lakins,Gunner,RF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,151,364,148,30,186,89,29,59,17,38
5,1599055261,J. Jones,Jace Jones,Jones,Jace,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,150,398,135,23,179,90,22,63,11,44
6,1218073088,J. Brown,Jason Brown,Brown,Jason,LF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,40,154,340,153,22,191,111,20,67,10,38
7,1141456896,B. Hernandez,Benny Hernandez,Hernandez,Benny,1B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,146,357,142,23,188,96,23,69,8,46
8,1342168061,K. Wood,Kade Wood,Wood,Kade,SS,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,179,369,199,19,222,146,34,71,9,23
9,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,42,153,548,222,37,307,102,83,75,15,85
10,1296199682,R. Adams III,Reyfield Adams III,Adams III,Reyfield,CF,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,41,176,426,156,9,209,123,24,77,17,53
11,1126689024,N. Gamez,Nathan Gamez,Gamez,Nathan,3B,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,R,48,183,433,189,26,230,132,31,83,18,41
12,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,36,138,363,168,34,215,88,46,89,19,47
13,1296199425,S. Leonard,Samuel Leonard,Leonard,Samuel,SS,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,47,170,400,151,16,212,118,17,92,8,61
14,1115842560,B. Martin,Ben Martin,Martin,Ben,2B,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,43,182,404,178,16,234,130,32,100,13,56
14,1720481395,A. Anderson,AJ Anderson,Anderson,AJ,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,159,396,169,19,219,118,32,100,13,50
16,1477116653,D. Aponte,Diego Aponte,Aponte,Diego,1B,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,L,45,194,466,234,23,288,152,59,105,26,54
17,1325212928,B. Thompson,Bryce Thompson,Thompson,Bryce,RF,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,46,166,548,227,55,327,106,66,117,20,100
18,1446969335,J. Gonzalez Perez,Jonathan Gonzalez Perez,Gonzalez Perez,Jonathan,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,38,155,351,215,40,255,122,53,119,33,40
19,1420638320,I. Anderson,Indy Anderson,Anderson,Indy,1B,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,49,217,686,275,39,399,149,87,127,30,124
20,1235354368,K. Queen,Kydese Queen,Queen,Kydese,3B,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,180,449,191,34,253,119,38,128,15,62
20,1717584400,J. Crews,Justen Crews,Crews,Justen,CF,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,52,195,473,219,19,274,147,53,128,27,55
22,1204892672,B. Kim,Ben Kim,Kim,Ben,LF,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,R,52,184,503,191,17,281,126,48,129,31,90
22,1178187776,K. Duncan,Kylan Duncan,Duncan,Kylan,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,172,465,214,34,275,131,49,129,24,61
24,1161345536,R. Davis,Ryan Davis,Davis,Ryan,3B,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,45,180,512,219,59,294,99,61,132,37,75
25,1105387008,J. Journette,Justin Journette,Journette,Justin,RF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,196,545,209,55,285,110,44,136,21,76
26,1323023616,D. Moore,Daniel Moore,Moore,Daniel,SS,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,49,213,727,274,43,415,143,88,138,22,141
27,1100142336,J. Ritter,Jamal Ritter,Ritter,Jamal,CF,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,42,198,538,190,24,265,128,38,139,12,75
28,1342170748,A. Carson,Ansel Carson,Carson,Ansel,SS,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,S,R,47,220,646,261,40,341,143,78,141,40,80
29,1299946496,M. Jackson,Miles Jackson,Jackson,Miles,LF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,174,460,225,29,277,136,60,143,30,52
30,1613973512,G. Grutzmacher,Gavin Grutzmacher,Grutzmacher,Gavin,2B,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,46,217,761,293,58,423,132,103,145,28,130
31,1192515328,A. Divittorio,Anthony Divittorio,Divittorio,Anthony,LF,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,46,198,766,263,49,407,113,101,146,27,144
31,1197351680,J. Jones,Jalan Jones,Jones,Jalan,LF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,197,511,211,37,283,127,47,146,18,72
33,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,182,523,169,11,264,116,42,153,16,95
34,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,41,173,540,250,57,317,112,81,157,52,67
35,1463982062,C. Morris,Charles Morris,Morris,Charles,TWP,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,L,L,49,187,558,196,26,287,120,50,159,21,91
36,1327605561,J. Jimenez,Julian Jimenez,Jimenez,Julian,CF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,43,192,589,235,50,324,120,65,161,38,89
37,1162007552,R. Franden,Ryan Franden,Franden,Ryan,1B,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,40,171,607,273,29,387,139,105,162,33,114
38,1271247872,B. Bell,Blaze Bell,Bell,Blaze,1B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,47,191,580,281,46,369,151,84,164,39,88
38,1077730304,J. Niles,Jalen Niles,Niles,Jalen,SS,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,54,192,539,197,26,290,124,47,164,27,93
38,1153715968,J. Overton,Jordan Overton,Overton,Jordan,P,Iona College,IONA,730242048,Iona,BBC,R,R,44,208,593,317,77,395,154,86,164,19,78
41,1325168384,J. Gonzalez,Jayson Gonzalez,Gonzalez,Jayson,SS,Iona College,IONA,730242048,Iona,BBC,R,R,39,181,603,238,30,372,139,69,165,11,134
42,1090550016,T. DeClusin,Tyler DeClusin,DeClusin,Tyler,RF,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,39,151,399,200,20,262,128,52,168,33,62
43,1890491822,J. Campbell,Jay Campbell,Campbell,Jay,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,55,232,630,242,32,334,149,61,172,30,92
44,1066243898,M. Perez,Matthew Perez,Perez,Matthew,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,53,205,523,242,41,313,146,55,173,27,71
45,1184655360,S. Seidel,Sam Seidel,Seidel,Sam,2B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,R,35,172,676,281,34,400,131,116,175,50,119
45,1322872064,D. Amaral,Dre Amaral,Amaral,Dre,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,48,203,568,209,11,304,143,55,175,16,95
47,1162131968,J. Figueroa,Josue Figueroa,Figueroa,Josue,1B,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,58,240,702,235,52,338,133,50,177,34,103
48,1299825664,T. Shulman,Tyler Shulman,Shulman,Tyler,3B,Harvard University,HARV,5450,Harvard,BBC,L,R,36,140,495,188,27,282,104,57,182,50,94
49,1240386048,R. Porter,Ryan Porter,Porter,Ryan,P,Cornell University,COR,730298624,Cornell,BBC,R,R,31,110,376,202,58,259,71,73,183,54,57
50,1273293312,B. Poppell,Broedy Poppell,Poppell,Broedy,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,58,268,740,288,39,373,175,74,187,32,85
50,1336576512,T. Patty,Tyshon Patty,Patty,Tyshon,3B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,43,161,548,187,15,295,119,53,187,21,108
52,1239187968,J. Hower,Jackson Hower,Hower,Jackson,RF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,32,133,465,241,65,309,95,81,188,67,68
53,1085401344,B. Birchmeier,Brady Birchmeier,Birchmeier,Brady,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,38,182,658,277,59,384,126,92,189,39,107
54,1239203072,K. Hall,Kevin Hall Jr.,Hall,Kevin,CF,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,51,211,740,341,69,455,157,115,191,51,114
54,1077731072,W. Brown,Will Brown,Brown,Will,2B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,57,266,668,288,51,384,163,74,191,51,96
54,1727649062,T. Marthilijohni,Ty Marthilijohni,Marthilijohni,Ty,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,45,173,620,271,91,395,105,75,191,51,124
57,1266858240,K. Musser,Kyle Musser,Musser,Kyle,1B,Cornell University,COR,730298624,Cornell,BBC,R,R,25,118,444,175,38,272,77,60,192,52,97
57,1119193600,H. Torres,Hederick Torres,Torres,Hederick,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,42,163,528,219,45,310,111,63,192,20,91
59,1242499584,O. Carapellotti,Owen Carapellotti,Carapellotti,Owen,C,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,51,229,732,325,58,414,165,102,196,60,89
59,1297581568,A. Gilio,Ashtin Gilio,Gilio,Ashtin,CF,Georgetown University,GTWN,2330,Georgetown,BBC,S,R,51,198,679,287,64,402,128,95,196,42,115
59,1330724096,T. Takats,TJ Takats,Takats,TJ,CF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,L,40,194,761,294,63,413,125,106,196,43,119
59,1123497984,J. Holder,Jaxon Holder,Holder,Jaxon,SS,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,51,203,739,293,50,426,142,101,196,34,133
59,1081058304,J. Frias,JC Frias,Frias,Jc,2B,Iona College,IONA,730242048,Iona,BBC,R,R,47,226,779,267,49,409,137,81,196,15,142
64,1213318400,T. Campbell,Tyler Campbell,Campbell,Tyler,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,36,160,576,230,57,317,84,89,197,34,87
64,1198920583,S. Stephenson,Sean Stephenson,Stephenson,Sean,3B,Iona College,IONA,730242048,Iona,BBC,L,L,49,234,702,337,45,422,175,117,197,28,85
66,1093956096,C. Parker,Caden Parker,Parker,Caden,RF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,43,182,683,274,68,387,110,96,198,31,113
66,1670962097,A. Riess,Axel Riess,Riess,Axel,CF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,125,485,199,55,295,71,73,198,41,96
66,1633168347,P. Crespo,Peter Crespo,Crespo,Peter,P,Rider University,RID,730174976,Rider,BBC,L,L,44,180,674,250,96,351,85,69,198,41,101
69,1303371520,K. Caster,Kavi Caster,Caster,Kavi,LF,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,55,237,719,364,96,454,160,108,200,74,90
70,1084498176,C. Miller,Chris Miller,Miller,Chris,LF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,34,126,497,214,64,301,76,74,201,51,87
71,1256892416,C. Brown,Chenar Brown,Brown,Chenar,1B,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,41,172,503,236,67,295,107,62,202,29,59
72,1316043776,M. Matthews,Mateo Matthews,Matthews,Mateo,1B,Wagner College,WAG,730192640,Wagner,BBC,L,R,44,168,548,241,47,308,106,88,203,46,67
73,1310848768,E. Krewson,Elliot Krewson,Krewson,Elliot,SS,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,34,152,483,220,20,296,128,72,205,48,76
74,1176552192,M. Wessels,Matt Wessels,Wessels,Matt,RF,Iona College,IONA,730242048,Iona,BBC,R,R,51,226,723,359,94,452,157,108,206,30,93
75,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,39,168,540,291,72,362,127,92,208,124,71
75,1324618300,P. Osting,Paul Osting,Osting,Paul,CF,Western Illinois University,WIU,730370560,Western Illinois,BBC,S,R,49,223,742,295,52,408,147,96,208,44,113
77,1334587904,T. Smith,Tyler Smith,Smith,Tyler,1B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,42,154,528,215,42,302,103,70,211,28,87
77,1710518612,P. Craska,Petey Craska,Craska,Petey,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,55,250,983,458,114,559,143,201,211,84,101
77,1841624466,N. Rippen,Nash Rippen,Rippen,Nash,LF,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,49,203,825,371,158,493,96,117,211,62,122
80,1310653952,J. Wagoner,Jake Wagoner,Wagoner,Jake,C,Seattle University,SEA,4504,Seattle,BBC,R,R,46,186,560,272,46,356,149,77,212,74,84
80,1242501120,J. Niles,Josh Niles,Niles,Josh,3B,Canisius College,CAN,730218752,Canisius,BBC,R,R,39,145,469,204,44,294,86,74,212,27,90
80,1116251136,A. Zollo,Anthony Zollo,Zollo,Anthony,LF,Iona College,IONA,730242048,Iona,BBC,R,R,47,215,670,331,40,456,183,108,212,23,125
83,1184712448,W. Lybrook,William Lybrook,Lybrook,William,1B,Harvard University,HARV,5450,Harvard,BBC,R,R,36,131,512,213,83,325,67,63,214,61,112
83,1100332032,K. Alexander,Kyree Alexander,Alexander,Kyree,3B,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,48,201,677,324,71,416,149,104,214,44,92
83,1133929646,J. Brooks,Jacob Brooks,Brooks,Jacob,SS,Niagara University,NIAG,730156544,Niagara,BBC,R,R,45,191,525,298,61,348,150,87,214,52,50
86,1153413120,K. Eddington,Kyle Eddington,Eddington,Kyle,SS,UMBC,UMBC,730210304,UMBC,BBC,R,R,45,157,518,216,53,314,99,64,215,59,98
86,1097548032,A. Townsend,Arderrius Townsend,Townsend,Arderrius,RF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,46,198,660,322,107,403,116,99,215,36,81
88,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,246,898,368,83,510,175,110,216,55,142
89,1253789440,M. Olive,Matt Olive,Olive,Matt,RF,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,48,212,730,328,93,441,130,105,217,52,113
90,1198818816,J. Micheels,Jackson Micheels,Micheels,Jackson,RF,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,52,221,874,383,108,540,134,141,218,78,157
91,1297673729,B. Cermenelli,Bryce Cermenelli,Cermenelli,Bryce,3B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,R,38,179,606,343,47,391,141,155,219,56,48
91,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,38,152,515,186,32,286,92,62,219,30,100
93,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,50,164,558,272,62,344,118,92,220,98,72
93,1162593536,S. Sakaino,Shunsuke Sakaino,Sakaino,Shunsuke,2B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,56,263,929,366,67,507,173,126,220,42,141
93,1820738066,M. Sutera,Matthew Sutera,Sutera,Matthew,2B,Wagner College,WAG,730192640,Wagner,BBC,R,R,48,180,580,230,54,350,109,67,220,31,120
96,1157546753,C. Karczewski,Camden Karczewski,Karczewski,Camden,SS,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,47,213,786,355,74,492,158,123,221,74,137
96,1700198774,K. Perez,Kenneth Perez,Perez,Kenneth,2B,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,48,201,674,355,79,423,143,133,221,67,68
98,1306865920,M. Thomas,Martavius Thomas,Thomas,Martavius,CF,Grambling State University,GRAM,5378,Grambling State,BBC,S,R,49,222,639,252,56,344,123,73,222,45,92
98,1174904320,J. Quandt,Jared Quandt,Quandt,Jared,RF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,S,R,55,240,877,335,60,493,158,117,222,56,158
100,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,43,182,650,225,27,341,111,87,223,27,116
100,1313501184,L. Jenkins,Leighton Jenkins,Jenkins,Leighton,SS,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,55,216,809,405,124,518,130,151,223,53,113
102,1093805824,W. Patchett,Wyatt Patchett,Patchett,Wyatt,RF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,45,183,598,287,99,374,119,69,225,38,87
103,1214619904,C. Bishop,Casey Bishop,Bishop,Casey,2B,Towson University,TOWS,730318336,Towson,BBC,R,R,50,181,566,262,48,355,127,87,227,67,93
103,1282371943,J. Katsaboulas,Jonah Katsaboulas,Katsaboulas,Jonah,3B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,227,736,354,50,459,177,127,227,43,105
105,1277164032,M. Mylott,Michael Mylott,Mylott,Michael,LF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,49,210,753,340,70,479,155,115,228,54,139
106,1096391424,A. Ducatelli,Antonio Ducatelli,Ducatelli,Antonio,LF,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,L,40,174,552,213,35,318,122,56,229,34,105
106,1367875521,W. Perez,Wilbert Perez,Perez,Wilbert,1B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,49,218,639,327,77,414,148,102,229,62,87
108,1261687040,T. Zwirecki,Thomas Zwirecki,Zwirecki,Thomas,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,37,153,504,175,25,290,99,51,230,17,115
108,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,54,213,689,319,77,370,154,88,230,76,51
108,1436931203,K. Coakley,Kannon Coakley,Coakley,Kannon,1B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,46,189,722,302,74,440,122,106,230,72,138
111,1243572201,J. Batts,Justin Batts,Batts,Justin,1B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,38,147,479,214,44,293,100,70,231,31,79
112,1153438464,J. Kernodle,Jake Kernodle,Kernodle,Jake,1B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,33,147,551,213,55,331,91,67,232,65,118
112,1140384256,B. Daniels,Brady Daniels,Daniels,Brady,CF,Delaware State University,DSU,730217984,Delaware State,BBC,S,R,38,150,477,240,59,299,99,82,232,29,59
112,1550029332,G. Werdesheim,Grant Werdesheim,Werdesheim,Grant,CF,Princeton University,PRIN,730198784,Princeton,BBC,R,R,39,144,530,235,77,349,79,79,232,86,114
115,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,39,167,551,268,61,344,118,89,233,44,76
115,1119576832,L. Castellano,Logan Castellano,Castellano,Logan,1B,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,44,179,541,258,72,333,111,75,233,41,75
115,1129552649,T. Bridges,Trey Bridges,Bridges,Trey,LF,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,52,255,721,286,61,382,162,63,233,36,96
115,1587154519,C. Butera,Christian Butera,Butera,Christian,3B,Brown University,BRWN,730236160,Brown,BBC,R,R,36,139,553,250,86,346,80,84,233,84,96
119,1278156800,C. Wildman,Caden Wildman,Wildman,Caden,RF,Cornell University,COR,730298624,Cornell,BBC,R,R,31,142,523,229,61,317,93,75,234,51,88
119,1099315968,X. Ulrich,Xavier Ulrich,Ulrich,Xavier,C,Wagner College,WAG,730192640,Wagner,BBC,R,R,49,197,569,247,35,346,146,66,234,22,99
119,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,55,235,944,347,78,509,144,125,234,47,162
122,1108320808,E. Watson,Eli Watson,Watson,Eli,LF,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,54,213,732,343,65,456,159,119,235,71,113
122,1123959166,D. Garcia,Damien Garcia,Garcia,Damien,1B,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,47,189,580,236,48,327,130,58,235,35,91
122,1447316056,C. Greene,Cameron Greene,Greene,Cameron,SS,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,L,R,52,203,788,255,56,433,116,83,235,34,178
125,1305110272,G. Cooper,George Cooper,Cooper,George,2B,Harvard University,HARV,5450,Harvard,BBC,R,R,42,187,566,309,60,381,145,104,236,91,72
125,1935894621,J. Pererira,Jake Pererira,Pererira,Jake,CF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,45,157,508,246,60,340,122,64,236,76,94
127,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,52,243,895,408,100,526,156,152,237,73,118
127,1191720192,L. Bushey,Liam Bushey,Bushey,Liam,1B,Western Illinois University,WIU,730370560,Western Illinois,BBC,L,R,48,227,848,355,61,492,159,135,237,62,137
127,1296546816,C. Roche,Connor Roche,Roche,Connor,3B,Wagner College,WAG,730192640,Wagner,BBC,R,R,53,228,611,328,48,403,173,107,237,45,75
127,1225719552,K. Nahaku,Kamana Nahaku,Nahaku,Kamana,LF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,55,215,849,361,87,501,135,139,237,51,140
127,1342167366,J. Sheffield,Jeremy Sheffield,Sheffield,Jeremy,3B,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,54,225,851,284,77,466,129,78,237,39,182
127,1686792825,K. Duran,Kevin Duran,Duran,Kevin,2B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,38,165,569,250,59,332,109,82,237,43,82
127,1304314330,P. Goodness,Paulie Goodness,Goodness,Paulie,CF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,43,189,589,222,31,340,128,63,237,18,118
127,1382478906,G. Petrucelli,Gabe Petrucelli,Petrucelli,Gabe,2B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,242,908,323,27,502,172,124,237,39,179
135,1165637632,J. Altman,Jake Altman,Altman,Jake,3B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,48,174,604,228,30,366,128,70,238,50,138
135,1299762688,M. Schark,Matt Schark,Schark,Matt,3B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,57,279,959,459,101,593,193,165,238,73,134
135,1559255931,D. Meche,Davis Meche,Meche,Davis,3B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,R,43,149,556,282,46,335,108,128,238,79,53
135,1192513280,A. Smart,Andrew Smart,Smart,Andrew,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,42,178,658,272,62,384,116,94,238,68,112
135,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,53,231,878,380,65,514,168,147,238,47,134
135,1718723646,D. Orr,Danny Orr,Orr,Danny,1B,UMBC,UMBC,730210304,UMBC,BBC,R,R,40,169,542,273,55,355,119,99,238,75,82
141,1239328256,O. Carlson,Owen Carlson,Carlson,Owen,2B,Cornell University,COR,730298624,Cornell,BBC,L,R,32,141,529,229,44,315,99,86,239,49,86
141,1093947904,B. Schaaf,Blake Schaaf,Schaaf,Blake,SS,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,55,233,804,296,45,456,154,97,239,47,160
141,1143053312,B. Phelps,Bryce Phelps,Phelps,Bryce,RF,Wagner College,WAG,730192640,Wagner,BBC,R,R,51,222,599,265,35,365,162,68,239,32,100
141,1408080086,C. Magoulick,Charley Magoulick,Magoulick,Charley,1B,Rider University,RID,730174976,Rider,BBC,L,L,48,193,652,312,72,415,129,111,239,59,103
145,1314632704,M. Cisco,Mason Cisco,Cisco,Mason,1B,Canisius College,CAN,730218752,Canisius,BBC,L,R,41,182,576,218,42,335,115,61,240,26,117
145,1265468416,J. Bach,Jordan Bach,Bach,Jordan,CF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,56,279,1013,387,69,571,192,126,240,62,184
145,1310789888,H. Autrey,Hunter Autrey,Autrey,Hunter,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,55,252,981,410,92,570,175,143,240,71,160
145,1135525120,K. Jacobs-Guishard,Keanu Jacobs-Guishard,Jacobs-Guishard,Keanu,SS,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,54,244,663,299,53,387,165,81,240,36,88
145,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,671,235,20,358,137,78,240,70,123
150,1201797120,J. Cannon,Jack Cannon,Cannon,Jack,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,L,38,169,606,256,72,354,101,83,241,30,98
150,1306773504,J. Mantuano,Jimmy Mantuano,Mantuano,Jimmy,RF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,47,213,687,285,66,376,134,85,241,51,91
150,1403617065,A. Kearns,Aubrey Kearns,Kearns,Aubrey,2B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,41,175,631,291,55,396,116,120,241,62,105
150,1180135944,P. Blackman,Parker Blackman,Blackman,Parker,CF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,L,55,226,845,366,100,511,133,133,241,60,145
150,1076858579,K. Phillips,Kelton Phillips,Phillips,Kelton,CF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,49,193,563,237,22,329,151,64,241,27,92
155,1153058304,H. Sobecki,Hayden Sobecki,Sobecki,Hayden,1B,Yale University,YALE,730334464,Yale,BBC,R,R,39,157,527,247,38,328,116,93,242,69,81
155,1311028736,J. Schattle,Jagger Schattle,Schattle,Jagger,1B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,L,46,178,683,278,81,395,112,85,242,44,117
155,1801471405,H. Sute,Hunter Sute,Sute,Hunter,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,41,158,587,215,54,339,92,69,242,42,124
