Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1971,1279541248,B. Martin,Brayden Martin,Martin,Brayden,2B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,56,279,1161,301,15,611,190,96,487,51,310
1971,1162367744,T. Caraway,Trent Caraway,Caraway,Trent,3B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,286,1087,514,142,690,187,185,487,151,176
1977,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,1052,404,70,584,191,143,488,83,180
1977,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,59,270,1045,442,97,626,186,159,488,124,184
1979,1075327744,R. Wynn,Ryan Wynn,Wynn,Ryan,SS,Wofford College,WOF,730176512,Wofford,BBC,R,R,60,283,1130,454,93,682,196,165,489,111,228
1980,1100630272,J. Walk,Jason Walk,Walk,Jason,CF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,S,R,59,271,1086,416,84,638,176,156,490,109,222
1980,1223994880,C. Brumbaugh,Cayden Brumbaugh,Brumbaugh,Cayden,2B,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,61,287,1097,458,71,669,214,173,490,146,211
1980,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,58,289,1200,438,87,649,181,170,490,139,211
1983,1200305408,R. Farber,Ryne Farber,Farber,Ryne,SS,Texas State University,TXST,5420,Texas State,BBC,S,R,58,269,1082,383,37,630,190,156,491,101,247
1983,1310536704,L. Nomura,Luke Nomura,Nomura,Luke,SS,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,58,297,1135,460,91,656,199,170,491,97,196
1983,1187499008,D. Collins,Drew Collins,Collins,Drew,LF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,60,278,1083,482,128,666,172,182,491,122,184
1983,1241783808,M. Sanford,Mitchell Sanford,Sanford,Mitchell,RF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,64,298,1133,569,165,690,189,215,491,181,121
1987,1162062592,K. Kent,Kaeden Kent,Kent,Kaeden,SS,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,56,251,1064,454,74,635,173,207,492,136,181
1987,1100719616,D. Bucciero,Daniel Bucciero,Bucciero,Daniel,3B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,271,1034,403,70,598,190,143,492,97,195
1987,1494680835,B. Smith,Brayden Smith,Smith,Brayden,CF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,54,253,1031,454,98,643,173,183,492,126,189
1990,1176126464,R. Robinson,Ryder Robinson,Robinson,Ryder,SS,Brigham Young University,BYU,730257152,BYU,BBC,S,R,55,270,1117,484,125,672,167,192,493,155,188
1990,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,65,302,1141,551,137,720,197,217,493,201,169
1990,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,272,1085,439,105,620,172,162,493,76,181
1990,1336584960,T. White,Tyler White,White,Tyler,CF,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,58,282,1073,443,87,642,191,165,493,103,199
1994,1153713408,A. Walton,Aaron Walton,Walton,Aaron,CF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,65,311,1143,494,109,689,213,172,494,149,195
1994,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,63,307,1138,516,117,655,205,194,494,127,139
1994,1283569920,C. McMurray,Cooper McMurray,McMurray,Cooper,1B,Auburn University,AUB,5466,Auburn,BBC,L,L,61,281,1152,496,132,688,170,194,494,171,192
1994,1142791936,I. Humphrey,Isaac Humphrey,Humphrey,Isaac,CF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,63,284,1137,482,125,684,168,189,494,155,202
