Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,XBH,K,BB,AVG,AB,InZoneSwing%,Chase%,Contact%,wOBA LHP,wOBA RHP,1PSwing% vs Hard Empty,1PSwing% vs CH Empty,2K Whiff vs LHP Hard,2K Whiff vs LHP OS,2K Whiff vs RHP Hard,2K Whiff vs RHP OS
20,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,43,30,45,.353,252,70.4%,23.6%,81.7%,.590,.440,34%,50%,12.0%,29.6%,14.0%,29.0%
26,1310598144,W. Edmunson,Will Edmunson,Edmunson,Will,RF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,19,34,26,.319,251,67.5%,25.0%,84.0%,.386,.373,22%,15%,15.4%,26.7%,10.7%,13.2%
26,1162367744,T. Caraway,Trent Caraway,Caraway,Trent,3B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,27,66,30,.267,251,69.8%,27.5%,72.4%,.338,.363,51%,44%,10.3%,31.0%,21.8%,37.5%
28,1342169604,H. Warren,Hunter Warren,Warren,Hunter,2B,Wright State University,WRST,5390,Wright State,BBC,R,R,17,39,34,.328,250,68.1%,20.1%,81.0%,.306,.405,30%,55%,21.4%,64.3%,25.7%,20.0%
29,1130289408,R. Fenn,Ryan Fenn,Fenn,Ryan,2B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,23,22,9,.365,249,81.7%,38.0%,86.1%,.371,.376,43%,47%,10.0%,21.4%,17.1%,23.9%
29,1241783808,M. Sanford,Mitchell Sanford,Sanford,Mitchell,RF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,34,62,39,.317,249,78.6%,28.5%,71.0%,.468,.421,47%,71%,33.3%,32.3%,26.8%,24.3%
31,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,22,55,18,.310,248,65.6%,30.6%,75.7%,.454,.331,18%,9%,21.4%,23.8%,28.1%,29.0%
31,1238255872,L. Mistone,Luke Mistone,Mistone,Luke,1B,Murray State University,MURR,730188032,Murray State,BBC,R,R,24,16,23,.335,248,60.6%,27.1%,91.6%,.338,.400,26%,50%,0.0%,30.8%,5.6%,12.5%
31,1565958435,R. Geck,Ryan Geck,Geck,Ryan,1B,Little Rock,UALR,730217472,Little Rock,BBC,R,R,22,52,17,.294,248,71.3%,25.7%,75.5%,.326,.350,55%,56%,28.6%,33.3%,16.1%,32.1%
34,1330097152,D. West,Dean West,West,Dean,LF,UCLA,UCLA,5048,UCLA,BBC,L,R,17,29,49,.320,247,55.7%,15.7%,89.7%,.428,.396,15%,0%,5.1%,13.8%,6.1%,15.7%
34,1771426309,C. Yeaman,Colin Yeaman,Yeaman,Colin,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,32,53,38,.328,247,62.5%,15.0%,79.9%,.425,.443,33%,40%,20.8%,10.0%,13.8%,32.6%
36,1306887936,J. Tate,Josh Tate,Tate,Josh,CF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,33,37,27,.362,246,65.4%,19.6%,84.5%,.390,.459,32%,40%,5.6%,18.2%,5.6%,25.0%
36,1223994880,C. Brumbaugh,Cayden Brumbaugh,Brumbaugh,Cayden,2B,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,24,38,28,.309,246,63.1%,24.3%,84.5%,.385,.360,29%,38%,14.7%,5.6%,6.4%,30.2%
36,1317344768,K. Garbowski,Kyle Garbowski,Garbowski,Kyle,1B,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,14,20,20,.329,246,65.0%,21.9%,89.4%,.364,.350,29%,20%,0.0%,18.2%,16.7%,21.4%
36,1285784320,L. Frei,Landon Frei,Frei,Landon,2B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,30,47,38,.285,246,65.9%,15.4%,81.5%,.425,.395,29%,43%,0.0%,37.5%,18.2%,36.4%
36,1441024471,O. Clyne,Owen Clyne,Clyne,Owen,SS,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,30,36,.341,246,66.3%,21.4%,88.3%,.321,.413,33%,33%,23.1%,33.3%,8.7%,19.2%
41,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,34,58,31,.314,245,79.0%,28.7%,71.2%,.392,.448,46%,50%,24.1%,12.5%,29.0%,27.5%
41,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,24,24,47,.318,245,64.2%,22.9%,89.0%,.372,.417,35%,21%,5.9%,45.5%,6.7%,25.8%
41,1310536704,L. Nomura,Luke Nomura,Nomura,Luke,SS,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,31,48,47,.331,245,61.7%,20.2%,80.2%,.475,.426,27%,0%,13.3%,25.0%,29.6%,20.0%
41,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,30,55,30,.290,245,69.5%,29.1%,76.8%,.393,.424,29%,39%,25.0%,34.2%,17.6%,27.9%
41,1310789632,G. Turley,Gavin Turley,Turley,Gavin,LF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,33,68,50,.351,245,70.0%,22.8%,69.8%,.497,.459,35%,69%,27.3%,30.0%,13.6%,40.0%
41,1162350848,T. Dalley,Ty Dalley,Dalley,Ty,RF,Mercer University,MER,730240512,Mercer,BBC,L,R,39,51,27,.273,245,80.9%,35.6%,71.3%,.375,.399,53%,47%,42.9%,42.9%,17.1%,26.4%
41,1342167549,K. Gibson,Kyle Gibson,Gibson,Kyle,3B,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,7,31,32,.298,245,70.9%,20.0%,85.2%,.324,.328,24%,31%,33.3%,6.7%,9.8%,12.2%
48,1077958912,G. Caulfield,Garen Caulfield,Caulfield,Garen,2B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,23,50,31,.262,244,66.8%,21.8%,78.9%,.373,.329,21%,8%,20.0%,21.1%,20.3%,26.2%
48,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,19,43,46,.336,244,78.5%,19.8%,77.3%,.472,.395,48%,36%,14.8%,15.0%,16.1%,26.5%
48,1093141248,T. Rhoades,Ty Rhoades,Rhoades,Ty,3B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,23,56,17,.299,244,77.4%,26.7%,79.2%,.308,.379,36%,43%,26.7%,35.0%,23.6%,30.8%
48,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,21,49,20,.295,244,78.2%,40.2%,75.8%,.378,.361,42%,38%,23.8%,31.6%,14.5%,22.5%
48,1232373760,T. Sudbrook,Troy Sudbrook,Sudbrook,Troy,3B,University of Toledo,TOL,5388,Toledo,BBC,L,R,24,44,22,.279,244,68.7%,29.6%,80.0%,.357,.343,38%,44%,19.2%,28.0%,0.0%,35.1%
48,1460638543,R. Wideman,Ryan Wideman,Wideman,Ryan,CF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,36,47,23,.398,244,77.9%,39.4%,75.1%,.463,.471,38%,58%,38.5%,25.0%,20.0%,24.2%
54,1190295297,K. Aloy,Kuhio Aloy,Aloy,Kuhio,INF/OF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,28,77,31,.317,243,67.1%,25.1%,68.6%,.493,.377,28%,78%,12.5%,18.2%,25.8%,40.4%
54,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,31,43,25,.329,243,70.3%,25.0%,76.7%,.411,.434,23%,27%,22.2%,38.9%,13.8%,30.2%
54,1149963264,C. Wallace,Colby Wallace,Wallace,Colby,TWP,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,20,48,20,.267,243,72.2%,30.1%,77.6%,.378,.325,33%,20%,11.1%,27.3%,23.5%,18.8%
54,1196851968,M. Houston,Marek Houston,Houston,Marek,SS,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,29,46,46,.354,243,58.0%,21.6%,82.4%,.515,.420,30%,20%,16.7%,14.8%,11.7%,23.8%
54,1294956544,K. Dickerson,Korbyn Dickerson,Dickerson,Korbyn,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,36,51,24,.313,243,71.8%,27.0%,76.1%,.363,.447,25%,33%,17.6%,36.8%,26.2%,30.6%
54,1310395648,M. Niu,Maika Niu,Niu,Maika,SS,Marshall University,MRSH,730333696,Marshall,BBC,R,R,34,51,25,.276,243,77.5%,29.7%,74.4%,.542,.336,48%,62%,16.7%,15.4%,20.4%,31.3%
54,1245094656,K. Dutka,Kenny Dutka,Dutka,Kenny,CF,Houston Christian University,HCU,730157824,Houston Christian,BBC,L,L,17,55,23,.300,243,73.0%,25.9%,78.2%,.291,.356,46%,70%,25.0%,19.0%,29.7%,34.5%
54,1204530458,J. Munroe,Jake Munroe,Munroe,Jake,3B,University of Louisville,LOU,5467,Louisville,BBC,R,R,30,50,38,.346,243,72.9%,19.4%,82.1%,.478,.432,35%,43%,22.2%,36.8%,20.8%,19.2%
54,1361255396,S. Darnell,Sean Darnell,Darnell,Sean,2B,Troy University,TROY,730378496,Troy,BBC,L,R,24,49,31,.288,243,62.3%,24.8%,79.4%,.296,.402,34%,36%,24.1%,20.0%,14.8%,23.6%
54,1912854991,D. Longo,Dom Longo,Longo,Dom,3B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,31,44,30,.305,243,58.9%,24.1%,84.7%,.402,.400,28%,17%,16.7%,37.5%,9.1%,25.9%
54,1656989942,R. Lujo,Rylan Lujo,Lujo,Rylan,3B,University of Dayton,DAY,730194688,Dayton,BBC,R,R,27,25,21,.358,243,73.2%,26.3%,88.0%,.446,.401,41%,29%,20.0%,20.0%,11.9%,16.7%
65,1306732288,D. Grego,Dylan Grego,Grego,Dylan,SS,Ball State University,BALL,730195456,Ball State,BBC,S,R,30,44,22,.376,242,74.6%,24.7%,80.0%,.443,.443,23%,53%,15.4%,31.6%,14.1%,24.6%
65,1075327744,R. Wynn,Ryan Wynn,Wynn,Ryan,SS,Wofford College,WOF,730176512,Wofford,BBC,R,R,26,50,27,.331,242,66.9%,18.3%,79.5%,.450,.372,29%,40%,23.1%,31.3%,10.8%,21.1%
65,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,41,46,39,.413,242,67.6%,25.1%,78.4%,.420,.551,37%,22%,23.1%,38.9%,12.8%,21.4%
65,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,37,50,39,.331,242,74.6%,25.5%,74.6%,.485,.445,50%,33%,25.0%,14.8%,16.7%,26.7%
65,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,36,35,28,.368,242,76.2%,24.2%,79.8%,.455,.496,43%,32%,16.7%,22.2%,14.6%,26.3%
70,1227161344,M. Gray,Murf Gray,Gray,Murf,3B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,40,30,23,.324,241,70.7%,30.2%,80.9%,.351,.459,27%,9%,12.5%,25.0%,5.2%,22.0%
70,1309407488,S. Milam,Steven Milam,Milam,Steven,SS,Louisiana State University,LSU,5323,Louisiana State,BBC,S,R,27,27,41,.295,241,64.3%,24.6%,84.4%,.360,.403,23%,21%,10.3%,33.3%,1.8%,27.5%
70,1084399104,D. Curley,Dean Curley,Curley,Dean,SS,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,23,47,45,.315,241,55.8%,16.2%,80.1%,.496,.385,14%,8%,14.3%,11.1%,16.2%,20.0%
70,1237379328,H. Ensley,Hunter Ensley,Ensley,Hunter,CF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,27,42,30,.336,241,71.4%,26.5%,80.2%,.412,.408,50%,56%,17.6%,18.8%,22.9%,18.0%
70,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,38,55,27,.394,241,82.1%,33.5%,73.1%,.553,.463,56%,38%,22.7%,30.0%,18.9%,43.1%
70,1282331648,E. Putnam,Eli Putnam,Putnam,Eli,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,37,56,19,.349,241,74.4%,24.3%,70.5%,.604,.406,33%,25%,13.3%,27.3%,25.0%,37.5%
70,1290121472,E. Hacopian,Eddie Hacopian,Hacopian,Eddie,3B,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,23,34,31,.278,241,60.9%,21.2%,86.8%,.437,.345,22%,0%,6.9%,0.0%,9.6%,22.4%
70,1802425630,J. Taylor,Jordan Taylor,Taylor,Jordan,LF,Stetson University,STET,730261504,Stetson,BBC,R,R,26,51,13,.320,241,73.8%,36.5%,72.5%,.319,.377,37%,33%,28.6%,45.5%,17.0%,31.3%
78,1287355904,M. Mihalakis,Maddox Mihalakis,Mihalakis,Maddox,3B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,21,56,26,.279,240,75.0%,26.7%,76.0%,.350,.335,33%,37%,22.2%,47.8%,17.5%,37.9%
78,1153296384,T. Thach,Tanner Thach,Thach,Tanner,1B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,25,41,24,.325,240,72.1%,35.1%,80.6%,.406,.403,29%,44%,20.0%,35.3%,14.7%,14.5%
78,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,20,33,23,.358,240,67.0%,22.1%,84.6%,.345,.427,31%,13%,7.1%,22.2%,14.1%,20.8%
81,1081479936,N. Dumesnil,Nicholas Dumesnil,Dumesnil,Nicholas,CF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,34,55,29,.360,239,74.7%,27.8%,73.4%,.614,.400,44%,50%,11.1%,18.8%,18.8%,24.6%
81,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,22,28,12,.285,239,71.5%,36.9%,83.7%,.277,.340,38%,36%,9.1%,30.8%,6.1%,21.7%
81,1334280704,B. North,Ben North,North,Ben,SS,Creighton University,CREI,730243840,Creighton,BBC,R,R,26,64,28,.289,239,69.5%,22.1%,75.3%,.468,.341,26%,9%,23.1%,10.0%,17.2%,47.2%
81,1258110720,H. Povey,Harrison Povey,Povey,Harrison,CF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,28,55,16,.238,239,74.6%,33.1%,73.9%,.344,.353,33%,13%,27.8%,38.1%,21.6%,22.8%
81,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,36,78,38,.268,239,64.0%,24.6%,67.7%,.383,.399,29%,25%,22.2%,48.5%,40.0%,38.3%
81,1354194566,A. Kirchner,Andrew Kirchner,Kirchner,Andrew,1B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,30,70,19,.301,239,75.2%,31.6%,65.1%,.418,.359,40%,43%,28.1%,38.5%,29.5%,26.0%
87,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,26,42,40,.315,238,56.4%,24.3%,81.0%,.422,.435,10%,20%,22.0%,22.9%,10.7%,19.0%
87,1237035776,B. Blandford,Bobby Blandford,Blandford,Bobby,RF,Fresno State,FRES,730384384,Fresno State,BBC,L,L,39,62,25,.311,238,72.1%,29.7%,76.9%,.349,.447,25%,39%,23.8%,32.4%,17.3%,40.0%
87,1162503168,J. Tobias,Jacob Tobias,Tobias,Jacob,1B,Arizona State University,ASU,5035,Arizona State,BBC,L,R,30,33,27,.303,238,68.2%,22.6%,81.9%,.259,.434,37%,20%,6.3%,22.2%,9.8%,31.3%
87,1292499200,L. Carmichael,Lucas Carmichael,Carmichael,Lucas,LF,College of William & Mary,WM,730232064,William & Mary,BBC,L,L,25,34,15,.366,238,72.7%,29.9%,85.1%,.377,.438,44%,17%,23.5%,11.8%,16.7%,27.6%
87,1123956992,T. Gillen,Tate Gillen,Gillen,Tate,CF,Creighton University,CREI,730243840,Creighton,BBC,L,L,19,49,40,.265,238,56.2%,19.6%,86.3%,.336,.346,15%,22%,5.6%,10.5%,8.2%,32.6%
87,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,30,27,39,.361,238,66.2%,18.9%,86.8%,.366,.484,26%,15%,20.0%,0.0%,15.6%,19.1%
