Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,XBH,K,BB,AVG,AB,InZoneSwing%,Chase%,Contact%,wOBA LHP,wOBA RHP,1PSwing% vs Hard Empty,1PSwing% vs CH Empty,2K Whiff vs LHP Hard,2K Whiff vs LHP OS,2K Whiff vs RHP Hard,2K Whiff vs RHP OS
1243,1196803072,L. Poteet,Logan Poteet,Poteet,Logan,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,17,50,27,.282,181,73.4%,25.5%,71.7%,.352,.395,36%,42%,45.0%,27.3%,23.9%,30.0%
1243,1070924665,S. Mexico,Sebastian Mexico,Mexico,Sebastian,RF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,26,29,23,.315,181,65.8%,25.8%,79.9%,.390,.424,23%,22%,26.7%,27.8%,16.7%,30.3%
1243,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,21,42,10,.243,181,80.3%,40.9%,66.8%,.238,.335,35%,50%,33.3%,33.3%,31.4%,34.0%
1243,1957652832,F. Stewart,Finnegan Stewart,Stewart,Finnegan,RF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,17,29,18,.282,181,69.1%,22.3%,82.9%,.343,.340,50%,20%,11.1%,29.4%,7.1%,19.4%
1243,1821258240,J. Thompson,J.T. Thompson,Thompson,J.T.,2B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,12,21,22,.260,181,63.7%,26.8%,88.4%,.241,.369,32%,45%,3.0%,30.0%,11.1%,17.4%
1243,1195528019,B. Miller,Brady Miller,Miller,Brady,2B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,19,42,26,.287,181,65.5%,26.3%,74.4%,.426,.344,33%,38%,0.0%,0.0%,23.2%,39.4%
1243,1334094066,R. Ventura,Ranciel Ventura,Ventura,Ranciel,SS,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,14,42,23,.227,181,65.2%,26.8%,80.8%,.325,.300,43%,33%,11.1%,14.3%,16.7%,26.3%
1243,1927468263,J. Cardinale,Joe Cardinale,Cardinale,Joe,CF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,6,38,18,.254,181,60.7%,26.3%,79.1%,.404,.257,37%,50%,15.4%,22.2%,7.9%,29.3%
1243,1029547586,H. Federico,Hayden Federico,Federico,Hayden,LF,University of Mississippi,MISS,5322,Ole Miss,BBC,S,R,10,34,34,.243,181,66.0%,19.7%,82.3%,.369,.326,31%,29%,12.5%,27.3%,16.9%,24.3%
1243,1040576277,R. Howard,Reid Howard,Howard,Reid,SS,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,17,25,18,.287,181,72.4%,30.4%,84.3%,.373,.344,43%,0%,7.1%,7.7%,12.7%,17.0%
1243,1028639305,A. Espaillat,Alex Espaillat,Espaillat,Alex,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,11,32,20,.326,181,74.6%,25.9%,75.2%,.308,.376,54%,67%,50.0%,66.7%,33.3%,42.9%
1266,1099740416,T. Peterson,Tyler Peterson,Peterson,Tyler,SS,Seattle University,SEA,4504,Seattle,BBC,L,R,10,30,20,.289,180,70.3%,18.9%,84.7%,.352,.318,34%,55%,45.5%,23.1%,26.1%,30.8%
1266,1222785280,B. Watkins,Brock Watkins,Watkins,Brock,2B,Brigham Young University,BYU,730257152,BYU,BBC,R,R,19,57,17,.300,180,81.8%,31.0%,62.1%,.396,.381,54%,38%,50.0%,26.7%,25.0%,38.6%
1266,1293775872,M. Scherrman,Matt Scherrman,Scherrman,Matt,3B,Creighton University,CREI,730243840,Creighton,BBC,R,R,17,48,20,.294,180,58.1%,24.0%,73.5%,.441,.342,16%,22%,0.0%,45.5%,23.7%,43.2%
1266,1204930304,G. Thorburn,Gavin Thorburn,Thorburn,Gavin,CF,Siena College,SIE,730382592,Siena,BBC,R,R,16,32,19,.256,180,67.7%,17.8%,82.3%,.322,.334,36%,0%,0.0%,0.0%,36.4%,14.3%
1266,1275097856,T. Sanders,Troy Sanders,Sanders,Troy,SS,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,7,29,8,.289,180,65.0%,19.7%,82.3%,.248,.320,35%,25%,23.5%,14.3%,3.3%,26.9%
1266,1274237696,C. Andrews,Chris Andrews,Andrews,Chris,LF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,11,31,29,.278,180,57.3%,20.7%,84.5%,.438,.321,16%,33%,6.3%,15.0%,5.9%,21.2%
1266,1143043841,T. Lipsey,Trey Lipsey,Lipsey,Trey,RF,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,21,37,42,.300,180,56.6%,14.5%,83.8%,.478,.406,31%,30%,15.8%,26.7%,9.1%,30.8%
1266,1139894784,C. Garate,Carter Garate,Garate,Carter,3B,University of Oregon,ORE,4807,Oregon,BBC,L,R,17,34,23,.272,180,59.1%,29.7%,81.7%,.370,.368,12%,13%,6.7%,33.3%,15.6%,22.0%
1266,1420638320,I. Anderson,Indy Anderson,Anderson,Indy,1B,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,9,34,29,.339,180,59.1%,23.3%,85.8%,.337,.394,38%,0%,0.0%,60.0%,16.7%,28.6%
1266,1342170007,S. Mummau,Sammy Mummau,Mummau,Sammy,SS,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,12,52,19,.206,180,57.1%,19.0%,79.3%,.349,.263,6%,17%,10.5%,25.0%,16.7%,39.1%
1266,1654896558,A. Stelogeannis,Aaron Stelogeannis,Stelogeannis,Aaron,CF,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,13,40,16,.306,180,62.7%,29.2%,78.5%,.439,.342,15%,20%,16.7%,37.5%,22.2%,19.3%
1266,1686573078,H. Brignac,Hudson Brignac,Brignac,Hudson,2B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,10,35,31,.289,180,57.5%,13.3%,83.3%,.324,.358,23%,33%,28.6%,10.0%,14.0%,15.4%
1266,1944131337,W. Waters,Wylie Waters,Waters,Wylie,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,21,52,20,.267,180,75.3%,28.1%,69.9%,.380,.385,38%,47%,50.0%,75.0%,35.1%,29.0%
1266,1625310371,M. McGwire,Max McGwire,McGwire,Max,RF,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,14,55,24,.233,180,72.1%,26.7%,62.6%,.289,.351,51%,25%,30.0%,63.6%,27.6%,35.9%
1266,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,31,36,45,.272,180,64.5%,16.4%,77.5%,.435,.469,36%,50%,21.4%,23.1%,15.0%,23.1%
1266,1001010929,T. Schmidt,Tate Schmidt,Schmidt,Tate,2B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,11,52,22,.228,180,63.3%,25.9%,71.7%,.229,.306,34%,40%,0.0%,42.9%,7.7%,45.5%
1266,1038434680,X. McAfee,Xander McAfee,McAfee,Xander,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,22,41,13,.294,180,71.8%,33.4%,76.2%,.531,.321,33%,46%,9.1%,22.2%,36.2%,31.6%
1283,1254273792,T. Hansen,Trevor Hansen,Hansen,Trevor,3B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,19,54,12,.240,179,67.3%,21.3%,75.9%,.309,.314,26%,0%,25.0%,50.0%,27.3%,50.0%
1283,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,19,40,31,.263,179,72.5%,18.1%,80.3%,.313,.385,42%,0%,0.0%,40.0%,6.4%,34.2%
1283,1299385600,M. Colella,Matt Colella,Colella,Matt,SS,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,3,12,23,.257,179,66.1%,21.6%,89.8%,.313,.289,39%,0%,0.0%,0.0%,8.8%,7.8%
1283,1310844160,D. Pacheco,D.J. Pacheco,Pacheco,D.J.,LF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,16,45,14,.330,179,68.3%,21.0%,78.8%,.526,.362,32%,14%,14.3%,33.3%,15.4%,28.8%
1283,1272581376,C. Schuchart,Chris Schuchart,Schuchart,Chris,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,15,47,12,.257,179,70.4%,27.2%,74.5%,.409,.301,35%,11%,14.3%,44.4%,17.9%,48.7%
1283,1165732096,S. Parks,Sam Parks,Parks,Sam,CF,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,24,55,.291,179,52.6%,11.6%,92.4%,.364,.415,3%,0%,9.1%,28.6%,9.4%,15.4%
1283,1323023616,D. Moore,Daniel Moore,Moore,Daniel,SS,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,14,41,24,.324,179,59.4%,19.5%,84.3%,.237,.414,29%,-,0.0%,0.0%,75.0%,45.5%
1283,1278317312,R. Betancourt,Rafael Betancourt,Betancourt,Rafael,P,University of South Florida,USF,2292,South Florida,BBC,S,R,9,26,8,.263,179,75.4%,34.1%,82.8%,.306,.270,44%,50%,20.0%,23.5%,11.5%,21.7%
1283,1700198774,K. Perez,Kenneth Perez,Perez,Kenneth,2B,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,16,38,17,.268,179,80.1%,29.5%,77.7%,.215,.359,31%,75%,21.4%,20.0%,26.5%,26.1%
1283,1774937559,T. Head,Ty Head,Head,Ty,CF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,15,28,48,.274,179,54.1%,19.1%,84.9%,.347,.393,22%,25%,13.8%,4.3%,11.9%,9.8%
1283,1645393576,M. Collins,Mitchell Collins,Collins,Mitchell,SS,University of North Florida,UNF,730296832,North Florida,BBC,L,R,13,43,39,.307,179,57.1%,13.6%,77.5%,.420,.361,23%,0%,33.3%,21.4%,19.6%,21.2%
1283,1030273503,G. MacArthur,Grant MacArthur,MacArthur,Grant,1B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,20,41,38,.296,179,65.3%,15.1%,83.2%,.393,.426,35%,23%,18.8%,14.3%,11.8%,38.1%
1283,1066243898,M. Perez,Matthew Perez,Perez,Matthew,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,10,37,18,.257,179,70.5%,19.6%,83.1%,.362,.284,36%,-,28.6%,16.7%,22.2%,33.3%
1283,1342167905,A. Tirado,Anthony Tirado,Tirado,Anthony,CF,University of Massachusetts,MASS,5451,UMass,BBC,L,R,14,39,26,.291,179,68.8%,24.9%,82.2%,.343,.390,36%,33%,0.0%,50.0%,5.6%,44.4%
1297,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,15,28,23,.303,178,65.8%,22.8%,85.9%,.294,.385,21%,14%,25.0%,16.7%,8.2%,10.9%
1297,1201246464,L. Maxwell,Logan Maxwell,Maxwell,Logan,RF,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,18,35,27,.354,178,70.9%,21.9%,79.9%,.415,.457,48%,25%,11.1%,10.3%,23.5%,23.5%
1297,1152914688,K. Vu,Kien Vu,Vu,Kien,RF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,23,39,25,.354,178,66.7%,23.8%,76.3%,.363,.502,26%,14%,8.7%,33.3%,14.3%,34.9%
1297,1075203328,M. Robertson,Michael Robertson,Robertson,Michael,CF,Liberty University,LIB,730156288,Liberty,BBC,L,R,6,52,30,.163,178,54.6%,16.9%,75.2%,.140,.269,8%,30%,29.4%,64.3%,22.6%,36.8%
1297,1310338817,C. Peebles,Cannon Peebles,Peebles,Cannon,C,University of Tennessee,TENN,730153728,Tennessee,BBC,S,R,19,43,19,.253,178,70.3%,28.0%,73.3%,.418,.316,40%,29%,6.7%,26.7%,17.6%,32.6%
1297,1207513600,B. Durbin,Beau Durbin,Durbin,Beau,2B,Bradley University,BRAD,730253312,Bradley,BBC,L,R,19,41,27,.264,178,69.8%,21.0%,76.6%,.292,.373,28%,64%,23.1%,50.0%,25.8%,25.8%
1297,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,19,38,38,.331,178,62.6%,13.3%,82.5%,.501,.402,25%,13%,13.3%,33.3%,13.7%,20.7%
1297,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,15,39,22,.258,178,63.5%,18.9%,79.4%,.266,.364,35%,18%,21.1%,11.1%,17.1%,28.6%
1297,1327586816,A. Greco,Anthony Greco,Greco,Anthony,1B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,13,48,34,.253,178,69.0%,22.8%,70.4%,.295,.366,44%,57%,0.0%,46.2%,19.6%,28.9%
1297,1141044992,P. Link,Peter Link,Link,Peter,LF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,18,53,32,.281,178,63.9%,12.1%,73.8%,.513,.368,48%,0%,42.9%,-,47.4%,40.0%
1297,1327580416,J. Mennella,Joseph Mennella,Mennella,Joseph,1B,Wagner College,WAG,730192640,Wagner,BBC,R,R,25,55,33,.264,178,70.1%,11.2%,71.3%,.569,.323,17%,-,0.0%,25.0%,20.0%,41.7%
1297,1207474945,C. Badylak,Clay Badylak,Badylak,Clay,2B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,R,15,36,19,.275,178,66.7%,25.5%,80.2%,.331,.317,36%,29%,25.0%,7.1%,21.9%,20.0%
1297,1125677568,S. Greico,Sebastian Greico,Greico,Sebastian,1B,University of South Florida,USF,2292,South Florida,BBC,L,R,26,33,34,.281,178,67.0%,27.5%,77.2%,.475,.385,46%,50%,33.3%,40.0%,12.0%,19.4%
1297,1310643968,J. Brown,Jake Brown,Brown,Jake,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,19,34,23,.320,178,65.4%,24.1%,79.9%,.322,.428,35%,0%,0.0%,33.3%,10.3%,22.7%
1297,1334300928,J. Vos,Joe Vos,Vos,Joe,CF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,22,49,17,.326,178,67.9%,25.9%,75.0%,.340,.411,31%,33%,36.4%,33.3%,36.8%,23.8%
1297,1212108544,M. Eckelman,Mason Eckelman,Eckelman,Mason,C,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,16,35,26,.281,178,60.2%,26.4%,80.3%,.405,.363,21%,41%,3.7%,25.0%,13.3%,24.3%
1297,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,22,54,31,.275,178,64.8%,23.7%,68.9%,.314,.426,30%,10%,17.6%,28.6%,20.8%,30.4%
1297,1235358720,W. Hunt,Wyatt Hunt,Hunt,Wyatt,3B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,8,38,13,.225,178,65.3%,25.7%,78.5%,.470,.217,35%,57%,28.6%,66.7%,16.3%,26.5%
1297,1167257088,G. Mastros,Graham Mastros,Mastros,Graham,RF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,21,50,20,.292,178,69.6%,21.2%,75.4%,.426,.351,30%,25%,8.3%,12.5%,28.6%,35.0%
1297,1286192614,A. Donatto,Ahmar Donatto,Donatto,Ahmar,TWP,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,27,37,18,.376,178,66.2%,20.1%,82.3%,.451,.479,45%,75%,17.6%,0.0%,27.8%,9.1%
1297,1247518976,T. Tracy,Tab Tracy,Tracy,Tab,CF,Lamar University,LAM,730162432,Lamar,BBC,L,L,8,27,37,.309,178,66.7%,21.9%,87.2%,.388,.357,34%,20%,18.8%,23.5%,2.1%,11.1%
1297,1559287645,P. McLellan,Patrick McLellan,McLellan,Patrick,3B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,8,32,16,.292,178,63.1%,19.9%,80.9%,.417,.300,33%,25%,7.7%,0.0%,19.0%,20.0%
1297,1417310238,G. Balius,Gavin Balius,Balius,Gavin,CF,Ball State University,BALL,730195456,Ball State,BBC,R,R,4,25,25,.303,178,59.5%,17.1%,89.1%,.334,.348,19%,-,16.7%,14.3%,8.1%,10.9%
1297,1244314523,T. Spees,Trey Spees,Spees,Trey,2B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,11,40,28,.287,178,71.2%,22.7%,77.3%,.460,.330,35%,44%,20.0%,53.8%,17.7%,10.2%
1297,1321815263,H. Bocachica Jr.,Hiram Bocachica Jr.,Bocachica Jr.,Hiram,SS,Rice University,RICE,2352,Rice,BBC,R,R,10,37,31,.264,178,65.7%,18.5%,82.6%,.402,.320,23%,0%,14.3%,33.3%,18.3%,18.9%
1297,1370253647,J. Jimenez,Jorsixt Jimenez,Jimenez,Jorsixt,RF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,21,31,32,.315,178,74.1%,23.2%,81.8%,.326,.439,42%,14%,10.0%,25.0%,18.8%,26.3%
1297,1930556790,J. Hamilton,Jayden Hamilton,Hamilton,Jayden,3B,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,15,18,15,.247,178,69.8%,20.3%,89.2%,.423,.280,54%,100%,0.0%,33.3%,0.0%,9.1%
1324,1243869440,N. Wilson,Nolan Wilson,Wilson,Nolan,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,14,27,18,.260,177,73.1%,35.0%,78.2%,.407,.294,53%,60%,50.0%,10.0%,11.9%,35.3%
1324,1298788096,J. Cauthron,Jackson Cauthron,Cauthron,Jackson,C,Ohio University,OHIO,730298368,Ohio,BBC,L,R,19,41,20,.277,177,70.9%,20.7%,77.0%,.355,.388,37%,20%,33.3%,44.4%,22.2%,21.9%
1324,1277164032,M. Mylott,Michael Mylott,Mylott,Michael,LF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,20,30,13,.299,177,64.0%,24.2%,79.4%,.344,.397,28%,0%,25.0%,16.7%,11.1%,9.5%
1324,1099941376,B. Markinson,Bennett Markinson,Markinson,Bennett,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,17,14,15,.266,177,72.5%,27.2%,85.3%,.492,.281,27%,31%,0.0%,0.0%,18.2%,11.4%
1324,1085408256,A. Manning,Andrew Manning,Manning,Andrew,RF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,18,47,27,.277,177,66.6%,22.1%,69.5%,.272,.377,35%,38%,42.9%,45.5%,21.4%,30.0%
1324,1097665280,V. Izquierdo,Victor Izquierdo,Izquierdo,Victor,1B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,14,36,15,.260,177,65.8%,28.3%,76.5%,.379,.295,26%,22%,40.0%,50.0%,21.2%,22.0%
1324,1268197376,T. Farmer IV,Tommy Farmer,Farmer IV,Tommy,LF,University of Texas,TEX,245,Texas,BBC,R,R,14,65,25,.249,177,62.5%,21.4%,67.5%,.278,.347,14%,0%,25.0%,50.0%,17.0%,53.3%
1324,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,17,62,17,.237,177,63.5%,29.5%,64.4%,.268,.371,36%,40%,31.3%,52.6%,25.4%,31.1%
1324,1253789440,M. Olive,Matt Olive,Olive,Matt,RF,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,51,20,.243,177,71.4%,20.7%,71.6%,.356,.319,44%,40%,37.5%,66.7%,31.0%,30.4%
1324,1310870784,P. Steele,Preston Steele,Steele,Preston,3B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,17,32,17,.243,177,67.0%,25.1%,83.8%,.336,.328,21%,11%,5.6%,20.0%,14.3%,6.9%
1324,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,21,60,14,.282,177,68.9%,26.4%,70.7%,.363,.373,37%,25%,26.3%,52.6%,22.7%,31.8%
1324,1297345024,C. Applegate,Carson Applegate,Applegate,Carson,SS,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,15,49,33,.215,177,62.7%,18.6%,73.5%,.407,.306,33%,0%,22.7%,0.0%,27.8%,36.4%
1324,1192665088,A. Neuweg,Austin Neuweg,Neuweg,Austin,3B,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,17,56,18,.249,177,75.0%,25.6%,73.2%,.335,.318,62%,50%,50.0%,50.0%,28.1%,41.9%
1324,1550044575,R. Skjonsby,Ryan Skjonsby,Skjonsby,Ryan,1B,Washington State University,WSU,4505,Washington State,BBC,L,R,11,40,25,.243,177,62.9%,16.6%,80.7%,.372,.301,23%,0%,22.6%,26.7%,23.3%,14.0%
1324,1700235790,O. Obenour,Ollie Obenour,Obenour,Ollie,2B,Washington State University,WSU,4505,Washington State,BBC,R,R,15,35,11,.271,177,64.9%,24.6%,80.3%,.364,.310,23%,67%,0.0%,18.8%,15.4%,33.3%
1324,1763574886,N. Sparks,Nolan Sparks,Sparks,Nolan,LF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,9,39,14,.254,177,62.2%,26.5%,79.4%,.283,.330,19%,0%,21.7%,0.0%,14.0%,22.9%
1324,1802508005,T. Tomlin,Taylor Tomlin,Tomlin,Taylor,CF,Oakland University,OAK,5386,Oakland,BBC,R,L,10,28,28,.322,177,62.9%,20.1%,83.4%,.375,.359,29%,0%,7.1%,7.7%,18.5%,14.3%
1324,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,21,27,25,.316,177,57.7%,18.7%,87.5%,.467,.416,24%,20%,11.8%,15.8%,9.1%,22.2%
1324,1699988554,D. Alana,Diego Alana,Alana,Diego,SS,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,10,24,21,.288,177,62.9%,26.7%,85.4%,.344,.313,19%,0%,11.1%,0.0%,17.3%,12.1%
1324,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,19,58,20,.232,177,75.5%,30.2%,64.5%,.367,.321,45%,67%,20.0%,53.8%,21.1%,44.8%
1324,1810144984,D. Barrett,Drey Barrett,Barrett,Drey,3B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,15,50,26,.254,177,66.1%,22.0%,76.6%,.322,.368,27%,44%,22.6%,33.3%,26.4%,25.8%
1324,1342169592,J. Skowronski,Josh Skowronski,Skowronski,Josh,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,23,42,29,.305,177,68.6%,19.6%,75.1%,.451,.435,27%,19%,7.7%,17.6%,16.7%,30.0%
1346,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,18,33,32,.335,176,58.9%,20.6%,76.6%,.477,.386,39%,33%,13.3%,30.0%,9.1%,38.2%
1346,1162119936,C. Taylor,Christian Taylor,Taylor,Christian,LF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,16,41,21,.295,176,68.8%,29.9%,73.9%,.326,.352,35%,29%,33.3%,40.0%,25.6%,17.6%
1346,1160633344,B. White,Brayden White,White,Brayden,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,10,37,16,.244,176,68.9%,26.7%,76.7%,.299,.289,36%,20%,15.4%,5.6%,26.5%,29.2%
1346,1316274176,T. Johnson,Ty Johnson,Johnson,Ty,CF,Baylor University,BAY,3033,Baylor,BBC,L,R,9,41,35,.261,176,62.0%,20.2%,77.9%,.418,.315,36%,0%,0.0%,40.0%,13.7%,35.6%
1346,1135888384,T. Howard,Tyler Howard,Howard,Tyler,RF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,7,45,27,.284,176,59.1%,27.4%,76.4%,.350,.342,25%,17%,13.0%,18.2%,19.1%,20.9%
1346,1124113920,W. Vergantino,Will Vergantino,Vergantino,Will,2B,Elon University,ELON,730252544,Elon,BBC,R,R,15,28,25,.267,176,68.5%,24.2%,83.7%,.372,.344,34%,29%,17.4%,5.0%,10.3%,15.0%
1346,1306900480,C. Schneider,Cam Schneider,Schneider,Cam,LF,Fresno State,FRES,730384384,Fresno State,BBC,R,R,9,39,15,.273,176,64.0%,28.3%,74.2%,.313,.302,36%,56%,11.8%,28.6%,21.3%,42.1%
1346,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,12,36,14,.267,176,70.6%,37.4%,79.1%,.248,.333,17%,29%,11.8%,25.0%,19.7%,26.5%
1346,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,27,77,33,.256,176,64.6%,24.8%,58.2%,.475,.411,36%,58%,34.6%,52.6%,30.9%,54.5%
1346,1306802432,J. Roder,Joe Roder,Roder,Joe,1B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,22,28,27,.301,176,56.2%,13.8%,84.4%,.282,.405,21%,0%,16.7%,50.0%,19.4%,18.2%
1346,1220089344,L. Baker,Logan Baker,Baker,Logan,SS,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,11,31,14,.273,176,71.5%,21.3%,85.3%,.366,.312,33%,-,0.0%,50.0%,33.3%,20.0%
1346,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,14,45,30,.313,176,61.0%,21.5%,82.3%,.394,.385,43%,20%,11.1%,27.3%,23.8%,31.3%
1346,1263988992,B. Wilson,Blake Wilson,Wilson,Blake,2B,University of Washington,WASH,3110,Washington,BBC,R,R,15,54,16,.216,176,66.3%,28.6%,70.3%,.181,.343,24%,25%,26.5%,33.3%,22.5%,35.6%
1346,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,12,25,27,.295,176,72.1%,17.9%,78.8%,.375,.369,33%,11%,26.7%,16.7%,7.1%,29.7%
1346,1342167303,C. Munster,Cayden Munster,Munster,Cayden,1B,Fresno State,FRES,730384384,Fresno State,BBC,L,R,19,54,25,.227,176,68.7%,27.0%,72.8%,.251,.354,27%,33%,14.3%,55.6%,28.6%,28.8%
1346,1661263914,A. Leopard,Alex Leopard,Leopard,Alex,RF,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,23,48,26,.244,176,56.1%,20.5%,75.6%,.279,.412,26%,11%,26.3%,30.0%,17.6%,30.6%
1346,1341082951,T. Bates,Taj Bates,Bates,Taj,3B,Southern University,SOU,4767,Southern,BBC,R,R,24,28,20,.358,176,63.0%,20.2%,84.3%,.481,.450,36%,20%,0.0%,18.2%,16.7%,11.8%
1346,1342170748,A. Carson,Ansel Carson,Carson,Ansel,SS,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,S,R,14,34,36,.250,176,66.7%,23.0%,84.7%,.511,.326,13%,25%,0.0%,0.0%,30.8%,44.4%
1346,1346659671,E. Hudgins,Eli Hudgins,Hudgins,Eli,CF,Radford University,RAD,730267392,Radford,BBC,S,R,19,30,12,.324,176,75.9%,26.2%,82.3%,.305,.401,56%,23%,0.0%,28.6%,19.4%,28.0%
1365,1297499392,K. Grady,Keaton Grady,Grady,Keaton,2B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,S,R,19,21,26,.366,175,65.8%,22.7%,84.4%,.416,.427,25%,21%,30.0%,22.2%,11.8%,20.8%
