Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
1,1192515328,A. Divittorio,Anthony Divittorio,Divittorio,Anthony,LF,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,46,198,766,70.6%,0.0%,1.4%,13.3%,1.4%,13.3%,0.0%,0.0%,81.3%,70.6%,28.0%,14.7%
2,1336576512,T. Patty,Tyshon Patty,Patty,Tyshon,3B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,43,161,548,70.4%,0.3%,0.0%,14.9%,6.1%,8.3%,0.0%,0.0%,33.9%,70.7%,29.3%,21.0%
3,1235354368,K. Queen,Kydese Queen,Queen,Kydese,3B,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,180,449,70.3%,2.7%,0.0%,24.3%,0.0%,2.7%,0.0%,0.0%,83.5%,73.0%,27.0%,24.3%
4,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,36,138,363,68.8%,1.3%,0.0%,17.5%,7.5%,5.0%,0.0%,0.0%,78.0%,70.0%,30.0%,25.0%
5,1087793920,B. Short,Brady Short,Short,Brady,SS,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,48,243,857,68.5%,1.7%,0.0%,16.4%,6.4%,6.7%,0.3%,0.0%,65.2%,70.1%,29.9%,22.8%
6,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,272,1068,67.7%,1.7%,1.5%,15.3%,1.5%,11.7%,0.2%,0.3%,15.4%,69.4%,29.1%,17.1%
7,1263368704,L. Torres,Lukas Torres,Torres,Lukas,CF,Wagner College,WAG,730192640,Wagner,BBC,L,L,51,249,801,67.7%,6.1%,4.0%,11.6%,1.0%,9.1%,0.5%,0.0%,75.3%,73.7%,22.2%,12.6%
8,1227126016,A. Sullivan,Adam Sullivan,Sullivan,Adam,1B,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,R,39,168,612,67.5%,0.0%,6.1%,12.3%,0.9%,12.3%,0.0%,0.9%,81.4%,67.5%,26.3%,14.0%
9,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,42,153,548,67.5%,1.3%,3.9%,11.7%,1.3%,14.3%,0.0%,0.0%,85.9%,68.8%,27.3%,13.0%
10,1197663488,J. Harvey,Jake Harvey,Harvey,Jake,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,49,218,949,66.2%,2.3%,3.0%,15.6%,6.7%,5.9%,0.2%,0.0%,0.7%,68.6%,28.5%,22.3%
11,1327605561,J. Jimenez,Julian Jimenez,Jimenez,Julian,CF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,43,192,589,66.2%,0.0%,0.0%,15.1%,2.7%,16.0%,0.0%,0.0%,62.8%,66.2%,33.8%,17.8%
12,1138260992,L. Alvarez,Ledy Alvarez,Alvarez,Ledy,SS,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,49,215,691,66.0%,1.3%,0.2%,18.6%,4.9%,9.1%,0.0%,0.0%,31.5%,67.2%,32.6%,23.5%
13,1232133376,W. Safford,Will Safford,Safford,Will,SS,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,54,199,734,65.6%,3.7%,3.3%,13.9%,3.1%,9.7%,0.7%,0.0%,4.1%,69.3%,27.4%,17.0%
14,1638122960,D. Rodriguez,Damian Rodriguez,Rodriguez,Damian,CF,Iona College,IONA,730242048,Iona,BBC,R,R,51,262,942,65.5%,6.5%,0.0%,20.1%,3.6%,3.6%,0.7%,0.0%,85.2%,71.9%,28.1%,23.7%
15,1910342021,C. Schneider,Cooper Schneider,Schneider,Cooper,RF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,38,158,628,65.0%,3.1%,0.7%,20.0%,5.2%,6.1%,0.0%,0.0%,32.2%,68.1%,31.2%,25.1%
16,1165732096,S. Parks,Sam Parks,Parks,Sam,CF,Stonehill College,SC,730238464,Stonehill,BBC,L,L,52,259,1024,64.9%,1.0%,1.6%,14.3%,6.5%,10.5%,1.2%,0.0%,50.8%,65.9%,32.5%,20.8%
17,1520402962,B. Barber,Brett Barber,Barber,Brett,2B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,41,171,561,64.6%,3.7%,1.6%,19.9%,4.0%,5.9%,0.3%,0.0%,42.6%,68.3%,30.1%,23.9%
18,1296199682,R. Adams III,Reyfield Adams III,Adams III,Reyfield,CF,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,41,176,426,64.3%,0.0%,2.4%,15.9%,6.3%,11.1%,0.0%,0.0%,70.4%,64.3%,33.3%,22.2%
19,1613973512,G. Grutzmacher,Gavin Grutzmacher,Grutzmacher,Gavin,2B,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,46,217,761,64.2%,0.0%,0.7%,26.5%,2.6%,6.0%,0.0%,0.0%,80.2%,64.2%,35.1%,29.1%
20,1133589199,E. Hammill,Elijha Hammill,Hammill,Elijha,CF,Niagara University,NIAG,730156544,Niagara,BBC,S,R,39,178,670,64.2%,3.8%,1.9%,12.7%,1.9%,15.6%,0.0%,0.0%,68.4%,67.9%,30.2%,14.6%
21,1417310238,G. Balius,Gavin Balius,Balius,Gavin,CF,Ball State University,BALL,730195456,Ball State,BBC,R,R,56,215,806,63.6%,2.9%,1.6%,17.9%,6.0%,7.6%,0.3%,0.0%,15.4%,66.6%,31.8%,23.9%
22,1238233344,J. Kemp,James Kemp,Kemp,James,1B,Iona College,IONA,730242048,Iona,BBC,R,R,52,249,906,63.5%,6.3%,0.0%,19.0%,0.8%,7.9%,2.4%,0.0%,86.1%,69.8%,30.2%,19.8%
23,1395982135,J. Flores,Jaden Flores,Flores,Jaden,3B,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,51,216,667,63.5%,5.8%,1.7%,14.9%,7.9%,6.2%,0.0%,0.0%,63.9%,69.3%,29.0%,22.8%
24,1204942080,J. Poist,Jack Poist,Poist,Jack,LF,University of Akron,AKR,540536064,Akron,BBC,L,R,50,235,887,63.4%,2.1%,1.9%,16.9%,3.9%,11.1%,0.5%,0.0%,12.7%,65.5%,32.6%,20.9%
25,1124743680,T. McGuire,Tim McGuire,McGuire,Tim,3B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,49,212,715,63.3%,2.1%,1.0%,14.7%,5.9%,12.6%,0.3%,0.0%,60.0%,65.4%,33.6%,20.6%
26,1196830464,N. Brini,Niko Brini,Brini,Niko,LF,Wofford College,WOF,730176512,Wofford,BBC,L,L,48,194,656,63.3%,3.1%,2.7%,14.6%,4.2%,11.8%,0.2%,0.2%,2.7%,66.4%,30.9%,19.0%
27,1139934976,E. Brown,Ely Brown,Brown,Ely,CF,Mercer University,MER,730240512,Mercer,BBC,L,L,60,286,1080,63.2%,2.1%,1.4%,12.6%,5.7%,14.7%,0.3%,0.0%,2.9%,65.3%,33.3%,18.3%
28,1463982062,C. Morris,Charles Morris,Morris,Charles,TWP,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,L,L,49,187,558,63.1%,0.8%,0.0%,12.2%,4.7%,19.2%,0.0%,0.0%,54.3%,63.9%,36.1%,16.9%
29,1099740416,T. Peterson,Tyler Peterson,Peterson,Tyler,SS,Seattle University,SEA,4504,Seattle,BBC,L,R,52,209,664,63.1%,1.2%,1.0%,14.0%,7.3%,13.3%,0.0%,0.0%,13.1%,64.3%,34.7%,21.3%
30,1165637632,J. Altman,Jake Altman,Altman,Jake,3B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,48,174,604,63.0%,3.8%,4.3%,8.8%,12.6%,7.4%,0.0%,0.0%,26.7%,66.8%,28.9%,21.4%
31,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,38,152,515,62.8%,1.1%,0.5%,23.4%,4.3%,6.9%,1.1%,0.0%,63.5%,63.8%,35.6%,27.7%
32,1700198255,C. Walsh,Charlie Walsh,Walsh,Charlie,2B,George Washington University,GW,730249216,George Washington,BBC,R,R,51,204,758,62.7%,1.6%,1.7%,19.5%,4.2%,9.0%,0.9%,0.4%,8.0%,64.3%,34.0%,24.1%
33,1105526272,T. Bak,Tyler Bak,Bak,Tyler,CF,Wofford College,WOF,730176512,Wofford,BBC,L,L,46,189,730,62.7%,1.6%,2.7%,13.6%,6.1%,12.9%,0.1%,0.3%,3.4%,64.3%,33.0%,20.0%
34,1445319767,T. Hardin,Tanner Hardin,Hardin,Tanner,2B,Wofford College,WOF,730176512,Wofford,BBC,L,R,53,186,754,62.7%,3.0%,3.8%,13.7%,4.3%,11.5%,0.1%,0.8%,3.3%,65.7%,30.5%,18.8%
35,1100142336,J. Ritter,Jamal Ritter,Ritter,Jamal,CF,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,42,198,538,62.4%,0.0%,0.0%,25.9%,5.9%,5.9%,0.0%,0.0%,84.2%,62.4%,37.6%,31.8%
36,1090550016,T. DeClusin,Tyler DeClusin,DeClusin,Tyler,RF,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,39,151,399,62.2%,6.8%,0.0%,13.5%,14.9%,0.0%,2.7%,0.0%,81.5%,68.9%,31.1%,28.4%
37,1156682240,J. McCladdie,Jordan McCladdie,McCladdie,Jordan,CF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,51,243,807,62.1%,0.0%,1.1%,17.1%,5.6%,14.1%,0.0%,0.0%,33.3%,62.1%,36.8%,22.7%
38,1550044575,R. Skjonsby,Ryan Skjonsby,Skjonsby,Ryan,1B,Washington State University,WSU,4505,Washington State,BBC,L,R,51,219,904,62.1%,0.4%,2.2%,18.6%,7.2%,9.0%,0.6%,0.0%,5.2%,62.4%,35.4%,25.8%
39,1162600704,B. Perreira,Brock Perreira,Perreira,Brock,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,R,54,222,882,62.0%,2.6%,2.5%,11.9%,8.2%,10.7%,1.3%,0.6%,10.1%,64.7%,32.8%,20.8%
40,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,59,275,1043,62.0%,1.5%,3.9%,19.7%,6.8%,5.9%,0.1%,0.0%,15.4%,63.5%,32.7%,26.6%
41,1263049984,B. Hughes,Bryce Hughes,Hughes,Bryce,SS,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,54,256,658,61.9%,5.8%,2.2%,17.7%,7.5%,4.4%,0.4%,0.0%,65.7%,67.7%,30.1%,25.2%
42,1446969335,J. Gonzalez Perez,Jonathan Gonzalez Perez,Gonzalez Perez,Jonathan,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,38,155,351,61.9%,1.5%,1.5%,15.7%,3.7%,15.7%,0.0%,0.0%,61.8%,63.4%,35.1%,19.4%
43,1155006976,T. Wood,Tye Wood,Wood,Tye,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,S,L,46,203,845,61.8%,3.0%,2.6%,16.4%,6.1%,9.5%,0.5%,0.0%,5.6%,64.8%,32.6%,22.6%
44,1028639305,A. Espaillat,Alex Espaillat,Espaillat,Alex,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,45,214,710,61.6%,2.5%,1.9%,11.6%,13.0%,9.1%,0.3%,0.0%,49.0%,64.1%,34.0%,24.6%
45,1099858944,Q. Phillips,Q Phillips,Phillips,Q,LF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,S,L,51,209,913,61.6%,6.7%,3.7%,9.1%,4.7%,13.8%,0.4%,0.0%,46.1%,68.3%,28.0%,13.8%
46,1205132544,G. Greco,Garrett Greco,Greco,Garrett,2B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,46,221,756,61.5%,5.5%,2.2%,13.2%,8.8%,8.8%,0.0%,0.0%,75.9%,67.0%,30.8%,22.0%
47,1196810752,L. Johnstone,Logan Johnstone,Johnstone,Logan,RF,Washington State University,WSU,4505,Washington State,BBC,L,R,54,238,914,61.5%,1.4%,3.4%,16.0%,6.8%,9.9%,1.0%,0.0%,4.4%,62.9%,33.7%,22.8%
48,1066243898,M. Perez,Matthew Perez,Perez,Matthew,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,53,205,523,61.5%,2.9%,2.9%,20.7%,6.3%,5.7%,0.0%,0.0%,66.7%,64.4%,32.8%,27.0%
49,1474632051,L. Rice,Lew Rice,Rice,Lew,CF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,46,180,687,61.5%,4.7%,1.5%,16.0%,3.2%,13.0%,0.1%,0.0%,0.6%,66.2%,32.4%,19.2%
50,1116254208,C. Rogan,Charlie Rogan,Rogan,Charlie,1B,George Washington University,GW,730249216,George Washington,BBC,L,R,54,237,840,61.5%,1.2%,1.1%,23.6%,4.2%,7.1%,0.8%,0.4%,9.8%,62.7%,36.3%,28.4%
51,1802508005,T. Tomlin,Taylor Tomlin,Tomlin,Taylor,CF,Oakland University,OAK,5386,Oakland,BBC,R,L,50,211,798,61.4%,0.8%,3.6%,19.4%,7.9%,6.8%,0.0%,0.0%,22.4%,62.2%,34.2%,27.5%
52,1100812800,P. Daniels,Phillips Daniels,Daniels,Phillips,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,57,242,915,61.4%,3.2%,2.7%,21.2%,3.0%,8.3%,0.1%,0.1%,5.5%,64.6%,32.7%,24.3%
53,1153058304,H. Sobecki,Hayden Sobecki,Sobecki,Hayden,1B,Yale University,YALE,730334464,Yale,BBC,R,R,39,157,527,61.3%,4.1%,1.1%,17.5%,6.8%,8.1%,0.4%,0.6%,11.2%,65.4%,33.5%,25.0%
54,1233948160,N. Alvarez,Noah Alvarez,Alvarez,Noah,3B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,R,53,237,960,61.2%,3.4%,2.2%,12.7%,5.9%,12.6%,1.5%,0.5%,10.6%,64.6%,33.2%,19.1%
55,1135882752,C. Carson,Christopher Carson,Carson,Christopher,CF,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,47,170,592,61.2%,6.1%,1.9%,14.8%,2.4%,12.4%,1.2%,0.0%,30.4%,67.2%,30.8%,17.2%
56,1119193600,H. Torres,Hederick Torres,Torres,Hederick,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,42,163,528,61.2%,0.3%,0.6%,25.1%,6.4%,6.4%,0.0%,0.0%,38.1%,61.5%,37.9%,31.5%
57,1204892672,B. Kim,Ben Kim,Kim,Ben,LF,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,R,52,184,503,61.1%,4.6%,1.7%,14.9%,8.0%,9.7%,0.0%,0.0%,65.2%,65.7%,32.6%,22.9%
58,1210577664,T. Cowan,Tyler Cowan,Cowan,Ty,2B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,44,195,692,61.0%,5.5%,0.9%,15.1%,8.5%,8.5%,0.5%,0.0%,37.0%,66.5%,32.6%,23.6%
59,1201248512,A. Solomon,AJ Solomon,Solomon,AJ,2B,Butler University,BUT,730283520,Butler,BBC,L,R,51,212,843,61.0%,8.2%,3.4%,12.5%,5.0%,9.8%,0.2%,0.0%,22.2%,69.2%,27.4%,17.5%
60,1085543680,B. Niednagel,Ben Niednagel,Niednagel,Ben,SS,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,51,198,753,60.9%,1.9%,2.3%,12.4%,10.2%,11.9%,0.3%,0.0%,14.3%,62.8%,34.9%,22.6%
61,1614478221,H. Turner,Hassan Turner,Turner,Hassan,RF,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,39,176,551,60.9%,0.0%,0.0%,26.1%,0.0%,13.0%,0.0%,0.0%,91.7%,60.9%,39.1%,26.1%
62,1111769088,S. Griffith,Sam Griffith,Griffith,Sam,2B,Oakland University,OAK,5386,Oakland,BBC,R,R,59,242,904,60.9%,1.3%,3.9%,23.8%,5.5%,4.5%,0.1%,0.0%,16.9%,62.2%,34.0%,29.3%
63,1342170748,A. Carson,Ansel Carson,Carson,Ansel,SS,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,S,R,47,220,646,60.8%,4.7%,0.5%,11.3%,3.3%,19.3%,0.0%,0.0%,67.2%,65.6%,34.0%,14.6%
64,1297014272,T. Acker,Ty Acker,Acker,Ty,3B,George Washington University,GW,730249216,George Washington,BBC,L,R,48,204,709,60.8%,2.7%,0.8%,19.9%,4.9%,10.3%,0.5%,0.2%,10.9%,63.4%,35.8%,25.0%
65,1330699776,J. Layman,James Layman,Layman,James,3B,Wofford College,WOF,730176512,Wofford,BBC,L,R,49,205,868,60.8%,2.4%,3.1%,14.9%,4.1%,13.4%,0.2%,1.2%,2.5%,63.1%,33.8%,20.2%
66,1949676819,G. Salva,Guriyandel Salva,Salva,Guriyandel,SS,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,43,184,649,60.7%,5.9%,4.1%,13.3%,4.8%,8.5%,2.6%,0.0%,58.4%,66.7%,29.3%,18.1%
67,1099245312,M. Travisano,Matt Travisano,Travisano,Matt,SS,University of Massachusetts,MASS,5451,UMass,BBC,R,R,41,174,704,60.7%,1.4%,0.4%,23.9%,8.1%,5.3%,0.4%,0.0%,59.5%,62.1%,37.5%,31.9%
68,1196824064,C. Gallegos,Chase Gallegos,Gallegos,Chase,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,48,175,707,60.6%,0.7%,7.5%,15.6%,7.2%,7.4%,0.3%,0.7%,2.0%,61.3%,31.2%,23.5%
69,1408531850,S. Grube,Sam Grube,Grube,Sam,2B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,50,247,916,60.6%,1.8%,2.3%,16.5%,3.0%,14.7%,0.5%,0.0%,39.1%,62.4%,35.3%,20.1%
70,1092329472,J. Alvarez,Julian Alvarez,Alvarez,Julian,RF,California Baptist University,CBU,5091,California Baptist,BBC,L,L,52,195,733,60.6%,3.8%,1.3%,13.5%,7.4%,12.8%,0.6%,0.3%,1.8%,64.3%,34.4%,21.1%
71,1257413888,F. Carney,Frankie Carney,Carney,Frankie,CF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,45,204,841,60.5%,1.7%,2.1%,15.8%,7.2%,11.8%,0.1%,0.7%,3.6%,62.3%,35.6%,23.7%
72,1162570752,L. Braunschweig,Logan Braunschweig,Braunschweig,Logan,CF,UAB,UAB,730345984,UAB,BBC,L,R,53,248,1009,60.5%,2.4%,2.9%,16.1%,3.2%,14.3%,0.6%,0.0%,4.1%,62.9%,34.2%,19.3%
73,1076858579,K. Phillips,Kelton Phillips,Phillips,Kelton,CF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,49,193,563,60.3%,6.9%,2.3%,19.5%,8.6%,2.3%,0.0%,0.0%,69.1%,67.2%,30.5%,28.2%
74,1310335744,C. Rasmussen,Connor Rasmussen,Rasmussen,Connor,2B,Tulane University,TULN,730354176,Tulane,BBC,L,R,58,266,970,60.3%,1.1%,2.2%,16.7%,5.2%,13.3%,0.6%,0.6%,2.4%,61.4%,36.4%,22.5%
75,1085293312,R. Donohue,Ronan Donohue,Donohue,Ronan,3B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,47,191,659,60.3%,3.1%,2.2%,24.1%,4.5%,5.4%,0.4%,0.0%,66.0%,63.4%,34.4%,28.6%
76,1711212873,G. Roy,Gavin Roy,Roy,Gavin,SS,Washington State University,WSU,4505,Washington State,BBC,R,R,54,241,839,60.3%,0.6%,3.8%,19.7%,7.8%,7.5%,0.3%,0.0%,5.1%,60.9%,35.3%,27.5%
77,1821258240,J. Thompson,J.T. Thompson,Thompson,J.T.,2B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,55,226,772,60.2%,5.6%,2.7%,15.2%,6.0%,9.7%,0.5%,0.1%,0.1%,65.8%,31.5%,21.3%
78,1420638320,I. Anderson,Indy Anderson,Anderson,Indy,1B,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,49,217,686,60.2%,0.0%,0.0%,15.6%,3.1%,21.1%,0.0%,0.0%,81.3%,60.2%,39.8%,18.8%
79,1033943553,D. Urreta,Diego Urreta,Urreta,Diego,2B,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,R,53,235,837,60.2%,1.1%,0.0%,15.8%,7.5%,15.4%,0.0%,0.0%,68.2%,61.3%,38.7%,23.3%
80,1286192614,A. Donatto,Ahmar Donatto,Donatto,Ahmar,TWP,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,51,203,703,60.1%,2.6%,1.5%,18.1%,7.7%,10.0%,0.0%,0.0%,61.5%,62.7%,35.8%,25.8%
81,1152960769,E. Barreras,Emilio Barreras,Barreras,Emilio,SS,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,41,196,782,60.1%,6.4%,4.7%,15.4%,3.3%,9.4%,0.6%,0.0%,7.9%,66.5%,28.7%,18.8%
82,1310350080,K. Harrison,KaiKea Harrison,Harrison,KaiKea,SS,Tulane University,TULN,730354176,Tulane,BBC,L,R,56,217,809,60.0%,1.9%,2.9%,18.4%,4.2%,11.4%,0.6%,0.6%,1.0%,61.9%,35.2%,23.2%
83,1708586628,T. Yukumoto,Ty Yukumoto,Yukumoto,Ty,SS,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,51,244,952,60.0%,2.8%,3.3%,16.9%,5.0%,11.4%,0.6%,0.0%,8.8%,62.8%,33.9%,21.9%
84,1213318400,T. Campbell,Tyler Campbell,Campbell,Tyler,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,36,160,576,60.0%,0.8%,2.5%,20.8%,7.5%,8.3%,0.0%,0.0%,79.2%,60.8%,36.7%,28.3%
84,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,53,225,790,60.0%,2.5%,1.9%,15.2%,14.1%,6.1%,0.2%,0.0%,39.9%,62.5%,35.6%,29.3%
84,1178187776,K. Duncan,Kylan Duncan,Duncan,Kylan,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,172,465,60.0%,0.0%,0.0%,13.8%,8.9%,17.3%,0.0%,0.0%,51.6%,60.0%,40.0%,22.7%
84,1081058304,J. Frias,JC Frias,Frias,Jc,2B,Iona College,IONA,730242048,Iona,BBC,R,R,47,226,779,60.0%,13.0%,1.0%,16.0%,5.0%,5.0%,0.0%,0.0%,87.2%,73.0%,26.0%,21.0%
84,1304314330,P. Goodness,Paulie Goodness,Goodness,Paulie,CF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,43,189,589,60.0%,0.7%,0.7%,27.4%,4.4%,6.7%,0.0%,0.0%,77.1%,60.7%,38.5%,31.9%
89,1162352384,C. Barr,Chris Barr,Barr,Chris,LF,Army West Point,ARMY,4744,Army,BBC,S,R,50,243,885,59.9%,0.3%,4.4%,16.7%,5.3%,13.1%,0.1%,0.0%,2.7%,60.3%,35.3%,22.1%
90,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,182,523,59.9%,1.1%,0.0%,21.3%,9.7%,7.9%,0.0%,0.0%,48.9%,61.0%,39.0%,31.1%
91,1187097344,C. Sintek,Carter Sintek,Sintek,Carter,SS,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,51,241,771,59.9%,2.8%,1.1%,23.1%,6.5%,6.3%,0.2%,0.2%,39.8%,62.7%,36.2%,29.7%
92,1464025085,T. Shaw,Tyler Shaw,Shaw,Tyler,SS,Villanova University,VILL,730278400,Villanova,BBC,R,R,45,173,635,59.9%,2.9%,1.6%,25.2%,4.6%,5.7%,0.2%,0.0%,0.6%,62.8%,35.7%,29.8%
93,1730471649,A. Schnarrs,Ayden Schnarrs,Schnarrs,Ayden,3B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,48,198,770,59.7%,1.2%,3.2%,27.2%,3.1%,5.4%,0.0%,0.2%,15.8%,61.0%,35.8%,30.4%
94,1197351680,J. Jones,Jalan Jones,Jones,Jalan,LF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,197,511,59.7%,0.0%,1.5%,28.4%,1.5%,7.5%,0.0%,0.0%,86.9%,59.7%,38.8%,31.3%
95,1342169428,A. Lemon,Austin Lemon,Lemon,Austin,LF,Villanova University,VILL,730278400,Villanova,BBC,S,R,39,177,666,59.7%,3.6%,2.3%,16.2%,6.5%,11.2%,0.5%,0.0%,0.9%,63.3%,34.4%,22.7%
96,1279706880,T. Shaneyfelt,Tyler Shaneyfelt,Shaneyfelt,Tyler,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,55,279,1158,59.7%,4.9%,2.8%,8.8%,12.1%,11.4%,0.3%,0.0%,24.2%,64.6%,32.6%,20.8%
97,1268910485,L. Thiele,Luke Thiele,Thiele,Luke,3B,Washington State University,WSU,4505,Washington State,BBC,R,R,48,199,758,59.7%,1.1%,2.7%,18.3%,8.7%,8.6%,0.8%,0.0%,6.5%,60.8%,36.5%,27.1%
98,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,227,790,59.7%,0.4%,1.1%,20.6%,3.0%,15.0%,0.1%,0.0%,11.5%,60.1%,38.8%,23.6%
99,1686792825,K. Duran,Kevin Duran,Duran,Kevin,2B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,38,165,569,59.7%,3.5%,0.2%,22.3%,4.7%,9.7%,0.0%,0.0%,29.0%,63.1%,36.6%,27.0%
100,1192951040,R. Acosta,Riley Acosta,Acosta,Riley,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,48,194,720,59.6%,3.5%,3.8%,20.5%,6.6%,4.9%,0.1%,0.3%,5.7%,63.2%,33.0%,28.0%
101,1207751680,A. Champagne,Alex Champagne,Champagne,Alex,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,53,247,921,59.6%,5.1%,1.8%,15.7%,5.9%,8.6%,0.2%,3.0%,9.3%,64.8%,33.4%,24.6%
102,1303416064,R. Rogers,Raffaele Rogers,Rogers,Raffaele,3B,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,46,194,754,59.6%,0.8%,2.2%,24.8%,5.4%,6.7%,0.3%,0.0%,14.6%,60.4%,37.4%,30.4%
103,1720481395,A. Anderson,AJ Anderson,Anderson,AJ,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,159,396,59.6%,0.0%,0.0%,11.1%,15.2%,14.1%,0.0%,0.0%,75.0%,59.6%,40.4%,26.3%
104,1342169316,H. Zenor,Henry Zenor,Zenor,Henry,LF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,281,1070,59.6%,2.4%,1.5%,14.5%,6.6%,14.6%,0.7%,0.1%,2.2%,62.0%,36.5%,21.2%
105,1000082309,K. McConachie,Kyle McConachie,McConachie,Kyle,SS,University of Akron,AKR,540536064,Akron,BBC,R,R,47,170,574,59.5%,4.4%,2.3%,24.2%,2.5%,6.7%,0.4%,0.0%,17.1%,63.9%,33.8%,26.7%
