Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
468,1294955264,Z. Yorke,Zach Yorke,Yorke,Zach,1B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,48,215,819,53.6%,2.3%,3.9%,18.9%,5.7%,14.9%,0.6%,0.0%,3.9%,55.9%,40.2%,24.7%
469,1185724160,C. Riley,Chandler Riley,Riley,Chandler,2B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,55,245,900,53.6%,2.7%,6.8%,17.7%,6.2%,12.3%,0.4%,0.2%,0.1%,56.3%,36.9%,24.1%
470,1310832896,M. Zeppieri,Mateo Zeppieri,Zeppieri,Mateo,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,48,184,657,53.6%,2.6%,1.9%,19.3%,4.4%,14.5%,2.6%,0.0%,34.7%,56.2%,42.0%,24.9%
471,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,48,178,750,53.6%,5.4%,6.9%,16.1%,6.3%,11.0%,0.6%,0.1%,4.0%,59.0%,34.0%,22.5%
472,1184655360,S. Seidel,Sam Seidel,Seidel,Sam,2B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,R,35,172,676,53.6%,1.6%,0.5%,18.1%,6.7%,18.1%,1.3%,0.0%,44.5%,55.2%,44.3%,24.8%
473,1226350592,M. Artzberger,Michelle Artzberger,Artzberger,Michelle,1B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,55,225,831,53.6%,3.1%,1.9%,24.8%,5.8%,10.8%,0.0%,0.0%,6.4%,56.7%,41.4%,30.6%
474,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,57,275,1013,53.6%,7.7%,2.1%,19.1%,5.5%,10.8%,1.2%,0.0%,10.3%,61.3%,36.6%,24.6%
475,1143610880,G. Wright,Gabe Wright,Wright,Gabe,CF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,52,199,725,53.6%,6.0%,10.7%,24.2%,3.2%,2.4%,0.0%,0.0%,65.2%,59.5%,29.8%,27.4%
476,1162560000,G. Lewis Jr.,Gavin Lewis Jr.,Lewis Jr.,Gavin,SS,UAB,UAB,730345984,UAB,BBC,R,R,52,223,833,53.6%,2.9%,7.8%,24.0%,2.9%,8.4%,0.5%,0.0%,4.1%,56.4%,35.8%,26.9%
477,1109515264,C. Ross,Camden Ross,Ross,Camden,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,51,191,746,53.6%,5.8%,5.5%,16.8%,7.8%,10.5%,0.0%,0.0%,0.4%,59.4%,35.1%,24.6%
478,1153413120,K. Eddington,Kyle Eddington,Eddington,Kyle,SS,UMBC,UMBC,730210304,UMBC,BBC,R,R,45,157,518,53.6%,5.3%,4.7%,29.0%,2.6%,4.2%,0.5%,0.0%,26.8%,58.8%,36.4%,31.7%
479,1916828654,C. Juchno,Chris Juchno,Juchno,Chris,RF,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,R,52,246,981,53.6%,4.8%,2.0%,21.1%,2.8%,15.7%,0.0%,0.0%,64.2%,58.4%,39.6%,23.9%
480,1205036800,T. Eisenstat,Tommy Eisenstat,Eisenstat,Tommy,1B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,53,238,897,53.6%,1.9%,3.7%,16.8%,9.2%,14.2%,0.6%,0.0%,7.6%,55.5%,40.8%,25.9%
481,1207820032,Z. Ruddell,Zeb Ruddell,Ruddell,Zeb,LF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,51,210,843,53.6%,2.3%,3.1%,22.4%,6.0%,12.2%,0.5%,0.0%,8.3%,55.9%,41.0%,28.3%
482,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,60,285,1187,53.6%,6.9%,4.0%,14.1%,5.9%,14.7%,0.8%,0.0%,1.7%,60.5%,35.5%,20.1%
483,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,54,265,954,53.6%,6.9%,4.9%,20.7%,5.2%,8.8%,0.0%,0.0%,11.5%,60.4%,34.7%,25.9%
484,1251616000,B. Valentine,Balin Valentine,Valentine,Balin,LF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,55,250,903,53.5%,3.3%,1.4%,25.8%,9.0%,6.9%,0.0%,0.0%,13.7%,56.9%,41.7%,34.8%
485,1310853632,S. Rivera,Sergio Rivera,Rivera,Sergio,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,51,188,698,53.5%,5.1%,0.8%,27.3%,4.5%,6.8%,0.8%,1.1%,49.1%,58.6%,40.6%,33.0%
486,1245154816,D. Pendergrass,Dariyan Pendergrass,Pendergrass,Dariyan,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,59,272,959,53.5%,2.8%,5.5%,18.0%,8.8%,11.1%,0.3%,0.0%,6.3%,56.3%,38.3%,26.8%
487,1760227824,M. Risley,Miles Risley,Risley,Miles,CF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,56,251,959,53.5%,7.1%,5.1%,18.6%,5.4%,10.2%,0.0%,0.0%,0.0%,60.6%,34.3%,24.1%
488,1314888960,G. Harrelson,Gage Harrelson,Harrelson,Gage,RF,Florida State University,FSU,101,Florida State,BBC,L,L,58,288,1176,53.5%,6.1%,2.0%,17.1%,5.7%,15.1%,0.5%,0.0%,2.4%,59.6%,38.4%,22.8%
489,1149141760,C. Smith,Cole Smith,Smith,Cole,2B,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,R,56,250,1057,53.5%,0.4%,2.8%,16.7%,9.3%,16.4%,0.7%,0.0%,36.1%,53.9%,43.3%,26.1%
490,1077730304,J. Niles,Jalen Niles,Niles,Jalen,SS,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,54,192,539,53.5%,7.5%,1.1%,21.9%,9.6%,6.4%,0.0%,0.0%,65.3%,61.0%,38.0%,31.6%
491,1040576277,R. Howard,Reid Howard,Howard,Reid,SS,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,54,208,765,53.5%,4.8%,5.0%,19.6%,9.0%,8.0%,0.1%,0.0%,3.9%,58.2%,36.7%,28.6%
492,1279285504,L. Walton,Luke Walton,Walton,Luke,LF,University of Toledo,TOL,5388,Toledo,BBC,L,L,61,266,1044,53.4%,2.9%,1.8%,16.5%,6.9%,17.6%,0.5%,0.3%,9.7%,56.3%,41.9%,23.8%
493,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,55,205,800,53.4%,2.3%,4.2%,21.7%,7.7%,9.3%,0.4%,1.0%,1.5%,55.7%,40.1%,30.5%
494,1297511424,N. Brasher,Nathan Brasher,Brasher,Nathan,RF,Brown University,BRWN,730236160,Brown,BBC,R,R,39,179,662,53.4%,6.1%,1.5%,23.1%,6.1%,9.0%,0.8%,0.0%,0.8%,59.5%,39.0%,29.2%
495,1310785536,C. Nixon,Chase Nixon,Nixon,Chase,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,54,233,875,53.4%,3.8%,3.6%,16.9%,4.2%,17.5%,0.6%,0.0%,2.6%,57.2%,39.2%,21.1%
496,1342169509,W. Stanley,Wyatt Stanley,Stanley,Wyatt,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,50,193,816,53.4%,7.1%,2.1%,17.8%,2.1%,16.7%,0.6%,0.3%,4.5%,60.5%,37.5%,20.2%
497,1269407488,R. Novak,Ryan Novak,Novak,Ryan,LF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,56,257,1124,53.4%,6.3%,4.7%,17.2%,7.2%,10.9%,0.4%,0.0%,8.2%,59.7%,35.7%,24.4%
498,1297546752,D. Ross,DeAmez Ross,Ross,Deamez,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,55,273,996,53.4%,5.1%,4.2%,19.4%,4.4%,12.6%,0.6%,0.2%,0.7%,58.4%,37.3%,24.1%
499,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,52,226,896,53.4%,2.7%,5.1%,25.5%,4.1%,8.8%,0.5%,0.1%,0.9%,56.1%,38.9%,29.6%
500,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,41,173,540,53.4%,1.8%,6.7%,18.4%,5.5%,13.5%,0.0%,0.6%,69.8%,55.2%,38.0%,24.5%
501,1092686080,H. Keen,Hunter Keen,Keen,Hunter,SS,Radford University,RAD,730267392,Radford,BBC,R,R,55,265,959,53.4%,1.9%,4.1%,23.6%,10.2%,6.6%,0.2%,0.0%,5.6%,55.2%,40.7%,33.8%
502,1341347072,P. Knott,Preston Knott,Knott,Preston,LF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,52,233,878,53.4%,6.6%,2.8%,20.3%,4.0%,12.3%,0.0%,0.6%,3.5%,60.0%,37.2%,24.9%
503,1297509632,O. Pratt,Ozzie Pratt,Pratt,Ozzie,SS,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,62,279,940,53.4%,3.9%,4.0%,18.4%,7.7%,12.2%,0.2%,0.2%,1.7%,57.3%,38.7%,26.3%
504,1259710976,J. Paulick,Jake Paulick,Paulick,Jake,C,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,47,210,930,53.4%,3.9%,3.5%,12.1%,15.9%,11.2%,0.0%,0.0%,18.2%,57.3%,39.2%,28.0%
505,1745682930,O. Silliman,Owen Silliman,Silliman,Owen,CF,Canisius College,CAN,730218752,Canisius,BBC,R,R,41,184,666,53.3%,17.1%,4.8%,17.1%,5.7%,1.9%,0.0%,0.0%,84.2%,70.5%,24.8%,22.9%
506,1162227968,G. Gregory,Gus Gregory,Gregory,Gus,CF,Wright State University,WRST,5390,Wright State,BBC,L,R,45,192,750,53.3%,4.4%,4.5%,18.6%,6.1%,12.2%,0.9%,0.0%,23.5%,57.7%,37.8%,24.7%
507,1818558744,J. De Anda,Jimmy De Anda,De Anda,Jimmy,LF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,50,219,780,53.3%,6.1%,5.7%,17.2%,7.3%,10.4%,0.0%,0.0%,26.2%,59.4%,34.9%,24.5%
508,1306696448,J. Schaffner,Jake Schaffner,Schaffner,Jake,SS,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,55,262,935,53.3%,5.3%,3.9%,16.1%,6.3%,14.7%,0.3%,0.0%,30.9%,58.6%,37.5%,22.4%
509,1096391424,A. Ducatelli,Antonio Ducatelli,Ducatelli,Antonio,LF,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,L,40,174,552,53.3%,3.9%,1.3%,23.0%,2.0%,15.1%,1.3%,0.0%,72.5%,57.2%,41.4%,25.0%
