Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,AB,HR,HR%,HR/FB,HRDst,FBDst,HRPull,HRCtr,HROpp
24,1782180961,B. OBrien,Brady OBrien,OBrien,Brady,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,50,230,202,20,8.7%,15.9%,376.93,328.3,5,7,6
24,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,54,238,204,20,8.4%,18.3%,358.68,325.9,5,2,2
24,1794591419,G. Gallagher,Grant Gallagher,Gallagher,Grant,3B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,256,185,20,7.8%,17.2%,408.93,350.0,10,9,1
24,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,53,232,203,20,8.6%,16.7%,399.07,324.7,13,4,3
37,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,220,19,6.9%,16.0%,408.76,332.6,7,8,4
37,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,262,198,19,7.3%,16.2%,397.79,327.2,12,1,1
37,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,55,258,214,19,7.4%,18.6%,393.40,343.8,7,6,6
37,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,290,228,19,6.6%,13.6%,397.07,318.1,15,2,2
37,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,261,234,19,7.3%,17.8%,406.56,339.9,9,6,4
37,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,250,200,19,7.6%,13.8%,409.11,338.5,14,0,5
37,1282331648,E. Putnam,Eli Putnam,Putnam,Eli,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,56,272,241,19,7.0%,16.0%,392.14,343.5,8,6,4
37,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,290,223,19,6.6%,15.8%,389.08,336.8,8,4,6
37,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,52,246,211,19,7.7%,17.6%,393.35,341.9,10,2,7
37,1310834176,M. Mitchell,Mack Mitchell,Mitchell,Mack,2B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,52,240,196,19,7.9%,15.3%,412.53,359.0,5,7,4
37,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,56,264,209,19,7.2%,16.4%,396.50,332.3,8,7,2
37,1162350848,T. Dalley,Ty Dalley,Dalley,Ty,RF,Mercer University,MER,730240512,Mercer,BBC,L,R,60,281,245,19,6.8%,16.2%,378.28,315.4,14,3,1
37,1294956544,K. Dickerson,Korbyn Dickerson,Dickerson,Korbyn,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,56,271,243,19,7.0%,15.7%,400.45,345.5,5,9,5
37,1142594304,H. Thomas,Hunter Thomas,Thomas,Hunter,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,53,258,228,19,7.4%,17.3%,384.16,309.9,5,9,2
37,1142738944,J. Walsh,Jacob Walsh,Walsh,Jacob,1B,University of Oregon,ORE,4807,Oregon,BBC,L,L,58,276,232,19,6.9%,16.1%,407.98,335.9,11,6,2
37,1153320704,A. Arquette,Aiva Arquette,Arquette,Aiva,SS,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,310,254,19,6.1%,13.9%,403.89,355.5,13,2,4
37,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,60,293,242,19,6.5%,17.6%,390.25,330.5,15,1,3
37,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,56,245,202,19,7.8%,22.1%,394.88,351.1,12,2,5
37,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,54,251,198,19,7.6%,16.8%,407.58,335.6,9,6,2
37,1017316318,S. Newman,Scott Newman,Newman,Scott,CF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,L,60,289,237,19,6.6%,17.6%,399.20,344.8,7,10,1
37,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,55,235,180,19,8.1%,17.8%,408.70,338.2,5,2,0
58,1227161344,M. Gray,Murf Gray,Gray,Murf,3B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,60,279,241,18,6.5%,12.5%,392.58,327.1,15,3,0
58,1176216576,J. Lebron,Justin Lebron,Lebron,Justin,SS,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,281,231,18,6.4%,14.3%,389.76,332.8,11,4,3
58,1294967552,J. LaViolette,Jace LaViolette,LaViolette,Jace,CF,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,56,262,198,18,6.9%,14.3%,387.47,335.6,13,2,3
58,1142558720,I. Jackson,Isaiah Jackson,Jackson,Isaiah,CF,Arizona State University,ASU,5035,Arizona State,BBC,L,R,60,251,216,18,7.2%,14.2%,399.10,342.7,10,7,1
58,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,57,238,198,18,7.6%,17.8%,388.61,338.1,6,4,8
58,1192504064,B. Bevis,Blake Bevis,Bevis,Blake,1B,Ball State University,BALL,730195456,Ball State,BBC,R,R,57,252,227,18,7.1%,15.1%,402.05,336.9,8,2,4
58,1192538624,D. Taylor,Devin Taylor,Taylor,Devin,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,55,269,214,18,6.7%,15.1%,393.89,352.0,4,6,8
58,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,293,236,18,6.1%,16.4%,389.22,328.3,4,7,4
58,1123979264,J. Moroknek,Jack Moroknek,Moroknek,Jack,RF,Butler University,BUT,730283520,Butler,BBC,L,R,54,253,219,18,7.1%,18.6%,423.25,314.2,6,1,1
58,1092689920,D. Cash,Donovan Cash,Cash,Donovan,3B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,58,272,230,18,6.6%,15.7%,406.10,339.4,6,8,2
