Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,AB,HR,HR%,HR/FB,HRDst,FBDst,HRPull,HRCtr,HROpp
838,1304812032,G. Camacho,Gabe Camacho,Camacho,Gabe,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,45,212,163,7,3.3%,10.0%,398.77,313.2,7,0,0
838,1073827840,T. Morrison,Trace Morrison,Morrison,Trace,1B,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,56,252,212,7,2.8%,9.7%,408.90,318.7,0,2,3
838,1078107136,A. Neaves,Avery Neaves,Neaves,Avery,LF,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,275,213,7,2.5%,8.0%,389.93,310.8,6,1,0
838,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,257,213,7,2.7%,8.5%,380.29,311.5,7,0,0
838,1139894528,G. Schrader,Gavin Schrader,Schrader,Gavin,RF,Troy University,TROY,730378496,Troy,BBC,L,L,42,160,132,7,4.4%,14.0%,387.38,312.3,4,1,1
838,1184442368,B. Arendt,Bryan Arendt,Arendt,Bryan,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,55,222,183,7,3.2%,8.2%,384.20,305.1,6,1,0
838,1323828224,A. DeMartino,Alec DeMartino,DeMartino,Alec,RF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,57,248,210,7,2.8%,8.0%,379.49,310.6,6,1,0
838,1298084864,N. Hall,Nathan Hall,Hall,Nathan,CF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,54,239,208,7,2.9%,9.7%,386.96,314.0,5,0,1
838,1198577152,K. Kropf,Koby Kropf,Kropf,Koby,RF,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,49,234,206,7,3.0%,7.8%,380.35,304.5,6,1,0
838,1334313728,B. Atkinson,Bobby Atkinson,Atkinson,Bobby,LF,Bradley University,BRAD,730253312,Bradley,BBC,L,L,51,230,184,7,3.0%,8.4%,367.52,311.5,4,0,1
838,1170584576,E. Leon,Eddie Leon,Leon,Eddie,3B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,251,226,7,2.8%,8.0%,389.03,303.8,7,0,0
838,1222899712,T. Hare,Tyler Hare,Hare,Tyler,1B,Wofford College,WOF,730176512,Wofford,BBC,L,R,54,215,173,7,3.3%,9.1%,379.43,321.9,1,2,4
838,1279343872,J. Kail,Jack Kail,Kail,Jack,2B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,49,228,199,7,3.1%,8.9%,380.78,308.1,4,3,0
838,1309473536,A. Luccini,Alex Luccini,Luccini,Alex,CF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,53,238,196,7,2.9%,9.5%,400.22,313.7,4,1,0
838,1207461888,C. Frost,Cael Frost,Frost,Cael,RF,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,42,131,108,7,5.3%,20.6%,388.07,322.5,4,1,2
838,1262020096,M. Namie,Mitch Namie,Namie,Mitch,LF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,R,55,258,215,7,2.7%,10.0%,417.26,318.1,5,2,0
838,1167350272,A. Berghult,Adam Berghult,Berghult,Adam,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,31,107,98,7,6.5%,13.0%,379.99,311.5,5,1,1
838,1303793152,A. Ulloa,Alex Ulloa,Ulloa,Alex,SS,Florida International University,FIU,4468,Florida International,BBC,R,R,58,262,235,7,2.7%,11.1%,392.22,311.1,5,2,0
838,1152890880,D. ONeill,Dean O'Neill,ONeill,Dean,C,University of Maine,ME,730275840,Maine,BBC,R,R,47,214,192,7,3.3%,9.3%,390.20,308.3,4,2,1
838,1129685760,T. Figueroa,Tyler Figueroa,Figueroa,Tyler,3B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,54,241,199,7,2.9%,8.6%,385.26,295.0,6,1,0
838,1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,51,228,183,7,3.1%,9.2%,375.52,310.8,4,2,0
838,1079511552,T. Dickinson,Tim Dickinson,Dickinson,Tim,2B,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,50,221,173,7,3.2%,11.1%,381.34,305.8,3,1,1
838,1184595712,J. Tharnish,Jayce Tharnish,Tharnish,Jayce,CF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,46,217,196,7,3.2%,11.3%,344.02,308.9,0,1,4
838,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,48,228,194,7,3.1%,10.4%,372.50,304.1,1,0,1
838,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,43,182,134,7,3.8%,15.2%,-,327.4,2,0,0
838,1085293568,G. Donohue,Gavin Donohue,Donohue,Gavin,SS,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,51,252,223,7,2.8%,8.3%,-,314.8,1,0,0
838,1297342976,L. Carrier,Lorenzo Carrier,Carrier,Lorenzo,RF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,36,161,127,7,4.3%,16.7%,390.92,340.5,3,2,2
838,1192543232,D. Watts,Dane Watts,Watts,Dane,LF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,L,52,230,190,7,3.0%,9.9%,373.61,310.5,7,0,0
838,1304519168,B. Rowe,Brennan Rowe,Rowe,Brennan,SS,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,56,236,202,7,3.0%,10.1%,394.50,318.8,3,0,2
838,1099877632,J. Keenan,Jimmy Keenan,Keenan,Jimmy,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,43,150,114,7,4.7%,14.6%,398.62,334.6,5,1,1
838,1123075328,C. Adams,Christian Adams,Adams,Christian,1B,University of Georgia,UGA,226,Georgia,BBC,L,R,42,145,123,7,4.8%,17.5%,391.66,327.3,4,2,1
838,1208590592,M. Moise,Mac Moise,Moise,Mac,C,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,60,262,193,7,2.7%,9.0%,386.01,313.1,5,1,1
838,1263905792,R. Moya,Robert Moya,Moya,Robert,1B,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,45,199,172,7,3.5%,13.2%,393.67,302.6,3,2,2
838,1310689792,C. McHugh,Chris McHugh,McHugh,Chris,1B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,53,236,197,7,3.0%,9.7%,405.68,319.1,5,1,1
838,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,50,233,186,7,3.0%,8.6%,387.64,312.5,5,2,0
838,1267572224,C. Hanson,Carter Hanson,Hanson,Carter,RF,University of Massachusetts,MASS,5451,UMass,BBC,L,L,48,217,185,7,3.2%,12.3%,406.27,321.5,3,1,0
838,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,52,187,156,7,3.7%,11.5%,401.88,328.8,5,1,1
838,1162078209,C. Williams,Cooper Williams,Williams,Cooper,2B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,46,197,170,7,3.6%,10.0%,375.19,309.0,4,0,2
838,1121159424,M. Smith,Michael Smith,Smith,Michael,RF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,38,138,101,7,5.1%,14.6%,-,322.5,2,1,0
838,1130373888,J. Craig,Joey Craig,Craig,Joey,RF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,49,191,156,7,3.7%,16.3%,405.22,326.9,6,1,0
838,1132706560,V. Valincius,Vytas Valincius,Valincius,Vytas,LF,University of Illinois,ILL,730163456,Illinois,BBC,R,R,53,242,204,7,2.9%,12.1%,396.62,314.4,5,1,0
838,1310816768,B. Marsh,Bobby Marsh,Marsh,Bobby,P,University of Miami,MIA,236,Miami,BBC,L,L,46,168,151,7,4.2%,9.0%,360.60,306.6,5,0,2
838,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,234,197,7,3.0%,8.4%,373.06,316.1,6,1,0
838,1321145600,A. Nelson,Andy Nelson,Nelson,Andy,2B,University of Iowa,IOWA,1232,Iowa,BBC,R,R,42,135,112,7,5.2%,13.5%,389.59,322.0,5,2,0
838,1092627968,D. Gierer,Daniel Gierer,Gierer,Daniel,CF,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,53,205,187,7,3.4%,9.0%,391.58,307.1,3,2,0
838,1310879488,R. Scott,Ryan Scott,Scott,Ryan,RF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,32,126,101,7,5.6%,17.9%,-,329.8,4,2,0
838,1187499008,D. Collins,Drew Collins,Collins,Drew,LF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,60,278,232,7,2.5%,11.9%,377.24,319.2,3,1,3
838,1329239808,B. Norton,Brennen Norton,Norton,Brennen,2B,University of Alabama,ALA,730206976,Alabama,BBC,R,R,44,157,138,7,4.5%,10.6%,388.34,316.1,6,1,0
838,1297498880,J. Orr,Jacob Orr,Orr,Jacob,LF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,52,229,203,7,3.1%,10.8%,361.40,311.7,7,0,0
838,1257331968,L. Leto,Luke Leto,Leto,Luke,CF,University of Toledo,TOL,5388,Toledo,BBC,L,R,60,245,208,7,2.9%,9.3%,386.30,306.3,5,1,1
838,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,46,171,144,7,4.1%,11.3%,362.89,325.4,5,1,1
838,1260750336,G. Swansen,Gabe Swansen,Swansen,Gabe,LF,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,52,186,162,7,3.8%,9.6%,383.30,315.7,4,0,3
838,1119242752,A. Kohl,Andrew Kohl,Kohl,Andrew,RF,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,32,104,85,7,6.7%,17.1%,391.15,298.6,4,2,1
838,1174781440,C. Koniarsky,Cole Koniarsky,Koniarsky,Cole,RF,UNLV,UNLV,730161664,UNLV,BBC,R,R,53,238,204,7,2.9%,13.2%,371.05,325.4,5,1,1
838,1301146368,M. King,Matt King,King,Matt,SS,Arizona State University,ASU,5035,Arizona State,BBC,R,R,56,250,216,7,2.8%,8.4%,388.03,312.9,4,3,0
838,1322403840,C. Brady,Cavan Brady,Brady,Cavan,SS,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,47,208,182,7,3.4%,7.8%,-,283.8,2,0,1
838,1190789888,J. Pipercic,Jacob Pipercic,Pipercic,Jacob,RF,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,49,233,192,7,3.0%,10.1%,385.92,303.2,4,2,0
838,1281944576,J. Green,Jackson Green,Green,Jackson,LF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,52,208,163,7,3.4%,9.9%,393.03,329.6,3,1,0
838,1143043841,T. Lipsey,Trey Lipsey,Lipsey,Trey,RF,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,50,242,180,7,2.9%,11.5%,375.42,316.9,5,2,0
838,1239350528,M. Maulik,Matthew Maulik,Maulik,Matthew,3B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,44,193,165,7,3.6%,11.9%,387.60,314.7,1,4,1
838,1334300928,J. Vos,Joe Vos,Vos,Joe,CF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,50,199,178,7,3.5%,10.6%,405.81,310.3,1,1,5
838,1169397760,B. Ham,Billy Ham,Ham,Billy,1B,University of Nevada,NEV,4784,Nevada,BBC,L,R,54,236,194,7,3.0%,12.1%,407.60,332.4,4,1,2
838,1316043776,M. Matthews,Mateo Matthews,Matthews,Mateo,1B,Wagner College,WAG,730192640,Wagner,BBC,L,R,44,168,135,7,4.2%,11.7%,379.40,338.8,2,0,0
838,1204040448,G. Hussey,Grant Hussey,Hussey,Grant,1B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,60,227,195,7,3.1%,9.9%,391.88,335.1,2,1,4
838,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,50,213,194,7,3.3%,8.9%,409.26,331.7,2,1,4
838,1273172737,K. Spence,Keenan Spence,Spence,Keenan,RF,Purdue University,PUR,730353152,Purdue,BBC,R,R,47,180,156,7,3.9%,12.5%,389.65,322.8,3,1,2
838,1274260224,C. Jung,Clay Jung,Jung,Clay,RF,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,51,188,147,7,3.7%,12.5%,405.65,309.6,1,2,0
838,1205084416,C. Hansen,Carson Hansen,Hansen,Carson,RF,University of Kentucky,UK,5362,Kentucky,BBC,L,L,34,118,99,7,5.9%,16.3%,382.75,341.3,4,0,3
838,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,40,169,129,7,4.1%,11.9%,377.31,308.1,3,1,3
838,1099971072,P. Fultz,Patrick Fultz,Fultz,Patrick,3B,Wright State University,WRST,5390,Wright State,BBC,L,R,59,290,235,7,2.4%,9.7%,375.30,314.6,4,0,3
838,1078579712,J. Bant,Jay Bant,Bant,Jay,1B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,50,221,195,7,3.2%,8.9%,392.60,310.6,2,3,0
838,1179735552,M. Buettenback,Max Buettenback,Buettenback,Max,RF,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,39,148,126,7,4.7%,15.2%,393.07,334.6,7,0,0
838,1302032129,T. Rogers,TJ Rogers,Rogers,TJ,SS,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,52,225,185,7,3.1%,10.1%,388.00,315.7,7,0,0
838,1207881216,B. Zeigler-Namoa,Ben Zeigler-Namoa,Zeigler-Namoa,Ben,1B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,56,259,216,7,2.7%,7.3%,410.98,345.7,0,5,1
838,1297584896,J. Mayo,Jackson Mayo,Mayo,Jackson,LF,University of South Florida,USF,2292,South Florida,BBC,L,L,55,226,193,7,3.1%,9.7%,388.63,316.1,3,3,1
838,1099161088,G. Sotomayor,Griffen Sotomayor,Sotomayor,Griffen,1B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,52,234,206,7,3.0%,10.9%,387.37,326.1,1,3,3
838,1081438208,G. Ganun,Gavin Ganun,Ganun,Gavin,LF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,49,212,172,7,3.3%,13.0%,429.19,326.6,0,2,1
838,1094691072,J. Spyke,Jack Spyke,Spyke,Jack,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,53,226,191,7,3.1%,9.6%,373.21,322.8,2,2,3
838,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Michigan,MICH,2290,Michigan,BBC,L,R,56,234,199,7,3.0%,8.8%,402.71,331.8,4,2,1
838,1178799872,T. Legendre,Tyler Legendre,Legendre,Tyler,RF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,42,152,122,7,4.6%,11.1%,-,289.2,0,0,0
838,1254915584,M. Pena,Matthew Pena,Pena,Matthew,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,40,150,127,7,4.7%,10.1%,392.27,319.8,4,1,2
838,1218556160,J. Radcliffe,Jacoby Radcliffe,Radcliffe,Jacoby,CF,Southern University,SOU,4767,Southern,BBC,L,R,45,179,133,7,3.9%,12.3%,359.56,319.2,2,0,0
838,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,214,7,2.6%,8.4%,395.91,303.9,4,1,2
838,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,51,232,185,7,3.0%,8.8%,394.38,306.7,1,1,0
838,1340677888,L. Rick,Lucas Rick,Rick,Lucas,1B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,46,177,149,7,4.0%,11.3%,385.65,314.2,4,0,0
838,1263049984,B. Hughes,Bryce Hughes,Hughes,Bryce,SS,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,54,256,204,7,2.7%,9.2%,390.09,300.4,1,1,0
838,1079752704,L. Ellis,Lee Ellis,Ellis,Lee,SS,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,38,175,142,7,4.0%,13.0%,389.30,319.8,6,1,0
838,1260826880,C. Hornung,Carson Hornung,Hornung,Carson,RF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,60,266,206,7,2.6%,11.3%,405.73,335.3,3,2,1
838,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,39,143,128,7,4.9%,11.9%,403.40,330.9,2,2,0
838,1514186936,S. Sweet-Chick,Seth Sweet-Chick,Sweet-Chick,Seth,SS,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,47,151,128,7,4.6%,11.3%,380.06,312.9,5,0,0
838,1163782059,B. Fowler,Bryce Fowler,Fowler,Bryce,RF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,59,283,236,7,2.5%,9.6%,375.37,313.8,5,2,0
838,1232373760,T. Sudbrook,Troy Sudbrook,Sudbrook,Troy,3B,University of Toledo,TOL,5388,Toledo,BBC,L,R,61,281,244,7,2.5%,7.4%,385.03,301.4,3,3,1
838,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,54,218,171,7,3.2%,10.9%,383.89,310.3,6,1,0
838,1260748800,B. Higdon,Ben Higdon,Higdon,Ben,LF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,51,183,158,7,3.8%,14.0%,387.86,317.8,1,1,5
838,1545077087,A. Rivera,Anibal Rivera,Rivera,Anibal,SS,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,53,234,185,7,3.0%,15.6%,400.89,332.9,1,4,2
838,1192263870,C. Chaplain,Cooper Chaplain,Chaplain,Cooper,2B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,61,272,225,7,2.6%,6.8%,380.96,303.4,6,1,0
838,1342167225,C. Longmeier,Charlie Longmeier,Longmeier,Charlie,LF,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,52,229,188,7,3.1%,11.7%,391.86,311.7,3,4,0
838,1060614616,J. Dobie,Jayce Dobie,Dobie,Jayce,TWP,University of Nevada,NEV,4784,Nevada,BBC,R,R,55,220,192,7,3.2%,10.3%,384.78,321.5,7,0,0
838,1679314314,K. Decelle,Kenny Decelle,Decelle,Kenny,CF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,55,245,208,7,2.9%,6.2%,374.11,305.4,6,1,0
838,1342167002,N. Mascaro,Nick Mascaro,Mascaro,Nick,CF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,R,56,247,208,7,2.8%,10.9%,385.95,332.2,5,2,0
838,1080840832,A. Paradine,Aidan Paradine,Paradine,Aidan,C,Siena College,SIE,730382592,Siena,BBC,R,R,53,232,192,7,3.0%,12.3%,-,331.9,0,0,1
838,1621316682,J. Pagano,Joey Pagano,Pagano,Joey,LF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,46,199,167,7,3.5%,11.9%,383.17,310.3,2,1,0
838,1198920583,S. Stephenson,Sean Stephenson,Stephenson,Sean,3B,Iona College,IONA,730242048,Iona,BBC,L,L,49,234,208,7,3.0%,12.1%,-,284.2,1,0,0
838,1364277410,J. Martin,Jameson Martin,Martin,Jameson,3B,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,42,152,122,7,4.6%,13.2%,393.61,322.1,7,0,0
838,1582802158,T. Broussard,Tre Broussard,Broussard,Tre,CF,University of Houston,HOU,3030,Houston,BBC,L,L,54,241,212,7,2.9%,10.1%,360.98,301.4,5,0,2
838,1524243954,A. Williamson,Ace Williamson,Williamson,Ace,CF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,60,254,218,7,2.8%,9.1%,387.40,333.5,5,1,1
838,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,222,185,7,3.2%,8.3%,387.14,314.3,3,1,0
838,1558675664,A. Rodriguez,Adrian Rodriguez,Rodriguez,Adrian,3B,University of Texas,TEX,245,Texas,BBC,S,B,49,212,182,7,3.3%,12.1%,385.45,318.7,4,1,2
838,1119106753,D. Curiel,Derek Curiel,Curiel,Derek,LF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,68,323,258,7,2.2%,9.0%,364.64,321.0,2,1,4
838,1468408418,B. Rasmussen,Brody Rasmussen,Rasmussen,Brody,CF,University of Maine,ME,730275840,Maine,BBC,R,R,48,229,202,7,3.1%,9.3%,388.57,316.9,3,3,1
838,1057497695,T. Clay,Todd Clay,Clay,Todd,3B,UAB,UAB,730345984,UAB,BBC,R,R,53,239,191,7,2.9%,8.1%,387.83,316.0,2,3,2
838,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,46,208,177,7,3.4%,12.1%,367.64,316.7,4,1,1
838,1206710272,C. Headlee,Caden Headlee,Headlee,Caden,CF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,L,58,259,205,7,2.7%,9.7%,396.96,314.4,4,1,1
838,1930587984,C. Cunningham,Conner Cunningham,Cunningham,Conner,SS,Murray State University,MURR,730188032,Murray State,BBC,L,R,60,245,190,7,2.9%,9.7%,393.73,326.0,2,4,1
838,1508812349,R. Stockton,Rylen Stockton,Stockton,Rylen,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,49,205,175,7,3.4%,8.8%,384.79,299.4,3,0,0
838,1710518612,P. Craska,Petey Craska,Craska,Petey,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,55,250,189,7,2.8%,8.5%,418.04,339.6,4,1,0
838,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,53,231,189,7,3.0%,9.0%,361.02,318.7,2,1,0
838,1824116315,D. Tockey,Dayton Tockey,Tockey,Dayton,1B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,43,173,144,7,4.0%,12.3%,386.12,332.5,4,1,2
838,1172379330,E. Fender,Ethan Fender,Fender,Ethan,1B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,53,213,191,7,3.3%,9.6%,387.94,316.7,5,1,1
838,1342170302,C. Sullivan,Case Sullivan,Sullivan,Case,SS,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,50,211,183,7,3.3%,11.1%,384.09,310.4,6,0,1
838,1958912761,L. Devine,Luke Devine,Devine,Luke,CF,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,42,131,110,7,5.3%,15.9%,375.64,324.6,6,0,1
838,1036457178,J. Smith,John Smith,Smith,John,RF,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,49,227,191,7,3.1%,10.3%,392.56,321.6,5,1,1
838,1253867219,M. Little,Mo Little,Little,Mo,3B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,43,159,131,7,4.4%,11.1%,395.70,322.1,5,1,1
838,1342169316,H. Zenor,Henry Zenor,Zenor,Henry,LF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,281,229,7,2.5%,6.8%,372.20,315.4,6,1,0
838,1625310371,M. McGwire,Max McGwire,McGwire,Max,RF,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,52,216,180,7,3.2%,11.5%,404.69,307.1,3,1,0
838,1739966108,J. Alford,Jackson Alford,Alford,Jackson,LF,Elon University,ELON,730252544,Elon,BBC,R,R,57,271,233,7,2.6%,9.2%,381.32,305.6,5,2,0
838,1682487759,M. Bolton,Matt Bolton,Bolton,Matt,CF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,55,269,225,7,2.6%,8.5%,384.25,329.4,3,2,2
838,1025585446,C. Johnstone,Carter Johnstone,Johnstone,Carter,3B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,53,255,215,7,2.7%,8.6%,383.59,311.1,6,0,1
838,1990938318,R. Sasaki,Rintaro Sasaki,Sasaki,Rintaro,1B,Stanford University,STAN,730251264,Stanford,BBC,L,R,52,236,201,7,3.0%,8.4%,388.66,332.8,7,0,0
838,1945079118,C. Ross,Conner Ross,Ross,Conner,3B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,53,138,115,7,5.1%,12.7%,401.74,332.8,3,4,0
838,1033130836,D. Tozzi,Domenico Tozzi,Tozzi,Domenico,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,49,180,149,7,3.9%,11.1%,379.95,313.9,4,0,3
838,1250738591,T. Mainolfi,Ty Mainolfi,Mainolfi,Ty,2B,University of Dayton,DAY,730194688,Dayton,BBC,L,L,55,221,184,7,3.2%,10.9%,368.02,310.2,2,0,1
838,1792414126,A. Grabau,Anthony Grabau,Grabau,Anthony,SS,Fordham University,FOR,730324992,Fordham,BBC,L,R,46,150,126,7,4.7%,15.2%,378.07,309.2,7,0,0
838,1342167036,M. Howell,Martin Howell,Howell,Martin,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,38,150,128,7,4.7%,12.1%,431.45,319.1,2,2,0
838,1914356356,B. Capps,Brody Capps,Capps,Brody,1B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,54,245,207,7,2.9%,7.9%,380.67,315.8,4,1,0
838,1717584400,J. Crews,Justen Crews,Crews,Justen,CF,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,52,195,161,7,3.6%,10.1%,395.72,307.6,1,3,0
838,1342167993,K. McKinley,Kenny McKinley,McKinley,Kenny,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,33,107,94,7,6.5%,25.0%,393.91,340.0,4,2,1
838,1342168061,K. Wood,Kade Wood,Wood,Kade,SS,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,179,160,7,3.9%,12.7%,-,385.0,0,0,0
838,1599055261,J. Jones,Jace Jones,Jones,Jace,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,150,118,7,4.7%,19.4%,-,311.9,0,0,0
838,1533930152,C. Daniel,Caleb Daniel,Daniel,Caleb,LF,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,55,237,205,7,3.0%,7.5%,386.23,310.0,7,0,0
838,1718723646,D. Orr,Danny Orr,Orr,Danny,1B,UMBC,UMBC,730210304,UMBC,BBC,R,R,40,169,150,7,4.1%,12.3%,409.01,314.2,4,1,1
838,1581848523,G. Lakins,Gunner Lakins,Lakins,Gunner,RF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,151,127,7,4.6%,15.9%,-,231.2,0,0,0
