Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
274,1771426309,C. Yeaman,Colin Yeaman,Yeaman,Colin,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,60,304,16.1%,15.1%,1.0%,4.9%,5.0%,-0.1%,1.3%,0.6%,0.7%,4.3%,4.9%,-0.6%,10.5%,8.6%,2.0%
275,1249585136,A. Detlefsen,Andrew Detlefsen,Detlefsen,Andrew,LF,UTSA,UTSA,730373120,UTSA,BBC,R,R,60,275,14.5%,16.5%,-1.9%,6.5%,4.5%,2.1%,0.0%,0.6%,-0.6%,4.7%,4.9%,-0.2%,11.3%,8.3%,3.0%
276,1628027889,S. McMillan,Shaun McMillan,McMillan,Shaun,P,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,49,216,17.1%,14.1%,3.0%,5.6%,5.0%,0.6%,1.4%,0.5%,0.9%,4.2%,4.9%,-0.7%,11.1%,8.9%,2.2%
277,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,286,9.8%,10.9%,-1.1%,6.3%,4.3%,2.0%,0.7%,0.6%,0.1%,5.6%,4.9%,0.7%,12.6%,8.2%,4.4%
278,1287365120,E. Richter,Easton Richter,Richter,Easton,2B,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,49,220,14.1%,11.5%,2.6%,3.2%,3.5%,-0.3%,0.9%,0.6%,0.3%,5.5%,4.9%,0.6%,9.5%,7.6%,1.9%
279,1277834752,A. Graeber,Aaron Graeber,Graeber,Aaron,RF,University of Delaware,DEL,730203136,Delaware,BBC,R,L,52,252,20.2%,16.9%,3.3%,4.8%,4.5%,0.3%,0.8%,0.7%,0.1%,5.6%,4.9%,0.7%,11.1%,9.0%,2.1%
280,1273286656,C. Shelton,Colby Shelton,Shelton,Colby,SS,University of Florida,FLA,730168320,Florida,BBC,L,R,45,203,19.7%,21.5%,-1.8%,9.4%,6.7%,2.6%,0.0%,0.8%,-0.8%,3.4%,4.9%,-1.4%,12.8%,10.7%,2.1%
281,1004169216,N. Vargas,Nate Vargas,Vargas,Nate,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,54,244,14.3%,14.8%,-0.4%,7.0%,5.4%,1.6%,0.8%,0.8%,<0.1%,4.1%,4.9%,-0.8%,11.9%,9.5%,2.4%
282,1123968000,K. Schupmann,Kyle Schupmann,Schupmann,Kyle,3B,University of Illinois,ILL,730163456,Illinois,BBC,R,R,52,234,14.5%,14.0%,0.6%,3.4%,5.5%,-2.0%,0.9%,0.6%,0.3%,5.6%,4.9%,0.7%,9.8%,9.2%,0.6%
283,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,290,9.3%,11.1%,-1.8%,3.4%,4.1%,-0.7%,0.0%,0.6%,-0.6%,6.6%,4.9%,1.7%,10.0%,7.3%,2.7%
284,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,56,274,16.1%,15.5%,0.6%,6.9%,6.1%,0.8%,0.0%,0.7%,-0.7%,6.2%,4.9%,1.3%,13.1%,9.3%,3.9%
285,1140709632,H. Stokely,Hunter Stokely,Stokely,Hunter,1B,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,278,18.0%,17.5%,0.5%,4.7%,4.4%,0.3%,0.0%,0.5%,-0.5%,5.0%,4.9%,0.2%,9.7%,8.4%,1.3%
286,1162350848,T. Dalley,Ty Dalley,Dalley,Ty,RF,Mercer University,MER,730240512,Mercer,BBC,L,R,60,281,10.0%,12.3%,-2.3%,7.1%,6.0%,1.2%,0.0%,0.8%,-0.8%,6.8%,4.8%,1.9%,13.9%,10.1%,3.8%
287,1099208448,L. McAllister,Levi McAllister,McAllister,Levi,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,49,199,12.1%,11.3%,0.8%,7.5%,3.5%,4.1%,0.5%,0.3%,0.2%,4.5%,4.8%,-0.3%,12.6%,6.8%,5.7%
288,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,61,269,16.7%,16.6%,0.1%,7.4%,5.8%,1.7%,0.4%,0.6%,-0.2%,6.7%,4.8%,1.9%,14.5%,9.4%,5.1%
289,1342169592,J. Skowronski,Josh Skowronski,Skowronski,Josh,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,56,218,14.2%,13.9%,0.3%,4.1%,4.9%,-0.7%,0.5%,0.8%,-0.3%,6.0%,4.8%,1.1%,10.6%,8.5%,2.1%
290,1185610752,Z. Peters,Zach Peters,Peters,Zach,RF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,226,16.4%,14.6%,1.8%,8.8%,5.0%,3.9%,1.3%,0.7%,0.7%,3.5%,4.8%,-1.3%,13.7%,9.1%,4.6%
291,1327587072,C. Rush,Christian Rush,Rush,Christian,RF,College of William & Mary,WM,730232064,William & Mary,BBC,R,L,56,255,14.5%,12.4%,2.1%,4.3%,5.6%,-1.3%,0.4%,0.4%,<0.1%,5.5%,4.8%,0.7%,10.2%,9.1%,1.1%
292,1251438592,R. Moerman,Ryan Moerman,Moerman,Ryan,LF,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,59,260,12.7%,11.4%,1.3%,5.8%,5.3%,0.4%,0.0%,0.5%,-0.5%,4.2%,4.8%,-0.6%,10.0%,8.8%,1.2%
293,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,271,20.3%,17.5%,2.8%,4.4%,4.9%,-0.5%,0.0%,0.6%,-0.6%,3.3%,4.8%,-1.5%,7.7%,8.8%,-1.0%
294,1204865536,D. Baker,Dillon Baker,Baker,Dillon,SS,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,54,276,13.4%,11.1%,2.3%,9.1%,7.0%,2.1%,0.7%,0.5%,0.3%,4.7%,4.8%,-0.1%,14.5%,10.1%,4.4%
295,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,47,217,21.2%,20.6%,0.6%,3.7%,6.4%,-2.7%,0.0%,1.1%,-1.1%,4.6%,4.8%,-0.2%,8.3%,10.9%,-2.6%
296,1158010112,S. Biller,Sam Biller,Biller,Sam,LF,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,58,249,12.4%,14.8%,-2.3%,5.6%,4.7%,0.9%,0.0%,0.6%,-0.6%,5.2%,4.8%,0.4%,10.8%,8.1%,2.7%
297,1100739840,B. Reynolds,Brady Reynolds,Reynolds,Brady,RF,Stanford University,STAN,730251264,Stanford,BBC,L,R,45,184,15.8%,15.4%,0.3%,4.9%,5.5%,-0.6%,1.1%,0.7%,0.3%,4.3%,4.8%,-0.4%,10.3%,9.4%,1.0%
298,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,293,18.8%,16.9%,1.8%,8.2%,5.3%,2.9%,0.7%,0.7%,<0.1%,6.1%,4.8%,1.4%,15.0%,8.6%,6.4%
299,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,274,17.9%,18.0%,-0.1%,3.6%,4.9%,-1.2%,1.5%,0.6%,0.9%,6.2%,4.8%,1.4%,11.3%,9.1%,2.3%
300,1310619904,C. Priest,Collin Priest,Priest,Collin,1B,Clemson University,CLEM,730358784,Clemson,BBC,L,R,59,258,9.3%,11.7%,-2.4%,4.3%,3.8%,0.4%,0.0%,0.6%,-0.6%,4.7%,4.8%,-0.1%,8.9%,7.0%,1.9%
301,1205026048,B. Bryan,Brooks Bryan,Bryan,Brooks,C,Troy University,TROY,730378496,Troy,BBC,L,R,60,276,11.6%,12.7%,-1.1%,6.5%,4.3%,2.2%,0.7%,0.9%,-0.2%,4.3%,4.8%,-0.4%,11.6%,8.3%,3.3%
302,1194399985,T. Bell,Tyler Bell,Bell,Tyler,SS,University of Kentucky,UK,5362,Kentucky,BBC,S,R,56,265,14.3%,15.9%,-1.6%,6.4%,4.8%,1.6%,0.8%,0.6%,0.1%,3.8%,4.7%,-1.0%,10.9%,8.7%,2.2%
303,1167172608,T. Townsend,Tommy Townsend,Townsend,Tommy,LF,Butler University,BUT,730283520,Butler,BBC,L,L,44,183,10.9%,7.8%,3.2%,2.2%,3.8%,-1.7%,1.1%,0.6%,0.5%,6.0%,4.7%,1.3%,9.3%,7.0%,2.3%
304,1616148122,C. Rembert,Chris Rembert,Rembert,Chris,2B,Auburn University,AUB,5466,Auburn,BBC,R,R,56,260,18.5%,16.0%,2.5%,5.4%,4.2%,1.2%,0.0%,0.5%,-0.5%,3.8%,4.7%,-0.9%,9.2%,7.6%,1.6%
305,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,56,239,10.9%,11.5%,-0.7%,5.9%,4.6%,1.2%,0.0%,0.4%,-0.4%,6.3%,4.7%,1.5%,12.1%,7.6%,4.5%
306,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,59,270,17.8%,18.2%,-0.5%,4.1%,5.4%,-1.3%,0.7%,0.7%,0.1%,5.9%,4.7%,1.2%,10.7%,9.1%,1.6%
307,1089390080,J. Brown,Jake Brown,Brown,Jake,1B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,55,238,9.2%,11.1%,-1.8%,7.1%,5.5%,1.6%,0.4%,0.5%,-0.0%,5.0%,4.7%,0.3%,12.6%,8.6%,4.0%
308,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Virginia,UVA,5415,Virginia,BBC,R,R,50,231,23.4%,20.2%,3.2%,3.9%,5.5%,-1.6%,0.4%,0.6%,-0.1%,4.8%,4.7%,<0.1%,9.1%,9.6%,-0.5%
309,1260756992,D. Bargo,Dalton Bargo,Bargo,Dalton,LF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,62,236,11.4%,14.3%,-2.9%,5.9%,4.8%,1.2%,0.4%,0.6%,-0.2%,5.9%,4.7%,1.2%,12.3%,8.6%,3.6%
310,1099183873,G. Colasante,Gio Colasante,Colasante,Gio,TWP,Harvard University,HARV,5450,Harvard,BBC,R,R,42,176,17.0%,13.4%,3.7%,4.0%,3.9%,0.1%,0.6%,0.4%,0.1%,5.7%,4.7%,1.0%,10.2%,8.0%,2.2%
311,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,54,214,12.6%,11.7%,0.9%,3.7%,4.1%,-0.3%,0.5%,0.6%,-0.1%,6.1%,4.7%,1.4%,10.3%,7.7%,2.5%
312,1342170433,C. Burdette,Clay Burdette,Burdette,Clay,RF,Xavier University,XAV,5464,Xavier,BBC,R,R,56,243,14.8%,13.1%,1.7%,3.7%,3.5%,0.2%,0.4%,0.4%,<0.1%,5.3%,4.7%,0.7%,9.5%,7.2%,2.3%
313,1238200064,J. Cruz,Juan Cruz,Cruz,Juan,1B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,60,297,22.9%,18.4%,4.5%,7.7%,6.7%,1.0%,0.7%,0.6%,<0.1%,4.7%,4.7%,<0.1%,13.1%,10.4%,2.8%
314,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,280,12.1%,11.9%,0.3%,3.9%,4.3%,-0.4%,0.0%,0.4%,-0.4%,5.0%,4.7%,0.3%,8.9%,6.9%,2.0%
315,1615972193,C. Marion,Charlie Marion,Marion,Charlie,RF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,56,257,11.7%,10.6%,1.1%,5.8%,4.4%,1.4%,1.2%,0.6%,0.6%,4.7%,4.7%,-0.0%,11.7%,8.1%,3.5%
316,1323379456,S. Miller,Sam Miller,Miller,Sam,SS,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,241,19.9%,18.4%,1.5%,4.1%,5.0%,-0.8%,0.0%,0.6%,-0.6%,6.6%,4.7%,2.0%,10.8%,9.2%,1.6%
317,1605117576,C. Doughty,Chanz Doughty,Doughty,Chanz,RF,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,49,202,13.9%,10.8%,3.0%,6.4%,4.0%,2.4%,0.0%,0.3%,-0.3%,4.5%,4.7%,-0.2%,10.9%,7.6%,3.2%
318,1264006656,B. Counsell,Brady Counsell,Counsell,Brady,LF,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,271,12.5%,11.4%,1.1%,4.1%,5.4%,-1.3%,0.0%,0.4%,-0.4%,4.4%,4.6%,-0.2%,8.5%,8.5%,-0.0%
319,1204037632,C. Pena,Carlos Pena,Pena,Carlos,1B,Indiana State University,INST,730350080,Indiana State,BBC,L,R,55,252,15.1%,14.1%,1.0%,4.8%,3.6%,1.2%,0.8%,0.4%,0.4%,6.0%,4.6%,1.3%,11.5%,7.0%,4.5%
320,1184445440,C. Troyer,Camden Troyer,Troyer,Camden,TWP,Liberty University,LIB,730156288,Liberty,BBC,L,L,56,251,15.5%,18.4%,-2.9%,4.4%,4.6%,-0.2%,1.2%,0.7%,0.5%,4.0%,4.6%,-0.7%,9.6%,8.3%,1.3%
321,1290256128,C. Hage,Cole Hage,Hage,Cole,LF,University of Kentucky,UK,5362,Kentucky,BBC,R,R,56,252,15.5%,14.4%,1.1%,5.2%,5.4%,-0.3%,0.4%,0.6%,-0.2%,4.8%,4.6%,0.1%,10.3%,8.5%,1.8%
322,1504306724,C. Maryniak,Connor Maryniak,Maryniak,Connor,SS,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,255,14.1%,16.0%,-1.8%,3.1%,4.0%,-0.8%,0.4%,0.6%,-0.2%,4.3%,4.6%,-0.3%,7.8%,7.8%,0.1%
323,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,55,217,17.5%,13.4%,4.1%,4.6%,4.5%,0.2%,0.5%,0.4%,0.1%,6.9%,4.6%,2.3%,12.0%,8.4%,3.6%
324,1204530458,J. Munroe,Jake Munroe,Munroe,Jake,3B,University of Louisville,LOU,5467,Louisville,BBC,R,R,66,299,18.1%,17.7%,0.3%,4.3%,5.3%,-0.9%,1.3%,0.7%,0.7%,4.3%,4.6%,-0.3%,10.0%,8.6%,1.4%
325,1990938318,R. Sasaki,Rintaro Sasaki,Sasaki,Rintaro,1B,Stanford University,STAN,730251264,Stanford,BBC,L,R,52,236,16.5%,14.3%,2.2%,3.4%,3.9%,-0.5%,0.0%,0.6%,-0.6%,3.0%,4.6%,-1.6%,6.4%,7.7%,-1.4%
326,1271061504,K. Ratliff,Kyle Ratliff,Ratliff,Kyle,RF,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,51,209,8.6%,10.7%,-2.1%,3.8%,3.2%,0.6%,0.0%,0.4%,-0.4%,4.3%,4.6%,-0.3%,8.1%,6.4%,1.7%
327,1152912384,E. Hedges,Ethan Hedges,Hedges,Ethan,TWP,University of Southern California,USC,5047,USC,BBC,R,R,60,288,17.4%,14.3%,3.1%,3.8%,4.7%,-0.9%,1.7%,0.6%,1.1%,4.9%,4.6%,0.3%,10.4%,8.0%,2.5%
328,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,50,213,20.7%,16.2%,4.5%,8.0%,6.5%,1.5%,0.9%,0.6%,0.4%,3.3%,4.6%,-1.3%,12.2%,10.6%,1.6%
329,1713280773,X. Perez,Xavier Perez,Perez,Xavier,RF,University of Houston,HOU,3030,Houston,BBC,R,R,52,222,16.2%,15.8%,0.4%,5.4%,5.2%,0.2%,1.4%,0.7%,0.7%,4.1%,4.6%,-0.5%,10.8%,9.3%,1.5%
330,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,298,19.8%,14.3%,5.5%,7.7%,5.0%,2.7%,0.7%,0.5%,0.1%,5.4%,4.6%,0.8%,13.8%,8.2%,5.5%
331,1306794496,C. Prout,Cole Prout,Prout,Cole,RF,Central Michigan University,CMU,5342,Central Michigan,BBC,L,L,54,236,11.4%,14.7%,-3.3%,7.2%,6.3%,0.9%,0.8%,0.8%,0.1%,3.8%,4.6%,-0.8%,11.9%,9.8%,2.1%
332,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,300,13.7%,15.8%,-2.1%,3.7%,4.6%,-0.9%,0.3%,0.7%,-0.3%,6.0%,4.6%,1.4%,10.0%,8.1%,1.9%
333,1287355904,M. Mihalakis,Maddox Mihalakis,Mihalakis,Maddox,3B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,63,275,16.7%,16.9%,-0.1%,4.7%,5.7%,-1.0%,1.1%,0.8%,0.3%,1.8%,4.6%,-2.8%,7.6%,9.7%,-2.1%
334,1142656000,L. Ismalli,Lucas Ismalli,Ismalli,Lucas,1B,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,47,209,17.7%,14.8%,2.9%,4.8%,4.7%,0.1%,0.5%,0.6%,-0.1%,3.8%,4.6%,-0.7%,9.1%,7.8%,1.3%
335,1043429509,S. Strosnider,Sawyer Strosnider,Strosnider,Sawyer,RF,Texas Christian University,TCU,5045,TCU,BBC,L,L,56,251,17.1%,16.8%,0.3%,5.2%,5.7%,-0.5%,4.0%,0.7%,3.3%,4.4%,4.6%,-0.2%,13.5%,9.6%,3.9%
336,1178179328,P. Curtis,Preston Curtis,Curtis,Preston,RF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,51,215,13.5%,11.4%,2.0%,6.0%,3.6%,2.5%,0.5%,0.3%,0.2%,4.2%,4.6%,-0.4%,10.7%,7.2%,3.5%
337,1093147904,K. Branch,Kolby Branch,Branch,Kolby,SS,University of Georgia,UGA,226,Georgia,BBC,R,R,60,256,16.4%,13.4%,3.0%,3.9%,3.7%,0.2%,0.4%,0.3%,0.1%,5.1%,4.5%,0.5%,9.4%,7.2%,2.1%
338,1330527744,B. Watson,Ben Watson,Watson,Ben,LF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,54,241,17.4%,19.6%,-2.2%,6.2%,6.2%,<0.1%,0.0%,0.6%,-0.6%,3.3%,4.5%,-1.2%,9.5%,9.8%,-0.2%
339,1196830209,J. Winnay,Jack Winnay,Winnay,Jack,1B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,60,282,13.1%,12.7%,0.4%,4.6%,5.7%,-1.1%,0.7%,0.4%,0.3%,5.3%,4.5%,0.8%,10.6%,8.5%,2.1%
340,1248450048,A. Stewart,Aiden Stewart,Stewart,Aiden,2B,University of Delaware,DEL,730203136,Delaware,BBC,L,R,53,243,14.4%,13.2%,1.2%,7.0%,5.3%,1.7%,0.8%,0.6%,0.2%,3.7%,4.5%,-0.8%,11.5%,8.1%,3.4%
341,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,54,238,15.5%,13.9%,1.7%,5.9%,6.1%,-0.2%,0.4%,0.5%,-0.1%,8.4%,4.5%,3.9%,14.7%,9.5%,5.2%
342,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,56,266,17.7%,14.4%,3.3%,4.5%,3.4%,1.1%,0.8%,0.4%,0.3%,5.6%,4.5%,1.1%,10.9%,6.6%,4.3%
343,1297491200,N. Sullivan,Noah Sullivan,Sullivan,Noah,P,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,59,255,15.3%,14.5%,0.8%,6.3%,4.4%,1.9%,0.0%,0.6%,-0.6%,5.9%,4.5%,1.4%,12.2%,7.6%,4.6%
344,1096221440,J. McCutcheon,Jake McCutcheon,McCutcheon,Jake,LF,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,55,260,18.1%,17.8%,0.2%,5.4%,4.6%,0.8%,0.8%,0.6%,0.1%,5.8%,4.5%,1.2%,11.9%,8.2%,3.8%
345,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,272,16.9%,14.8%,2.1%,6.3%,4.1%,2.2%,0.0%,0.6%,-0.6%,5.5%,4.5%,1.0%,11.8%,7.6%,4.2%
346,1105510913,D. Smaldino,Dominic Smaldino,Smaldino,Dominic,1B,University of California,CAL,730152448,California,BBC,R,R,55,235,14.0%,15.4%,-1.4%,5.1%,5.4%,-0.3%,0.4%,0.8%,-0.3%,4.7%,4.5%,0.2%,10.2%,9.4%,0.8%
347,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,59,236,15.3%,12.0%,3.2%,6.4%,5.1%,1.3%,0.0%,0.6%,-0.6%,4.7%,4.5%,0.2%,11.0%,7.9%,3.1%
348,1318666496,E. Becker,Eric Becker,Becker,Eric,SS,University of Virginia,UVA,5415,Virginia,BBC,L,R,50,236,18.2%,19.3%,-1.1%,8.9%,6.2%,2.7%,0.4%,0.8%,-0.3%,3.8%,4.5%,-0.7%,13.1%,9.8%,3.4%
349,1342167035,B. Stang,Bobby Stang,Stang,Bobby,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,48,199,13.1%,10.4%,2.7%,3.0%,3.6%,-0.6%,0.0%,0.6%,-0.6%,4.0%,4.5%,-0.5%,7.0%,7.2%,-0.2%
350,1198036992,Z. Daudet,Zach Daudet,Daudet,Zach,1B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,53,236,18.2%,17.5%,0.7%,6.4%,5.3%,1.0%,0.4%,0.6%,-0.1%,3.8%,4.5%,-0.7%,10.6%,8.3%,2.3%
351,1287364608,D. Berkland,Drew Berkland,Berkland,Drew,LF,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,52,240,15.0%,16.0%,-1.0%,4.2%,5.5%,-1.3%,0.0%,0.5%,-0.5%,5.8%,4.5%,1.3%,10.0%,9.0%,1.0%
352,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,60,308,13.3%,12.4%,0.9%,1.9%,3.8%,-1.9%,1.3%,0.5%,0.8%,5.2%,4.5%,0.7%,8.4%,6.8%,1.7%
353,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,43,184,14.1%,13.8%,0.3%,4.3%,3.9%,0.4%,0.5%,0.4%,0.1%,2.7%,4.5%,-1.8%,7.6%,7.2%,0.5%
354,1183064576,R. Ouzts,Ryan Ouzts,Ouzts,Ryan,CF,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,51,190,12.6%,15.1%,-2.4%,5.3%,4.9%,0.4%,0.0%,0.4%,-0.4%,4.7%,4.5%,0.3%,10.0%,8.7%,1.3%
355,1374148127,T. Denet,Tim Denet,Denet,Tim,3B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,44,199,15.1%,15.3%,-0.2%,3.0%,1.9%,1.1%,1.0%,0.1%,0.9%,4.0%,4.5%,-0.5%,8.0%,5.2%,2.9%
356,1692368056,V. Feliciano,Vicente Feliciano,Feliciano,Vicente,2B,Seattle University,SEA,4504,Seattle,BBC,L,R,49,197,15.7%,17.6%,-1.8%,5.6%,4.6%,1.0%,0.0%,0.7%,-0.7%,4.1%,4.5%,-0.4%,9.6%,8.6%,1.1%
357,1134514432,N. McCarthy,Nolan McCarthy,McCarthy,Nolan,CF,University of Georgia,UGA,226,Georgia,BBC,R,R,59,261,14.9%,15.3%,-0.4%,3.8%,4.8%,-1.0%,0.4%,0.4%,-0.0%,4.2%,4.5%,-0.3%,8.4%,8.2%,0.3%
358,1294966272,A. Silva,Anthony Silva,Silva,Anthony,SS,Texas Christian University,TCU,5045,TCU,BBC,R,R,58,243,17.7%,16.8%,0.9%,4.1%,5.5%,-1.4%,0.4%,0.7%,-0.2%,2.5%,4.5%,-2.0%,7.0%,9.3%,-2.3%
359,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,57,266,15.8%,13.7%,2.1%,4.1%,5.4%,-1.3%,0.0%,0.6%,-0.6%,4.9%,4.5%,0.4%,9.0%,8.7%,0.3%
360,1800137342,J. Kwon,Junhyuk Kwon,Kwon,Junhyuk,2B,University of Nevada,NEV,4784,Nevada,BBC,R,R,41,186,18.8%,15.3%,3.5%,5.9%,5.5%,0.4%,0.0%,0.5%,-0.5%,4.3%,4.5%,-0.2%,10.2%,8.8%,1.5%
361,1250090752,H. Katschke,Hunter Katschke,Katschke,Hunter,RF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,50,200,17.5%,18.4%,-0.9%,3.0%,6.5%,-3.5%,0.0%,0.5%,-0.5%,5.5%,4.4%,1.1%,8.5%,10.5%,-2.0%
362,1136407809,A. Guerrero,AJ Guerrero,Guerrero,AJ,LF,University of Washington,WASH,3110,Washington,BBC,R,R,53,254,17.3%,17.5%,-0.2%,6.3%,5.9%,0.4%,0.0%,0.7%,-0.7%,3.9%,4.4%,-0.5%,10.2%,9.5%,0.7%
363,1279228928,S. Solorzano,Steve Solorzano,Solorzano,Steve,TWP,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,50,234,16.7%,14.0%,2.7%,6.0%,4.7%,1.3%,0.4%,0.6%,-0.1%,3.4%,4.4%,-1.0%,9.8%,7.7%,2.1%
364,1162579200,J. Livingston,Josh Livingston,Livingston,Josh,2B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,258,13.2%,13.0%,0.2%,3.9%,4.6%,-0.7%,0.4%,0.8%,-0.4%,5.8%,4.4%,1.4%,10.1%,8.1%,2.0%
365,1292550400,T. Moore,Tristan Moore,Moore,Tristan,LF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,53,231,12.6%,11.7%,0.8%,6.1%,6.7%,-0.6%,0.9%,0.9%,-0.0%,6.1%,4.4%,1.6%,13.0%,10.2%,2.8%
366,1100871936,R. MacDougall,Ryan MacDougall,MacDougall,Ryan,C,University of Dayton,DAY,730194688,Dayton,BBC,L,R,51,228,14.0%,11.9%,2.1%,3.9%,4.3%,-0.4%,1.3%,0.6%,0.7%,3.9%,4.4%,-0.5%,9.2%,7.5%,1.7%
367,1262647552,W. Henseler,Wyatt Henseler,Henseler,Wyatt,3B,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,56,253,15.8%,13.9%,1.9%,5.9%,6.8%,-0.9%,0.0%,0.5%,-0.5%,4.7%,4.4%,0.3%,10.7%,9.7%,0.9%
368,1156909312,N. Cadena,Nathan Cadena,Cadena,Nathan,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,53,235,13.6%,13.3%,0.3%,2.1%,4.0%,-1.9%,0.9%,0.5%,0.3%,3.0%,4.4%,-1.4%,6.0%,7.2%,-1.2%
