Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
21,1277164032,M. Mylott,Michael Mylott,Mylott,Michael,LF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,49,210,15.7%,12.8%,2.9%,3.8%,4.4%,-0.6%,0.0%,0.9%,-0.9%,5.7%,7.7%,-2.0%,9.5%,11.0%,-1.4%
22,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,277,13.0%,9.4%,3.6%,5.1%,4.1%,1.0%,0.4%,0.5%,-0.1%,7.2%,7.7%,-0.5%,12.6%,10.3%,2.3%
23,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,64,287,14.3%,13.2%,1.1%,3.8%,4.0%,-0.1%,0.0%,0.5%,-0.5%,7.7%,7.7%,<0.1%,11.5%,10.6%,0.9%
24,1310789632,G. Turley,Gavin Turley,Turley,Gavin,LF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,307,17.3%,14.1%,3.2%,4.2%,5.6%,-1.4%,0.0%,0.6%,-0.6%,6.5%,7.6%,-1.1%,10.7%,11.1%,-0.3%
25,1205518848,M. Diaz,Michael Diaz,Diaz,Michael,LF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,52,200,11.5%,12.6%,-1.1%,1.5%,2.0%,-0.5%,2.5%,0.4%,2.1%,5.5%,7.6%,-2.1%,9.5%,8.2%,1.3%
26,1309405440,J. Bastian,Jaden Bastian,Bastian,Jaden,CF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,55,261,14.6%,16.1%,-1.5%,3.8%,3.3%,0.5%,1.9%,0.6%,1.4%,4.2%,7.6%,-3.3%,10.0%,9.3%,0.7%
27,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,59,282,11.3%,9.8%,1.5%,3.2%,3.7%,-0.5%,0.7%,0.6%,0.1%,9.2%,7.6%,1.7%,13.1%,8.8%,4.4%
28,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,227,6.2%,7.0%,-0.8%,3.5%,4.0%,-0.4%,0.0%,0.5%,-0.5%,7.9%,7.5%,0.4%,11.5%,9.2%,2.3%
29,1251442944,G. Baldwin,Gavin Baldwin,Baldwin,Gavin,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,52,241,12.9%,10.4%,2.5%,7.5%,6.1%,1.3%,0.4%,0.5%,-0.1%,6.2%,7.4%,-1.2%,14.1%,11.9%,2.3%
30,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,250,12.8%,11.3%,1.5%,3.6%,4.7%,-1.1%,0.0%,0.7%,-0.7%,7.6%,7.4%,0.2%,11.2%,10.2%,1.0%
