Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
29,1255817728,A. Lazits,Anton Lazits,Lazits,Anton,RF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,48,188,0.34,25.3%,42.5%,19.2%,13.0%,0.0%,37,62,28,19,0
30,1240386048,R. Porter,Ryan Porter,Porter,Ryan,P,Cornell University,COR,730298624,Cornell,BBC,R,R,31,102,0.34,25.4%,46.5%,18.3%,9.9%,0.0%,18,33,13,7,0
31,1306732288,D. Grego,Dylan Grego,Grego,Dylan,SS,Ball State University,BALL,730195456,Ball State,BBC,S,R,58,242,0.34,25.4%,40.0%,26.3%,8.3%,1.0%,52,82,54,17,2
32,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,279,0.34,25.5%,39.8%,28.1%,6.6%,0.0%,50,78,55,13,0
33,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,60,225,0.34,25.5%,42.6%,19.7%,12.2%,0.5%,48,80,37,23,1
34,1831205385,J. Hudson,Justin Hudson,Hudson,Justin,RF,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,53,185,0.35,25.7%,34.9%,22.9%,16.5%,1.8%,28,38,25,18,2
35,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,53,195,0.35,25.7%,37.9%,22.9%,13.6%,0.0%,36,53,32,19,0
36,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,234,0.35,25.7%,41.5%,17.5%,15.2%,1.8%,44,71,30,26,3
37,1156909312,N. Cadena,Nathan Cadena,Cadena,Nathan,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,53,188,0.35,25.7%,40.4%,22.1%,11.8%,4.4%,35,55,30,16,6
38,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,42,155,0.35,25.8%,39.8%,21.1%,13.3%,0.0%,33,51,27,17,0
39,1294967552,J. LaViolette,Jace LaViolette,LaViolette,Jace,CF,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,56,198,0.35,25.9%,46.7%,17.8%,9.6%,0.0%,35,63,24,13,0
40,1166183680,R. Ortiz,Ray Ortiz,Ortiz,Ray,SS,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,52,207,0.35,26.1%,37.9%,25.5%,10.6%,0.0%,42,61,41,17,0
40,1287365120,E. Richter,Easton Richter,Richter,Easton,2B,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,49,187,0.35,26.1%,47.1%,15.2%,11.6%,5.8%,36,65,21,16,8
42,1359638792,H. Porter,Hollis Porter,Porter,Hollis,1B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,55,231,0.35,26.1%,38.6%,28.1%,7.2%,0.0%,40,59,43,11,0
43,1125677568,S. Greico,Sebastian Greico,Greico,Sebastian,1B,University of South Florida,USF,2292,South Florida,BBC,L,R,47,178,0.35,26.2%,42.3%,24.8%,6.7%,2.0%,39,63,37,10,3
44,1243383808,J. Chirello,Jackson Chirello,Chirello,Jackson,RF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,44,155,0.36,26.3%,40.4%,29.3%,4.0%,2.0%,26,40,29,4,2
45,1320627456,J. Hall,Jude Hall,Hall,Jude,CF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,48,142,0.36,26.3%,38.9%,16.8%,17.9%,7.4%,25,37,16,17,7
46,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,50,191,0.36,26.4%,36.2%,25.8%,11.7%,0.0%,43,59,42,19,0
47,1243695361,M. Flaherty,Matt Flaherty,Flaherty,Matt,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,42,151,0.36,26.5%,35.4%,28.3%,9.7%,0.0%,30,40,32,11,0
48,1888313665,K. Lodise,Kyle Lodise,Lodise,Kyle,SS,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,55,219,0.36,26.6%,35.0%,26.6%,11.9%,0.6%,47,62,47,21,1
49,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,215,0.36,26.7%,30.9%,34.5%,7.9%,1.2%,44,51,57,13,2
50,1141430784,M. Brooks,Michael Brooks,Brooks,Michael,3B,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,209,0.37,26.7%,39.0%,23.3%,11.0%,0.0%,46,67,40,19,0
51,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,56,235,0.37,26.8%,35.8%,26.3%,11.2%,1.7%,48,64,47,20,3
52,1092663040,C. Bergman,Carter Bergman,Bergman,Carter,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,48,162,0.37,26.8%,43.9%,19.5%,9.8%,0.0%,33,54,24,12,0
53,1309426944,C. Wallace,Colby Wallace,Wallace,Colby,RF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,L,47,125,0.37,26.9%,35.9%,24.4%,12.8%,1.3%,21,28,19,10,1
53,1146205440,B. Chang,Brandon Chang,Chang,Brandon,C,Brown University,BRWN,730236160,Brown,BBC,R,R,30,98,0.37,26.9%,34.6%,21.8%,16.7%,1.3%,21,27,17,13,1
