Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
473,1207803904,K. Denty,Kevin Denty,Denty,Kevin,RF,Valparaiso University,VALP,730369536,Valparaiso,BBC,L,R,49,167,0.56,35.9%,24.4%,25.2%,14.5%,0.8%,47,32,33,19,1
474,1143122944,N. Romano,Nicholas Romano,Romano,Nicholas,3B,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,S,R,51,175,0.56,35.9%,35.2%,21.8%,7.0%,2.8%,51,50,31,10,4
474,1692368056,V. Feliciano,Vicente Feliciano,Feliciano,Vicente,2B,Seattle University,SEA,4504,Seattle,BBC,L,R,49,173,0.56,35.9%,30.3%,26.1%,7.7%,1.4%,51,43,37,11,2
476,1334587904,T. Smith,Tyler Smith,Smith,Tyler,1B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,42,123,0.56,35.9%,40.8%,15.5%,7.8%,1.0%,37,42,16,8,1
477,1200125184,N. Hayes,Nyan Hayes,Hayes,Nyan,SS,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,53,206,0.56,35.9%,40.1%,10.2%,13.8%,2.4%,60,67,17,23,4
478,1264006656,B. Counsell,Brady Counsell,Counsell,Brady,LF,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,220,0.56,35.9%,31.3%,18.8%,14.1%,3.1%,69,60,36,27,6
479,1193185792,L. Sutter,Logan Sutter,Sutter,Logan,1B,Purdue University,PUR,730353152,Purdue,BBC,R,R,54,196,0.56,35.9%,37.9%,22.9%,3.3%,0.0%,55,58,35,5,0
480,1310893312,H. Didawick,Harrison Didawick,Didawick,Harrison,LF,University of Virginia,UVA,5415,Virginia,BBC,L,L,44,138,0.56,36.0%,30.7%,22.8%,10.5%,5.3%,41,35,26,12,6
481,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,51,205,0.56,36.0%,33.8%,19.4%,10.8%,0.7%,50,47,27,15,1
481,1306922752,M. OConor,Mike O'Conor,OConor,Mike,3B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,42,168,0.56,36.0%,37.4%,18.7%,7.9%,2.2%,50,52,26,11,3
483,1300003584,C. Garner,Carson Garner,Garner,Carson,3B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,225,0.56,36.0%,34.1%,18.3%,11.6%,0.0%,59,56,30,19,0
484,1153440768,I. Schmidly,Ike Schmidly,Schmidly,Ike,RF,James Madison University,JMU,730340096,James Madison,BBC,R,R,42,104,0.56,36.0%,29.3%,20.0%,14.7%,6.7%,27,22,15,11,5
485,1149176320,A. Kanellis,Andrew Kanellis,Kanellis,Andrew,RF,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,212,0.56,36.0%,28.6%,26.1%,9.3%,0.0%,58,46,42,15,0
486,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,51,213,0.56,36.1%,27.8%,24.7%,11.3%,0.0%,70,54,48,22,0
487,1263381248,C. Caruso,Cole Caruso,Caruso,Cole,3B,University of Michigan,MICH,2290,Michigan,BBC,R,R,56,201,0.56,36.1%,30.8%,26.6%,6.5%,1.2%,61,52,45,11,2
488,1178085632,F. Ingersoll,Fisher Ingersoll,Ingersoll,Fisher,SS,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,41,131,0.57,36.1%,38.9%,22.2%,2.8%,4.2%,26,28,16,2,3
488,1239086592,T. Fenderson,Trey Fenderson,Fenderson,Trey,2B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,51,163,0.57,36.1%,29.9%,29.9%,4.2%,6.9%,52,43,43,6,10
490,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,61,245,0.57,36.1%,37.7%,18.8%,7.3%,0.5%,69,72,36,14,1
491,1207756288,B. Buzzeo,Blake Buzzeo,Buzzeo,Blake,2B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,199,0.57,36.1%,29.5%,22.3%,12.0%,9.0%,60,49,37,20,15
491,1139915009,B. Garner,Bradley Garner,Garner,Bradley,RF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,52,199,0.57,36.1%,21.7%,30.7%,11.4%,7.2%,60,36,51,19,12
493,1153713408,A. Walton,Aaron Walton,Walton,Aaron,CF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,65,253,0.57,36.2%,31.9%,23.0%,8.9%,1.9%,77,68,49,19,4
494,1944131337,W. Waters,Wylie Waters,Waters,Wylie,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,52,180,0.57,36.2%,36.9%,18.5%,8.5%,0.0%,47,48,24,11,0
495,1504137946,B. Baughcum,Brant Baughcum,Baughcum,Brant,3B,Mercer University,MER,730240512,Mercer,BBC,R,R,60,225,0.57,36.2%,27.6%,24.8%,11.4%,1.4%,76,58,52,24,3
496,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,199,0.57,36.2%,34.4%,17.8%,11.7%,4.9%,59,56,29,19,8
496,1238233344,J. Kemp,James Kemp,Kemp,James,1B,Iona College,IONA,730242048,Iona,BBC,R,R,52,201,0.57,36.2%,36.8%,22.7%,4.3%,0.0%,59,60,37,7,0
498,1206686464,C. Torres,Cooper Torres,Torres,Cooper,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,225,0.57,36.2%,33.3%,26.4%,4.0%,0.0%,63,58,46,7,0
499,1342170302,C. Sullivan,Case Sullivan,Sullivan,Case,SS,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,50,183,0.57,36.2%,33.9%,20.5%,9.4%,0.0%,46,43,26,12,0
500,1260774912,P. Picot,Parker Picot,Picot,Parker,RF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,52,189,0.57,36.2%,26.1%,22.5%,15.2%,2.9%,50,36,31,21,4
500,1115710464,N. Fleming,Nick Fleming,Fleming,Nick,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,41,103,0.57,36.2%,27.5%,24.6%,11.6%,1.4%,25,19,17,8,1
502,1159260160,E. Weeks,Eric Weeks,Weeks,Eric,2B,Canisius College,CAN,730218752,Canisius,BBC,R,R,36,111,0.57,36.3%,36.3%,20.0%,7.5%,2.5%,29,29,16,6,2
503,1194399985,T. Bell,Tyler Bell,Bell,Tyler,SS,University of Kentucky,UK,5362,Kentucky,BBC,S,R,56,226,0.57,36.3%,33.3%,26.3%,4.1%,0.0%,62,57,45,7,0
504,1162540800,T. Turner,Trent Turner,Turner,Trent,SS,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,58,235,0.57,36.3%,29.8%,25.6%,8.4%,1.9%,78,64,55,18,4
505,1310447872,D. Moquin,Dillon Moquin,Moquin,Dillon,RF,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,43,147,0.57,36.3%,32.7%,19.5%,11.5%,0.9%,41,37,22,13,1
506,1286155776,B. OSullivan,Brenden OSullivan,OSullivan,Brenden,1B,UNLV,UNLV,730161664,UNLV,BBC,R,R,47,171,0.57,36.3%,30.1%,24.0%,9.6%,0.7%,53,44,35,14,1
507,1298764288,H. Hines,Hunter Hines,Hines,Hunter,1B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,211,0.57,36.4%,31.8%,22.7%,9.1%,0.0%,56,49,35,14,0
507,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,114,0.57,36.4%,42.9%,9.1%,11.7%,2.6%,28,33,7,9,2
507,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,46,169,0.57,36.4%,28.8%,24.2%,10.6%,3.0%,48,38,32,14,4
507,1263255296,N. Williams,Nick Williams,Williams,Nick,LF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,170,0.57,36.4%,33.1%,22.1%,8.4%,0.0%,56,51,34,13,0
507,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,62,268,0.57,36.4%,28.1%,27.3%,8.3%,0.4%,92,71,69,21,1
512,1857228116,J. Ward,James Ward,Ward,James,3B,Radford University,RAD,730267392,Radford,BBC,R,R,56,212,0.57,36.4%,33.2%,22.8%,7.6%,2.7%,67,61,42,14,5
513,1099807744,T. Schmalzle,TJ Schmalzle,Schmalzle,TJ,CF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,57,194,0.57,36.4%,33.3%,23.5%,6.8%,1.9%,59,54,38,11,3
514,1079662848,C. Scholvin,Charlie Scholvin,Scholvin,Charlie,SS,University of Toledo,TOL,5388,Toledo,BBC,R,R,51,164,0.57,36.4%,28.5%,21.9%,13.2%,1.3%,55,43,33,20,2
515,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,44,162,0.57,36.4%,35.5%,22.4%,5.6%,0.0%,39,38,24,6,0
516,1318694400,J. Wolf,Jeremy Wolf,Wolf,Jeremy,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,52,200,0.57,36.5%,21.2%,27.1%,15.3%,4.7%,62,36,46,26,8
517,1136254858,D. Lee,Darryl Lee,Lee,Darryl,CF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,57,204,0.57,36.5%,35.8%,22.3%,5.4%,1.4%,54,53,33,8,2
518,1248450048,A. Stewart,Aiden Stewart,Stewart,Aiden,2B,University of Delaware,DEL,730203136,Delaware,BBC,L,R,53,190,0.57,36.5%,38.7%,21.9%,2.9%,0.7%,50,53,30,4,1
519,1290256128,C. Hage,Cole Hage,Hage,Cole,LF,University of Kentucky,UK,5362,Kentucky,BBC,R,R,56,202,0.58,36.5%,31.1%,22.8%,9.6%,0.6%,61,52,38,16,1
520,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,205,0.58,36.5%,38.5%,18.6%,6.4%,1.9%,57,60,29,10,3
520,1374148127,T. Denet,Tim Denet,Denet,Tim,3B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,44,157,0.58,36.5%,36.5%,19.2%,7.7%,0.0%,38,38,20,8,0
522,1160633600,G. Pike,Garret Pike,Pike,Garret,RF,University of Louisville,LOU,5467,Louisville,BBC,L,R,61,209,0.58,36.6%,26.9%,25.3%,11.3%,6.5%,68,50,47,21,12
523,1238242304,Z. Payne,Zandt Payne,Payne,Zandt,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,44,149,0.58,36.6%,29.1%,28.4%,6.0%,5.2%,49,39,38,8,7
523,1327586816,A. Greco,Anthony Greco,Greco,Anthony,1B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,53,178,0.58,36.6%,30.6%,20.9%,11.9%,0.7%,49,41,28,16,1
525,1310789888,H. Autrey,Hunter Autrey,Autrey,Hunter,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,55,206,0.58,36.6%,34.3%,21.7%,7.4%,1.1%,64,60,38,13,2
525,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,209,0.58,36.6%,32.0%,18.9%,12.6%,0.0%,64,56,33,22,0
527,1310320640,B. Blaser,Bryce Blaser,Blaser,Bryce,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,R,53,190,0.58,36.6%,27.4%,26.2%,9.8%,4.9%,60,45,43,16,8
527,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,55,166,0.58,36.6%,35.0%,17.1%,11.4%,6.5%,45,43,21,14,8
527,1089571840,J. Doyle,Jacob Doyle,Doyle,Jacob,RF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,190,0.58,36.6%,26.8%,18.7%,17.9%,7.3%,45,33,23,22,9
527,1222787328,H. Painter,Harry Painter,Painter,Harry,TWP,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,39,125,0.58,36.6%,32.9%,23.2%,7.3%,0.0%,30,27,19,6,0
531,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,60,242,0.58,36.6%,30.4%,27.3%,5.7%,0.0%,71,59,53,11,0
532,1139921664,J. Sparks,Jake Sparks,Sparks,Jake,3B,Siena College,SIE,730382592,Siena,BBC,L,R,54,214,0.58,36.6%,38.6%,15.7%,9.2%,5.2%,56,59,24,14,8
532,1172379330,E. Fender,Ethan Fender,Fender,Ethan,1B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,53,191,0.58,36.6%,32.0%,22.9%,8.5%,0.0%,56,49,35,13,0
532,1269233194,D. Small,Dane Small,Small,Dane,RF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,48,162,0.58,36.6%,30.1%,22.2%,11.1%,1.3%,56,46,34,17,2
535,1342166796,C. Saul,Charlie Saul,Saul,Charlie,RF,Bryant University,BRY,730266880,Bryant,BBC,R,R,49,161,0.58,36.6%,33.0%,19.6%,10.7%,11.6%,41,37,22,12,13
535,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,41,139,0.58,36.6%,37.5%,18.8%,7.1%,4.5%,41,42,21,8,5
537,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,52,189,0.58,36.6%,30.3%,28.2%,4.9%,0.7%,52,43,40,7,1
537,1336721062,D. Smith,Derek Smith,Smith,Derek,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,40,129,0.58,36.6%,35.2%,15.5%,12.7%,1.4%,26,25,11,9,1
539,1243350016,J. Rickheim,Jack Rickheim,Rickheim,Jack,SS,Harvard University,HARV,5450,Harvard,BBC,R,R,42,156,0.58,36.6%,28.2%,20.6%,14.5%,2.3%,48,37,27,19,3
540,1184445440,C. Troyer,Camden Troyer,Troyer,Camden,TWP,Liberty University,LIB,730156288,Liberty,BBC,L,L,56,210,0.58,36.6%,26.2%,24.6%,12.6%,0.0%,70,50,47,24,0
541,1205058816,Z. Stewart,Zack Stewart,Stewart,Zack,RF,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,51,182,0.58,36.7%,29.2%,25.8%,8.3%,0.0%,44,35,31,10,0
541,1139726848,J. Humphrey,Jacob Humphrey,Humphrey,Jacob,RF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,50,154,0.58,36.7%,35.0%,20.0%,8.3%,10.0%,44,42,24,10,12
541,1357729151,C. Turner,Cy Turner,Turner,Cy,RF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,42,99,0.58,36.7%,30.0%,18.3%,15.0%,6.7%,22,18,11,9,4
544,1448402806,C. Sheridan,Caden Sheridan,Sheridan,Caden,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,52,200,0.58,36.7%,35.5%,17.2%,10.7%,1.8%,62,60,29,18,3
545,1281635328,W. Asby,Will Asby,Asby,Will,RF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,51,220,0.58,36.7%,27.7%,22.3%,13.3%,1.1%,69,52,42,25,2
545,1101468928,J. Smith,JP Smith,Smith,JP,1B,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,58,237,0.58,36.7%,34.6%,19.1%,9.6%,0.0%,69,65,36,18,0
545,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,58,241,0.58,36.7%,29.8%,27.1%,6.4%,0.0%,69,56,51,12,0
545,1137012284,J. Oriach,Jordy Oriach,Oriach,Jordy,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,52,214,0.58,36.7%,29.8%,27.7%,5.9%,0.0%,69,56,52,11,0
549,1095627264,B. Terry,Braeden Terry,Terry,Braeden,RF,University of Washington,WASH,3110,Washington,BBC,L,L,46,151,0.58,36.7%,33.6%,21.1%,8.6%,2.3%,47,43,27,11,3
550,1160633344,B. White,Brayden White,White,Brayden,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,53,176,0.58,36.7%,32.7%,20.4%,10.2%,3.4%,54,48,30,15,5
550,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,215,0.58,36.7%,36.2%,19.4%,7.7%,0.0%,72,71,38,15,0
552,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,209,0.58,36.7%,36.1%,19.3%,7.8%,1.2%,61,60,32,13,2
553,1143041024,V. Fattore,Vincent Fattore,Fattore,Vincent,RF,Elon University,ELON,730252544,Elon,BBC,R,R,51,153,0.58,36.8%,30.8%,23.1%,9.4%,0.0%,43,36,27,11,0
554,1934740630,J. Martinez,Jeremy Martinez,Martinez,Jeremy,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,48,165,0.58,36.8%,34.6%,21.3%,7.4%,1.5%,50,47,29,10,2
555,1212108544,M. Eckelman,Mason Eckelman,Eckelman,Mason,C,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,50,178,0.58,36.8%,27.8%,27.8%,7.6%,0.7%,53,40,40,11,1
555,1093147904,K. Branch,Kolby Branch,Branch,Kolby,SS,University of Georgia,UGA,226,Georgia,BBC,R,R,60,218,0.58,36.8%,31.9%,22.9%,8.3%,0.7%,53,46,33,12,1
557,1017316318,S. Newman,Scott Newman,Newman,Scott,CF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,L,60,237,0.58,36.8%,31.3%,22.1%,9.8%,1.8%,60,51,36,16,3
557,1040576277,R. Howard,Reid Howard,Howard,Reid,SS,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,54,181,0.58,36.8%,27.6%,23.9%,11.7%,5.5%,60,45,39,19,9
559,1250090752,H. Katschke,Hunter Katschke,Katschke,Hunter,RF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,50,184,0.58,36.8%,27.6%,23.7%,11.8%,0.7%,56,42,36,18,1
559,1191396608,C. Raile,Cole Raile,Raile,Cole,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,53,201,0.58,36.8%,29.3%,21.8%,12.0%,0.8%,49,39,29,16,1
559,1004169216,N. Vargas,Nate Vargas,Vargas,Nate,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,54,209,0.58,36.8%,35.1%,22.2%,5.8%,1.2%,63,60,38,10,2
562,1075959040,A. Smith,Austin Smith,Smith,Austin,TWP,University of San Diego,USD,5320,San Diego,BBC,L,L,54,218,0.58,36.9%,25.7%,24.3%,13.1%,0.0%,76,53,50,27,0
563,1197618176,L. Stulga,Luke Stulga,Stulga,Luke,CF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,55,197,0.59,36.9%,32.2%,20.1%,10.7%,2.7%,55,48,30,16,4
564,1238031872,J. Lambdin,Jake Lambdin,Lambdin,Jake,SS,Xavier University,XAV,5464,Xavier,BBC,R,R,59,220,0.59,36.9%,29.0%,21.6%,12.5%,0.0%,65,51,38,22,0
565,1958912761,L. Devine,Luke Devine,Devine,Luke,CF,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,42,110,0.59,37.0%,31.5%,20.5%,11.0%,0.0%,27,23,15,8,0
566,1162062592,K. Kent,Kaeden Kent,Kent,Kaeden,SS,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,56,204,0.59,37.0%,33.5%,24.9%,4.6%,0.6%,64,58,43,8,1
566,1078579712,J. Bant,Jay Bant,Bant,Jay,1B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,50,195,0.59,37.0%,32.4%,26.0%,4.6%,0.6%,64,56,45,8,1
568,1115512064,J. Quinlan,John Quinlan,Quinlan,John,LF,Cornell University,COR,730298624,Cornell,BBC,S,R,34,122,0.59,37.0%,30.0%,20.0%,13.0%,4.0%,37,30,20,13,4
568,1163782059,B. Fowler,Bryce Fowler,Fowler,Bryce,RF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,59,236,0.59,37.0%,25.5%,29.0%,8.5%,1.0%,74,51,58,17,2
570,1197913856,A. Anderson,Aedan Anderson,Anderson,Aedan,CF,Xavier University,XAV,5464,Xavier,BBC,R,R,57,199,0.59,37.0%,27.3%,20.8%,14.9%,2.6%,57,42,32,23,4
570,1263704064,D. Nevar,Dylan Nevar,Nevar,Dylan,LF,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,50,193,0.59,37.0%,33.1%,16.9%,13.0%,0.0%,57,51,26,20,0
572,1483997883,E. Plyler,Ethan Plyler,Plyler,Ethan,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,57,216,0.59,37.0%,32.3%,19.6%,11.1%,0.0%,70,61,37,21,0
572,1184450816,D. Lewis,David Lewis,Lewis,David,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,47,123,0.59,37.0%,33.3%,27.2%,2.5%,2.5%,30,27,22,2,2
572,1342169008,C. Vrabel,Carter Vrabel,Vrabel,Carter,1B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,50,132,0.59,37.0%,32.4%,17.6%,13.0%,0.9%,40,35,19,14,1
575,1310335744,C. Rasmussen,Connor Rasmussen,Rasmussen,Connor,2B,Tulane University,TULN,730354176,Tulane,BBC,L,R,58,214,0.59,37.1%,28.9%,26.9%,7.1%,4.1%,73,57,53,14,8
576,1093164288,M. Rosales,Marcos Rosales,Rosales,Marcos,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,52,170,0.59,37.1%,33.6%,20.3%,9.1%,4.2%,53,48,29,13,6
576,1142522368,C. Call,Chase Call,Call,Chase,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,52,184,0.59,37.1%,32.9%,18.9%,11.2%,1.4%,53,47,27,16,2
578,1404304693,A. Irby,Austin Irby,Irby,Austin,1B,East Carolina University,ECU,730270720,East Carolina,BBC,L,R,62,208,0.59,37.1%,29.2%,21.3%,12.4%,4.5%,66,52,38,22,8
579,1162433792,O. McElfatrick,Owen McElfatrick,McElfatrick,Owen,3B,Northwestern University,NW,730247680,Northwestern,BBC,R,R,51,195,0.59,37.1%,27.8%,23.8%,11.3%,0.0%,56,42,36,17,0
579,1306903552,S. Pugh,Samson Pugh,Pugh,Samson,CF,Texas State University,TXST,5420,Texas State,BBC,R,R,57,191,0.59,37.1%,24.5%,25.8%,12.6%,7.3%,56,37,39,19,11
579,1297354496,G. Miranda,Gabe Miranda,Miranda,Gabe,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,55,215,0.59,37.1%,29.8%,29.8%,3.3%,2.0%,56,45,45,5,3
582,1207744768,B. Holt,Brennan Holt,Holt,Brennan,CF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,45,165,0.59,37.1%,27.4%,25.8%,9.7%,1.6%,46,34,32,12,2
582,1192665088,A. Neuweg,Austin Neuweg,Neuweg,Austin,3B,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,55,177,0.59,37.1%,33.1%,19.4%,10.5%,1.6%,46,41,24,13,2
584,1208727296,D. Listi,Dom Listi,Listi,Dom,LF,Clemson University,CLEM,730358784,Clemson,BBC,L,L,61,204,0.59,37.1%,25.8%,28.9%,8.2%,0.0%,59,41,46,13,0
584,1524243954,A. Williamson,Ace Williamson,Williamson,Ace,CF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,60,218,0.59,37.1%,30.8%,24.5%,7.5%,3.8%,59,49,39,12,6
586,1087549952,E. Lazio,Eli Lazio,Lazio,Eli,1B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,46,122,0.59,37.1%,25.8%,18.6%,18.6%,5.2%,36,25,18,18,5
587,1167257088,G. Mastros,Graham Mastros,Mastros,Graham,RF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,49,178,0.59,37.1%,33.3%,21.2%,8.3%,3.0%,49,44,28,11,4
588,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,60,234,0.59,37.1%,33.3%,22.4%,7.1%,0.0%,78,70,47,15,0
588,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,54,204,0.59,37.1%,40.0%,16.6%,6.3%,0.0%,65,70,29,11,0
590,1239336704,M. Ocko,Madden Ocko,Ocko,Madden,1B,Fordham University,FOR,730324992,Fordham,BBC,R,R,53,187,0.59,37.2%,27.0%,29.7%,6.1%,0.0%,55,40,44,9,0
591,1153320704,A. Arquette,Aiva Arquette,Arquette,Aiva,SS,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,254,0.59,37.2%,32.9%,23.7%,6.3%,1.0%,77,68,49,13,2
592,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,52,179,0.59,37.2%,29.7%,20.0%,13.1%,1.4%,54,43,29,19,2
593,1179438848,B. McClellin,Brian McClellin,McClellin,Brian,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,43,137,0.59,37.3%,29.4%,24.5%,8.8%,2.9%,38,30,25,9,3
593,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,54,189,0.59,37.3%,39.9%,9.2%,13.7%,2.0%,57,61,14,21,3
595,1105387008,J. Journette,Justin Journette,Journette,Justin,RF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,167,0.59,37.3%,35.5%,20.0%,7.3%,0.0%,41,39,22,8,0
596,1310847488,E. Appelwick,Evan Appelwick,Appelwick,Evan,1B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,214,0.59,37.3%,32.0%,21.9%,8.9%,0.6%,63,54,37,15,1
597,1310832896,M. Zeppieri,Mateo Zeppieri,Zeppieri,Mateo,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,48,156,0.59,37.3%,35.6%,13.6%,13.6%,5.1%,44,42,16,16,6
598,1254273792,T. Hansen,Trevor Hansen,Hansen,Trevor,3B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,47,179,0.59,37.3%,38.9%,17.5%,6.3%,0.0%,47,49,22,8,0
599,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,59,183,0.60,37.3%,30.3%,25.4%,7.0%,0.0%,53,43,36,10,0
600,1294955264,Z. Yorke,Zach Yorke,Yorke,Zach,1B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,48,174,0.60,37.3%,25.3%,27.3%,10.0%,0.7%,56,38,41,15,1
600,1074018173,N. Azpilcueta,Nico Azpilcueta,Azpilcueta,Nico,1B,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,52,197,0.60,37.3%,40.0%,14.0%,8.7%,0.0%,56,60,21,13,0
