Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
34,1162562304,T. Barth,Tommy Barth,Barth,Tommy,LF,University of Kansas,KU,730360064,Kansas,BBC,R,L,58,252,964,-15.71,89.0%,1.90,2.47,3,11
35,1198416640,J. Williams,Javar Williams,Williams,Javar,LF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,54,217,835,-15.52,89.9%,2.00,1.89,5,11
36,1266589440,E. Brenner,Easton Brenner,Brenner,Easton,CF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,49,212,807,-15.42,91.4%,1.84,2.77,6,21
37,1336099584,J. Herrholz,JP Herrholz,Herrholz,JP,1B,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,R,55,219,879,-15.12,90.4%,1.95,3.16,10,16
38,1143035136,J. Butler,Jake Butler,Butler,Jake,3B,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,290,976,-15.10,87.6%,1.80,2.67,6,14
39,1310896128,S. Tackett,Sam Tackett,Tackett,Sam,RF,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,56,236,969,-14.64,92.4%,1.76,0.62,5,10
40,1238031872,J. Lambdin,Jake Lambdin,Lambdin,Jake,SS,Xavier University,XAV,5464,Xavier,BBC,R,R,59,276,1105,-14.64,92.9%,1.76,3.27,10,17
41,1208727296,D. Listi,Dom Listi,Listi,Dom,LF,Clemson University,CLEM,730358784,Clemson,BBC,L,L,61,292,1249,-14.51,95.2%,1.87,2.60,18,21
42,1237379328,H. Ensley,Hunter Ensley,Ensley,Hunter,CF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,64,282,1030,-14.50,90.7%,1.77,2.36,6,11
43,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,1034,-14.38,90.4%,1.85,2.05,4,8
44,1327330048,J. Bessette,Jackson Bessette,Bessette,Jackson,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,49,218,869,-14.31,88.7%,1.74,1.87,8,14
45,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,61,309,1238,-14.30,94.1%,1.84,1.50,8,16
46,1140999168,L. Nixon,Luke Nixon,Nixon,Luke,2B,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,56,254,970,-13.94,92.3%,1.79,1.93,10,16
47,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,67,313,1073,-13.73,92.3%,1.76,2.52,9,16
48,1339568350,D. Cerda,Derek Cerda,Cerda,Derek,CF,University of Kansas,KU,730360064,Kansas,BBC,R,R,50,245,995,-13.64,93.0%,1.66,1.86,8,10
49,1279343616,T. Albright,Tyler Albright,Albright,Tyler,LF,Duke University,DUKE,730336256,Duke,BBC,R,L,62,286,1119,-13.59,92.9%,1.63,2.44,7,15
50,1134055424,W. Mitchell,Walker Mitchell,Mitchell,Walker,3B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,65,285,1138,-13.57,94.3%,1.65,2.59,7,14
51,1272927744,K. Walker,Kyle Walker,Walker,Kyle,2B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,56,265,862,-13.37,90.0%,1.62,1.14,8,13
52,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,271,1012,-13.37,90.2%,1.64,1.82,6,9
53,1263449344,B. Lesher,Brett Lesher,Lesher,Brett,SS,University of Delaware,DEL,730203136,Delaware,BBC,R,R,53,232,906,-13.19,90.4%,1.58,1.48,4,16
54,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,40,178,747,-13.04,83.9%,1.58,2.47,4,12
55,1220193792,C. Davalan,Charles Davalan,Davalan,Charles,LF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,65,317,1187,-13.01,94.5%,1.67,1.58,11,10
56,1310789632,G. Turley,Gavin Turley,Turley,Gavin,LF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,307,1175,-12.65,91.9%,1.52,1.48,12,19
57,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,205,858,-12.63,91.4%,1.52,1.34,6,10
58,1100575744,C. Chee-Aloy,Cameron Chee-Aloy,Chee-Aloy,Cameron,RF,University of Illinois,ILL,730163456,Illinois,BBC,R,R,52,239,937,-12.61,89.9%,1.51,2.83,5,8
59,1310333184,J. Krieg,Jacob Krieg,Krieg,Jacob,1B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,59,242,991,-12.48,92.6%,1.49,2.49,9,20
60,1223994880,C. Brumbaugh,Cayden Brumbaugh,Brumbaugh,Cayden,2B,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,61,287,1097,-12.36,93.9%,1.45,0.83,10,16
61,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,58,278,1039,-12.25,92.7%,1.45,1.65,7,17
62,1100812800,P. Daniels,Phillips Daniels,Daniels,Phillips,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,57,242,915,-12.05,93.0%,1.46,2.17,12,14
63,1306877184,K. Miller,Kameron Miller,Miller,Kameron,1B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,47,217,926,-12.00,93.6%,1.47,3.54,10,21
64,1390395142,S. Inoue,Shintaro Inoue,Inoue,Shintaro,2B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,58,256,1000,-11.81,93.5%,1.52,1.12,11,17
65,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,52,226,896,-11.81,93.7%,1.39,1.91,8,14
66,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,66,318,1145,-11.71,94.4%,1.51,2.49,5,12
67,1084399872,D. Parker Jr.,Darnell Parker Jr.,Parker Jr.,Darnell,SS,Campbell University,CAMP,730187776,Campbell,BBC,R,R,54,255,885,-11.69,85.0%,1.42,1.77,5,4
68,1239328512,W. Gasparino,Will Gasparin,Gasparino,Will,CF,University of Texas,TEX,245,Texas,BBC,R,R,58,244,979,-11.64,93.6%,1.39,1.66,8,10
69,1294959104,S. Robinson,Shai Robinson,Robinson,Shai,SS,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,54,260,981,-11.63,92.5%,1.36,2.45,7,11
70,1563728805,A. Kelsey,Alex Kelsey,Kelsey,Alex,CF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,51,253,1001,-11.61,90.3%,1.49,3.28,10,19
71,1417395068,C. Climie,Cade Climie,Climie,Cade,1B,University of Houston,HOU,3030,Houston,BBC,R,R,46,186,770,-11.58,92.0%,1.39,1.94,6,11
72,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,51,215,926,-11.55,92.8%,1.39,2.17,6,9
73,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,56,264,1060,-11.49,92.7%,1.45,1.63,9,15
74,1279706880,T. Shaneyfelt,Tyler Shaneyfelt,Shaneyfelt,Tyler,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,55,279,1158,-11.46,89.1%,1.47,1.74,8,8
75,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,286,1155,-11.30,94.0%,1.45,2.90,16,19
76,1108462592,K. Cross,Kerrington Cross,Cross,Kerrington,3B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,56,273,1140,-11.22,94.5%,1.32,2.42,10,10
77,1272689664,C. Hincks,Connor Hincks,Hincks,Connor,2B,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,49,187,695,-11.17,88.6%,1.44,0.94,3,6
78,1149562624,C. Cramer,Cole Cramer,Cramer,Cole,2B,Texas Christian University,TCU,5045,TCU,BBC,R,R,59,277,1160,-11.16,95.8%,1.31,1.29,7,12
79,1255817728,A. Lazits,Anton Lazits,Lazits,Anton,RF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,48,230,958,-11.11,93.5%,1.33,2.15,9,12
80,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,Duke University,DUKE,730336256,Duke,BBC,R,R,57,245,943,-11.02,92.2%,1.33,1.02,8,6
81,1821258240,J. Thompson,J.T. Thompson,Thompson,J.T.,2B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,55,226,772,-11.01,91.7%,1.42,1.13,3,7
82,1232133376,W. Safford,Will Safford,Safford,Will,SS,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,54,199,734,-10.98,90.5%,1.42,2.64,11,15
83,1139894784,C. Garate,Carter Garate,Garate,Carter,3B,University of Oregon,ORE,4807,Oregon,BBC,L,R,58,227,867,-10.98,93.3%,1.42,1.94,1,11
84,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,52,228,942,-10.95,93.8%,1.41,1.67,2,9
85,1201258496,C. Misch,Connor Misch,Misch,Connor,1B,Xavier University,XAV,5464,Xavier,BBC,R,L,59,264,1014,-10.87,93.9%,1.35,2.56,15,12
86,1317505536,T. Elliott,Travis Elliott,Elliott,Travis,2B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,56,247,921,-10.84,94.3%,1.29,0.77,8,15
87,1086062848,J. Collura,Jaden Collura,Collura,Jaden,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,49,209,816,-10.81,89.1%,1.39,1.80,6,7
88,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,50,233,862,-10.75,91.7%,1.38,1.62,4,5
89,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,56,241,935,-10.70,90.8%,1.38,2.38,5,10
90,1196790784,G. Gallaher,Gavin Gallaher,Gallaher,Gavin,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,281,1060,-10.70,93.2%,1.31,1.80,5,7
91,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,294,1100,-10.68,91.9%,1.27,2.26,8,14
92,1162433792,O. McElfatrick,Owen McElfatrick,McElfatrick,Owen,3B,Northwestern University,NW,730247680,Northwestern,BBC,R,R,51,229,894,-10.66,93.6%,1.28,0.93,4,10
93,1170584832,E. Vogelsong,Elijah Vogelsong,Vogelsong,Elijah,LF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,59,251,1024,-10.57,94.5%,1.36,1.65,12,18
94,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,1052,-10.53,92.5%,1.25,3.21,10,13
95,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,56,239,1070,-10.43,95.2%,1.24,1.51,12,21
96,1278171392,J. Purify,Jarren Purify,Purify,Jarren,2B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,57,264,997,-10.40,94.9%,1.22,1.45,8,11
97,1330527744,B. Watson,Ben Watson,Watson,Ben,LF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,54,241,870,-10.40,93.2%,1.34,1.30,5,5
98,1153715200,J. Jarrell,Jacob Jarrell,Jarrell,Jacob,C,Clemson University,CLEM,730358784,Clemson,BBC,R,R,59,245,980,-10.35,93.5%,1.25,1.70,3,10
99,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,50,197,769,-10.31,91.1%,1.21,1.45,11,16
100,1190295297,K. Aloy,Kuhio Aloy,Aloy,Kuhio,INF/OF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,61,280,1119,-10.26,94.7%,1.21,1.80,8,8
101,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,65,292,1249,-10.26,94.0%,1.32,2.65,6,10
102,1264072192,M. Echazarreta,Miggy Echazarreta,Echazarreta,Miggy,RF,High Point University,HP,730321152,High Point,BBC,L,R,53,254,1109,-10.26,95.6%,1.32,1.77,9,11
103,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,42,180,647,-10.22,91.5%,1.25,2.03,6,10
