Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
532,1192075994,T. Kamerer,Tyler Kamerer,Kamerer,Tyler,2B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,250,849,-1.96,98.4%,0.24,-0.34,13,7
533,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,54,213,689,-1.95,92.5%,0.22,0.14,1,1
534,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,55,217,785,-1.94,97.5%,0.24,0.61,8,5
535,1324325632,J. Donohoe,Jesse Donohoe,Donohoe,Jesse,3B,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,56,263,1070,-1.94,98.9%,0.25,0.30,24,19
536,1297514496,J. Rinehart,Jace Rinehart,Rinehart,Jace,LF,West Virginia University,WVU,5327,West Virginia,BBC,R,R,57,221,793,-1.91,98.2%,0.25,0.25,7,9
537,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,61,269,1012,-1.91,97.5%,0.25,0.71,4,4
538,1325899776,T. Emerich,Thomas Emerich,Emerich,Thomas,1B,Indiana State University,INST,730350080,Indiana State,BBC,R,R,46,189,641,-1.89,98.4%,0.22,0.62,3,7
539,1802425630,J. Taylor,Jordan Taylor,Taylor,Jordan,LF,Stetson University,STET,730261504,Stetson,BBC,R,R,63,262,879,-1.89,97.8%,0.22,0.24,5,4
540,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,64,282,1089,-1.88,98.9%,0.24,0.71,15,11
541,1306794496,C. Prout,Cole Prout,Prout,Cole,RF,Central Michigan University,CMU,5342,Central Michigan,BBC,L,L,54,236,849,-1.87,97.9%,0.24,-0.40,10,7
542,1163965026,D. Reynolds,Drew Reynolds,Reynolds,Drew,1B,University of Maine,ME,730275840,Maine,BBC,L,R,46,206,776,-1.86,96.9%,0.24,0.28,7,2
543,1200125184,N. Hayes,Nyan Hayes,Hayes,Nyan,SS,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,53,266,790,-1.84,88.4%,0.22,0.39,0,1
544,1989400191,J. Hotchkiss,Jackson Hotchkiss,Hotchkiss,Jackson,RF,University of Washington,WASH,3110,Washington,BBC,R,R,51,199,810,-1.84,98.6%,0.22,-0.71,9,10
545,1088450304,D. Pedanou,David Pedanou,Pedanou,David,CF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,47,180,665,-1.83,98.2%,0.18,-0.14,4,6
546,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,50,229,941,-1.83,98.9%,0.22,-0.27,4,4
547,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,51,232,854,-1.82,95.6%,0.21,0.98,4,5
548,1275112448,P. Moutzouridis,PJ Moutzouridis,Moutzouridis,PJ,SS,University of California,CAL,730152448,California,BBC,R,R,55,238,829,-1.82,98.6%,0.22,-0.49,5,12
549,1292066560,E. Petry,Ethan Petry,Petry,Ethan,RF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,44,190,711,-1.82,97.9%,0.20,0.87,7,5
550,1142070272,R. Lavey,Robbie Lavey,Lavey,Robbie,C,George Washington University,GW,730249216,George Washington,BBC,L,R,48,218,791,-1.82,97.9%,0.23,-0.57,11,10
551,1301451265,L. Haskell,Logan Haskell,Haskell,Logan,LF,Binghamton University,BING,730155776,Binghamton,BBC,R,R,47,202,826,-1.81,98.7%,0.21,0.10,5,9
552,1172733844,A. Richter,Alex Richter,Richter,Alex,3B,Ball State University,BALL,730195456,Ball State,BBC,L,R,58,271,1044,-1.81,97.0%,0.24,1.08,2,5
553,1278156800,C. Wildman,Caden Wildman,Wildman,Caden,RF,Cornell University,COR,730298624,Cornell,BBC,R,R,31,142,523,-1.79,97.8%,0.20,-0.14,5,6
554,1310814464,N. Alderfer,Nick Alderfer,Alderfer,Nick,3B,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,53,227,852,-1.77,96.3%,0.20,-0.16,3,3
555,1174744576,B. Forrester,Brandon Forrester,Forrester,Brandon,3B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,S,R,53,255,969,-1.76,98.8%,0.23,0.81,10,11
556,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,44,189,688,-1.75,92.9%,0.23,-0.18,2,3
557,1143055104,H. Moore,Hayden Moore,Moore,Hayden,CF,Saint Louis University,SLU,2291,St. Louis,BBC,S,R,52,234,841,-1.74,97.4%,0.22,0.31,11,8
558,1132706560,V. Valincius,Vytas Valincius,Valincius,Vytas,LF,University of Illinois,ILL,730163456,Illinois,BBC,R,R,53,242,901,-1.74,98.7%,0.21,1.04,16,12
559,1085407744,J. Goodman,Jack Goodman,Goodman,Jack,SS,Northeastern University,NE,343,Northeastern,BBC,R,R,53,234,874,-1.73,97.4%,0.19,0.36,3,4
560,1081058304,J. Frias,JC Frias,Frias,Jc,2B,Iona College,IONA,730242048,Iona,BBC,R,R,47,226,779,-1.73,89.7%,0.20,0.37,0,2
561,1148937216,V. Mauro,Vincent Mauro,Mauro,Vincent,3B,Niagara University,NIAG,730156544,Niagara,BBC,R,R,46,197,606,-1.72,93.0%,0.20,-0.14,4,3
562,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,51,206,811,-1.72,98.7%,0.19,0.62,6,3
563,1100790016,M. Gillespie,Mac Gillespie,Gillespie,Mac,CF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,55,228,844,-1.69,98.7%,0.19,0.63,8,3
564,1263905536,D. Calabrese,Daniel Calabrese,Calabrese,Daniel,CF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,48,217,695,-1.67,91.5%,0.19,0.21,0,1
565,1123959166,D. Garcia,Damien Garcia,Garcia,Damien,1B,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,47,189,580,-1.66,90.0%,0.22,0.33,1,1
566,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,51,209,845,-1.66,98.8%,0.21,0.10,8,7
567,1162512128,T. Lyssy,Thomas Lyssy,Lyssy,Thomas,3B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,48,215,691,-1.65,90.1%,0.21,0.32,1,2
568,1139923456,A. Francis,Austin Francis,Francis,Austin,2B,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,52,229,840,-1.64,96.9%,0.20,0.07,1,7
569,1281731072,P. Coley,Parker Coley,Coley,Parker,RF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,44,174,706,-1.64,98.0%,0.19,0.55,3,3
570,1382478906,G. Petrucelli,Gabe Petrucelli,Petrucelli,Gabe,2B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,242,908,-1.63,95.8%,0.21,0.18,3,4
571,1218556160,J. Radcliffe,Jacoby Radcliffe,Radcliffe,Jacoby,CF,Southern University,SOU,4767,Southern,BBC,L,R,45,179,652,-1.63,89.6%,0.21,0.32,1,3
572,1269593088,A. Cordeiro,Antonio Cordeiro,Cordeiro,Antonio,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,43,156,595,-1.62,95.0%,0.18,1.34,3,3
573,1209232640,R. Hernandez,Ryder Hernandez,Hernandez,Ryder,SS,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,48,202,764,-1.58,93.0%,0.20,0.47,1,1
574,1281476864,A. Redahan,Aidan Redahan,Redahan,Aidan,1B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,48,234,815,-1.56,90.6%,0.20,0.20,0,1
575,1885848610,N. Negre,Nathan Negre,Negre,Nathan,SS,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,52,243,847,-1.56,95.5%,0.17,0.04,3,5
576,1310312448,A. Cohall,Aidan Cohall,Cohall,Aidan,LF,Stonehill College,SC,730238464,Stonehill,BBC,L,R,46,207,699,-1.55,94.8%,0.20,-0.26,3,2
577,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,48,185,811,-1.55,99.0%,0.18,1.58,10,13
578,1125632993,A. Groeneveld,AJ Groeneveld,Groeneveld,AJ,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,50,190,751,-1.54,98.3%,0.20,0.18,8,8
579,1239325952,R. Drumm,Ryan Drumm,Drumm,Ryan,LF,Butler University,BUT,730283520,Butler,BBC,R,R,54,221,827,-1.53,98.1%,0.19,-0.53,5,3
580,1230501376,T. Epstein,Tyler Epstein,Epstein,Tyler,SS,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,51,197,803,-1.51,98.5%,0.18,0.33,8,4
581,1207467008,B. Stanley,Brett Stanley,Stanley,Brett,LF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,53,261,917,-1.50,98.4%,0.18,0.62,8,6
582,1141524224,M. Henning,Mark Henning,Henning,Mark,1B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,R,45,203,673,-1.49,94.6%,0.19,0.11,0,1
583,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,48,228,800,-1.49,96.2%,0.16,0.00,3,5
584,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,272,1085,-1.48,98.2%,0.16,-0.27,7,7
585,1332977408,D. Mihos,Dean Mihos,Mihos,Dean,CF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,52,225,789,-1.48,99.0%,0.19,0.14,7,4
586,1912513890,D. Wouters,Dyrenson Wouters,Wouters,Dyrenson,SS,University of Dayton,DAY,730194688,Dayton,BBC,R,R,46,188,664,-1.47,97.6%,0.20,0.25,5,6
587,1162563328,G. Zuccaro,Giano Zuccaro,Zuccaro,Giano,LF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,43,184,734,-1.47,98.6%,0.19,-0.10,6,6
588,1233282048,J. Steidl,Josh Steidl,Steidl,Josh,1B,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,54,240,970,-1.47,97.5%,0.19,0.53,5,6
589,1184439808,E. Lambros,Elijah Lambros,Lambros,Elijah,CF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,55,236,858,-1.47,99.0%,0.20,-0.33,11,7
590,1028639305,A. Espaillat,Alex Espaillat,Espaillat,Alex,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,45,214,710,-1.47,96.6%,0.18,0.08,5,4
591,1263381248,C. Caruso,Cole Caruso,Caruso,Cole,3B,University of Michigan,MICH,2290,Michigan,BBC,R,R,56,230,815,-1.44,98.8%,0.20,0.67,8,5
592,1196300536,R. Lordier,Ryan Lordier,Lordier,Ryan,2B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,47,192,625,-1.44,95.9%,0.17,0.56,2,0
593,1369787182,G. Arnold,Garrett Arnold,Arnold,Garrett,C,Ball State University,BALL,730195456,Ball State,BBC,R,R,49,182,665,-1.44,97.0%,0.19,0.26,4,4
594,1164160512,J. Mendez,Jonathan Mendez,Mendez,Jonathan,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,54,250,953,-1.43,99.0%,0.19,0.66,10,9
595,1237826816,J. Milto,Joey Milto,Milto,Joey,RF,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,55,216,871,-1.42,97.6%,0.18,0.58,5,3
596,1156682240,J. McCladdie,Jordan McCladdie,McCladdie,Jordan,CF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,51,243,807,-1.42,91.3%,0.18,0.53,1,1
597,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,50,201,754,-1.41,98.8%,0.17,0.16,6,7
598,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,280,1184,-1.38,99.3%,0.15,-0.17,15,10
599,1472559528,C. Ramirez,Chris Ramirez,Ramirez,Chris,SS,California Baptist University,CBU,5091,California Baptist,BBC,R,R,57,241,929,-1.38,99.0%,0.17,1.30,9,9
600,1176353025,M. Maloney,Michael Maloney,Maloney,Mike,SS,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,44,199,746,-1.38,97.8%,0.18,0.73,2,4
601,1207756288,B. Buzzeo,Blake Buzzeo,Buzzeo,Blake,2B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,246,869,-1.37,98.6%,0.15,0.78,11,13
602,1280063232,R. Willbanks,Reed Willbanks,Willbanks,Reed,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,212,837,-1.37,96.2%,0.16,0.08,5,4
603,1076858579,K. Phillips,Kelton Phillips,Phillips,Kelton,CF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,49,193,563,-1.35,94.9%,0.17,-0.06,1,4
604,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,300,1144,-1.34,99.2%,0.18,-0.15,13,11
605,1297499392,K. Grady,Keaton Grady,Grady,Keaton,2B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,S,R,47,206,686,-1.34,98.8%,0.18,-0.71,7,9
606,1097455104,G. Anderson,Garner Anderson,Anderson,Garner,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,41,183,677,-1.33,91.3%,0.16,0.24,1,1
607,1287364608,D. Berkland,Drew Berkland,Berkland,Drew,LF,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,52,240,956,-1.32,99.0%,0.17,1.44,7,6
608,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,52,219,800,-1.31,98.9%,0.14,0.79,4,5
609,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,1051,-1.29,99.0%,0.15,0.70,8,11
610,1229569280,T. Cruz,Trey Cruz,Cruz,Trey,LF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,43,167,567,-1.29,93.7%,0.17,0.22,2,0
611,1268046592,K. Schuessler,Kimble Schuessler,Schuessler,Kimble,1B,University of Texas,TEX,245,Texas,BBC,R,R,58,260,972,-1.28,99.4%,0.17,0.58,11,10
612,1245154816,D. Pendergrass,Dariyan Pendergrass,Pendergrass,Dariyan,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,59,272,959,-1.28,99.1%,0.16,-0.09,7,9
613,1257493248,J. Castagnola,James Castagnola,Castagnola,James,1B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,49,199,782,-1.25,98.5%,0.14,0.01,5,5
614,1310321408,N. Sorensen,Noah Sorensen,Sorensen,Noah,2B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,57,259,863,-1.24,98.5%,0.16,0.68,7,7
615,1336206080,B. Szako,Brody Szako,Szako,Brody,RF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,42,191,757,-1.24,98.1%,0.16,0.46,7,5
616,1311218432,B. Jones,Brendan Jones,Jones,Brendan,2B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,49,200,884,-1.23,98.8%,0.16,-0.31,5,6
617,1227126016,A. Sullivan,Adam Sullivan,Sullivan,Adam,1B,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,R,39,168,612,-1.23,89.0%,0.16,0.77,3,1
618,1085384448,K. Neri,Kyle Neri,Neri,Kyle,LF,Rider University,RID,730174976,Rider,BBC,R,R,52,251,856,-1.23,97.2%,0.14,0.40,5,5
619,1207751680,A. Champagne,Alex Champagne,Champagne,Alex,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,53,247,921,-1.22,99.1%,0.16,0.22,11,7
620,1342170748,A. Carson,Ansel Carson,Carson,Ansel,SS,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,S,R,47,220,646,-1.22,94.7%,0.15,0.56,4,3
621,1100075008,A. Fernandes,Alex Fernandes,Fernandes,Alex,RF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,59,257,1049,-1.21,98.2%,0.15,0.62,5,5
622,1304683776,J. Beverly,Jack Beverly,Beverly,Jack,3B,University of Massachusetts,MASS,5451,UMass,BBC,R,R,47,213,875,-1.20,97.7%,0.14,0.61,0,3
623,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,54,252,940,-1.19,98.9%,0.15,-0.45,9,5
624,1258113024,S. McNulty,Sam McNulty,McNulty,Sam,SS,Boston College,BC,227,Boston College,BBC,R,R,57,225,810,-1.19,99.1%,0.14,0.29,5,7
625,1123497984,J. Holder,Jaxon Holder,Holder,Jaxon,SS,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,51,203,739,-1.15,97.4%,0.15,0.61,2,4
626,1201266944,L. Scales,Luke Scales,Scales,Luke,3B,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,54,234,883,-1.14,98.7%,0.16,0.03,9,7
627,1267007232,C. Charpiot,Connor Charpiot,Charpiot,Connor,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,51,220,843,-1.14,98.8%,0.13,0.19,4,5
628,1324444929,K. Halligan,Katcher Halligan,Halligan,Katcher,1B,Houston Christian University,HCU,730157824,Houston Christian,BBC,L,L,57,246,803,-1.14,97.2%,0.15,0.43,3,1
629,1818558744,J. De Anda,Jimmy De Anda,De Anda,Jimmy,LF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,50,219,780,-1.13,99.0%,0.13,0.94,9,11
630,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,205,775,-1.13,98.5%,0.14,-0.08,4,3
631,1220401408,W. MacLean,Will MacLean,MacLean,Will,1B,Creighton University,CREI,730243840,Creighton,BBC,L,L,56,244,942,-1.12,99.1%,0.14,1.15,14,10
632,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,277,1076,-1.10,99.1%,0.13,0.75,6,5
633,1496120561,W. Kane-Yates,Wailele Kane-Yates,Kane-Yates,Wailele,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,57,254,963,-1.09,98.8%,0.13,0.24,11,9
634,1508248254,K. Brookins,Kendall Brookins,Brookins,Kendall,CF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,L,39,153,351,-1.07,0.0%,0.14,0.15,0,0
635,1162078209,C. Williams,Cooper Williams,Williams,Cooper,2B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,46,197,714,-1.07,98.6%,0.14,0.53,7,3
636,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,298,1087,-1.06,99.1%,0.15,-0.30,12,9
637,1325151488,N. Milk,Nate Milk,Milk,Nate,RF,Niagara University,NIAG,730156544,Niagara,BBC,R,R,46,209,729,-1.06,95.4%,0.12,0.48,1,1
638,1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,51,228,877,-1.06,99.1%,0.15,0.58,11,6
639,1197618176,L. Stulga,Luke Stulga,Stulga,Luke,CF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,55,221,761,-1.05,98.0%,0.11,0.24,3,4
640,1566704340,A. Duda,Aidan Duda,Duda,Aidan,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,44,190,788,-1.04,98.9%,0.14,0.76,13,7
641,1157546753,C. Karczewski,Camden Karczewski,Karczewski,Camden,SS,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,47,213,786,-1.03,98.4%,0.13,0.08,5,6
642,1327587072,C. Rush,Christian Rush,Rush,Christian,RF,College of William & Mary,WM,730232064,William & Mary,BBC,R,L,56,255,996,-1.02,99.3%,0.12,0.25,9,6
643,1297584896,J. Mayo,Jackson Mayo,Mayo,Jackson,LF,University of South Florida,USF,2292,South Florida,BBC,L,L,55,226,858,-1.00,99.1%,0.13,1.57,6,5
644,1207744768,B. Holt,Brennan Holt,Holt,Brennan,CF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,45,208,896,-0.99,99.4%,0.13,0.27,16,14
645,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,293,1055,-0.98,99.3%,0.16,-0.15,7,9
646,1036457178,J. Smith,John Smith,Smith,John,RF,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,49,227,838,-0.98,99.4%,0.16,0.50,10,6
647,1257423872,P. Goff,Parker Goff,Goff,Parker,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,45,183,780,-0.97,99.4%,0.12,0.95,11,9
648,1142656000,L. Ismalli,Lucas Ismalli,Ismalli,Lucas,1B,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,47,209,818,-0.96,99.4%,0.12,2.98,15,16
649,1197351680,J. Jones,Jalan Jones,Jones,Jalan,LF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,197,511,-0.96,90.4%,0.11,0.17,0,0
650,1299946496,M. Jackson,Miles Jackson,Jackson,Miles,LF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,174,460,-0.94,92.7%,0.11,0.47,0,0
651,1100792832,J. Lucky,Jaylon Lucky,Lucky,Jaylon,LF,Southern University,SOU,4767,Southern,BBC,R,R,40,164,545,-0.94,81.0%,0.12,0.27,0,1
652,1143114496,C. Stanfield,Chris Stanfield,Stanfield,Chris,CF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,67,255,1057,-0.94,99.6%,0.10,0.89,9,7
653,1158452736,M. Miceli,Matt Miceli,Miceli,Matt,SS,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,52,200,716,-0.94,98.4%,0.12,0.68,2,2
654,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,56,269,1086,-0.93,98.7%,0.11,0.38,4,2
655,1320627456,J. Hall,Jude Hall,Hall,Jude,CF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,48,174,678,-0.93,98.9%,0.12,0.68,6,2
656,1916828654,C. Juchno,Chris Juchno,Juchno,Chris,RF,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,R,52,246,981,-0.92,95.8%,0.12,0.77,3,2
657,1309347584,P. Berstein,Philip Berstein,Berstein,Philip,RF,University of Richmond,RICH,730171904,Richmond,BBC,L,R,43,198,783,-0.92,99.3%,0.12,0.24,11,7
658,1310742272,B. Kuriger,Brayden Kuriger,Kuriger,Brayden,CF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,50,213,789,-0.92,98.2%,0.11,0.32,3,1
659,1196824064,C. Gallegos,Chase Gallegos,Gallegos,Chase,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,48,175,707,-0.92,99.2%,0.12,0.41,12,9
660,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,250,1134,-0.92,99.3%,0.12,1.49,10,9
661,1334587904,T. Smith,Tyler Smith,Smith,Tyler,1B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,42,154,528,-0.91,91.7%,0.12,0.43,0,0
662,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,54,232,866,-0.89,99.2%,0.11,0.93,8,7
663,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,63,307,1138,-0.89,99.3%,0.11,0.79,11,7
664,1294955264,Z. Yorke,Zach Yorke,Yorke,Zach,1B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,48,215,819,-0.88,98.8%,0.11,0.73,6,6
665,1142128384,C. Tufano,Cristino Tufano,Tufano,Cristino,SS,George Washington University,GW,730249216,George Washington,BBC,R,R,53,230,892,-0.88,99.4%,0.08,-0.16,12,10
666,1327605561,J. Jimenez,Julian Jimenez,Jimenez,Julian,CF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,43,192,589,-0.86,96.1%,0.11,0.31,4,1
667,1581848523,G. Lakins,Gunner Lakins,Lakins,Gunner,RF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,151,364,-0.85,0.0%,0.10,0.12,0,0
668,1090550016,T. DeClusin,Tyler DeClusin,DeClusin,Tyler,RF,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,39,151,399,-0.85,93.4%,0.10,0.12,0,1
669,1184596480,C. Vercollone,Conner Vercollone,Vercollone,Conner,RF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,47,206,831,-0.82,97.8%,0.10,-0.44,3,4
670,1077535470,T. Lucas,Trevor Lucas,Lucas,Trevor,3B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,58,272,1090,-0.80,99.5%,0.08,0.46,15,13
671,1336576512,T. Patty,Tyshon Patty,Patty,Tyshon,3B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,43,161,548,-0.80,95.5%,0.11,0.15,1,3
672,1263600384,A. Amato,Andrew Amato,Amato,Andrew,LF,University of Delaware,DEL,730203136,Delaware,BBC,L,R,53,253,1091,-0.80,99.5%,0.10,-0.38,7,10
673,1306866432,C. Duggar,Cashel Duggar,Duggar,Cashel,C,UCLA,UCLA,5048,UCLA,BBC,L,R,58,224,944,-0.79,99.6%,0.10,0.20,15,9
674,1307076624,J. Knox,Johnny Knox,Knox,Johnny,TWP,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,55,252,869,-0.76,98.7%,0.09,0.33,5,4
675,1336599040,J. Shields,Jonah Shields,Shields,Jonah,2B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,54,249,958,-0.76,98.8%,0.12,-0.34,4,5
676,1316043776,M. Matthews,Mateo Matthews,Matthews,Mateo,1B,Wagner College,WAG,730192640,Wagner,BBC,L,R,44,168,548,-0.76,92.2%,0.10,-0.15,1,1
677,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,182,523,-0.75,97.5%,0.08,-0.05,5,2
678,1699988554,D. Alana,Diego Alana,Alana,Diego,SS,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,51,207,801,-0.75,99.3%,0.10,-0.58,5,5
