Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
1,1184445440,C. Troyer,Camden Troyer,Troyer,Camden,TWP,Liberty University,LIB,730156288,Liberty,BBC,L,L,2,21,6,0.00,1.18,1.73,0.00,.000,.000,.000,.000,33.3%,0.0%,0.0%,.000,100.0%,.000,-
1,1303999232,J. Poris,Justin Poris,Poris,Justin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,1,30,8,0.00,5.18,6.84,0.50,.000,.250,.000,.250,12.5%,12.5%,0.0%,.000,100.0%,.178,100.0%
1,1203004928,M. Anderson,Matthew Anderson,Anderson,Matthew,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,1,3,1,0.00,3.18,6.51,0.00,.000,.000,.000,.000,0.0%,0.0%,0.0%,.000,100.0%,.000,-
1,1131016192,G. Constantine,Gavin Constantine,Constantine,Gavin,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,1,10,2,0.00,0.18,0.18,0.00,.000,.000,.000,.000,50.0%,0.0%,0.0%,.000,100.0%,.000,-
1,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,1,11,5,54.00,39.18,39.18,6.00,.000,.800,.000,.800,0.0%,40.0%,0.0%,.000,100.0%,.570,50.0%
1,1169064704,J. Gonzalez,Jeffrey Gonzalez,Gonzalez,Jeffrey,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,1,23,4,27.00,9.18,9.18,3.00,.000,.500,.000,.500,25.0%,50.0%,0.0%,.000,100.0%,.349,0.0%
1,1179293184,R. Crochet,Reese Crochet,Crochet,Reese,P,George Washington University,GW,730249216,George Washington,BBC,L,L,3,33,8,20.25,10.68,13.17,0.00,.000,.500,.000,.500,12.5%,0.0%,0.0%,.000,100.0%,.364,0.0%
1,1299386112,M. Westley,Matt Westley,Westley,Matt,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,L,1,25,5,0.00,13.68,15.34,4.50,.000,.600,.000,.600,20.0%,60.0%,0.0%,.000,100.0%,.418,100.0%
1,1334680320,C. Allen,Chase Allen,Allen,Chase,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,1,18,4,0.00,1.68,1.68,0.00,.000,.000,.000,.000,25.0%,0.0%,0.0%,.000,100.0%,.000,-
1,1307036416,D. Brooks,Devin Brooks,Brooks,Devin,P,Alabama State University,ALST,4765,Alabama State,BBC,R,R,1,15,3,0.00,12.18,12.18,3.00,.000,.667,.000,.667,0.0%,66.7%,0.0%,.000,100.0%,.465,100.0%
1,1093148160,T. Duffield,Trey Duffield,Duffield,Trey,RF,Rice University,RICE,2352,Rice,BBC,R,R,1,9,4,0.00,9.18,10.29,0.00,.000,.500,.000,.500,0.0%,0.0%,0.0%,.000,100.0%,.364,100.0%
1,1143005440,H. Estes,Hayden Estes,Estes,Hayden,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,1,12,3,0.00,-0.82,-0.82,0.00,.000,.000,.000,.000,66.7%,0.0%,0.0%,.000,100.0%,.000,-
1,1093143808,J. Bowerman,Josh Bowerman,Bowerman,Josh,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,1,10,2,0.00,-2.82,-2.82,0.00,.000,.000,.000,.000,50.0%,0.0%,0.0%,.000,0.0%,.000,-
1,1307046656,C. McCreery,Connor McCreery,McCreery,Connor,P,University of Texas,TEX,245,Texas,BBC,R,R,3,38,9,18.00,21.18,22.29,5.00,.000,.667,.000,.667,0.0%,55.6%,0.0%,.000,100.0%,.468,33.3%
1,1330772992,D. Joyce,Dylan Joyce,Joyce,Dylan,1B,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,1,11,3,0.00,1.18,2.29,0.00,.000,.000,.000,.000,33.3%,0.0%,0.0%,.000,100.0%,.000,-
1,1254719744,A. Rucci,Andrew Rucci,Rucci,Andrew,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,2,32,6,135.00,48.18,48.18,12.00,.000,.833,.000,.833,0.0%,66.7%,0.0%,.000,100.0%,.586,0.0%
1,1114186496,B. Mackey,Brayden Mackey,Mackey,Brayden,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,1,18,4,27.00,30.18,30.18,9.00,.000,.750,.000,.750,0.0%,75.0%,0.0%,.000,100.0%,.523,66.7%
