Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,PMenOn,P/PKAtt,PitcherPKAtt,PitcherPK,PitcherPKErr,P1B,P/PK1Att,PK1Att,PK1,PK1Err,P2B,P/PK2Att,PK2Att,PK2,PK2Err,P3B,P/PK3Att,PK3Att,PK3,PK3Err
66,1084230912,L. Santerre,Lance Santerre,Santerre,Lance,P,University of San Francisco,SF,730365696,San Francisco,BBC,L,L,443,4.8,93,3,2,315,4.0,79,3,1,214,16.5,13,0,1,107,107.0,1,0,0
66,1320920832,J. Volini,Joey Volini,Volini,Joey,P,Florida State University,FSU,101,Florida State,BBC,L,L,617,11.6,53,3,1,410,9.5,43,3,0,255,36.4,7,0,1,166,55.3,3,0,0
66,1136097280,A. Stanley,Andrew Stanley,Stanley,Andrew,P,The Citadel,CIT,730366720,The Citadel,BBC,R,R,527,6.0,88,3,2,377,4.7,81,2,2,250,35.7,7,1,0,126,-,0,0,0
66,1310349568,H. Bodendorf,Harrison Bodendorf,Bodendorf,Harrison,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,L,643,4.9,131,3,0,455,3.8,121,2,0,270,24.5,11,1,0,127,-,0,0,0
66,1332852737,D. Revis,Dustin Revis,Revis,Dustin,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,594,18.6,32,3,0,392,13.5,29,3,0,243,81.0,3,0,0,163,-,0,0,0
66,1245816064,M. Grogan,Mychal Grogan,Grogan,Mychal,P,Wright State University,WRST,5390,Wright State,BBC,R,R,426,9.3,46,3,1,272,9.7,28,0,0,242,13.4,18,3,1,96,-,0,0,0
66,1227038720,E. Brown,Eli Brown,Brown,Eli,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,L,464,12.9,36,3,2,296,9.0,33,3,2,209,209.0,1,0,0,100,50.0,2,0,0
66,1198512384,J. Wells,Jackson Wells,Wells,Jackson,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,707,5.9,119,3,1,413,5.4,76,1,0,346,7.9,44,3,1,186,-,0,0,0
66,1239591168,T. Kapraun,Tyler Kapraun,Kapraun,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,L,464,13.3,35,3,0,351,10.6,33,3,0,223,111.5,2,0,0,147,-,0,0,0
66,1214629632,W. Hartley,Wiley Hartley,Hartley,Wiley,P,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,274,8.1,34,3,1,220,6.9,32,2,0,89,89.0,1,0,1,45,45.0,1,1,0
66,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,562,8.6,65,3,1,361,6.3,57,3,0,245,30.6,8,0,1,115,-,0,0,0
66,1099197184,J. Lanzer,Jake Lanzer,Lanzer,Jake,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,432,12.3,35,3,2,274,8.8,31,3,2,215,53.8,4,0,0,171,-,0,0,0
66,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,618,10.1,61,3,2,484,11.0,44,3,2,293,17.2,17,0,0,127,-,0,0,0
66,1162040064,W. Bunch,Wyatt Bunch,Bunch,Wyatt,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,396,18.9,21,3,1,282,14.1,20,2,1,238,119.0,2,2,0,146,-,0,0,0
66,1294976512,J. Thompson,JD Thompson,Thompson,JD,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,L,599,7.0,86,3,0,445,6.6,67,3,0,272,14.3,19,0,0,94,-,0,0,0
66,1203581440,S. Ulrich,Sloan Ulrich,Ulrich,Sloan,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,L,407,13.1,31,3,0,271,9.0,30,3,0,234,234.0,1,0,0,191,-,0,0,0
66,1153720064,R. Marcotte,Riley Marcotte,Marcotte,Riley,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,358,14.9,24,3,0,249,12.4,20,1,0,161,40.3,4,2,0,96,-,0,0,0
66,1218298624,H. Pidek,Hunter Pidek,Pidek,Hunter,P,Oakland University,OAK,5386,Oakland,BBC,R,R,578,6.1,95,3,1,387,4.4,88,2,1,249,49.8,5,1,0,108,54.0,2,0,0
66,1282555136,P. Gardner,Patrick Gardner,Gardner,Patrick,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,536,9.2,58,3,1,378,7.1,53,3,1,232,58.0,4,0,0,158,158.0,1,0,0
66,1294172672,B. Magovern,Ben Magovern,Magovern,Ben,P,Bucknell University,BUCK,730214144,Bucknell,BBC,L,L,425,12.9,33,3,0,328,10.3,32,3,0,215,215.0,1,0,0,72,-,0,0,0
66,1557366128,A. Cabrera,AC Cabrera,Cabrera,AC,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,167,9.8,17,3,0,129,12.9,10,2,0,111,22.2,5,1,0,71,35.5,2,0,0
66,1909941695,O. Pudvar,Oliver Pudvar,Pudvar,Oliver,P,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,553,9.7,57,3,0,421,7.5,56,3,0,248,248.0,1,0,0,91,-,0,0,0
66,1906680149,B. Bailey,B.J. Bailey,Bailey,B.J.,P,Clemson University,CLEM,730358784,Clemson,BBC,L,L,440,18.3,24,3,1,301,16.7,18,2,0,202,40.4,5,0,1,109,109.0,1,1,0
66,1973599330,E. Lehrman,Eli Lehrman,Lehrman,Eli,P,Bradley University,BRAD,730253312,Bradley,BBC,L,L,379,10.5,36,3,1,247,7.7,32,3,1,221,55.3,4,0,0,75,-,0,0,0
66,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,470,29.4,16,3,0,253,15.8,16,3,0,286,-,0,0,0,202,-,0,0,0
66,1568921580,B. Cassedy,Brandon Cassedy,Cassedy,Brandon,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,547,7.7,71,3,0,401,6.6,61,2,0,252,25.2,10,1,0,64,-,0,0,0
66,1473506994,G. Kirn,Griffin Kirn,Kirn,Griffin,P,West Virginia University,WVU,5327,West Virginia,BBC,L,L,615,4.7,130,3,2,433,3.7,117,2,1,250,20.8,12,1,1,131,131.0,1,0,0
66,1738764358,L. Mack,Landon Mack,Mack,Landon,P,Rutgers University,RUTG,730229248,Rutgers,BBC,S,R,467,8.8,53,3,2,303,7.8,39,1,1,198,14.1,14,2,1,110,-,0,0,0
66,1261138697,G. Sentell,Gavin Sentell,Sentell,Gavin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,418,11.9,35,3,0,224,9.0,25,0,0,208,23.1,9,3,0,118,118.0,1,0,0
66,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,451,15.0,30,3,2,251,8.4,30,3,2,222,-,0,0,0,162,-,0,0,0
66,1968465871,B. Dolce,Bryce Dolce,Dolce,Bryce,P,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,296,17.4,17,3,0,198,13.2,15,2,0,158,158.0,1,1,0,140,140.0,1,0,0
66,1637471130,L. Miller,Logan Miller,Miller,Logan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,262,11.9,22,3,2,154,8.6,18,1,1,150,37.5,4,2,1,84,-,0,0,0
66,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,347,12.4,28,3,1,228,10.4,22,1,1,183,61.0,3,1,0,88,29.3,3,1,0
