Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,PMenOn,P/PKAtt,PitcherPKAtt,PitcherPK,PitcherPKErr,P1B,P/PK1Att,PK1Att,PK1,PK1Err,P2B,P/PK2Att,PK2Att,PK2,PK2Err,P3B,P/PK3Att,PK3Att,PK3,PK3Err
467,1287363584,M. Phillips,Marcus Phillips,Phillips,Marcus,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,599,6.4,93,1,0,360,4.3,84,1,0,262,43.7,6,0,0,154,51.3,3,0,0
467,1153634816,J. Gannon,Jack Gannon,Gannon,Jack,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,216,27.0,8,1,1,159,26.5,6,0,1,144,72.0,2,1,0,63,-,0,0,0
467,1257441536,K. Montgomery,Kellan Montgomery,Montgomery,Kellan,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,597,10.9,55,1,1,449,9.4,48,1,0,218,36.3,6,0,0,89,89.0,1,0,1
467,1205768192,N. Williams,Nick Williams,Williams,Nick,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,L,86,28.7,3,1,1,46,23.0,2,1,1,58,58.0,1,0,0,22,-,0,0,0
467,1297350144,C. Banda,Cristien Banda,Banda,Cristien,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,L,228,10.9,21,1,0,153,9.6,16,0,0,115,28.8,4,1,0,50,50.0,1,0,0
467,1313090304,C. Nation,Connor Nation,Nation,Connor,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,321,12.3,26,1,0,199,7.7,26,1,0,166,-,0,0,0,78,-,0,0,0
467,1093169920,H. Andrews,Heath Andrews,Andrews,Heath,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,457,7.4,62,1,2,317,5.5,58,0,0,196,65.3,3,1,1,127,127.0,1,0,1
467,1162558464,W. Scott,Win Scott,Scott,Win,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,495,26.1,19,1,0,322,23.0,14,1,0,217,43.4,5,0,0,112,-,0,0,0
467,1201265664,J. West,Justin West,West,Justin,P,University of Louisville,LOU,5467,Louisville,BBC,R,L,393,6.0,66,1,1,281,5.2,54,1,1,199,16.6,12,0,0,133,-,0,0,0
467,1334299648,J. Lessman,Jared Lessman,Lessman,Jared,P,University of Louisville,LOU,5467,Louisville,BBC,L,L,113,10.3,11,1,1,96,10.7,9,0,0,55,55.0,1,1,0,32,32.0,1,0,1
467,1287322880,R. Fox,Rory Fox,Fox,Rory,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,479,7.3,66,1,1,362,6.4,57,0,1,219,24.3,9,1,0,102,-,0,0,0
467,1236991744,K. Anderson,Kade Anderson,Anderson,Kade,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,724,7.2,101,1,0,543,5.4,100,1,0,277,277.0,1,0,0,100,-,0,0,0
467,1268163584,D. Primeaux,DJ Primeaux,Primeaux,DJ,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,152,30.4,5,1,0,121,24.2,5,1,0,77,-,0,0,0,47,-,0,0,0
467,1262862080,C. Morgan,Chase Morgan,Morgan,Chase,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,503,12.6,40,1,0,335,9.3,36,1,0,270,90.0,3,0,0,159,159.0,1,0,0
467,1310603520,M. Holzhammer,Matthew Holzhammer,Holzhammer,Matthew,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,452,41.1,11,1,1,325,65.0,5,0,0,269,53.8,5,0,1,133,133.0,1,1,0
467,1311153664,A. Herrmann,Andrew Herrmann,Herrmann,Andrew,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,554,7.6,73,1,2,365,5.5,66,1,2,219,31.3,7,0,0,101,-,0,0,0
467,1085390592,D. Brown,Dylan Brown,Brown,Dylan,P,Old Dominion University,ODU,3090,Old Dominion,BBC,R,L,653,12.6,52,1,1,471,10.0,47,1,1,282,56.4,5,0,0,66,-,0,0,0
467,1297510400,S. Sheets,Seaver Sheets,Sheets,Seaver,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,R,140,14.0,10,1,0,98,9.8,10,1,0,88,-,0,0,0,47,-,0,0,0
467,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,615,28.0,22,1,0,370,19.5,19,0,0,295,98.3,3,1,0,168,-,0,0,0
467,1192453888,S. Spurgeon,Stevins Spurgeon,Spurgeon,Stevins,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,216,36.0,6,1,0,176,58.7,3,1,0,90,30.0,3,0,0,56,-,0,0,0
467,1167475456,J. Beezley,Josh Beezley,Beezley,Josh,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,316,17.6,18,1,0,219,18.3,12,1,0,210,30.0,7,1,0,95,-,0,0,0
467,1097969408,J. Nelson,Jack Nelson,Nelson,Jack,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,383,38.3,10,1,0,284,40.6,7,0,0,188,94.0,2,0,0,111,111.0,1,1,0
467,1163447040,L. Pikur,Logan Pikur,Pikur,Logan,P,Michigan State University,MSU,1551,Michigan State,BBC,R,R,313,19.6,16,1,0,230,16.4,14,0,0,156,78.0,2,1,0,75,-,0,0,0
467,1162067200,E. Sargent,Eddie Sargent,Sargent,Eddie,P,UMBC,UMBC,730210304,UMBC,BBC,L,L,397,18.9,21,1,0,278,13.2,21,1,0,177,-,0,0,0,67,-,0,0,0
467,1156597504,B. Stuprich,Brennan Stuprich,Stuprich,Brennan,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,535,9.2,58,1,2,364,6.5,56,1,2,205,102.5,2,0,0,135,-,0,0,0
467,1335215616,L. Willeman,Landon Willeman,Willeman,Landon,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,454,23.9,19,1,0,228,17.5,13,1,0,290,48.3,6,0,0,110,-,0,0,0
467,1183063552,C. Cassidy,Campbell Cassidy,Cassidy,Campbell,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,L,118,23.6,5,1,0,81,16.2,5,1,0,60,-,0,0,0,54,-,0,0,0
467,1195546112,B. Ryan,Brayden Ryan,Ryan,Brayden,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,298,7.5,40,1,0,206,6.1,34,1,0,157,31.4,5,0,0,90,90.0,1,0,0
467,1310369536,B. Peterson,Brandon Peterson,Peterson,Brandon,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,R,503,45.7,11,1,1,368,40.9,9,1,0,275,137.5,2,0,1,139,-,0,0,0
467,1142967552,J. DeCastro,Justin DeCastro,DeCastro,Justin,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,604,21.6,28,1,2,421,21.1,20,1,0,247,30.9,8,0,2,140,-,0,0,0
467,1085401856,C. Byers,Carson Byers,Byers,Carson,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,597,23.0,26,1,1,408,18.5,22,1,1,304,76.0,4,0,0,215,-,0,0,0
467,1198527488,J. Hanson,Jared Hanson,Hanson,Jared,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,422,9.4,45,1,0,283,7.1,40,1,0,162,32.4,5,0,0,91,-,0,0,0
467,1094690048,B. Crooms,Brian Crooms,Crooms,Brian,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,445,34.2,13,1,0,358,32.5,11,1,0,203,101.5,2,0,0,191,-,0,0,0
467,1248450560,P. Prince,Preston Prince,Prince,Preston,P,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,264,12.0,22,1,0,178,13.7,13,0,0,138,15.3,9,1,0,76,-,0,0,0
467,1317377792,G. Wheaton,Gage Wheaton,Wheaton,Gage,P,Niagara University,NIAG,730156544,Niagara,BBC,R,R,389,27.8,14,1,1,279,19.9,14,1,1,156,-,0,0,0,124,-,0,0,0
467,1129425152,N. Higgins,Nolan Higgins,Higgins,Nolan,P,Michigan State University,MSU,1551,Michigan State,BBC,R,R,495,19.0,26,1,1,394,18.8,21,1,0,190,38.0,5,0,1,173,-,0,0,0
467,1089026816,B. Lanham,Brody Lanham,Lanham,Brody,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,186,31.0,6,1,0,141,23.5,6,1,0,115,-,0,0,0,81,-,0,0,0
467,1099916800,M. Sargeant,Matt Sargeant,Sargeant,Matt,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,165,8.7,19,1,1,123,7.7,16,1,1,84,28.0,3,0,0,30,-,0,0,0
467,1084022272,K. Ligon,Karson Ligon,Ligon,Karson,P,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,476,9.0,53,1,1,337,6.9,49,1,1,209,52.3,4,0,0,86,-,0,0,0
467,1294040320,D. Benzinger,Derek Benzinger,Benzinger,Derek,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,345,11.1,31,1,0,218,8.7,25,1,0,195,32.5,6,0,0,106,-,0,0,0
467,1105311232,B. Bendik,Brady Bendik,Bendik,Brady,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,540,12.0,45,1,2,327,7.4,44,0,2,250,250.0,1,1,0,96,-,0,0,0
467,1192782592,D. Driessen,Dylan Driessen,Driessen,Dylan,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,453,41.2,11,1,1,321,32.1,10,1,1,229,229.0,1,0,0,166,-,0,0,0
467,1228796416,N. McCay,Nic McCay,McCay,Nic,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,506,10.5,48,1,1,396,9.2,43,1,1,220,44.0,5,0,0,103,-,0,0,0
467,1149010688,A. Peters,Arlen Peters,Peters,Arlen,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,378,11.5,33,1,1,218,8.7,25,0,1,177,22.1,8,1,0,162,-,0,0,0
467,1227145728,B. Gomez,Brandon Gomez,Gomez,Brandon,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,L,628,8.5,74,1,0,429,6.1,70,0,0,337,84.3,4,0,0,137,137.0,1,1,0
467,1162051840,K. Marton,Kurt Marton,Marton,Kurt,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,379,10.8,35,1,1,245,7.7,32,1,1,200,66.7,3,0,0,113,-,0,0,0
467,1198431232,J. Torres,Joshua Torres,Torres,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,418,9.7,43,1,2,261,8.4,31,1,2,247,20.6,12,0,0,131,-,0,0,0
467,1160908544,O. Serrano,Omar Serrano,Serrano,Omar,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,813,6.0,135,1,2,503,4.0,125,1,1,397,39.7,10,0,1,151,-,0,0,0
467,1179093504,D. Purser,Daxton Purser,Purser,Daxton,P,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,619,44.2,14,1,0,392,32.7,12,1,0,333,166.5,2,0,0,189,-,0,0,0
467,1314895104,B. Gorman,Brooks Gorman,Gorman,Brooks,P,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,237,59.3,4,1,0,138,46.0,3,1,0,156,156.0,1,0,0,92,-,0,0,0
467,1207747328,D. Druckenmiller,Drew Druckenmiller,Druckenmiller,Drew,P,Samford University,SAM,730386432,Samford,BBC,R,R,214,53.5,4,1,0,117,58.5,2,1,0,135,67.5,2,0,0,83,-,0,0,0
467,1191447040,J. Shineflew,Jaxon Shineflew,Shineflew,Jaxon,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,480,12.3,39,1,0,381,10.9,35,1,0,240,60.0,4,0,0,107,-,0,0,0
467,1310907904,M. Quevedo,Michael Quevedo,Quevedo,Michael,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,598,6.3,95,1,1,383,4.2,92,1,1,269,89.7,3,0,0,129,-,0,0,0
467,1332976640,M. Lombardi,Michael Lombardi,Lombardi,Michael,TWP,Tulane University,TULN,730354176,Tulane,BBC,R,R,305,33.9,9,1,0,199,24.9,8,1,0,158,-,0,0,0,95,95.0,1,0,0
467,1128123648,C. Collina,Christopher Collina,Collina,Christopher,P,Wagner College,WAG,730192640,Wagner,BBC,R,R,108,9.8,11,1,2,83,8.3,10,1,1,51,51.0,1,0,1,29,-,0,0,0
467,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,385,19.3,20,1,2,279,15.5,18,1,1,206,103.0,2,0,1,57,-,0,0,0
467,1281671425,R. Bertram,Reid Bertram,Bertram,Reid,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,L,497,24.9,20,1,0,325,19.1,17,1,0,233,77.7,3,0,0,133,-,0,0,0
467,1105370112,R. Jeske,Ryder Jeske,Jeske,Ryder,P,Towson University,TOWS,730318336,Towson,BBC,R,R,249,24.9,10,1,0,159,19.9,8,0,0,108,54.0,2,1,0,79,-,0,0,0
467,1118021376,H. Gibson,Hunter Gibson,Gibson,Hunter,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,140,23.3,6,1,0,95,15.8,6,1,0,43,-,0,0,0,34,-,0,0,0
467,1133005824,L. Moser,Logan Moser,Moser,Logan,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,273,18.2,15,1,1,163,11.6,14,1,1,120,120.0,1,0,0,128,-,0,0,0
467,1246346752,A. Karns,Alex Karns,Karns,Alex,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,136,7.2,19,1,0,95,5.3,18,1,0,51,51.0,1,0,0,33,-,0,0,0
467,1207792896,W. Ross,Will Ross,Ross,Will,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,441,22.1,20,1,0,324,17.1,19,1,0,184,184.0,1,0,0,66,-,0,0,0
467,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,687,27.5,25,1,0,457,18.3,25,1,0,314,-,0,0,0,220,-,0,0,0
467,1310788096,C. Bunch,Caleb Bunch,Bunch,Caleb,P,Baylor University,BAY,3033,Baylor,BBC,R,R,239,39.8,6,1,1,178,35.6,5,1,0,104,104.0,1,0,1,46,-,0,0,0
467,1157465088,D. Marionneaux,Dylan Marionneaux,Marionneaux,Dylan,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,501,16.2,31,1,1,360,13.3,27,0,1,284,71.0,4,1,0,155,-,0,0,0
467,1310408448,J. Vera,Jordan Vera,Vera,Jordan,P,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,348,11.2,31,1,0,264,8.8,30,1,0,189,189.0,1,0,0,121,-,0,0,0
467,1311027200,C. Okerholm,Christian Okerholm,Okerholm,Christian,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,233,25.9,9,1,0,202,25.3,8,1,0,97,97.0,1,0,0,41,-,0,0,0
467,1263577600,C. Carson,Chase Carson,Carson,Chase,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,L,367,11.5,32,1,2,273,8.8,31,1,2,186,186.0,1,0,0,75,-,0,0,0
467,1265076224,J. Taylor,Joseph Taylor,Taylor,Joseph,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,495,10.5,47,1,0,362,7.7,47,1,0,217,-,0,0,0,102,-,0,0,0
467,1196802304,C. Estridge,Carson Estridge,Estridge,Carson,P,West Virginia University,WVU,5327,West Virginia,BBC,L,R,435,12.4,35,1,0,334,17.6,19,0,0,206,12.9,16,1,0,136,-,0,0,0
467,1222811648,M. Lynch,Matt Lynch,Lynch,Matt,P,Towson University,TOWS,730318336,Towson,BBC,L,L,278,15.4,18,1,0,205,12.1,17,1,0,142,142.0,1,0,0,82,-,0,0,0
467,1127735808,T. Walton,Tai Walton,Walton,Tai,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,44,22.0,2,1,0,32,32.0,1,1,0,22,22.0,1,0,0,10,-,0,0,0
467,1098302464,J. Volo,Jack Volo,Volo,Jack,P,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,247,15.4,16,1,1,183,16.6,11,0,1,154,30.8,5,1,0,117,-,0,0,0
467,1207246336,H. Shaw,Hunter Shaw,Shaw,Hunter,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,L,315,15.0,21,1,1,219,12.9,17,1,0,177,44.3,4,0,1,87,-,0,0,0
467,1148031488,N. Williamson,Noah Williamson,Williamson,Noah,P,Wright State University,WRST,5390,Wright State,BBC,R,R,167,20.9,8,1,0,100,16.7,6,0,0,91,91.0,1,1,0,48,48.0,1,0,0
467,1194505216,D. Crooks,Dylan Crooks,Crooks,Dylan,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,263,26.3,10,1,0,177,19.7,9,1,0,149,149.0,1,0,0,101,-,0,0,0
467,1254770432,K. Ruthardt,Keaton Ruthardt,Ruthardt,Keaton,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,237,8.8,27,1,0,147,6.1,24,1,0,112,37.3,3,0,0,80,-,0,0,0
467,1100735744,D. Iverson,Drew Iverson,Iverson,Drew,P,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,141,23.5,6,1,0,81,13.5,6,1,0,85,-,0,0,0,45,-,0,0,0
467,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,672,19.8,34,1,2,459,13.9,33,1,2,264,264.0,1,0,0,201,-,0,0,0
467,1152937984,I. Umlandt,Ian Umlandt,Umlandt,Ian,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,469,12.7,37,1,1,358,10.8,33,0,0,219,54.8,4,1,1,112,-,0,0,0
467,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,371,14.3,26,1,0,225,9.4,24,1,0,180,90.0,2,0,0,103,-,0,0,0
467,1311168256,F. Ciccone,Frank Ciccone,Ciccone,Frank,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,610,6.3,97,1,2,362,4.8,75,0,1,274,13.7,20,1,1,113,56.5,2,0,0
467,1117541632,M. Boyer,Matt Boyer,Boyer,Matt,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,373,20.7,18,1,0,254,16.9,15,0,0,192,64.0,3,1,0,114,-,0,0,0
467,1162120448,J. Lee,Justin Lee,Lee,Justin,P,UCLA,UCLA,5048,UCLA,BBC,R,R,374,28.8,13,1,0,260,37.1,7,1,0,230,38.3,6,0,0,111,-,0,0,0
467,1187053824,C. Gaston,Carter Gaston,Gaston,Carter,P,University of Portland,PORT,730360320,Portland,BBC,R,R,499,8.0,62,1,0,297,5.1,58,1,0,266,66.5,4,0,0,145,-,0,0,0
467,1106677248,L. Gibson,Luke Gibson,Gibson,Luke,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,203,16.9,12,1,0,176,17.6,10,1,0,94,47.0,2,0,0,67,-,0,0,0
467,1263840256,Y. Saint,Yechiel Saint,Saint,Yechiel,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,S,R,189,31.5,6,1,2,123,24.6,5,1,2,107,107.0,1,0,0,55,-,0,0,0
467,1257161216,W. Holmes,Will Holmes,Holmes,Will,P,The Citadel,CIT,730366720,The Citadel,BBC,L,L,116,4.8,24,1,0,76,3.6,21,1,0,33,11.0,3,0,0,16,-,0,0,0
467,1099789056,H. Holcombe,Huxley Holcombe,Holcombe,Huxley,P,Cornell University,COR,730298624,Cornell,BBC,L,L,508,29.9,17,1,0,322,26.8,12,1,0,251,50.2,5,0,0,126,-,0,0,0
467,1105489664,S. Episcope,Sean Episcope,Episcope,Sean,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,78,4.1,19,1,1,65,3.4,19,1,1,30,-,0,0,0,11,-,0,0,0
467,1099764480,E. Storey,Easton Storey,Storey,Easton,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,365,14.6,25,1,0,285,11.4,25,1,0,167,-,0,0,0,128,-,0,0,0
467,1184585728,L. Jurecka,Landry Jurecka,Jurecka,Landry,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,595,19.8,30,1,0,335,12.9,26,1,0,331,110.3,3,0,0,177,177.0,1,0,0
467,1101042688,A. Jones,AJ Jones,Jones,AJ,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,279,19.9,14,1,0,188,14.5,13,1,0,162,162.0,1,0,0,86,-,0,0,0
467,1202393856,Z. Morris,Zach Morris,Morris,Zach,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,218,12.8,17,1,0,139,15.4,9,0,0,128,21.3,6,1,0,97,48.5,2,0,0
467,1269533184,J. Kopetski,Josh Kopetski,Kopetski,Josh,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,254,10.2,25,1,2,169,9.4,18,0,0,117,39.0,3,1,1,70,17.5,4,0,1
467,1162485504,J. Ben-Shoshan,Jack Ben-Shoshan,Ben-Shoshan,Jack,P,Rice University,RICE,2352,Rice,BBC,R,R,381,11.5,33,1,0,289,10.3,28,1,0,187,37.4,5,0,0,111,-,0,0,0
467,1309512704,K. Heney,Kellan Heney,Heney,Kellan,P,University of Richmond,RICH,730171904,Richmond,BBC,L,L,50,12.5,4,1,0,44,11.0,4,1,0,21,-,0,0,0,6,-,0,0,0
467,1284477697,J. Dorety,Jake Dorety,Dorety,Jake,P,Rider University,RID,730174976,Rider,BBC,R,R,313,28.5,11,1,0,208,69.3,3,1,0,158,22.6,7,0,0,96,96.0,1,0,0
467,1239205376,M. Van Alstine,Marcus Van Alstine,Van Alstine,Marcus,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,590,10.9,54,1,1,400,7.7,52,1,1,274,137.0,2,0,0,176,-,0,0,0
467,1278798592,A. Jones,Andrew Jones,Jones,Andrew,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,432,15.4,28,1,0,315,14.3,22,1,0,188,31.3,6,0,0,118,-,0,0,0
467,1190534400,B. Hawkins,Bryce Hawkins,Hawkins,Bryce,P,Mercer University,MER,730240512,Mercer,BBC,R,R,180,90.0,2,1,0,123,61.5,2,1,0,87,-,0,0,0,66,-,0,0,0
467,1160908288,C. Canada,Chris Canada,Canada,Chris,P,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,167,27.8,6,1,0,91,18.2,5,1,0,90,90.0,1,0,0,83,-,0,0,0
467,1279143680,C. Hebert,Curtis Hebert,Hebert,Curtis,TWP,University of Portland,PORT,730360320,Portland,BBC,R,R,463,11.0,42,1,1,310,7.6,41,1,0,220,220.0,1,0,1,118,-,0,0,0
467,1131534592,C. Canavan,Chris Canavan,Canavan,Chris,P,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,269,33.6,8,1,0,226,32.3,7,1,0,175,175.0,1,0,0,92,-,0,0,0
467,1136002048,J. Soberon,Joe Soberon,Soberon,Joe,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,501,11.4,44,1,1,341,10.0,34,1,0,242,24.2,10,0,1,143,-,0,0,0
467,1281264384,C. Minor,Chase Minor,Minor,Chase,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,331,13.2,25,1,0,164,6.8,24,1,0,203,-,0,0,0,83,83.0,1,0,0
467,1248707840,D. Eaquinto,Derik Eaquinto,Eaquinto,Derik,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,405,14.0,29,1,0,320,11.4,28,1,0,155,155.0,1,0,0,102,-,0,0,0
467,1085395712,E. Smink,Eddie Smink,Smink,Eddie,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,529,15.6,34,1,0,350,12.1,29,1,0,307,61.4,5,0,0,131,-,0,0,0
467,1085409024,N. Puglisi,Nolan Puglisi,Puglisi,Nolan,P,Siena College,SIE,730382592,Siena,BBC,R,R,244,40.7,6,1,0,170,28.3,6,1,0,134,-,0,0,0,82,-,0,0,0
467,1276463872,E. Saulys,Evan Saulys,Saulys,Evan,P,Siena College,SIE,730382592,Siena,BBC,R,R,187,187.0,1,1,0,89,-,0,0,0,109,109.0,1,1,0,65,-,0,0,0
467,1092684544,M. Heer,Mitchell Heer,Heer,Mitchell,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,348,6.4,54,1,2,241,4.5,54,1,2,124,-,0,0,0,82,-,0,0,0
467,1190370048,R. Orr,Riley Orr,Orr,Riley,P,Marist College,MRST,730374656,Marist,BBC,R,R,441,22.1,20,1,4,281,14.1,20,1,3,236,-,0,0,0,140,140.0,1,0,1
467,1238048768,J. Nailer,Jacobe Nailer,Nailer,Jacobe,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,206,9.4,22,1,0,109,12.1,9,1,0,141,11.8,12,0,0,80,80.0,1,0,0
467,1195629312,R. Kerstetter,Richie Kerstetter,Kerstetter,Richie,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,L,253,42.2,6,1,1,155,51.7,3,0,1,135,45.0,3,1,0,74,-,0,0,0
467,1103946240,D. Guevara Castro,Daniel Guevara Castro,Guevara Castro,Daniel,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,292,29.2,10,1,0,231,28.9,8,1,0,138,69.0,2,0,0,95,-,0,0,0
467,1263546624,D. Thomas,David Thomas,Thomas,David,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,555,32.6,17,1,1,398,36.2,11,0,0,234,39.0,6,1,1,110,-,0,0,0
467,1187056384,J. Damozonio,John Damozonio,Damozonio,John,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,496,35.4,14,1,0,363,27.9,13,1,0,252,252.0,1,0,0,184,-,0,0,0
467,1176068608,M. Grabmann,Matthew Grabmann,Grabmann,Matthew,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,395,12.3,32,1,0,255,8.0,32,1,0,185,-,0,0,0,155,-,0,0,0
467,1302032384,J. Weaver,Jacob Weaver,Weaver,Jacob,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,471,52.3,9,1,0,330,36.7,9,1,0,209,-,0,0,0,137,-,0,0,0
467,1330719488,M. Heyl,Matthew Heyl,Heyl,Matthew,P,Stetson University,STET,730261504,Stetson,BBC,L,L,287,28.7,10,1,2,196,24.5,8,1,1,168,84.0,2,0,1,99,-,0,0,0
467,1300201985,M. Holton,Mason Holton,Holton,Mason,TWP,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,87,10.9,8,1,0,61,7.6,8,1,0,26,-,0,0,0,10,-,0,0,0
467,1336570368,T. Pitzer,Tyler Pitzer,Pitzer,Tyler,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,346,28.8,12,1,0,260,23.6,11,1,0,203,203.0,1,0,0,107,-,0,0,0
467,1310590208,M. Heuer,Mac Heuer,Heuer,Mac,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,486,12.5,39,1,0,301,10.0,30,0,0,178,25.4,7,1,0,121,60.5,2,0,0
467,1152932096,W. Wiatrek,Wyatt Wiatrek,Wiatrek,Wyatt,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,276,8.4,33,1,0,219,7.3,30,0,0,103,34.3,3,1,0,36,-,0,0,0
