Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
316,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,54,462.0,223,152,150,1,1,0,1,0,.993,0
316,1139934976,E. Brown,Ely Brown,Brown,Ely,CF,Mercer University,MER,730240512,Mercer,BBC,L,L,60,526.1,247,152,146,5,1,0,1,0,.993,1
316,1273290496,L. Moran,Landon Moran,Moran,Landon,1B,Stetson University,STET,730261504,Stetson,BBC,L,L,56,484.0,108,456,421,32,3,0,3,0,.993,34
321,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,57,474.1,11,455,435,17,3,0,3,0,.993,0
322,1176069376,R. Villeneuve,Robin Villeneuve,Villeneuve,Robin,1B,Texas Tech University,TTU,2350,Texas Tech,BBC,R,L,51,432.2,106,453,414,36,3,1,2,0,.993,29
323,1548091457,J. Maddox,Jake Maddox,Maddox,Jake,1B,Belmont University,BEL,730190336,Belmont,BBC,L,R,43,329.1,61,301,280,19,2,1,2,0,.993,18
324,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,60,517.2,183,150,148,1,1,0,1,0,.993,1
324,1238039808,J. Cook,Jake Cook,Cook,Jake,CF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,58,501.2,211,150,148,1,1,0,1,0,.993,0
326,1226936064,T. Ganus,Tyler Ganus,Ganus,Tyler,1B,Northwestern University,NW,730247680,Northwestern,BBC,R,R,46,370.2,84,299,287,10,2,0,2,0,.993,25
327,1165732096,S. Parks,Sam Parks,Parks,Sam,CF,Stonehill College,SC,730238464,Stonehill,BBC,L,L,52,420.0,231,149,147,1,1,0,1,0,.993,0
327,1417310238,G. Balius,Gavin Balius,Balius,Gavin,CF,Ball State University,BALL,730195456,Ball State,BBC,R,R,56,456.2,236,149,148,0,1,0,1,0,.993,0
329,1238233344,J. Kemp,James Kemp,Kemp,James,1B,Iona College,IONA,730242048,Iona,BBC,R,R,52,443.0,73,442,423,16,3,0,2,0,.993,32
329,1882429176,J. Beebe,Jared Beebe,Beebe,Jared,1B,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,52,459.1,75,442,422,17,3,0,3,0,.993,30
331,1082402560,R. Austin,RJ Austin,Austin,RJ,CF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,59,495.2,195,147,141,5,1,1,0,0,.993,1
331,1016906882,R. Bonomolo Jr.,Richie Bonomolo Jr.,Bonomolo Jr.,Richie,CF,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,505.1,223,147,144,2,1,0,1,0,.993,0
333,1201258496,C. Misch,Connor Misch,Misch,Connor,1B,Xavier University,XAV,5464,Xavier,BBC,R,L,55,449.1,106,440,419,18,3,0,3,0,.993,33
333,1220401408,W. MacLean,Will MacLean,MacLean,Will,1B,Creighton University,CREI,730243840,Creighton,BBC,L,L,55,467.0,93,440,411,26,3,0,2,0,.993,39
335,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,66,552.0,217,146,144,1,1,0,1,0,.993,0
335,1225722624,B. Parker,Ben Parker,Parker,Ben,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,55,456.0,227,146,145,0,1,0,1,0,.993,0
335,1184455168,M. Knight,Malakhi Knight,Knight,Malakhi,CF,University of Washington,WASH,3110,Washington,BBC,R,R,50,410.1,193,146,137,8,1,0,1,0,.993,3
335,1306866432,C. Duggar,Cashel Duggar,Duggar,Cashel,C,UCLA,UCLA,5048,UCLA,BBC,L,R,54,442.0,11,438,401,34,3,1,2,0,.993,2
335,1354195973,M. Lipsey,Marshall Lipsey,Lipsey,Marshall,CF,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,57,489.2,224,146,142,3,1,0,1,0,.993,2
335,1824116315,D. Tockey,Dayton Tockey,Tockey,Dayton,1B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,41,329.2,56,292,279,11,2,0,2,0,.993,28
341,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,463.0,34,436,396,37,3,1,2,0,.993,14
342,1132591172,J. Walker,Jayden Walker,Walker,Jayden,1B,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,L,52,427.1,80,433,407,23,3,0,3,0,.993,41
343,1124743168,D. Damore,Dante Damore,Damore,Dante,1B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,52,430.1,65,430,401,26,3,1,2,0,.993,28
344,1314632704,M. Cisco,Mason Cisco,Cisco,Mason,1B,Canisius College,CAN,730218752,Canisius,BBC,L,R,38,309.0,42,286,278,6,2,1,2,0,.993,19
344,1417547191,G. Watkins,Grant Watkins,Watkins,Grant,1B,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,53,455.0,85,429,407,19,3,1,2,0,.993,36
344,1661134820,T. Stroh,Travis Stroh,Stroh,Travis,CF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,50,391.2,228,143,140,2,1,0,1,0,.993,1
344,1342168678,A. Howard,Aden Howard,Howard,Aden,CF,University of San Diego,USD,5320,San Diego,BBC,S,R,56,468.0,228,143,141,1,1,0,1,0,.993,3
348,1165893120,T. Dunn,Tyler Dunn,Dunn,Tyler,1B,Bucknell University,BUCK,730214144,Bucknell,BBC,L,L,35,274.0,51,285,267,16,2,1,2,0,.993,19
348,1311345920,M. Haas,Matthias Haas,Haas,Matthias,1B,Tulane University,TULN,730354176,Tulane,BBC,R,R,50,378.0,75,285,267,16,2,0,2,0,.993,29
350,1108320808,E. Watson,Eli Watson,Watson,Eli,LF,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,52,384.2,247,142,139,2,1,0,1,0,.993,2
350,1434805078,N. Dicarlo,Nick Dicarlo,Dicarlo,Nick,CF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,51,422.1,199,142,140,1,1,1,0,0,.993,1
352,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,48,380.1,9,424,399,22,3,1,1,0,.993,2
353,1318766080,E. Schwartz,Ellis Schwartz,Schwartz,Ellis,CF,George Washington University,GW,730249216,George Washington,BBC,L,L,53,461.1,218,141,139,1,1,0,1,0,.993,0
353,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,56,468.0,78,423,402,18,3,1,2,0,.993,42
355,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,52,426.2,38,422,380,39,3,2,1,0,.993,4
356,1310338817,C. Peebles,Cannon Peebles,Peebles,Cannon,C,University of Tennessee,TENN,730153728,Tennessee,BBC,S,R,49,398.0,10,560,505,51,4,3,0,0,.993,3
356,1310440960,J. Jaffe,Jordan Jaffe,Jaffe,Jordan,1B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,52,443.0,93,420,395,22,3,2,3,0,.993,40
356,1171615232,J. Berg,Jake Berg,Berg,Jake,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,51,431.1,47,420,372,45,3,1,3,0,.993,3
359,1310898688,T. Leroy,Tyler LeRoy,Leroy,Tyler,C,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,48,349.2,15,278,246,30,2,1,1,0,.993,1
360,1774937559,T. Head,Ty Head,Head,Ty,CF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,56,467.2,192,138,133,4,1,0,1,0,.993,2
361,1239326464,E. Brown,Ethan Brown,Brown,Ethan,1B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,303.1,58,275,259,14,2,1,2,0,.993,23
361,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,40,321.0,15,275,225,48,2,2,0,0,.993,1
363,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,438.2,13,411,380,28,3,3,0,0,.993,4
363,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,54,474.1,220,137,134,2,1,0,1,0,.993,0
365,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,57,494.2,10,547,498,45,4,2,2,0,.993,3
366,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,453.1,99,404,372,29,3,0,3,0,.993,29
367,1582058376,K. Sanchez,Kamaehu Sanchez,Sanchez,Kamaehu,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,42,286.1,5,269,244,23,2,1,1,0,.993,1
368,1314586953,S. McCulloch,Sean McCulloch,McCulloch,Sean,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,55,469.2,232,134,127,6,1,0,1,0,.993,0
369,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,43,290.2,7,267,238,27,2,1,1,0,.993,3
369,1275103488,A. Sengenberger,Aidan Sengenberger,Sengenberger,Aidan,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,44,334.0,13,267,237,28,2,0,2,0,.993,1
371,1198036992,Z. Daudet,Zach Daudet,Daudet,Zach,1B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,51,446.2,100,399,374,22,3,1,2,0,.992,39
372,1264275456,A. Urlaub,Alex Urlaub,Urlaub,Alex,1B,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,51,430.2,79,397,385,9,3,0,3,0,.992,23
373,1239328256,O. Carlson,Owen Carlson,Carlson,Owen,2B,Cornell University,COR,730298624,Cornell,BBC,L,R,32,272.0,84,132,53,78,1,0,1,0,.992,20
373,1263905536,D. Calabrese,Daniel Calabrese,Calabrese,Daniel,CF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,48,391.1,213,132,128,3,1,0,1,0,.992,2
373,1099183873,G. Colasante,Gio Colasante,Colasante,Gio,TWP,Harvard University,HARV,5450,Harvard,BBC,R,R,42,301.2,46,264,247,15,2,0,1,0,.992,17
376,1272581376,C. Schuchart,Chris Schuchart,Schuchart,Chris,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,45,337.0,80,263,254,7,2,1,2,0,.992,14
377,1085388800,A. Havrilla,AJ Havrilla,Havrilla,AJ,1B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,491.1,102,524,500,20,4,1,3,0,.992,43
377,1291203328,C. McChesney,Crew McChesney,McChesney,Crew,CF,Brigham Young University,BYU,730257152,BYU,BBC,L,R,51,431.2,210,131,128,2,1,0,1,0,.992,0
377,1230703360,B. Dowd,Brayden Dowd,Dowd,Brayden,CF,University of Southern California,USC,5047,USC,BBC,L,L,56,484.2,201,131,130,0,1,0,1,0,.992,0
377,1842721780,J. Hale,John Hale,Hale,John,CF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,45,368.0,196,131,129,1,1,0,1,0,.992,0
381,1468376832,W. Cook,Will Cook,Cook,Will,1B,Wright State University,WRST,5390,Wright State,BBC,L,R,46,333.2,59,261,239,20,2,0,2,0,.992,20
382,1162503168,J. Tobias,Jacob Tobias,Tobias,Jacob,1B,Arizona State University,ASU,5035,Arizona State,BBC,L,R,60,513.0,68,390,358,29,3,1,2,0,.992,28
382,1100189184,J. Quinlan,Jack Quinlan,Quinlan,Jack,C,Army West Point,ARMY,4744,Army,BBC,R,R,39,307.1,6,260,237,21,2,1,1,0,.992,3
384,1081123840,Z. Kovalchik,Zack Kovalchik,Kovalchik,Zack,CF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,51,415.1,201,129,125,3,1,0,1,0,.992,1
384,1418555165,R. Beheler,Reese Beheler,Beheler,Reese,1B,Lamar University,LAM,730162432,Lamar,BBC,L,R,48,399.2,84,387,373,11,3,1,3,0,.992,17
384,1018032643,A. Wright,Aydin Wright,Wright,Aydin,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,38,316.2,11,258,230,26,2,1,1,0,.992,3
384,1734858759,B. French,Blaine French,French,Blaine,RF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,L,40,327.0,115,129,121,7,1,0,1,0,.992,8
384,1342166901,S. Reynolds,Sam Reynolds,Reynolds,Sam,CF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,51,415.2,181,129,120,8,1,0,1,0,.992,1
389,1073827840,T. Morrison,Trace Morrison,Morrison,Trace,1B,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,56,471.0,86,515,476,35,4,0,3,0,.992,43
390,1275426560,J. Waldon,JT Waldon,Waldon,JT,1B,University of the Pacific,PAC,730386944,Pacific,BBC,L,L,50,414.2,96,385,362,20,3,2,2,0,.992,24
391,1087427840,H. Faildo,Hunter Faildo,Faildo,Hunter,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,44,230.2,8,255,216,37,2,0,2,0,.992,0
392,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,46,367.0,17,382,341,38,3,1,1,0,.992,5
393,1078107136,A. Neaves,Avery Neaves,Neaves,Avery,LF,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,492.1,236,127,123,3,1,0,1,0,.992,0
393,1207755264,T. Moore,Tucker Moore,Moore,Tucker,C,Liberty University,LIB,730156288,Liberty,BBC,S,R,47,368.1,13,381,357,21,3,1,2,0,.992,3
393,1263368704,L. Torres,Lukas Torres,Torres,Lukas,CF,Wagner College,WAG,730192640,Wagner,BBC,L,L,50,414.2,183,127,126,0,1,0,1,0,.992,0
396,1197663488,J. Harvey,Jake Harvey,Harvey,Jake,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,47,404.1,13,380,334,43,3,3,0,0,.992,2
396,1408080086,C. Magoulick,Charley Magoulick,Magoulick,Charley,1B,Rider University,RID,730174976,Rider,BBC,L,L,47,388.1,64,380,365,12,3,0,1,0,.992,35
398,1099860992,C. Taggart,Casen Taggart,Taggart,Casen,1B,University of Washington,WASH,3110,Washington,BBC,L,R,50,408.1,98,379,342,34,3,0,3,0,.992,32
399,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,40,205.1,25,126,117,8,1,0,1,0,.992,14
400,1496120561,W. Kane-Yates,Wailele Kane-Yates,Kane-Yates,Wailele,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,48,412.2,19,376,340,33,3,1,2,0,.992,8
401,1264001536,J. Hausser,Justin Hausser,Hausser,Justin,1B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,L,56,472.2,101,500,462,34,4,0,4,0,.992,44
401,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,46,368.0,105,125,123,1,1,0,1,0,.992,3
401,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,46,378.0,16,375,350,22,3,0,3,0,.992,3
401,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,45,386.1,68,375,342,30,3,1,2,0,.992,13
405,1104495104,M. Heusohn,Marcus Heusohn,Heusohn,Marcus,1B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,46,395.2,86,374,348,23,3,0,3,0,.992,21
405,1598424062,C. Dierdorf,Carter Dierdorf,Dierdorf,Carter,1B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,51,428.0,95,374,352,19,3,1,2,0,.992,18
407,1143114496,C. Stanfield,Chris Stanfield,Stanfield,Chris,CF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,67,546.0,193,124,123,0,1,0,1,0,.992,0
407,1645639936,W. Helms,Wesley Helms,Helms,Wesley,1B,UAB,UAB,730345984,UAB,BBC,R,R,44,360.1,79,372,342,27,3,0,3,0,.992,33
409,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,46,384.2,6,371,336,32,3,3,0,0,.992,3
410,1224924160,J. Cannizzaro,Jack Cannizzaro,Cannizzaro,Jack,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,48,353.1,7,370,338,29,3,1,2,0,.992,5
410,1256135445,R. Nelson,Riley Nelson,Nelson,Riley,1B,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,56,475.0,68,370,355,12,3,1,2,0,.992,29
412,1298084864,N. Hall,Nathan Hall,Hall,Nathan,CF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,54,443.0,186,123,120,2,1,0,1,0,.992,0
413,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,38,287.2,22,245,226,17,2,0,2,0,.992,13
414,1162602752,A. Ainsworth,Addison Ainsworth,Ainsworth,Addison,CF,Army West Point,ARMY,4744,Army,BBC,L,R,49,405.0,188,122,119,2,1,0,1,0,.992,2
414,1320034048,E. Bottone,Evan Bottone,Bottone,Evan,CF,University of Akron,AKR,540536064,Akron,BBC,L,R,52,434.0,182,122,120,1,1,0,1,0,.992,1
416,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,569.2,90,487,464,19,4,0,4,0,.992,32
417,1299328000,C. Vest,Cooper Vest,Vest,Cooper,1B,Brigham Young University,BYU,730257152,BYU,BBC,L,L,55,478.2,97,486,460,22,4,1,3,0,.992,45
418,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,47,379.2,5,485,460,21,4,3,0,0,.992,3
419,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,48,419.2,170,121,116,4,1,0,1,0,.992,1
419,1239328512,W. Gasparino,Will Gasparin,Gasparino,Will,CF,University of Texas,TEX,245,Texas,BBC,R,R,58,491.1,181,121,119,1,1,0,1,0,.992,0
419,1099315456,S. Canton,Sam Canton,Canton,Sam,CF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,43,371.2,176,121,119,1,1,1,0,0,.992,1
419,1104432384,B. Bean,Brady Bean,Bean,Brady,RF,University of Portland,PORT,730360320,Portland,BBC,R,R,52,446.0,166,121,110,10,1,0,1,0,.992,3
419,1654896558,A. Stelogeannis,Aaron Stelogeannis,Stelogeannis,Aaron,CF,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,46,380.2,161,121,106,14,1,0,1,0,.992,7
424,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,51,411.0,78,361,333,25,3,0,3,0,.992,37
425,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,471.1,109,481,444,33,4,0,4,0,.992,37
426,1170584832,E. Vogelsong,Elijah Vogelsong,Vogelsong,Elijah,LF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,59,506.1,236,120,117,2,1,0,1,0,.992,0
426,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,549.2,172,120,113,6,1,0,1,0,.992,2
426,1143107328,P. Lester,Parker Lester,Lester,Parker,1B,Mercer University,MER,730240512,Mercer,BBC,L,R,59,517.1,102,480,444,32,4,1,3,0,.992,41
426,1506711324,C. Arroyo,Chris Arroyo,Arroyo,Chris,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,41,294.1,40,240,226,12,2,1,1,0,.992,27
426,1070340091,H. Gomric,Hank Gomric,Gomric,Hank,LF,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,56,455.0,205,120,118,1,1,0,1,0,.992,0
431,1280636850,A. Singer,AJ Singer,Singer,AJ,2B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,560.2,194,239,68,169,2,1,1,0,.992,37
432,1237379328,H. Ensley,Hunter Ensley,Ensley,Hunter,CF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,64,517.0,167,119,117,1,1,0,1,0,.992,1
432,1257421568,C. Nunez,Corey Nunez,Nunez,Corey,SS,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,39,334.0,99,119,38,80,1,0,1,0,.992,16
432,1264006656,B. Counsell,Brady Counsell,Counsell,Brady,LF,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,474.1,143,119,66,52,1,0,1,0,.992,10
432,1341241344,C. Sahler,Cian Sahler,Sahler,Cian,CF,Fordham University,FOR,730324992,Fordham,BBC,L,L,45,365.0,176,119,113,5,1,0,1,0,.992,1
436,1279684864,W. French,Wil French,French,Wil,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,S,R,54,463.0,132,474,418,52,4,2,2,0,.992,37
437,1297506048,C. Spencer,Chase Spencer,Spencer,Chase,CF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,45,354.0,186,118,114,3,1,0,1,0,.992,1
437,1149176320,A. Kanellis,Andrew Kanellis,Kanellis,Andrew,RF,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,491.0,169,118,115,2,1,0,1,0,.992,0
437,1279295744,G. Greger,Gavin Greger,Greger,Gavin,CF,Bryant University,BRY,730266880,Bryant,BBC,L,L,52,447.2,189,118,117,0,1,0,1,0,.992,0
437,1249665393,T. Williams,Thomas Williams,Williams,Thomas,2B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,S,R,54,461.2,161,236,91,143,2,0,2,0,.992,35
441,1126855680,B. Cavill,Blake Cavill,Cavill,Blake,1B,Troy University,TROY,730378496,Troy,BBC,L,R,58,491.1,94,470,444,22,4,1,3,0,.991,39
442,1296044544,C. Burdick,Cam Burdick,Burdick,Cam,CF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,48,382.1,191,117,116,0,1,0,1,0,.991,0
442,1093160704,A. Hill,Aden Hill,Hill,Aden,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,55,471.1,175,117,116,0,1,0,1,0,.991,0
442,1251616000,B. Valentine,Balin Valentine,Valentine,Balin,LF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,54,459.2,206,117,114,2,1,0,1,0,.991,0
442,1297584896,J. Mayo,Jackson Mayo,Mayo,Jackson,LF,University of South Florida,USF,2292,South Florida,BBC,L,L,55,464.2,221,117,114,2,1,0,1,0,.991,0
442,1873174999,M. Torres,Michael Torres,Torres,Michael,CF,University of Miami,MIA,236,Miami,BBC,L,L,50,362.1,162,117,113,3,1,0,1,0,.991,1
447,1112133888,C. Goode,Chris Goode,Goode,Chris,CF,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,42,314.2,162,116,112,3,1,0,1,0,.991,0
447,1302561280,M. Giberti,Matt Giberti,Giberti,Matt,CF,Harvard University,HARV,5450,Harvard,BBC,L,R,42,347.2,177,116,113,2,1,0,1,0,.991,1
447,1258114566,J. Thomas,Justin Thomas,Thomas,Justin,CF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,62,463.2,171,116,114,1,1,0,1,0,.991,1
450,1279326208,T. Doucette,Ty Doucette,Doucette,Ty,1B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,57,490.0,97,462,428,30,4,2,2,0,.991,41
450,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,446.0,17,462,413,45,4,2,2,0,.991,5
452,1119242496,J. Whitlinger,Jake Whitlinger,Whitlinger,Jake,CF,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,48,375.1,174,115,113,1,1,1,0,0,.991,0
452,1294950400,P. Brennan,Payton Brennan,Brennan,Payton,CF,UCLA,UCLA,5048,UCLA,BBC,L,R,46,397.1,174,115,112,2,1,0,1,0,.991,1
452,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Michigan,MICH,2290,Michigan,BBC,L,R,54,426.2,80,460,427,29,4,2,3,0,.991,39
455,1262678016,T. Conley,Trevor Conley,Conley,Trevor,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,40,337.0,8,344,326,15,3,1,1,0,.991,2
456,1272023040,J. Stallcup,John Stallcup,Stallcup,John,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,39,333.0,9,343,315,25,3,3,0,0,.991,5
457,1162600448,G. Kash,Gavin Kash,Kash,Gavin,1B,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,39,314.2,64,228,221,5,2,0,2,0,.991,21
457,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,45,378.2,88,228,211,15,2,1,0,0,.991,5
457,1269502208,J. Stead,Jack Stead,Stead,Jack,SS,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,38,294.1,92,114,52,61,1,0,1,0,.991,16
457,1248850176,B. DeLamielleure,Blake DeLamielleure,DeLamielleure,Blake,RF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,56,471.1,166,114,112,1,1,0,1,0,.991,0
461,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,42,332.0,16,340,303,34,3,2,1,0,.991,3
462,1233390336,A. Lane,Alex Lane,Lane,Alex,1B,Northeastern University,NE,343,Northeastern,BBC,R,R,52,446.0,80,452,431,17,4,0,4,0,.991,26
463,1311028736,J. Schattle,Jagger Schattle,Schattle,Jagger,1B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,L,41,337.0,65,338,319,16,3,1,3,0,.991,34
464,1714474887,L. DiBeradin,Landon DiBeradin,DiBeradin,Landon,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,42,328.0,5,337,310,24,3,0,3,0,.991,2
465,1158049024,D. Westcott,Drake Westcott,Westcott,Drake,1B,University of Illinois,ILL,730163456,Illinois,BBC,L,R,38,300.0,63,335,315,17,3,1,2,0,.991,27
466,1297349376,L. Sauve,Logan Sauve,Sauve,Logan,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,49,408.1,12,445,411,30,4,2,1,0,.991,4
467,1143040000,C. Bayne,Carson Bayne,Bayne,Carson,CF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,54,438.1,157,111,107,3,1,0,1,0,.991,2
468,1316043776,M. Matthews,Mateo Matthews,Matthews,Mateo,1B,Wagner College,WAG,730192640,Wagner,BBC,L,R,42,315.1,55,331,317,11,3,0,3,0,.991,19
468,1300572628,C. Suto,Cam Suto,Suto,Cam,1B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,L,50,428.0,96,331,316,12,3,1,2,0,.991,23
