Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
1,1297511424,N. Brasher,Nathan Brasher,Brasher,Nathan,RF,Brown University,BRWN,730236160,Brown,BBC,R,R,39,327.0,132,88,85,3,0,0,0,0,1.000,1
1,1334269952,C. Hendrickson,Carter Hendrickson,Hendrickson,Carter,LF,Xavier University,XAV,5464,Xavier,BBC,R,L,59,494.1,193,118,112,6,0,0,0,0,1.000,0
1,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,534.2,257,190,189,1,0,0,0,0,1.000,1
1,1233812992,D. Kordic,Dylan Kordic,Kordic,Dylan,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,57,486.1,183,138,132,6,0,0,0,0,1.000,0
1,1135888384,T. Howard,Tyler Howard,Howard,Tyler,RF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,45,392.0,161,107,106,1,0,0,0,0,1.000,0
1,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,45,368.2,6,357,334,23,0,0,0,0,1.000,2
1,1084056064,D. Ornelas,Devan Ornelas,Ornelas,Devan,CF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,57,463.1,249,173,171,2,0,0,0,0,1.000,1
1,1310897664,A. Russell,Austin Russell,Russell,Austin,1B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,43,355.1,61,354,343,11,0,0,0,0,1.000,20
1,1085755136,K. Higgins,Kade Higgins,Higgins,Kade,RF,University of Southern California,USC,5047,USC,BBC,L,R,41,272.1,97,60,60,0,0,0,0,0,1.000,0
1,1162597120,S. Panaro,Santino Panaro,Panaro,Santino,CF,University of Utah,UTAH,730328320,Utah,BBC,L,L,43,362.1,208,141,140,1,0,0,0,0,1.000,1
1,1310876672,N. Upstill,Nick Upstill,Upstill,Nick,LF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,L,45,373.2,164,88,88,0,0,0,0,0,1.000,0
1,1325105152,J. Simpson,Joe Simpson,Simpson,Joe,LF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,43,346.0,129,78,75,3,0,0,0,0,1.000,0
1,1226692352,D. Obee,Devin Obee,Obee,Devin,CF,University of Georgia,UGA,226,Georgia,BBC,R,R,54,396.1,126,76,76,0,0,0,0,0,1.000,0
1,1279343616,T. Albright,Tyler Albright,Albright,Tyler,LF,Duke University,DUKE,730336256,Duke,BBC,R,L,62,539.2,180,99,98,1,0,0,0,0,1.000,0
