Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,OFAst,LFAst,CFAst,RFAst,OFAstTo1B,OFAstTo2B,OFAstTo3B,OFAstToHome,OFThrowE
10,1255284736,T. Kehoe,Tyler Kehoe,Kehoe,Tyler,RF,Radford University,RAD,730267392,Radford,BBC,L,L,6,0,0,6,0,0,0,0,0
10,1314586953,S. McCulloch,Sean McCulloch,McCulloch,Sean,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,6,5,1,0,0,0,0,0,0
10,1927468263,J. Cardinale,Joe Cardinale,Cardinale,Joe,CF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,6,0,6,0,0,0,0,0,0
10,1328897569,T. Kiel II,Terrence Kiel II,Kiel II,Terrence,RF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,6,2,0,4,0,0,0,0,0
31,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,5,0,0,5,0,0,0,0,0
31,1097455104,G. Anderson,Garner Anderson,Anderson,Garner,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,5,4,0,1,0,0,0,0,0
31,1243930112,J. Fithian,Jalen Fithian,Fithian,Jalen,CF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,5,0,5,0,0,0,0,0,0
31,1243478272,D. Mercer,Dustin Mercer,Mercer,Dustin,RF,Murray State University,MURR,730188032,Murray State,BBC,L,L,5,0,0,5,0,0,0,0,0
31,1301451265,L. Haskell,Logan Haskell,Haskell,Logan,LF,Binghamton University,BING,730155776,Binghamton,BBC,R,R,5,5,0,0,0,0,0,0,1
31,1126848256,L. Randall,Levi Randall,Randall,Levi,LF,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,5,5,0,0,0,0,0,0,0
31,1092329472,J. Alvarez,Julian Alvarez,Alvarez,Julian,RF,California Baptist University,CBU,5091,California Baptist,BBC,L,L,5,0,0,5,0,0,0,0,0
31,1083908608,M. Scannell,Matt Scannell,Scannell,Matt,RF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,5,0,0,5,0,0,0,0,0
31,1318652416,T. Cohen,Trevor Cohen,Cohen,Trevor,RF,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,5,0,0,5,0,0,0,0,0
31,1257459968,J. Freeman,Jackson Freeman,Freeman,Jackson,RF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,5,0,0,5,0,0,0,0,0
31,1162533376,M. Lott,Malachi Lott,Lott,Malachi,TWP,University of Houston,HOU,3030,Houston,BBC,L,L,5,5,0,0,0,0,0,0,0
31,1341241344,C. Sahler,Cian Sahler,Sahler,Cian,CF,Fordham University,FOR,730324992,Fordham,BBC,L,L,5,0,5,0,0,0,0,0,0
31,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,Kyle,RF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,5,0,0,5,0,0,0,0,0
31,1132728832,A. Paskell,Anthony Paskell,Paskell,Anthony,CF,Rider University,RID,730174976,Rider,BBC,R,R,5,0,5,0,0,0,0,0,0
31,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,5,0,5,0,0,0,0,0,0
